time,Miami,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. M. Gasol (N. Cole gains possession),,,,Jump ball: C. Bosh vs. M. Gasol (N. Cole gains possession)
11:49.0,,,0-0,,Personal foul by C. Lee (drawn by L. Deng)
11:42.0,L. Deng makes 2-pt shot from 1 ft (assist by J. McRoberts),2,2-0,,
11:22.0,,,2-0,,Shooting foul by L. Deng (drawn by T. Allen)
11:22.0,,,2-0,,T. Allen misses free throw 1 of 2
11:22.0,,,2-0,,Offensive rebound by Team
11:22.0,,,2-1,1,T. Allen makes free throw 2 of 2
11:04.0,J. McRoberts makes 2-pt shot at rim (assist by D. Wade),2,4-1,,
10:40.0,,,4-3,2,T. Allen makes 2-pt shot at rim
10:39.0,,,4-3,,Violation by Team (delay of game)
10:25.0,D. Wade misses 2-pt shot from 7 ft,,4-3,,
10:24.0,,,4-3,,Defensive rebound by M. Gasol
10:17.0,,,4-3,,Turnover by T. Allen (bad pass; steal by C. Bosh)
10:11.0,D. Wade makes 2-pt shot at rim,2,6-3,,
9:53.0,,,6-3,,Z. Randolph misses 2-pt shot from 17 ft
9:52.0,Defensive rebound by C. Bosh,,6-3,,
9:36.0,J. McRoberts makes 2-pt shot at rim (assist by L. Deng),2,8-3,,
9:08.0,,,8-5,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Gasol)
8:42.0,C. Bosh misses 2-pt shot from 13 ft,,8-5,,
8:41.0,,,8-5,,Defensive rebound by M. Gasol
8:31.0,,,8-7,2,T. Allen makes 2-pt shot from 13 ft (assist by M. Conley)
8:04.0,J. McRoberts makes 3-pt shot from 25 ft (assist by D. Wade),3,11-7,,
7:52.0,Personal foul by N. Cole (drawn by M. Conley),,11-7,,
7:52.0,,,11-7,,T. Prince enters the game for C. Lee
7:35.0,,,11-7,,T. Allen misses 2-pt shot from 16 ft
7:32.0,Defensive rebound by J. McRoberts,,11-7,,
7:26.0,D. Wade makes 2-pt shot from 1 ft,2,13-7,,
7:16.0,,,13-9,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
7:03.0,C. Bosh makes 2-pt shot at rim (assist by N. Cole),2,15-9,,
6:54.0,,,15-9,,Memphis full timeout
6:54.0,M. Chalmers enters the game for D. Wade,,15-9,,
6:45.0,,,15-11,2,T. Prince makes 2-pt shot from 19 ft (assist by M. Gasol)
6:21.0,L. Deng misses 2-pt shot from 18 ft,,15-11,,
6:20.0,,,15-11,,Defensive rebound by T. Allen
6:11.0,,,15-11,,T. Prince misses 3-pt shot from 23 ft
6:09.0,,,15-11,,Offensive rebound by Z. Randolph
6:09.0,,,15-13,2,Z. Randolph makes 2-pt shot from 1 ft
5:42.0,N. Cole makes 2-pt shot at rim,2,17-13,,
5:25.0,,,17-15,2,T. Allen makes 2-pt shot at rim (assist by M. Gasol)
5:00.0,N. Cole misses 3-pt shot from 23 ft,,17-15,,
4:59.0,,,17-15,,Defensive rebound by M. Gasol
4:55.0,,,17-18,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
4:53.0,Miami full timeout,,17-18,,
4:53.0,,,17-18,,J. Leuer enters the game for T. Allen
4:53.0,,,17-18,,C. Lee enters the game for Z. Randolph
4:53.0,U. Haslem enters the game for J. McRoberts,,17-18,,
4:53.0,S. Napier enters the game for N. Cole,,17-18,,
4:39.0,Shooting foul by M. Gasol (drawn by C. Bosh),,17-18,,
4:39.0,C. Bosh misses free throw 1 of 2,,17-18,,
4:39.0,Offensive rebound by Team,,17-18,,
4:39.0,C. Bosh misses free throw 2 of 2,,17-18,,
4:38.0,,,17-18,,Defensive rebound by J. Leuer
4:22.0,,,17-20,2,C. Lee makes 2-pt shot from 16 ft (assist by J. Leuer)
3:57.0,C. Bosh makes 2-pt shot from 15 ft,2,19-20,,
3:50.0,,,19-20,,Turnover by M. Conley (bad pass; steal by L. Deng)
3:47.0,L. Deng makes 2-pt shot at rim,2,21-20,,
3:23.0,,,21-20,,M. Gasol misses 2-pt shot from 5 ft
3:20.0,Defensive rebound by U. Haslem,,21-20,,
2:58.0,L. Deng misses 2-pt shot from 15 ft,,21-20,,
2:57.0,,,21-20,,Defensive rebound by J. Leuer
2:41.0,,,21-20,,T. Prince misses 2-pt shot from 8 ft
2:40.0,,,21-20,,Offensive rebound by T. Prince
2:37.0,,,21-20,,T. Prince misses 2-pt shot from 8 ft
2:34.0,Defensive rebound by U. Haslem,,21-20,,
2:12.0,L. Deng misses 2-pt shot from 2 ft (block by J. Leuer),,21-20,,
2:10.0,,,21-20,,Defensive rebound by C. Lee
2:07.0,,,21-22,2,M. Conley makes 2-pt shot at rim (assist by C. Lee)
1:41.0,L. Deng makes 2-pt shot from 1 ft,2,23-22,,
1:33.0,,,23-22,,Shooting foul by M. Chalmers (drawn by T. Prince)
1:33.0,,,23-23,1,T. Prince makes free throw 1 of 2
1:33.0,S. Williams enters the game for L. Deng,,23-23,,
1:33.0,D. Wade enters the game for C. Bosh,,23-23,,
1:33.0,,,23-23,,B. Udrih enters the game for M. Conley
1:33.0,,,23-24,1,T. Prince makes free throw 2 of 2
1:19.0,U. Haslem misses 2-pt shot at rim,,23-24,,
1:17.0,Offensive rebound by U. Haslem,,23-24,,
1:13.0,S. Williams misses 3-pt shot from 22 ft,,23-24,,
1:11.0,,,23-24,,Defensive rebound by J. Leuer
0:55.0,,,23-26,2,J. Leuer makes 2-pt shot at rim (assist by B. Udrih)
0:39.0,D. Wade misses 2-pt shot from 3 ft,,23-26,,
0:38.0,Offensive rebound by D. Wade,,23-26,,
0:37.0,D. Wade makes 2-pt shot from 4 ft,2,25-26,,
0:19.0,,,25-26,,M. Gasol misses 2-pt shot from 2 ft
0:18.0,,,25-26,,Offensive rebound by J. Leuer
0:17.0,,,25-28,2,J. Leuer makes 2-pt shot from 12 ft
0:17.0,,,25-28,,Violation by Team (delay of game)
0:17.0,,,25-28,,Technical foul by M. Gasol
0:17.0,M. Chalmers makes technical free throw,1,26-28,,
0:17.0,,,26-28,,T. Allen enters the game for J. Leuer
0:03.0,,,26-28,,Personal take foul by T. Allen (drawn by D. Wade)
0:01.0,D. Wade misses 2-pt shot from 21 ft,,26-28,,
0:00.0,,,26-28,,Defensive rebound by T. Allen
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,26-28,,B. Udrih misses 2-pt shot from 16 ft
11:34.0,Defensive rebound by S. Williams,,26-28,,
11:26.0,Turnover by D. Wade (lost ball; steal by J. Leuer),,26-28,,
11:25.0,Personal foul by D. Wade (drawn by C. Lee),,26-28,,
11:10.0,,,26-28,,J. Leuer misses 2-pt shot from 2 ft (block by S. Williams)
11:09.0,,,26-28,,Offensive rebound by J. Leuer
11:09.0,,,26-28,,Shooting foul by S. Williams (drawn by J. Leuer)
11:09.0,,,26-29,1,J. Leuer makes free throw 1 of 2
11:09.0,,,26-29,,Q. Pondexter enters the game for T. Prince
11:09.0,,,26-30,1,J. Leuer makes free throw 2 of 2
10:46.0,S. Napier misses 3-pt shot from 25 ft,,26-30,,
10:45.0,,,26-30,,Defensive rebound by B. Udrih
10:36.0,,,26-33,3,C. Lee makes 3-pt shot from 26 ft (assist by B. Udrih)
10:30.0,D. Wade misses 2-pt shot at rim,,26-33,,
10:28.0,Offensive rebound by Team,,26-33,,
10:15.0,S. Williams makes 2-pt shot from 12 ft,2,28-33,,
9:49.0,,,28-33,,J. Leuer misses 2-pt shot from 19 ft
9:48.0,Defensive rebound by U. Haslem,,28-33,,
9:40.0,D. Wade makes 2-pt shot at rim,2,30-33,,
9:16.0,,,30-33,,Turnover by B. Udrih (traveling)
9:04.0,Turnover by D. Wade (bad pass),,30-33,,
8:52.0,,,30-36,3,J. Leuer makes 3-pt shot from 25 ft (assist by B. Udrih)
8:33.0,S. Williams misses 2-pt shot at rim,,30-36,,
8:31.0,Offensive rebound by S. Williams,,30-36,,
8:30.0,S. Williams makes 2-pt shot at rim,2,32-36,,
8:13.0,,,32-38,2,J. Leuer makes 2-pt shot from 17 ft (assist by Q. Pondexter)
8:01.0,,,32-38,,Personal foul by Q. Pondexter (drawn by D. Wade)
8:01.0,Official timeout,,32-38,,
8:01.0,J. Ennis enters the game for M. Chalmers,,32-38,,
7:44.0,S. Williams misses 3-pt shot from 23 ft,,32-38,,
7:42.0,,,32-38,,Defensive rebound by K. Koufos
