time,New Orleans,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Drummond (O. Asik gains possession),,,,Jump ball: A. Davis vs. A. Drummond (O. Asik gains possession)
11:42.0,A. Davis makes 2-pt shot from 16 ft (assist by E. Gordon),2,2-0,,
11:29.0,,,2-0,,K. Caldwell-Pope misses 2-pt shot from 17 ft
11:27.0,Defensive rebound by A. Davis,,2-0,,
11:12.0,D. Cunningham makes 2-pt shot at rim (assist by T. Evans),2,4-0,,
10:59.0,,,4-2,2,B. Jennings makes 2-pt shot from 5 ft (assist by G. Monroe)
10:37.0,E. Gordon makes 2-pt shot from 4 ft,2,6-2,,
10:17.0,,,6-2,,B. Jennings misses 2-pt shot from 1 ft
10:16.0,Defensive rebound by O. Asik,,6-2,,
9:52.0,T. Evans misses 3-pt shot from 27 ft,,6-2,,
9:50.0,Offensive rebound by O. Asik,,6-2,,
9:47.0,Turnover by O. Asik (lost ball; steal by A. Drummond),,6-2,,
9:41.0,,,6-2,,A. Drummond misses 2-pt shot at rim
9:41.0,Defensive rebound by Team,,6-2,,
9:41.0,,,6-2,,Loose ball foul by A. Drummond (drawn by A. Davis)
9:27.0,E. Gordon misses 2-pt shot from 8 ft,,6-2,,
9:26.0,Offensive rebound by Team,,6-2,,
9:11.0,T. Evans misses 2-pt shot at rim,,6-2,,
9:09.0,Offensive rebound by O. Asik,,6-2,,
9:09.0,O. Asik makes 2-pt shot at rim,2,8-2,,
8:50.0,,,8-2,,G. Monroe misses 2-pt shot from 6 ft (block by A. Davis)
8:48.0,Defensive rebound by T. Evans,,8-2,,
8:32.0,A. Davis makes 2-pt shot from 5 ft,2,10-2,,
8:32.0,,,10-2,,Detroit full timeout
8:10.0,,,10-4,2,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by G. Monroe)
7:48.0,T. Evans makes 2-pt shot at rim (assist by D. Cunningham),2,12-4,,
7:34.0,,,12-4,,A. Drummond misses 2-pt shot from 5 ft
7:31.0,,,12-4,,Offensive rebound by G. Monroe
7:31.0,,,12-6,2,G. Monroe makes 2-pt shot from 1 ft
7:04.0,E. Gordon misses 3-pt shot from 25 ft,,12-6,,
7:03.0,,,12-6,,Defensive rebound by G. Monroe
6:59.0,,,12-6,,Turnover by K. Singler (lost ball; steal by E. Gordon)
6:54.0,A. Davis makes 2-pt shot at rim (assist by E. Gordon),2,14-6,,
6:33.0,,,14-8,2,K. Singler makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
6:17.0,Turnover by D. Cunningham (step out of bounds),,14-8,,
5:58.0,,,14-8,,Turnover by K. Caldwell-Pope (lost ball; steal by T. Evans)
5:39.0,O. Asik misses 2-pt shot at rim (block by K. Caldwell-Pope),,14-8,,
5:38.0,,,14-8,,Defensive rebound by G. Monroe
5:33.0,,,14-8,,B. Jennings misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by D. Cunningham,,14-8,,
5:19.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans),3,17-8,,
