time,Detroit,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (V. Oladipo gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (V. Oladipo gains possession)
11:40.0,,,0-0,,T. Harris misses 3-pt shot from 25 ft
11:39.0,,,0-0,,Offensive rebound by Team
11:36.0,,,0-2,2,N. Vucevic makes 2-pt shot from 7 ft (assist by T. Harris)
11:16.0,A. Drummond makes 2-pt shot from 6 ft,2,2-2,,
11:03.0,,,2-4,2,A. Nicholson makes 2-pt shot at rim (assist by V. Oladipo)
10:37.0,K. Caldwell-Pope misses 3-pt shot from 28 ft,,2-4,,
10:36.0,,,2-4,,Defensive rebound by T. Harris
10:27.0,,,2-4,,N. Vucevic misses 2-pt shot from 12 ft
10:25.0,Defensive rebound by A. Tolliver,,2-4,,
10:06.0,R. Jackson makes 3-pt shot from 27 ft (assist by K. Caldwell-Pope),3,5-4,,
9:41.0,,,5-6,2,N. Vucevic makes 2-pt shot from 8 ft
9:19.0,K. Caldwell-Pope makes 2-pt shot from 13 ft,2,7-6,,
9:04.0,,,7-6,,Turnover by T. Harris (bad pass; steal by R. Jackson)
8:59.0,Turnover by R. Jackson (bad pass; steal by V. Oladipo),,7-6,,
8:53.0,,,7-8,2,T. Harris makes 2-pt shot at rim (assist by V. Oladipo)
8:39.0,R. Jackson misses 2-pt shot from 9 ft,,7-8,,
8:38.0,,,7-8,,Defensive rebound by V. Oladipo
8:32.0,,,7-10,2,E. Payton makes 2-pt shot from 1 ft (assist by V. Oladipo)
8:27.0,Detroit full timeout,,7-10,,
8:16.0,R. Jackson misses 2-pt shot from 4 ft (block by N. Vucevic),,7-10,,
8:12.0,Offensive rebound by R. Jackson,,7-10,,
8:07.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,7-10,,
8:07.0,,,7-10,,Defensive rebound by Team
7:42.0,,,7-12,2,E. Payton makes 2-pt shot from 4 ft
7:21.0,K. Caldwell-Pope makes 2-pt shot from 13 ft (assist by A. Tolliver),2,9-12,,
7:05.0,,,9-14,2,N. Vucevic makes 2-pt shot from 13 ft (assist by E. Payton)
6:44.0,R. Jackson makes 2-pt shot from 20 ft (assist by C. Butler),2,11-14,,
6:37.0,,,11-16,2,E. Payton makes 2-pt shot from 4 ft
6:37.0,,,11-16,,Shooting foul by A. Drummond (drawn by E. Payton)
6:37.0,,,11-17,1,E. Payton makes free throw 1 of 1
6:23.0,C. Butler misses 2-pt shot from 20 ft,,11-17,,
6:22.0,,,11-17,,Defensive rebound by N. Vucevic
6:14.0,,,11-17,,Turnover by V. Oladipo (lost ball; steal by K. Caldwell-Pope)
6:06.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,11-17,,
6:05.0,Offensive rebound by A. Drummond,,11-17,,
6:05.0,A. Drummond misses 2-pt shot at rim,,11-17,,
6:04.0,Offensive rebound by A. Drummond,,11-17,,
6:03.0,A. Drummond makes 2-pt shot from 1 ft,2,13-17,,
5:43.0,,,13-17,,T. Harris misses 2-pt shot from 8 ft
5:42.0,Defensive rebound by A. Drummond,,13-17,,
5:38.0,Turnover by R. Jackson (bad pass),,13-17,,
5:28.0,,,13-19,2,A. Nicholson makes 2-pt shot from 19 ft (assist by E. Payton)
5:10.0,A. Tolliver makes 3-pt shot from 23 ft (assist by C. Butler),3,16-19,,
4:52.0,,,16-19,,N. Vucevic misses 2-pt shot from 3 ft (block by A. Drummond)
4:50.0,Defensive rebound by A. Tolliver,,16-19,,
4:35.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by R. Jackson),2,18-19,,
4:33.0,,,18-19,,Orlando full timeout
4:22.0,,,18-19,,Turnover by E. Payton (bad pass)
4:22.0,,,18-19,,W. Green enters the game for A. Nicholson
4:11.0,R. Jackson misses 2-pt shot from 16 ft,,18-19,,
4:10.0,,,18-19,,Defensive rebound by V. Oladipo
3:57.0,,,18-21,2,T. Harris makes 2-pt shot at rim
3:43.0,R. Jackson misses 2-pt shot at rim,,18-21,,
3:42.0,,,18-21,,Defensive rebound by N. Vucevic
