time,Charlotte,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. M. Plumlee (K. Walker gains possession),,,,Jump ball: A. Jefferson vs. M. Plumlee (K. Walker gains possession)
11:51.0,,,0-0,,Personal foul by G. Dragic (drawn by L. Stephenson)
11:42.0,,,0-0,,Personal foul by M. Morris (drawn by P. Hairston)
11:32.0,A. Jefferson misses 2-pt shot from 2 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by M. Morris
11:26.0,,,0-0,,E. Bledsoe misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by L. Stephenson,,0-0,,
11:13.0,P. Hairston misses 2-pt shot at rim,,0-0,,
11:11.0,Offensive rebound by K. Walker,,0-0,,
10:58.0,A. Jefferson makes 2-pt shot from 11 ft (assist by L. Stephenson),2,2-0,,
10:49.0,Personal foul by P. Hairston (drawn by M. Morris),,2-0,,
10:42.0,,,2-0,,M. Morris misses 2-pt shot from 21 ft
10:41.0,Defensive rebound by A. Jefferson,,2-0,,
10:24.0,P. Hairston makes 3-pt shot from 25 ft,3,5-0,,
10:08.0,,,5-2,2,M. Morris makes 2-pt shot from 11 ft
9:39.0,L. Stephenson misses 2-pt shot from 13 ft,,5-2,,
9:37.0,,,5-2,,Defensive rebound by M. Plumlee
9:28.0,,,5-5,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by G. Dragic)
9:00.0,K. Walker misses 2-pt shot from 2 ft,,5-5,,
9:00.0,Offensive rebound by K. Walker,,5-5,,
9:00.0,Turnover by Team (shot clock),,5-5,,
8:45.0,,,5-5,,M. Morris misses 2-pt shot from 21 ft
8:44.0,Defensive rebound by Team,,5-5,,
8:34.0,L. Stephenson makes 2-pt shot from 17 ft,2,7-5,,
8:22.0,,,7-8,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
8:02.0,A. Jefferson misses 2-pt shot from 4 ft,,7-8,,
8:01.0,,,7-8,,Defensive rebound by M. Plumlee
7:54.0,,,7-8,,G. Dragic misses 2-pt shot from 6 ft (block by A. Jefferson)
7:51.0,Defensive rebound by K. Walker,,7-8,,
7:35.0,A. Jefferson misses 2-pt shot from 15 ft,,7-8,,
7:34.0,,,7-8,,Defensive rebound by M. Morris
7:22.0,,,7-8,,G. Dragic misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by K. Walker,,7-8,,
7:11.0,K. Walker misses 2-pt shot from 7 ft,,7-8,,
7:10.0,,,7-8,,Defensive rebound by E. Bledsoe
7:01.0,,,7-11,3,M. Morris makes 3-pt shot from 22 ft (assist by E. Bledsoe)
6:36.0,L. Stephenson misses 3-pt shot from 24 ft,,7-11,,
6:35.0,,,7-11,,Defensive rebound by M. Morris
6:29.0,,,7-11,,M. Morris misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by A. Jefferson,,7-11,,
6:14.0,L. Stephenson misses 2-pt shot from 18 ft,,7-11,,
6:13.0,,,7-11,,Defensive rebound by E. Bledsoe
5:56.0,,,7-11,,M. Morris misses 3-pt shot from 22 ft
5:55.0,Defensive rebound by M. Williams,,7-11,,
5:42.0,Turnover by K. Walker (lost ball; steal by M. Morris),,7-11,,
5:37.0,,,7-13,2,G. Dragic makes 2-pt shot from 1 ft
5:26.0,Charlotte full timeout,,7-13,,
5:26.0,G. Henderson enters the game for P. Hairston,,7-13,,
5:17.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,10-13,,
4:50.0,,,10-13,,M. Morris misses 3-pt shot from 24 ft
4:49.0,,,10-13,,Offensive rebound by E. Bledsoe
4:43.0,,,10-15,2,M. Plumlee makes 2-pt shot from 4 ft (assist by E. Bledsoe)
4:31.0,A. Jefferson misses 2-pt shot from 1 ft (block by M. Plumlee),,10-15,,
4:29.0,,,10-15,,Defensive rebound by G. Dragic
4:20.0,,,10-18,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
4:01.0,K. Walker misses 2-pt shot from 15 ft,,10-18,,
4:00.0,,,10-18,,Defensive rebound by M. Morris
3:36.0,,,10-18,,E. Bledsoe misses 2-pt shot from 5 ft
3:34.0,,,10-18,,Offensive rebound by M. Morris
3:34.0,,,10-20,2,M. Morris makes 2-pt shot at rim
3:17.0,Turnover by G. Henderson (traveling),,10-20,,
3:17.0,G. Neal enters the game for M. Williams,,10-20,,
3:17.0,B. Biyombo enters the game for A. Jefferson,,10-20,,
3:17.0,C. Zeller enters the game for L. Stephenson,,10-20,,
2:57.0,,,10-20,,G. Dragic misses 2-pt shot from 13 ft
2:56.0,Defensive rebound by B. Biyombo,,10-20,,
2:32.0,K. Walker misses 3-pt shot from 23 ft,,10-20,,
2:31.0,,,10-20,,Defensive rebound by M. Plumlee
2:26.0,,,10-20,,Phoenix full timeout
2:26.0,,,10-20,,P. Tucker enters the game for M. Morris
2:26.0,,,10-20,,A. Len enters the game for M. Plumlee
2:26.0,,,10-20,,I. Thomas enters the game for G. Dragic
2:26.0,B. Roberts enters the game for K. Walker,,10-20,,
2:08.0,,,10-22,2,M. Morris makes 2-pt shot from 11 ft
1:52.0,G. Neal makes 2-pt shot from 8 ft,2,12-22,,
1:37.0,,,12-22,,P. Tucker misses 3-pt shot from 23 ft
1:36.0,Defensive rebound by B. Roberts,,12-22,,
1:25.0,B. Roberts misses 2-pt shot from 19 ft,,12-22,,
1:24.0,,,12-22,,Defensive rebound by A. Len
1:18.0,,,12-22,,I. Thomas misses 2-pt shot from 16 ft
1:17.0,Defensive rebound by G. Henderson,,12-22,,
1:00.0,C. Zeller misses 2-pt shot from 1 ft,,12-22,,
1:00.0,,,12-22,,Defensive rebound by E. Bledsoe
0:53.0,,,12-22,,E. Bledsoe misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by B. Biyombo,,12-22,,
0:44.0,G. Neal misses 2-pt shot from 5 ft (block by I. Thomas),,12-22,,
0:43.0,,,12-22,,Defensive rebound by I. Thomas
0:38.0,,,12-22,,Shooting foul by G. Neal (drawn by I. Thomas)
0:38.0,,,12-23,1,I. Thomas makes free throw 1 of 3
0:38.0,,,12-24,1,I. Thomas makes free throw 2 of 3
0:38.0,,,12-25,1,I. Thomas makes free throw 3 of 3
0:27.0,B. Roberts misses 2-pt shot from 16 ft,,12-25,,
0:26.0,Offensive rebound by B. Biyombo,,12-25,,
0:04.0,B. Roberts makes 2-pt shot from 21 ft (assist by G. Neal),2,14-25,,
0:00.0,,,14-28,3,M. Morris makes 3-pt shot from 28 ft (assist by I. Thomas)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,14-28,,G. Green misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by C. Zeller,,14-28,,
11:29.0,G. Neal misses 2-pt shot from 7 ft,,14-28,,
11:29.0,,,14-28,,Defensive rebound by Team
11:29.0,Loose ball foul by B. Biyombo (drawn by P. Tucker),,14-28,,
11:14.0,Personal foul by B. Roberts (drawn by I. Thomas),,14-28,,
11:09.0,,,14-28,,P. Tucker misses 2-pt shot from 8 ft
11:08.0,Defensive rebound by G. Neal,,14-28,,
11:01.0,B. Roberts makes 3-pt shot from 24 ft (assist by G. Neal),3,17-28,,
10:50.0,,,17-28,,Turnover by I. Thomas (traveling)
10:40.0,L. Stephenson misses 3-pt shot from 25 ft,,17-28,,
10:39.0,Offensive rebound by B. Biyombo,,17-28,,
10:38.0,Shooting foul by G. Green (drawn by B. Biyombo),,17-28,,
10:38.0,B. Biyombo makes free throw 1 of 2,1,18-28,,
10:38.0,B. Biyombo makes free throw 2 of 2,1,19-28,,
10:28.0,,,19-28,,Turnover by G. Green (bad pass; steal by G. Neal)
10:25.0,Shooting foul by G. Green (drawn by L. Stephenson),,19-28,,
10:25.0,L. Stephenson makes free throw 1 of 2,1,20-28,,
10:25.0,L. Stephenson makes free throw 2 of 2,1,21-28,,
10:11.0,,,21-28,,G. Green misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by B. Biyombo,,21-28,,
10:00.0,B. Biyombo makes 2-pt shot at rim (assist by L. Stephenson),2,23-28,,
9:40.0,,,23-28,,P. Tucker misses 2-pt shot from 17 ft
9:39.0,Defensive rebound by L. Stephenson,,23-28,,
9:27.0,Shooting foul by A. Len (drawn by B. Biyombo),,23-28,,
9:27.0,B. Biyombo makes free throw 1 of 2,1,24-28,,
9:27.0,B. Biyombo makes free throw 2 of 2,1,25-28,,
9:16.0,,,25-28,,G. Green misses 2-pt shot from 18 ft
9:15.0,,,25-28,,Offensive rebound by A. Tolliver
9:08.0,,,25-28,,Shooting foul by B. Biyombo (drawn by I. Thomas)
9:08.0,,,25-29,1,I. Thomas makes free throw 1 of 2
9:08.0,,,25-30,1,I. Thomas makes free throw 2 of 2
8:48.0,L. Stephenson misses 2-pt shot from 12 ft,,25-30,,
8:47.0,,,25-30,,Defensive rebound by A. Len
8:37.0,,,25-32,2,A. Len makes 2-pt shot from 17 ft (assist by I. Thomas)
8:19.0,C. Zeller misses 2-pt shot from 2 ft,,25-32,,
8:18.0,,,25-32,,Defensive rebound by G. Green
8:06.0,,,25-34,2,I. Thomas makes 2-pt shot from 19 ft
8:00.0,Charlotte full timeout,,25-34,,
8:00.0,M. Williams enters the game for C. Zeller,,25-34,,
7:58.0,L. Stephenson makes 2-pt shot from 1 ft (assist by B. Biyombo),2,27-34,,
