time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Mozgov (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. T. Mozgov (S. Ibaka gains possession)
11:45.0,,,0-2,2,S. Adams makes 2-pt shot from 6 ft (assist by A. Roberson)
11:23.0,A. Afflalo makes 2-pt shot at rim,2,2-2,,
11:07.0,,,2-2,,Shooting foul by T. Mozgov (drawn by S. Adams)
11:07.0,,,2-2,,S. Adams misses free throw 1 of 2
11:07.0,,,2-2,,Offensive rebound by Team
11:07.0,,,2-3,1,S. Adams makes free throw 2 of 2
10:49.0,K. Faried misses 2-pt shot from 2 ft (block by S. Adams),,2-3,,
10:47.0,,,2-3,,Defensive rebound by P. Jones
10:33.0,,,2-5,2,S. Ibaka makes 2-pt shot from 13 ft (assist by P. Jones)
10:21.0,Shooting foul by S. Ibaka (drawn by K. Faried),,2-5,,
10:21.0,K. Faried makes free throw 1 of 2,1,3-5,,
10:21.0,K. Faried misses free throw 2 of 2,,3-5,,
10:21.0,,,3-5,,Defensive rebound by S. Adams
10:01.0,,,3-5,,S. Ibaka misses 2-pt shot from 4 ft
10:00.0,Defensive rebound by T. Mozgov,,3-5,,
9:50.0,,,3-5,,Personal foul by S. Telfair (drawn by T. Lawson)
9:42.0,D. Gallinari misses 2-pt shot from 20 ft,,3-5,,
9:41.0,,,3-5,,Defensive rebound by A. Roberson
9:37.0,,,3-7,2,S. Adams makes 2-pt shot at rim (assist by S. Telfair)
9:31.0,Denver full timeout,,3-7,,
9:19.0,Turnover by T. Mozgov (offensive goaltending),,3-7,,
9:10.0,,,3-7,,P. Jones misses 2-pt shot from 3 ft (block by T. Mozgov)
9:10.0,,,3-7,,Offensive rebound by Team
9:07.0,,,3-10,3,S. Ibaka makes 3-pt shot from 24 ft (assist by A. Roberson)
8:53.0,T. Lawson misses 2-pt shot from 14 ft,,3-10,,
8:53.0,,,3-10,,Defensive rebound by S. Telfair
8:45.0,,,3-12,2,S. Ibaka makes 2-pt shot from 16 ft (assist by A. Roberson)
8:32.0,,,3-12,,Violation by A. Roberson (def goaltending)
8:32.0,T. Mozgov makes 2-pt shot from 4 ft,2,5-12,,
8:16.0,,,5-14,2,S. Telfair makes 2-pt shot from 16 ft
8:04.0,A. Afflalo misses 2-pt shot from 11 ft (block by A. Roberson),,5-14,,
8:03.0,Offensive rebound by K. Faried,,5-14,,
8:02.0,K. Faried misses 2-pt shot from 4 ft,,5-14,,
8:00.0,,,5-14,,Defensive rebound by P. Jones
7:51.0,,,5-14,,Offensive charge foul by S. Ibaka
7:51.0,,,5-14,,Turnover by S. Ibaka (offensive foul)
7:51.0,,,5-14,,N. Collison enters the game for S. Ibaka
7:39.0,T. Mozgov misses 2-pt shot from 17 ft,,5-14,,
7:38.0,Offensive rebound by T. Mozgov,,5-14,,
7:22.0,T. Mozgov makes 2-pt shot at rim (assist by D. Gallinari),2,7-14,,
7:08.0,,,7-14,,Shooting foul by K. Faried (drawn by P. Jones)
7:08.0,,,7-16,2,P. Jones makes 2-pt shot from 5 ft (assist by N. Collison)
7:08.0,,,7-17,1,P. Jones makes free throw 1 of 1
6:47.0,Turnover by T. Lawson (lost ball; steal by S. Telfair),,7-17,,
6:46.0,Personal foul by A. Afflalo (drawn by S. Telfair),,7-17,,
6:31.0,,,7-19,2,S. Adams makes 2-pt shot from 3 ft
6:10.0,T. Mozgov makes 2-pt shot at rim (assist by T. Lawson),2,9-19,,
5:50.0,,,9-19,,S. Adams misses 2-pt shot from 10 ft
5:49.0,Defensive rebound by K. Faried,,9-19,,
5:43.0,Turnover by K. Faried (bad pass; steal by P. Jones),,9-19,,
5:36.0,,,9-19,,Oklahoma City full timeout
5:36.0,W. Chandler enters the game for D. Gallinari,,9-19,,
5:36.0,J. Nurkic enters the game for T. Mozgov,,9-19,,
5:30.0,,,9-19,,P. Jones misses 2-pt shot from 19 ft
5:29.0,Defensive rebound by J. Nurkic,,9-19,,
5:24.0,Offensive foul by J. Nurkic,,9-19,,
5:24.0,Turnover by J. Nurkic (offensive foul),,9-19,,
5:03.0,,,9-19,,Shooting foul by J. Nurkic (drawn by P. Jones)
5:03.0,,,9-20,1,N. Collison makes free throw 1 of 2
5:03.0,,,9-20,,L. Thomas enters the game for P. Jones
5:03.0,,,9-21,1,N. Collison makes free throw 2 of 2
4:43.0,A. Afflalo misses 3-pt shot from 22 ft,,9-21,,
4:42.0,Offensive rebound by K. Faried,,9-21,,
4:40.0,K. Faried makes 2-pt shot from 3 ft,2,11-21,,
4:24.0,Personal foul by T. Lawson (drawn by L. Thomas),,11-21,,
4:24.0,,,11-22,1,L. Thomas makes free throw 1 of 2
4:24.0,,,11-22,,L. Thomas misses free throw 2 of 2
4:23.0,Defensive rebound by K. Faried,,11-22,,
4:14.0,K. Faried makes 2-pt shot from 2 ft (assist by J. Nurkic),2,13-22,,
4:02.0,,,13-24,2,A. Roberson makes 2-pt shot at rim
3:42.0,K. Faried misses 2-pt shot from 16 ft,,13-24,,
3:41.0,,,13-24,,Defensive rebound by L. Thomas
3:32.0,,,13-24,,S. Adams misses 2-pt shot from 7 ft
3:31.0,Defensive rebound by J. Nurkic,,13-24,,
3:22.0,A. Afflalo makes 2-pt shot from 1 ft (assist by T. Lawson),2,15-24,,
3:00.0,,,15-24,,N. Collison misses 2-pt shot from 19 ft
2:59.0,Defensive rebound by W. Chandler,,15-24,,
2:52.0,W. Chandler misses 2-pt shot from 20 ft,,15-24,,
2:51.0,,,15-24,,Defensive rebound by N. Collison
2:33.0,,,15-24,,S. Telfair misses 2-pt shot from 14 ft
2:32.0,Defensive rebound by Team,,15-24,,
2:32.0,,,15-24,,Loose ball foul by S. Adams (drawn by J. Nurkic)
2:32.0,Denver full timeout,,15-24,,
2:32.0,D. Arthur enters the game for K. Faried,,15-24,,
2:32.0,R. Foye enters the game for A. Afflalo,,15-24,,
2:32.0,,,15-24,,K. Perkins enters the game for S. Adams
2:16.0,T. Lawson misses 2-pt shot from 16 ft,,15-24,,
2:15.0,,,15-24,,Defensive rebound by S. Telfair
1:54.0,,,15-24,,S. Telfair misses 2-pt shot from 4 ft (block by J. Nurkic)
1:54.0,,,15-24,,Offensive rebound by Team
1:51.0,,,15-24,,S. Telfair misses 3-pt shot from 22 ft
1:50.0,Defensive rebound by W. Chandler,,15-24,,
1:40.0,J. Nurkic makes 2-pt shot from 1 ft,2,17-24,,
1:29.0,Personal foul by W. Chandler (drawn by L. Thomas),,17-24,,
1:29.0,,,17-25,1,L. Thomas makes free throw 1 of 2
1:29.0,,,17-25,,L. Thomas misses free throw 2 of 2
1:28.0,Defensive rebound by R. Foye,,17-25,,
1:16.0,D. Arthur misses 3-pt shot from 23 ft,,17-25,,
1:15.0,,,17-25,,Defensive rebound by K. Perkins
1:09.0,Personal foul by R. Foye (drawn by A. Roberson),,17-25,,
1:09.0,,,17-26,1,A. Roberson makes free throw 1 of 2
1:09.0,,,17-27,1,A. Roberson makes free throw 2 of 2
0:59.0,W. Chandler misses 2-pt shot from 4 ft,,17-27,,
0:58.0,,,17-27,,Defensive rebound by N. Collison
0:48.0,N. Robinson enters the game for T. Lawson,,17-27,,
0:48.0,Personal foul by N. Robinson (drawn by S. Telfair),,17-27,,
0:48.0,,,17-27,,S. Telfair misses free throw 1 of 2
0:48.0,,,17-27,,Offensive rebound by Team
0:48.0,,,17-28,1,S. Telfair makes free throw 2 of 2
0:36.0,R. Foye misses 2-pt shot from 18 ft,,17-28,,
0:35.0,,,17-28,,Defensive rebound by Team
0:18.0,Personal foul by J. Nurkic (drawn by K. Perkins),,17-28,,
0:18.0,,,17-28,,K. Perkins misses free throw 1 of 2
0:18.0,,,17-28,,Offensive rebound by Team
0:18.0,,,17-29,1,K. Perkins makes free throw 2 of 2
0:05.0,,,17-29,,Personal block foul by S. Telfair (drawn by N. Robinson)
0:05.0,,,17-29,,P. Jones enters the game for S. Telfair
0:02.0,J. Nurkic misses 2-pt shot from 3 ft,,17-29,,
0:01.0,,,17-29,,Defensive rebound by K. Perkins
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,W. Chandler misses 3-pt shot from 22 ft,,17-29,,
11:50.0,,,17-29,,Defensive rebound by L. Thomas
11:40.0,,,17-29,,L. Thomas misses 2-pt shot from 2 ft (block by J. McGee)
11:38.0,Defensive rebound by N. Robinson,,17-29,,
11:34.0,Turnover by N. Robinson (bad pass),,17-29,,
11:23.0,,,17-29,,K. Perkins misses 2-pt shot from 2 ft (block by J. McGee)
11:22.0,Defensive rebound by R. Foye,,17-29,,
11:17.0,R. Foye misses 3-pt shot from 24 ft,,17-29,,
11:15.0,,,17-29,,Defensive rebound by L. Thomas
11:06.0,,,17-29,,L. Thomas misses 2-pt shot from 17 ft
11:05.0,Defensive rebound by W. Chandler,,17-29,,
10:56.0,D. Arthur misses 2-pt shot from 9 ft,,17-29,,
10:55.0,,,17-29,,Defensive rebound by K. Perkins
10:34.0,,,17-29,,N. Collison misses 3-pt shot from 23 ft
10:33.0,,,17-29,,Offensive rebound by L. Thomas
10:31.0,,,17-29,,Shooting foul by D. Arthur (drawn by L. Thomas)
10:31.0,,,17-30,1,L. Thomas makes free throw 1 of 2
10:31.0,,,17-30,,L. Thomas misses free throw 2 of 2
10:30.0,Defensive rebound by W. Chandler,,17-30,,
10:24.0,W. Chandler misses 2-pt shot from 3 ft,,17-30,,
10:23.0,Offensive rebound by D. Arthur,,17-30,,
10:23.0,D. Arthur misses 2-pt shot from 2 ft,,17-30,,
10:21.0,,,17-30,,Defensive rebound by L. Thomas
10:08.0,,,17-32,2,P. Jones makes 2-pt shot from 19 ft (assist by A. Roberson)
9:44.0,,,17-32,,Personal foul by A. Roberson (drawn by N. Robinson)
9:29.0,W. Chandler misses 3-pt shot from 24 ft,,17-32,,
9:28.0,,,17-32,,Defensive rebound by N. Collison
9:15.0,,,17-32,,Turnover by L. Thomas (traveling)
9:01.0,D. Arthur misses 2-pt shot from 17 ft,,17-32,,
9:00.0,,,17-32,,Defensive rebound by K. Perkins
