time,Golden State,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Vucevic (D. Green gains possession),,,,Jump ball: A. Bogut vs. N. Vucevic (D. Green gains possession)
11:42.0,H. Barnes makes 2-pt shot at rim (assist by A. Bogut),2,2-0,,
11:23.0,,,2-0,,Turnover by V. Oladipo (bad pass; steal by A. Bogut)
11:19.0,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry),2,4-0,,
11:03.0,,,4-0,,V. Oladipo misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by H. Barnes,,4-0,,
10:49.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,6-0,,
10:34.0,,,6-0,,E. Fournier misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by K. Thompson,,6-0,,
10:28.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,8-0,,
10:15.0,Personal foul by A. Bogut (drawn by N. Vucevic),,8-0,,
10:05.0,,,8-0,,V. Oladipo misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by A. Bogut,,8-0,,
9:55.0,K. Thompson makes 2-pt shot from 18 ft (assist by A. Bogut),2,10-0,,
9:48.0,,,10-0,,Orlando full timeout
9:39.0,,,10-2,2,E. Fournier makes 2-pt shot from 2 ft
9:27.0,K. Thompson misses 2-pt shot from 19 ft,,10-2,,
9:26.0,,,10-2,,Defensive rebound by T. Harris
9:18.0,,,10-4,2,T. Harris makes 2-pt shot from 6 ft
9:08.0,D. Green misses 3-pt shot from 26 ft,,10-4,,
9:07.0,,,10-4,,Defensive rebound by N. Vucevic
8:50.0,,,10-6,2,C. Frye makes 2-pt shot from 16 ft (assist by N. Vucevic)
8:23.0,S. Curry makes 2-pt shot from 9 ft (assist by A. Bogut),2,12-6,,
8:08.0,,,12-6,,N. Vucevic misses 2-pt shot from 17 ft
8:07.0,Defensive rebound by A. Bogut,,12-6,,
7:58.0,Turnover by H. Barnes (bad pass),,12-6,,
7:40.0,,,12-6,,N. Vucevic misses 2-pt shot from 16 ft
7:39.0,Defensive rebound by H. Barnes,,12-6,,
7:38.0,,,12-6,,Personal foul by E. Fournier (drawn by H. Barnes)
7:18.0,K. Thompson misses 2-pt shot from 5 ft,,12-6,,
7:17.0,Offensive rebound by A. Bogut,,12-6,,
7:17.0,A. Bogut misses 2-pt shot at rim,,12-6,,
7:14.0,,,12-6,,Defensive rebound by N. Vucevic
6:57.0,,,12-6,,C. Frye misses 2-pt shot from 6 ft
6:56.0,,,12-6,,Offensive rebound by N. Vucevic
6:56.0,,,12-6,,N. Vucevic misses 2-pt shot from 1 ft
6:54.0,Defensive rebound by A. Bogut,,12-6,,
6:51.0,Turnover by K. Thompson (bad pass),,12-6,,
6:33.0,,,12-6,,Turnover by E. Fournier (traveling)
6:24.0,S. Curry makes 3-pt shot from 28 ft,3,15-6,,
6:06.0,,,15-6,,V. Oladipo misses 2-pt shot from 8 ft
6:05.0,,,15-6,,Offensive rebound by N. Vucevic
6:05.0,,,15-8,2,N. Vucevic makes 2-pt shot at rim
5:42.0,K. Thompson misses 2-pt shot from 11 ft,,15-8,,
5:40.0,,,15-8,,Defensive rebound by C. Frye
5:32.0,,,15-8,,V. Oladipo misses 2-pt shot from 2 ft
5:30.0,,,15-8,,Offensive rebound by N. Vucevic
5:30.0,,,15-10,2,N. Vucevic makes 2-pt shot at rim
5:18.0,A. Bogut misses 2-pt shot from 9 ft,,15-10,,
5:17.0,Offensive rebound by S. Curry,,15-10,,
5:17.0,,,15-10,,Personal foul by V. Oladipo (drawn by S. Curry)
5:17.0,A. Iguodala enters the game for H. Barnes,,15-10,,
5:17.0,,,15-10,,W. Green enters the game for N. Vucevic
5:17.0,,,15-10,,E. Payton enters the game for E. Fournier
5:11.0,S. Curry misses 2-pt shot from 2 ft,,15-10,,
5:09.0,Offensive rebound by A. Bogut,,15-10,,
5:06.0,K. Thompson misses 3-pt shot from 26 ft,,15-10,,
5:04.0,Offensive rebound by D. Green,,15-10,,
5:00.0,Turnover by D. Green (bad pass),,15-10,,
4:46.0,,,15-10,,V. Oladipo misses 2-pt shot from 6 ft (block by K. Thompson)
4:43.0,,,15-10,,Offensive rebound by C. Frye
4:40.0,,,15-10,,C. Frye misses 3-pt shot from 25 ft
4:39.0,,,15-10,,Offensive rebound by T. Harris
4:36.0,,,15-10,,W. Green misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by D. Green,,15-10,,
4:19.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,18-10,,
3:59.0,,,18-10,,V. Oladipo misses 2-pt shot from 9 ft
3:57.0,Defensive rebound by K. Thompson,,18-10,,
3:48.0,D. Green misses 3-pt shot from 25 ft,,18-10,,
3:47.0,,,18-10,,Defensive rebound by V. Oladipo
3:37.0,,,18-10,,Shooting foul by D. Green (drawn by V. Oladipo)
3:37.0,,,18-11,1,V. Oladipo makes free throw 1 of 2
3:37.0,B. Rush enters the game for K. Thompson,,18-11,,
3:37.0,M. Speights enters the game for A. Bogut,,18-11,,
3:37.0,Golden State full timeout,,18-11,,
3:37.0,,,18-12,1,V. Oladipo makes free throw 2 of 2
3:18.0,S. Curry makes 3-pt shot from 23 ft (assist by B. Rush),3,21-12,,
2:57.0,,,21-15,3,V. Oladipo makes 3-pt shot from 25 ft (assist by T. Harris)
2:45.0,M. Speights makes 2-pt shot from 21 ft (assist by S. Curry),2,23-15,,
2:27.0,,,23-15,,Shooting foul by D. Green (drawn by T. Harris)
2:27.0,,,23-15,,T. Harris misses free throw 1 of 2
2:27.0,,,23-15,,Offensive rebound by Team
2:27.0,H. Barnes enters the game for D. Green,,23-15,,
2:27.0,,,23-15,,M. Harkless enters the game for V. Oladipo
2:27.0,,,23-15,,N. Vucevic enters the game for C. Frye
2:27.0,,,23-16,1,T. Harris makes free throw 2 of 2
2:15.0,S. Curry makes 3-pt shot from 26 ft,3,26-16,,
2:08.0,Personal foul by S. Curry (drawn by E. Payton),,26-16,,
2:01.0,,,26-18,2,N. Vucevic makes 2-pt shot from 12 ft
1:51.0,,,26-18,,Personal foul by E. Payton (drawn by S. Curry)
1:51.0,S. Livingston enters the game for S. Curry,,26-18,,
1:41.0,S. Livingston misses 2-pt shot from 1 ft,,26-18,,
1:40.0,Offensive rebound by H. Barnes,,26-18,,
1:40.0,H. Barnes makes 2-pt shot at rim,2,28-18,,
1:34.0,,,28-18,,Orlando full timeout
1:19.0,,,28-21,3,E. Payton makes 3-pt shot from 25 ft (assist by W. Green)
1:03.0,M. Speights misses 2-pt shot from 18 ft,,28-21,,
1:02.0,,,28-21,,Defensive rebound by T. Harris
0:54.0,,,28-23,2,T. Harris makes 2-pt shot from 19 ft
0:40.0,,,28-23,,Personal foul by W. Green (drawn by A. Iguodala)
0:40.0,A. Iguodala misses free throw 1 of 2,,28-23,,
0:40.0,Offensive rebound by Team,,28-23,,
0:40.0,A. Iguodala makes free throw 2 of 2,1,29-23,,
0:28.0,,,29-23,,Shooting foul by H. Barnes (drawn by E. Payton)
0:28.0,,,29-23,,E. Payton misses free throw 1 of 2
0:28.0,,,29-23,,Offensive rebound by Team
0:28.0,,,29-24,1,E. Payton makes free throw 2 of 2
0:09.0,S. Livingston makes 2-pt shot from 8 ft (assist by H. Barnes),2,31-24,,
0:01.0,,,31-26,2,E. Payton makes 2-pt shot from 2 ft
0:01.0,,,31-26,,Shooting foul by B. Rush (drawn by E. Payton)
0:01.0,,,31-27,1,E. Payton makes free throw 1 of 1
