time,LA Clippers,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. N. Vucevic (C. Paul gains possession),,,,Jump ball: D. Jordan vs. N. Vucevic (C. Paul gains possession)
11:44.0,B. Griffin misses 2-pt shot from 21 ft,,0-0,,
11:43.0,Offensive rebound by D. Jordan,,0-0,,
11:26.0,,,0-0,,Personal foul by V. Oladipo (drawn by C. Paul)
11:22.0,C. Paul makes 2-pt shot from 17 ft,2,2-0,,
11:07.0,,,2-0,,C. Frye misses 2-pt shot from 21 ft
11:06.0,Defensive rebound by D. Jordan,,2-0,,
11:00.0,B. Griffin misses 2-pt shot from 3 ft,,2-0,,
10:59.0,,,2-0,,Defensive rebound by Team
10:43.0,,,2-2,2,N. Vucevic makes 2-pt shot from 11 ft (assist by W. Green)
10:18.0,J. Redick misses 2-pt shot from 19 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by N. Vucevic
10:05.0,,,2-2,,Turnover by N. Vucevic (bad pass; steal by M. Barnes)
9:58.0,J. Redick makes 3-pt shot from 25 ft,3,5-2,,
9:44.0,,,5-2,,N. Vucevic misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by D. Jordan,,5-2,,
9:38.0,M. Barnes misses 2-pt shot from 6 ft (block by C. Frye),,5-2,,
9:37.0,,,5-2,,Defensive rebound by C. Frye
9:37.0,Personal foul by J. Redick (drawn by T. Harris),,5-2,,
9:21.0,,,5-2,,W. Green misses 3-pt shot from 23 ft
9:20.0,Defensive rebound by D. Jordan,,5-2,,
9:02.0,M. Barnes makes 3-pt shot from 25 ft (assist by J. Redick),3,8-2,,
8:46.0,,,8-2,,N. Vucevic misses 2-pt shot from 18 ft
8:45.0,,,8-2,,Offensive rebound by T. Harris
8:43.0,,,8-4,2,T. Harris makes 2-pt shot from 1 ft
8:36.0,D. Jordan misses 2-pt shot from 1 ft,,8-4,,
8:34.0,,,8-4,,Defensive rebound by C. Frye
8:25.0,,,8-6,2,T. Harris makes 2-pt shot from 21 ft (assist by V. Oladipo)
8:13.0,Technical foul by B. Griffin,,8-6,,
8:13.0,,,8-7,1,C. Frye makes technical free throw
8:04.0,C. Paul makes 2-pt shot from 20 ft,2,10-7,,
7:51.0,,,10-7,,C. Frye misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by M. Barnes,,10-7,,
7:32.0,B. Griffin misses 2-pt shot from 21 ft,,10-7,,
7:30.0,,,10-7,,Defensive rebound by N. Vucevic
7:07.0,Violation by M. Barnes (def goaltending),,10-7,,
7:07.0,,,10-9,2,N. Vucevic makes 2-pt shot from 12 ft
6:55.0,J. Redick misses 2-pt shot from 19 ft,,10-9,,
6:54.0,,,10-9,,Defensive rebound by N. Vucevic
6:46.0,,,10-9,,V. Oladipo misses 2-pt shot from 2 ft
6:44.0,Defensive rebound by D. Jordan,,10-9,,
6:34.0,B. Griffin makes 2-pt shot from 2 ft (assist by M. Barnes),2,12-9,,
6:26.0,,,12-9,,Turnover by C. Frye (bad pass)
6:26.0,LA Clippers full timeout,,12-9,,
6:13.0,J. Redick misses 2-pt shot from 19 ft,,12-9,,
6:12.0,,,12-9,,Defensive rebound by N. Vucevic
5:54.0,,,12-9,,T. Harris misses 2-pt shot from 3 ft (block by D. Jordan)
5:52.0,Defensive rebound by M. Barnes,,12-9,,
5:46.0,M. Barnes misses 2-pt shot from 6 ft,,12-9,,
5:45.0,,,12-9,,Defensive rebound by V. Oladipo
5:45.0,,,12-9,,Turnover by V. Oladipo (dbl dribble)
5:34.0,C. Paul misses 3-pt shot from 25 ft,,12-9,,
5:33.0,,,12-9,,Defensive rebound by T. Harris
5:10.0,,,12-9,,V. Oladipo misses 2-pt shot from 1 ft (block by D. Jordan)
5:07.0,Defensive rebound by D. Jordan,,12-9,,
5:07.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,14-9,,
5:07.0,Shooting foul by C. Frye (drawn by B. Griffin),,14-9,,
5:07.0,,,14-9,,M. Harkless enters the game for T. Harris
5:07.0,,,14-9,,L. Ridnour enters the game for W. Green
5:07.0,B. Griffin makes free throw 1 of 1,1,15-9,,
4:55.0,,,15-9,,V. Oladipo misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by D. Jordan,,15-9,,
4:39.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,18-9,,
4:28.0,Personal foul by D. Jordan (drawn by N. Vucevic),,18-9,,
4:28.0,J. Crawford enters the game for J. Redick,,18-9,,
