time,Philadelphia,pts.away,score,pts.home,Brooklyn
1:29.0,,,16-22,,J. Jack misses 2-pt shot from 13 ft
1:28.0,,,16-22,,Offensive rebound by B. Bogdanovic
1:28.0,,,16-22,,Shooting foul by K. McDaniels (drawn by B. Bogdanovic)
1:28.0,,,16-22,,B. Bogdanovic misses free throw 1 of 2
1:28.0,,,16-22,,Offensive rebound by Team
1:28.0,,,16-22,,B. Bogdanovic misses free throw 2 of 2
1:27.0,Defensive rebound by K. McDaniels,,16-22,,
1:09.0,A. Shved misses 2-pt shot from 2 ft (block by C. Jefferson),,16-22,,
1:08.0,Offensive rebound by Team,,16-22,,
1:02.0,Turnover by T. Wroten (bad pass; steal by M. Plumlee),,16-22,,
0:53.0,,,16-22,,J. Jack misses 2-pt shot from 17 ft
0:51.0,,,16-22,,Offensive rebound by C. Jefferson
0:38.0,,,16-22,,C. Jefferson misses 2-pt shot from 19 ft
0:37.0,Defensive rebound by T. Wroten,,16-22,,
0:32.0,Shooting foul by B. Bogdanovic (drawn by T. Wroten),,16-22,,
0:32.0,T. Wroten makes free throw 1 of 2,1,17-22,,
0:32.0,T. Wroten makes free throw 2 of 2,1,18-22,,
0:11.0,,,18-22,,A. Anderson misses 3-pt shot from 22 ft
0:10.0,Defensive rebound by T. Wroten,,18-22,,
0:01.0,Turnover by T. Wroten (bad pass; steal by C. Jefferson),,18-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,18-22,,Turnover by C. Jefferson (bad pass; steal by K. McDaniels)
11:32.0,K. McDaniels misses 2-pt shot from 2 ft (block by C. Jefferson),,18-22,,
11:31.0,,,18-22,,Defensive rebound by A. Anderson
11:18.0,,,18-24,2,B. Bogdanovic makes 2-pt shot from 14 ft
11:09.0,Turnover by H. Sims (bad pass; steal by B. Bogdanovic),,18-24,,
11:04.0,,,18-26,2,B. Bogdanovic makes 2-pt shot from 1 ft
10:57.0,M. Carter-Williams enters the game for A. Shved,,18-26,,
10:50.0,,,18-26,,Personal foul by A. Anderson (drawn by M. Carter-Williams)
10:50.0,N. Noel enters the game for H. Sims,,18-26,,
10:50.0,L. Mbah a Moute enters the game for J. Grant,,18-26,,
10:37.0,T. Wroten misses 2-pt shot from 4 ft,,18-26,,
10:36.0,,,18-26,,Defensive rebound by J. Jack
10:24.0,,,18-28,2,C. Jefferson makes 2-pt shot from 7 ft (assist by J. Jack)
10:04.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,21-28,,
9:53.0,R. Covington enters the game for T. Wroten,,21-28,,
9:53.0,H. Thompson enters the game for K. McDaniels,,21-28,,
9:38.0,,,21-28,,B. Bogdanovic misses 3-pt shot from 24 ft
9:37.0,Defensive rebound by L. Mbah a Moute,,21-28,,
9:30.0,R. Covington makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,24-28,,
9:10.0,,,24-28,,Turnover by B. Bogdanovic (lost ball; steal by R. Covington)
9:07.0,Shooting foul by J. Jack (drawn by L. Mbah a Moute),,24-28,,
9:07.0,L. Mbah a Moute makes free throw 1 of 2,1,25-28,,
9:07.0,,,25-28,,J. Johnson enters the game for B. Bogdanovic
9:07.0,L. Mbah a Moute makes free throw 2 of 2,1,26-28,,
8:59.0,,,26-30,2,C. Jefferson makes 2-pt shot at rim (assist by A. Anderson)
8:35.0,N. Noel misses 2-pt shot from 2 ft,,26-30,,
8:34.0,,,26-30,,Defensive rebound by C. Jefferson
8:13.0,,,26-30,,Turnover by A. Anderson (lost ball; steal by M. Carter-Williams)
8:08.0,Philadelphia full timeout,,26-30,,
8:00.0,Offensive foul by N. Noel,,26-30,,
8:00.0,Turnover by N. Noel (offensive foul),,26-30,,
7:43.0,,,26-30,,J. Jack misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by R. Covington,,26-30,,
7:34.0,R. Covington makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,29-30,,
7:09.0,,,29-32,2,J. Johnson makes 2-pt shot from 15 ft
