time,Philadelphia,pts.away,score,pts.home,Brooklyn
2:48.0,,,65-80,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams)
2:46.0,Philadelphia full timeout,,65-80,,
2:46.0,J. Grant enters the game for H. Sims,,65-80,,
2:46.0,K. McDaniels enters the game for L. Mbah a Moute,,65-80,,
2:28.0,H. Thompson makes 2-pt shot from 2 ft,2,67-80,,
2:06.0,,,67-80,,Turnover by A. Anderson (traveling)
1:49.0,M. Carter-Williams misses 3-pt shot from 24 ft,,67-80,,
1:48.0,,,67-80,,Defensive rebound by S. Karasev
1:47.0,Personal foul by R. Covington (drawn by S. Karasev),,67-80,,
1:47.0,,,67-81,1,S. Karasev makes free throw 1 of 2
1:47.0,A. Shved enters the game for M. Carter-Williams,,67-81,,
1:47.0,T. Wroten enters the game for R. Covington,,67-81,,
1:47.0,J. Sampson enters the game for H. Thompson,,67-81,,
1:47.0,,,67-82,1,S. Karasev makes free throw 2 of 2
1:25.0,J. Grant misses 3-pt shot from 24 ft,,67-82,,
1:24.0,,,67-82,,Defensive rebound by A. Anderson
1:17.0,,,67-82,,Brooklyn full timeout
1:17.0,,,67-82,,Violation by Team (delay of game)
1:17.0,,,67-82,,B. Davies enters the game for A. Anderson
1:17.0,,,67-82,,M. Brown enters the game for J. Johnson
1:17.0,,,67-82,,C. Jefferson enters the game for M. Plumlee
1:17.0,,,67-82,,D. Morris enters the game for D. Williams
1:11.0,,,67-84,2,B. Davies makes 2-pt shot from 1 ft (assist by D. Morris)
0:54.0,A. Shved misses 2-pt shot from 2 ft,,67-84,,
0:53.0,,,67-84,,Defensive rebound by M. Brown
0:48.0,,,67-84,,C. Jefferson misses 2-pt shot from 3 ft (block by K. McDaniels)
0:46.0,Defensive rebound by J. Sampson,,67-84,,
0:41.0,T. Wroten makes 3-pt shot from 24 ft (assist by J. Sampson),3,70-84,,
0:22.0,,,70-84,,D. Morris misses 2-pt shot from 1 ft
0:21.0,,,70-84,,Offensive rebound by B. Davies
0:21.0,,,70-84,,Shooting foul by K. McDaniels (drawn by B. Davies)
0:21.0,,,70-85,1,B. Davies makes free throw 1 of 2
0:21.0,,,70-86,1,B. Davies makes free throw 2 of 2
0:07.0,Turnover by T. Wroten (lost ball; steal by B. Davies),,70-86,,
0:04.0,,,70-88,2,D. Morris makes 2-pt shot at rim (assist by B. Davies)
0:00.0,End of 4th quarter,,,,End of 4th quarter
