time,Minnesota,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. R. Gobert (Z. LaVine gains possession),,,,Jump ball: G. Dieng vs. R. Gobert (Z. LaVine gains possession)
11:45.0,A. Wiggins misses 2-pt shot from 9 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by R. Gobert
11:31.0,,,0-0,,R. Gobert misses 2-pt shot from 14 ft
11:30.0,,,0-0,,Offensive rebound by D. Favors
11:30.0,,,0-2,2,D. Favors makes 2-pt shot from 2 ft
11:07.0,G. Dieng misses 2-pt shot from 6 ft,,0-2,,
11:07.0,Offensive rebound by Team,,0-2,,
11:07.0,,,0-2,,Loose ball foul by D. Exum (drawn by A. Wiggins)
10:57.0,Shooting foul by D. Exum (drawn by Z. LaVine),,0-2,,
10:57.0,Z. LaVine makes free throw 1 of 2,1,1-2,,
10:57.0,,,1-2,,T. Burke enters the game for D. Exum
10:57.0,Z. LaVine makes free throw 2 of 2,1,2-2,,
10:38.0,,,2-2,,D. Favors misses 2-pt shot from 17 ft
10:37.0,Defensive rebound by A. Payne,,2-2,,
10:22.0,A. Payne misses 2-pt shot from 18 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by R. Gobert
10:03.0,,,2-2,,T. Burke misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by A. Wiggins,,2-2,,
9:43.0,Z. LaVine makes 3-pt shot from 24 ft (assist by L. Brown),3,5-2,,
9:19.0,,,5-2,,T. Burke misses 3-pt shot from 22 ft
9:19.0,Defensive rebound by Z. LaVine,,5-2,,
9:13.0,Turnover by Z. LaVine (lost ball; steal by R. Gobert),,5-2,,
9:05.0,,,5-2,,Turnover by T. Burke (bad pass; steal by G. Dieng)
8:50.0,A. Wiggins misses 2-pt shot from 2 ft (block by D. Favors),,5-2,,
8:49.0,,,5-2,,Defensive rebound by D. Favors
8:35.0,,,5-2,,Turnover by T. Burke (bad pass)
