time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. T. Zeller (P. Antic gains possession),,,,Jump ball: P. Millsap vs. T. Zeller (P. Antic gains possession)
11:38.0,P. Millsap misses 2-pt shot from 4 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by E. Turner
11:25.0,,,0-0,,T. Zeller misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by T. Sefolosha,,0-0,,
11:20.0,P. Millsap misses 2-pt shot from 1 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by J. Sullinger
11:13.0,,,0-0,,J. Sullinger misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by P. Antic,,0-0,,
10:53.0,P. Antic misses 3-pt shot from 25 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by J. Sullinger
10:38.0,,,0-2,2,A. Bradley makes 2-pt shot from 3 ft (assist by T. Zeller)
10:20.0,P. Antic makes 2-pt shot from 21 ft (assist by J. Teague),2,2-2,,
9:58.0,,,2-2,,Turnover by E. Turner (lost ball)
9:48.0,J. Teague misses 3-pt shot from 24 ft,,2-2,,
9:47.0,Offensive rebound by P. Antic,,2-2,,
9:44.0,J. Teague makes 2-pt shot from 2 ft (assist by P. Antic),2,4-2,,
9:31.0,,,4-5,3,A. Bradley makes 3-pt shot from 24 ft (assist by E. Turner)
9:22.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague),2,6-5,,
9:22.0,,,6-5,,Boston full timeout
9:07.0,,,6-5,,J. Sullinger misses 2-pt shot from 4 ft
9:06.0,Defensive rebound by P. Millsap,,6-5,,
8:48.0,P. Antic makes 2-pt shot from 16 ft (assist by P. Millsap),2,8-5,,
8:40.0,,,8-5,,Turnover by T. Zeller (bad pass; steal by T. Sefolosha)
8:36.0,T. Sefolosha makes 2-pt shot at rim,2,10-5,,
8:16.0,,,10-7,2,J. Sullinger makes 2-pt shot from 4 ft
7:56.0,J. Teague makes 2-pt shot from 19 ft,2,12-7,,
7:37.0,,,12-7,,E. Turner misses 3-pt shot from 22 ft
7:34.0,Defensive rebound by P. Millsap,,12-7,,
7:22.0,D. Carroll makes 2-pt shot from 8 ft,2,14-7,,
6:56.0,,,14-7,,E. Turner misses 3-pt shot from 30 ft (block by T. Sefolosha)
6:55.0,Defensive rebound by P. Millsap,,14-7,,
6:51.0,D. Carroll misses 2-pt shot from 1 ft,,14-7,,
6:50.0,,,14-7,,Defensive rebound by J. Crowder
6:41.0,,,14-7,,T. Zeller misses 2-pt shot from 3 ft
6:40.0,,,14-7,,Offensive rebound by J. Sullinger
6:40.0,,,14-7,,J. Sullinger misses 2-pt shot from 1 ft
6:38.0,,,14-7,,Offensive rebound by J. Sullinger
6:34.0,Personal foul by P. Antic (drawn by A. Bradley),,14-7,,
6:34.0,,,14-7,,M. Thornton enters the game for J. Crowder
6:34.0,,,14-7,,K. Olynyk enters the game for T. Zeller
6:19.0,,,14-7,,E. Turner misses 2-pt shot from 7 ft
6:17.0,,,14-7,,Offensive rebound by J. Sullinger
6:04.0,,,14-10,3,M. Thornton makes 3-pt shot from 25 ft (assist by E. Turner)
5:35.0,T. Sefolosha misses 2-pt shot from 17 ft,,14-10,,
5:34.0,,,14-10,,Defensive rebound by M. Thornton
5:18.0,Personal foul by P. Millsap (drawn by J. Sullinger),,14-10,,
5:18.0,M. Muscala enters the game for P. Antic,,14-10,,
5:18.0,K. Bazemore enters the game for T. Sefolosha,,14-10,,
