time,Phoenix,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. M. Plumlee (P. Tucker gains possession),,,,Jump ball: T. Black vs. M. Plumlee (P. Tucker gains possession)
11:39.0,M. Morris misses 2-pt shot from 14 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by J. Harden
11:32.0,,,0-3,3,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden)
11:11.0,P. Tucker makes 2-pt shot from 16 ft (assist by G. Dragic),2,2-3,,
10:50.0,,,2-5,2,D. Motiejunas makes 2-pt shot from 4 ft
10:27.0,E. Bledsoe makes 2-pt shot from 1 ft,2,4-5,,
10:09.0,,,4-8,3,J. Terry makes 3-pt shot from 24 ft (assist by D. Motiejunas)
9:52.0,M. Morris misses 3-pt shot from 24 ft,,4-8,,
9:51.0,,,4-8,,Defensive rebound by T. Ariza
9:36.0,,,4-10,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by J. Harden)
9:23.0,M. Morris misses 2-pt shot from 10 ft,,4-10,,
9:21.0,,,4-10,,Defensive rebound by J. Harden
9:18.0,,,4-10,,J. Harden misses 2-pt shot from 3 ft (block by E. Bledsoe)
9:16.0,,,4-10,,Offensive rebound by T. Black
9:16.0,,,4-12,2,T. Black makes 2-pt shot from 3 ft
9:11.0,Phoenix full timeout,,4-12,,
9:02.0,,,4-12,,Violation by T. Black (def goaltending)
9:02.0,M. Plumlee makes 2-pt shot from 8 ft (assist by E. Bledsoe),2,6-12,,
8:51.0,,,6-12,,J. Harden misses 3-pt shot from 27 ft
8:49.0,Defensive rebound by E. Bledsoe,,6-12,,
8:41.0,M. Morris misses 3-pt shot from 24 ft,,6-12,,
8:40.0,Offensive rebound by M. Plumlee,,6-12,,
8:29.0,M. Morris misses 2-pt shot from 4 ft (block by J. Harden),,6-12,,
8:27.0,,,6-12,,Defensive rebound by T. Black
8:20.0,,,6-12,,T. Ariza misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by M. Morris,,6-12,,
8:16.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by M. Morris),2,8-12,,
8:04.0,,,8-12,,Turnover by J. Terry (bad pass; steal by M. Plumlee)
8:01.0,Shooting foul by D. Motiejunas (drawn by P. Tucker),,8-12,,
8:01.0,P. Tucker makes free throw 1 of 2,1,9-12,,
8:01.0,P. Tucker makes free throw 2 of 2,1,10-12,,
7:44.0,,,10-14,2,J. Harden makes 2-pt shot from 14 ft
7:22.0,M. Morris misses 2-pt shot from 11 ft,,10-14,,
7:22.0,,,10-14,,Defensive rebound by J. Harden
7:05.0,,,10-16,2,J. Terry makes 2-pt shot at rim
6:46.0,P. Tucker misses 3-pt shot from 22 ft,,10-16,,
6:45.0,,,10-16,,Defensive rebound by T. Black
6:36.0,,,10-16,,J. Harden misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by M. Morris,,10-16,,
6:21.0,G. Dragic misses 3-pt shot from 25 ft,,10-16,,
6:20.0,,,10-16,,Defensive rebound by D. Motiejunas
6:03.0,Personal foul by P. Tucker (drawn by D. Motiejunas),,10-16,,
6:03.0,A. Len enters the game for M. Plumlee,,10-16,,
6:03.0,,,10-16,,J. Dorsey enters the game for D. Motiejunas
5:51.0,,,10-18,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
5:39.0,M. Morris misses 2-pt shot from 20 ft,,10-18,,
5:38.0,,,10-18,,Defensive rebound by J. Harden
5:29.0,,,10-18,,T. Ariza misses 2-pt shot from 3 ft
5:28.0,,,10-18,,Offensive rebound by T. Black
5:26.0,,,10-18,,T. Black misses 2-pt shot at rim (block by A. Len)
5:24.0,,,10-18,,Offensive rebound by T. Black
5:14.0,,,10-18,,T. Ariza misses 2-pt shot from 2 ft
5:13.0,,,10-18,,Offensive rebound by T. Black
5:13.0,,,10-20,2,T. Black makes 2-pt shot from 1 ft
5:02.0,Turnover by E. Bledsoe (lost ball),,10-20,,
5:02.0,M. Morris enters the game for M. Morris,,10-20,,
5:02.0,G. Green enters the game for G. Dragic,,10-20,,
5:02.0,,,10-20,,P. Beverley enters the game for J. Terry
4:46.0,,,10-20,,Turnover by T. Ariza (bad pass)
4:46.0,,,10-20,,F. Garcia enters the game for T. Black
