time,Boston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. T. Zeller (H. Walker gains possession),,,,Jump ball: H. Whiteside vs. T. Zeller (H. Walker gains possession)
11:40.0,,,0-2,2,H. Whiteside makes 2-pt shot from 1 ft
11:22.0,M. Smart makes 3-pt shot from 23 ft (assist by B. Bass),3,3-2,,
10:56.0,,,3-2,,H. Whiteside misses 2-pt shot from 14 ft
10:55.0,Defensive rebound by M. Smart,,3-2,,
10:50.0,T. Zeller makes 2-pt shot at rim (assist by M. Smart),2,5-2,,
10:29.0,,,5-2,,D. Wade misses 2-pt shot from 9 ft
10:28.0,Defensive rebound by E. Turner,,5-2,,
10:12.0,J. Crowder misses 2-pt shot from 21 ft,,5-2,,
10:11.0,Offensive rebound by T. Zeller,,5-2,,
10:08.0,M. Smart misses 3-pt shot from 25 ft,,5-2,,
10:07.0,,,5-2,,Defensive rebound by H. Whiteside
9:49.0,,,5-2,,H. Walker misses 3-pt shot from 23 ft
9:48.0,Defensive rebound by M. Smart,,5-2,,
9:33.0,T. Zeller makes 2-pt shot from 17 ft (assist by E. Turner),2,7-2,,
9:19.0,,,7-2,,Turnover by M. Chalmers (bad pass; steal by J. Crowder)
9:16.0,Turnover by J. Crowder (offensive foul),,7-2,,
9:16.0,Offensive charge foul by J. Crowder,,7-2,,
9:01.0,,,7-4,2,D. Wade makes 2-pt shot from 17 ft (assist by M. Chalmers)
8:42.0,E. Turner makes 2-pt shot from 8 ft,2,9-4,,
8:30.0,,,9-6,2,D. Wade makes 2-pt shot from 15 ft
8:17.0,T. Zeller misses 2-pt shot from 19 ft,,9-6,,
8:16.0,,,9-6,,Defensive rebound by H. Walker
8:03.0,,,9-6,,D. Wade misses 2-pt shot from 20 ft
8:02.0,Defensive rebound by J. Crowder,,9-6,,
7:55.0,Shooting foul by H. Whiteside (drawn by J. Crowder),,9-6,,
7:55.0,J. Crowder makes free throw 1 of 2,1,10-6,,
7:55.0,J. Crowder makes free throw 2 of 2,1,11-6,,
7:38.0,,,11-6,,H. Whiteside misses 2-pt shot from 9 ft
7:37.0,Defensive rebound by M. Smart,,11-6,,
7:31.0,J. Crowder misses 3-pt shot from 23 ft,,11-6,,
7:30.0,Offensive rebound by T. Zeller,,11-6,,
7:27.0,T. Zeller makes 2-pt shot from 8 ft,2,13-6,,
7:27.0,,,13-6,,Miami full timeout
7:07.0,,,13-6,,L. Deng misses 2-pt shot from 10 ft
7:06.0,,,13-6,,Offensive rebound by L. Deng
6:58.0,,,13-8,2,H. Whiteside makes 2-pt shot at rim (assist by L. Deng)
6:41.0,B. Bass makes 2-pt shot from 10 ft,2,15-8,,
6:29.0,,,15-8,,D. Wade misses 2-pt shot from 1 ft (block by T. Zeller)
6:28.0,,,15-8,,Offensive rebound by Team
6:28.0,,,15-8,,T. Johnson enters the game for M. Chalmers
6:28.0,,,15-8,,M. Beasley enters the game for H. Walker
6:15.0,,,15-10,2,L. Deng makes 2-pt shot from 20 ft (assist by M. Beasley)
5:52.0,E. Turner makes 2-pt shot from 18 ft,2,17-10,,
5:35.0,Personal foul by B. Bass (drawn by M. Beasley),,17-10,,
5:35.0,I. Thomas enters the game for J. Crowder,,17-10,,
5:18.0,,,17-10,,M. Beasley misses 3-pt shot from 23 ft
5:17.0,,,17-10,,Offensive rebound by L. Deng
5:12.0,,,17-13,3,D. Wade makes 3-pt shot from 24 ft (assist by L. Deng)
4:55.0,E. Turner misses 3-pt shot from 24 ft,,17-13,,
4:54.0,Offensive rebound by M. Smart,,17-13,,
4:51.0,Turnover by M. Smart (bad pass; steal by M. Beasley),,17-13,,
4:47.0,,,17-13,,Turnover by M. Beasley (lost ball; steal by B. Bass)
4:31.0,B. Bass misses 2-pt shot from 16 ft,,17-13,,
4:30.0,,,17-13,,Defensive rebound by H. Whiteside
4:19.0,,,17-13,,T. Johnson misses 2-pt shot from 19 ft
4:18.0,Defensive rebound by T. Zeller,,17-13,,
3:58.0,M. Smart misses 3-pt shot from 23 ft,,17-13,,
3:57.0,,,17-13,,Defensive rebound by Team
3:57.0,,,17-13,,M. Chalmers enters the game for D. Wade
3:43.0,,,17-13,,M. Beasley misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by Team,,17-13,,
3:42.0,,,17-13,,Loose ball foul by H. Whiteside (drawn by T. Zeller)
3:42.0,K. Olynyk enters the game for T. Zeller,,17-13,,
3:42.0,,,17-13,,C. Andersen enters the game for H. Whiteside
3:26.0,I. Thomas makes 3-pt shot from 24 ft,3,20-13,,
3:04.0,,,20-15,2,M. Beasley makes 2-pt shot from 1 ft
2:48.0,Turnover by E. Turner (lost ball),,20-15,,
2:48.0,Boston full timeout,,20-15,,
2:48.0,J. Jerebko enters the game for B. Bass,,20-15,,
2:48.0,G. Wallace enters the game for E. Turner,,20-15,,
2:35.0,,,20-15,,L. Deng misses 2-pt shot from 1 ft
2:34.0,Defensive rebound by G. Wallace,,20-15,,
2:11.0,K. Olynyk makes 2-pt shot from 4 ft,2,22-15,,
1:58.0,,,22-15,,Turnover by T. Johnson (step out of bounds)
1:58.0,,,22-15,,H. Walker enters the game for L. Deng
1:40.0,I. Thomas misses 3-pt shot from 24 ft,,22-15,,
1:39.0,Offensive rebound by G. Wallace,,22-15,,
1:37.0,,,22-15,,Personal foul by M. Chalmers (drawn by G. Wallace)
1:26.0,K. Olynyk misses 3-pt shot from 24 ft,,22-15,,
1:25.0,,,22-15,,Defensive rebound by H. Walker
1:09.0,,,22-15,,M. Beasley misses 2-pt shot from 18 ft
1:08.0,Defensive rebound by G. Wallace,,22-15,,
0:55.0,K. Olynyk makes 2-pt shot from 15 ft,2,24-15,,
0:36.0,,,24-17,2,T. Johnson makes 2-pt shot from 21 ft (assist by M. Chalmers)
0:31.0,M. Smart misses 2-pt shot from 6 ft,,24-17,,
0:30.0,,,24-17,,Defensive rebound by C. Andersen
0:11.0,,,24-19,2,M. Chalmers makes 2-pt shot from 21 ft (assist by C. Andersen)
0:01.0,K. Olynyk misses 3-pt shot from 24 ft,,24-19,,
0:00.0,,,24-19,,Defensive rebound by T. Johnson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Jerebko makes 2-pt shot from 18 ft (assist by I. Thomas),2,26-19,,
11:09.0,,,26-19,,M. Beasley misses 3-pt shot from 24 ft
11:08.0,Defensive rebound by K. Olynyk,,26-19,,
10:53.0,Turnover by I. Thomas (lost ball; steal by M. Chalmers),,26-19,,
10:44.0,,,26-21,2,M. Beasley makes 2-pt shot at rim (assist by T. Johnson)
10:29.0,L. Datome misses 3-pt shot from 25 ft,,26-21,,
10:28.0,,,26-21,,Defensive rebound by C. Andersen
10:19.0,,,26-24,3,M. Chalmers makes 3-pt shot from 24 ft (assist by T. Johnson)
9:53.0,I. Thomas misses 3-pt shot from 23 ft,,26-24,,
9:52.0,,,26-24,,Defensive rebound by C. Andersen
9:48.0,,,26-24,,T. Johnson misses 2-pt shot from 1 ft (block by G. Wallace)
9:47.0,,,26-24,,Offensive rebound by Team
9:47.0,,,26-24,,D. Wade enters the game for C. Andersen
9:47.0,B. Bass enters the game for K. Olynyk,,26-24,,
9:35.0,,,26-24,,D. Wade misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by Team,,26-24,,
9:22.0,L. Datome makes 2-pt shot from 3 ft (assist by G. Wallace),2,28-24,,
9:02.0,,,28-24,,M. Beasley misses 2-pt shot from 8 ft
9:01.0,Defensive rebound by J. Jerebko,,28-24,,
8:48.0,Turnover by I. Thomas (bad pass),,28-24,,
8:47.0,Loose ball foul by L. Datome (drawn by M. Chalmers),,28-24,,
8:47.0,Official timeout,,28-24,,
8:32.0,,,28-24,,Offensive charge foul by H. Walker
