time,Atlanta,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Horford (C. Copeland gains possession),,,,Jump ball: R. Hibbert vs. A. Horford (C. Copeland gains possession)
11:44.0,,,0-0,,Turnover by R. Hibbert (bad pass; steal by J. Teague)
11:39.0,K. Korver makes 3-pt shot from 22 ft (assist by D. Carroll),3,3-0,,
11:14.0,,,3-0,,Turnover by R. Stuckey (lost ball; steal by P. Millsap)
11:07.0,A. Horford makes 2-pt shot from 17 ft (assist by P. Millsap),2,5-0,,
10:48.0,,,5-0,,C. Copeland misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by A. Horford,,5-0,,
10:32.0,A. Horford misses 2-pt shot from 18 ft,,5-0,,
10:31.0,Offensive rebound by A. Horford,,5-0,,
10:29.0,A. Horford misses 2-pt shot from 1 ft,,5-0,,
10:28.0,,,5-0,,Defensive rebound by R. Hibbert
10:22.0,,,5-2,2,R. Stuckey makes 2-pt shot from 2 ft
10:05.0,Offensive foul by A. Horford,,5-2,,
10:05.0,Turnover by A. Horford (offensive foul),,5-2,,
9:43.0,,,5-2,,S. Hill misses 3-pt shot from 22 ft
9:42.0,Defensive rebound by A. Horford,,5-2,,
9:21.0,D. Carroll misses 3-pt shot from 27 ft,,5-2,,
9:19.0,,,5-2,,Defensive rebound by C. Copeland
9:02.0,,,5-4,2,S. Hill makes 2-pt shot from 1 ft
8:44.0,A. Horford misses 2-pt shot from 17 ft,,5-4,,
8:43.0,,,5-4,,Defensive rebound by R. Stuckey
8:36.0,,,5-4,,R. Stuckey misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by A. Horford,,5-4,,
8:22.0,A. Horford misses 2-pt shot from 14 ft,,5-4,,
8:21.0,,,5-4,,Defensive rebound by R. Hibbert
8:00.0,,,5-6,2,R. Hibbert makes 2-pt shot from 8 ft (assist by D. West)
7:50.0,J. Teague makes 2-pt shot from 14 ft,2,7-6,,
7:31.0,,,7-8,2,C. Copeland makes 2-pt shot from 19 ft (assist by S. Hill)
