time,Washington,pts.away,score,pts.home,Sacramento
1:29.0,,,25-32,,Defensive rebound by J. Thompson
1:22.0,,,25-32,,Turnover by N. Stauskas (bad pass; steal by D. Gooden)
1:15.0,R. Sessions misses 2-pt shot from 18 ft,,25-32,,
1:13.0,Offensive rebound by D. Gooden,,25-32,,
1:13.0,D. Gooden makes 2-pt shot from 1 ft,2,27-32,,
0:57.0,,,27-32,,N. Stauskas misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by K. Seraphin,,27-32,,
0:44.0,J. Wall misses 3-pt shot from 23 ft,,27-32,,
0:42.0,,,27-32,,Defensive rebound by A. Miller
0:38.0,,,27-34,2,A. Miller makes 2-pt shot from 2 ft
0:26.0,K. Seraphin misses 2-pt shot from 11 ft,,27-34,,
0:25.0,Offensive rebound by R. Sessions,,27-34,,
0:01.0,D. Gooden makes 2-pt shot from 20 ft (assist by J. Wall),2,29-34,,
0:00.0,,,29-34,,A. Miller misses 3-pt shot from 56 ft
0:00.0,,,29-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,29-34,,J. Thompson misses 2-pt shot at rim (block by K. Seraphin)
11:40.0,Defensive rebound by R. Sessions,,29-34,,
11:37.0,R. Butler misses 2-pt shot from 14 ft,,29-34,,
11:34.0,,,29-34,,Defensive rebound by R. Evans
11:20.0,,,29-34,,Shooting foul by K. Seraphin (drawn by J. Thompson)
11:20.0,,,29-34,,J. Thompson misses free throw 1 of 2
11:20.0,,,29-34,,Offensive rebound by Team
11:20.0,,,29-35,1,J. Thompson makes free throw 2 of 2
11:09.0,K. Seraphin misses 2-pt shot from 6 ft,,29-35,,
11:08.0,,,29-35,,Defensive rebound by J. Thompson
10:55.0,,,29-35,,R. Evans misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by Team,,29-35,,
10:34.0,R. Sessions makes 3-pt shot from 22 ft (assist by B. Beal),3,32-35,,
10:20.0,,,32-37,2,D. Williams makes 2-pt shot from 20 ft
10:03.0,K. Seraphin makes 2-pt shot from 7 ft (assist by R. Butler),2,34-37,,
9:49.0,,,34-37,,Turnover by A. Miller (lost ball; steal by D. Gooden)
9:45.0,Turnover by D. Gooden (bad pass; steal by B. McLemore),,34-37,,
9:40.0,,,34-37,,B. McLemore misses 3-pt shot from 25 ft
9:40.0,,,34-37,,Offensive rebound by Team
9:40.0,Loose ball foul by R. Sessions (drawn by J. Thompson),,34-37,,
9:40.0,,,34-37,,D. Cousins enters the game for J. Thompson
9:32.0,,,34-37,,Turnover by B. McLemore (bad pass)
9:18.0,B. Beal misses 2-pt shot from 6 ft,,34-37,,
9:16.0,,,34-37,,Defensive rebound by D. Cousins
9:12.0,,,34-39,2,D. Williams makes 2-pt shot at rim (assist by D. Cousins)
8:51.0,R. Sessions makes 2-pt shot from 10 ft,2,36-39,,
8:40.0,Violation by D. Gooden (kicked ball),,36-39,,
8:40.0,Official timeout,,36-39,,
8:28.0,,,36-39,,A. Miller misses 2-pt shot from 3 ft
8:28.0,,,36-39,,Offensive rebound by Team
8:25.0,,,36-39,,D. Cousins misses 2-pt shot from 2 ft
8:25.0,,,36-39,,Offensive rebound by Team
8:25.0,,,36-39,,Turnover by Team (shot clock)
8:12.0,,,36-39,,Shooting block foul by D. Cousins (drawn by R. Butler)
8:12.0,R. Butler makes free throw 1 of 2,1,37-39,,
8:12.0,,,37-39,,R. Hollins enters the game for D. Cousins
8:12.0,R. Butler makes free throw 2 of 2,1,38-39,,
7:58.0,,,38-39,,B. McLemore misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by R. Butler,,38-39,,
7:44.0,K. Seraphin misses 2-pt shot from 17 ft,,38-39,,
7:43.0,,,38-39,,Defensive rebound by Team
7:43.0,,,38-39,,O. Casspi enters the game for D. Williams
7:25.0,,,38-39,,B. McLemore misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by B. Beal,,38-39,,
7:13.0,D. Gooden misses 2-pt shot from 21 ft,,38-39,,
7:12.0,,,38-39,,Defensive rebound by A. Miller
6:59.0,,,38-41,2,O. Casspi makes 2-pt shot at rim (assist by A. Miller)
6:41.0,D. Gooden misses 2-pt shot from 22 ft,,38-41,,
6:41.0,,,38-41,,Defensive rebound by R. Evans
6:31.0,,,38-43,2,A. Miller makes 2-pt shot from 16 ft
6:12.0,R. Sessions misses 2-pt shot from 21 ft,,38-43,,
6:12.0,,,38-43,,Defensive rebound by Team
6:12.0,,,38-43,,Sacramento full timeout
6:12.0,,,38-43,,R. McCallum enters the game for B. McLemore
6:12.0,,,38-43,,R. Gay enters the game for A. Miller
6:12.0,J. Wall enters the game for R. Sessions,,38-43,,
6:12.0,N. Hilario enters the game for K. Seraphin,,38-43,,
5:53.0,,,38-43,,Offensive foul by R. Evans
5:53.0,,,38-43,,Turnover by R. Evans (offensive foul)
5:43.0,B. Beal misses 3-pt shot from 24 ft,,38-43,,
5:42.0,,,38-43,,Defensive rebound by Team
5:42.0,P. Pierce enters the game for D. Gooden,,38-43,,
5:22.0,,,38-43,,O. Casspi misses 2-pt shot from 10 ft
5:22.0,Defensive rebound by N. Hilario,,38-43,,
5:13.0,P. Pierce makes 2-pt shot from 21 ft (assist by B. Beal),2,40-43,,
4:55.0,,,40-43,,R. McCallum misses 2-pt shot from 3 ft
4:54.0,,,40-43,,Offensive rebound by Team
4:54.0,,,40-43,,N. Stauskas enters the game for R. Evans
4:54.0,,,40-43,,J. Thompson enters the game for R. Hollins
4:48.0,,,40-45,2,R. McCallum makes 2-pt shot from 2 ft
4:32.0,R. Butler misses 3-pt shot from 23 ft,,40-45,,
4:30.0,,,40-45,,Defensive rebound by J. Thompson
4:16.0,,,40-45,,R. Gay misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by J. Wall,,40-45,,
4:07.0,,,40-45,,Personal foul by O. Casspi (drawn by P. Pierce)
3:59.0,P. Pierce misses 2-pt shot from 16 ft,,40-45,,
3:59.0,,,40-45,,Defensive rebound by R. Gay
3:56.0,,,40-46,1,O. Casspi makes flagrant free throw 1 of 2
3:56.0,,,40-47,1,O. Casspi makes flagrant free throw 2 of 2
3:40.0,,,40-47,,R. Gay misses 2-pt shot from 4 ft
3:38.0,Defensive rebound by R. Butler,,40-47,,
3:35.0,Turnover by R. Butler (step out of bounds),,40-47,,
3:28.0,,,40-47,,Turnover by O. Casspi (bad pass)
3:17.0,J. Wall misses 2-pt shot from 17 ft,,40-47,,
3:16.0,,,40-47,,Defensive rebound by O. Casspi
3:07.0,,,40-49,2,J. Thompson makes 2-pt shot from 1 ft (assist by R. McCallum)
2:45.0,B. Beal makes 2-pt shot from 2 ft (assist by N. Hilario),2,42-49,,
2:37.0,,,42-49,,R. McCallum misses 2-pt shot from 3 ft
2:35.0,Defensive rebound by N. Hilario,,42-49,,
2:22.0,Washington full timeout,,42-49,,
2:22.0,R. Sessions enters the game for R. Butler,,42-49,,
2:19.0,Shooting foul by J. Thompson (drawn by B. Beal),,42-49,,
2:19.0,B. Beal makes free throw 1 of 2,1,43-49,,
2:19.0,M. Gortat enters the game for N. Hilario,,43-49,,
2:19.0,B. Beal makes free throw 2 of 2,1,44-49,,
2:01.0,,,44-49,,R. Gay misses 2-pt shot from 11 ft
2:00.0,,,44-49,,Offensive rebound by R. Gay
2:00.0,,,44-51,2,R. Gay makes 2-pt shot from 11 ft
2:00.0,,,44-51,,Shooting foul by P. Pierce (drawn by R. Gay)
2:00.0,O. Porter enters the game for P. Pierce,,44-51,,
2:00.0,,,44-52,1,R. Gay makes free throw 1 of 1
1:41.0,M. Gortat misses 2-pt shot from 14 ft,,44-52,,
1:40.0,Offensive rebound by B. Beal,,44-52,,
1:40.0,B. Beal makes 2-pt shot at rim,2,46-52,,
1:22.0,,,46-54,2,R. Gay makes 2-pt shot from 2 ft
0:59.0,M. Gortat makes 2-pt shot from 15 ft (assist by R. Sessions),2,48-54,,
0:38.0,Def 3 sec tech foul by R. Sessions,,48-54,,
0:38.0,,,48-55,1,R. Gay makes technical free throw
0:38.0,K. Seraphin enters the game for M. Gortat,,48-55,,
0:32.0,,,48-57,2,R. Gay makes 2-pt shot from 14 ft (assist by R. McCallum)
0:20.0,B. Beal makes 2-pt shot from 15 ft,2,50-57,,
0:00.0,,,50-57,,R. McCallum misses 2-pt shot from 6 ft
0:00.0,,,50-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,50-57,,Shooting foul by N. Hilario (drawn by D. Cousins)
11:44.0,,,50-58,1,D. Cousins makes free throw 1 of 2
11:44.0,,,50-59,1,D. Cousins makes free throw 2 of 2
11:18.0,P. Pierce makes 2-pt shot from 16 ft,2,52-59,,
10:59.0,,,52-61,2,R. Gay makes 2-pt shot from 14 ft
10:37.0,B. Beal misses 2-pt shot from 10 ft,,52-61,,
10:36.0,,,52-61,,Defensive rebound by D. Cousins
10:33.0,,,52-63,2,B. McLemore makes 2-pt shot at rim (assist by D. Cousins)
10:19.0,Turnover by N. Hilario (lost ball; steal by B. McLemore),,52-63,,
10:14.0,,,52-65,2,B. McLemore makes 2-pt shot from 2 ft
