time,Washington,pts.away,score,pts.home,Sacramento
2:11.0,Offensive rebound by T. Murry,,84-103,,
2:05.0,T. Murry misses 2-pt shot from 6 ft,,84-103,,
2:04.0,,,84-103,,Defensive rebound by D. Cousins
1:44.0,,,84-103,,Turnover by O. Casspi (bad pass; steal by K. Seraphin)
1:39.0,Turnover by T. Murry (bad pass; steal by B. McLemore),,84-103,,
1:21.0,,,84-106,3,R. McCallum makes 3-pt shot from 23 ft (assist by D. Cousins)
1:14.0,Shooting foul by B. McLemore (drawn by M. Webster),,84-106,,
1:14.0,M. Webster makes free throw 1 of 2,1,85-106,,
1:14.0,,,85-106,,R. Hollins enters the game for D. Cousins
1:14.0,,,85-106,,N. Stauskas enters the game for O. Casspi
1:14.0,M. Webster makes free throw 2 of 2,1,86-106,,
0:56.0,,,86-106,,N. Stauskas misses 2-pt shot from 3 ft
0:55.0,,,86-106,,Offensive rebound by R. McCallum
0:34.0,,,86-109,3,B. McLemore makes 3-pt shot from 23 ft (assist by R. McCallum)
0:24.0,O. Porter misses 3-pt shot from 23 ft,,86-109,,
0:23.0,,,86-109,,Defensive rebound by C. Landry
0:00.0,End of 4th quarter,,,,End of 4th quarter
