time,Denver,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. A. Varejao (T. Lawson gains possession),,,,Jump ball: T. Mozgov vs. A. Varejao (T. Lawson gains possession)
11:46.0,A. Afflalo misses 2-pt shot from 18 ft,,0-0,,
11:45.0,Offensive rebound by K. Faried,,0-0,,
11:30.0,K. Faried misses 2-pt shot from 6 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by K. Irving
11:24.0,,,0-0,,Shooting foul by W. Chandler (drawn by L. James)
11:24.0,,,0-0,,L. James misses free throw 1 of 2
11:24.0,,,0-0,,Offensive rebound by Team
11:24.0,,,0-1,1,L. James makes free throw 2 of 2
11:11.0,Turnover by W. Chandler (bad pass; steal by S. Marion),,0-1,,
11:06.0,,,0-1,,L. James misses 2-pt shot at rim
11:06.0,Defensive rebound by Team,,0-1,,
10:57.0,T. Lawson misses 3-pt shot from 25 ft,,0-1,,
10:56.0,,,0-1,,Defensive rebound by L. James
10:36.0,,,0-1,,A. Varejao misses 2-pt shot from 4 ft (block by A. Afflalo)
10:34.0,Defensive rebound by T. Mozgov,,0-1,,
10:30.0,Turnover by W. Chandler (step out of bounds),,0-1,,
10:10.0,,,0-1,,K. Irving misses 2-pt shot from 13 ft
10:08.0,Defensive rebound by A. Afflalo,,0-1,,
9:53.0,W. Chandler makes 2-pt shot from 5 ft,2,2-1,,
9:33.0,,,2-4,3,S. Marion makes 3-pt shot from 24 ft (assist by K. Irving)
9:21.0,K. Faried misses 2-pt shot from 5 ft,,2-4,,
9:20.0,,,2-4,,Defensive rebound by K. Love
9:11.0,,,2-4,,K. Love misses 3-pt shot from 25 ft
9:10.0,,,2-4,,Offensive rebound by K. Irving
9:03.0,,,2-4,,S. Marion misses 3-pt shot from 24 ft
9:02.0,,,2-4,,Offensive rebound by Team
8:54.0,,,2-6,2,S. Marion makes 2-pt shot at rim (assist by L. James)
8:39.0,W. Chandler makes 2-pt shot from 16 ft (assist by T. Lawson),2,4-6,,
8:16.0,,,4-6,,L. James misses 2-pt shot from 14 ft
8:15.0,,,4-6,,Offensive rebound by K. Love
8:13.0,,,4-6,,K. Love misses 2-pt shot from 2 ft (block by K. Faried)
8:11.0,,,4-6,,Offensive rebound by K. Love
8:11.0,,,4-6,,Shooting foul by T. Lawson (drawn by K. Love)
8:11.0,,,4-7,1,K. Love makes free throw 1 of 2
8:11.0,,,4-8,1,K. Love makes free throw 2 of 2
7:52.0,W. Chandler misses 2-pt shot from 2 ft,,4-8,,
7:51.0,,,4-8,,Defensive rebound by K. Love
7:38.0,,,4-8,,L. James misses 3-pt shot from 26 ft
7:37.0,,,4-8,,Offensive rebound by A. Varejao
7:26.0,,,4-8,,L. James misses 2-pt shot from 13 ft
7:25.0,Defensive rebound by W. Chandler,,4-8,,
7:15.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,6-8,,
6:54.0,,,6-10,2,K. Love makes 2-pt shot from 14 ft
6:38.0,T. Mozgov makes 2-pt shot at rim,2,8-10,,
6:38.0,Shooting foul by A. Varejao (drawn by T. Mozgov),,8-10,,
6:38.0,Turnover by K. Faried (offensive goaltending),,8-10,,
6:21.0,,,8-10,,Shooting foul by K. Faried (drawn by K. Love)
6:21.0,,,8-11,1,K. Love makes free throw 1 of 2
6:21.0,,,8-12,1,K. Love makes free throw 2 of 2
6:09.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,11-12,,
5:48.0,,,11-12,,L. James misses 2-pt shot from 5 ft
5:46.0,Defensive rebound by T. Mozgov,,11-12,,
5:37.0,Turnover by T. Lawson (bad pass),,11-12,,
5:37.0,,,11-12,,Cleveland full timeout
5:37.0,,,11-12,,D. Waiters enters the game for S. Marion
5:37.0,,,11-12,,J. Harris enters the game for K. Irving
5:17.0,,,11-12,,Turnover by D. Waiters (bad pass; steal by W. Chandler)
5:12.0,A. Afflalo makes 2-pt shot at rim (assist by K. Faried),2,13-12,,
4:57.0,,,13-14,2,K. Love makes 2-pt shot at rim
4:38.0,Turnover by T. Lawson (bad pass; steal by D. Waiters),,13-14,,
4:34.0,,,13-16,2,L. James makes 2-pt shot at rim
4:10.0,A. Afflalo misses 2-pt shot from 6 ft,,13-16,,
4:10.0,Offensive rebound by Team,,13-16,,
4:05.0,T. Lawson makes 2-pt shot from 18 ft,2,15-16,,
3:48.0,,,15-16,,J. Harris misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by W. Chandler,,15-16,,
3:39.0,Turnover by A. Afflalo (lost ball; steal by D. Waiters),,15-16,,
3:34.0,,,15-16,,Shooting foul by T. Mozgov (drawn by L. James)
3:34.0,,,15-17,1,L. James makes free throw 1 of 2
3:34.0,D. Arthur enters the game for K. Faried,,15-17,,
3:34.0,,,15-17,,T. Thompson enters the game for A. Varejao
3:34.0,,,15-18,1,L. James makes free throw 2 of 2
3:22.0,W. Chandler misses 2-pt shot from 6 ft (block by T. Thompson),,15-18,,
3:21.0,,,15-18,,Defensive rebound by K. Love
3:09.0,,,15-20,2,D. Waiters makes 2-pt shot from 17 ft
2:56.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,18-20,,
2:35.0,,,18-20,,T. Thompson misses 2-pt shot from 8 ft
2:33.0,Defensive rebound by D. Arthur,,18-20,,
2:27.0,T. Lawson misses 3-pt shot from 25 ft,,18-20,,
2:26.0,Offensive rebound by D. Arthur,,18-20,,
2:17.0,A. Afflalo makes 2-pt shot from 13 ft (assist by T. Lawson),2,20-20,,
2:00.0,,,20-20,,Shooting foul by D. Arthur (drawn by T. Thompson)
2:00.0,Denver full timeout,,20-20,,
2:00.0,,,20-20,,K. Irving enters the game for L. James
2:00.0,J. McGee enters the game for T. Mozgov,,20-20,,
2:00.0,,,20-20,,T. Thompson misses free throw 1 of 2
2:00.0,,,20-20,,Offensive rebound by Team
2:00.0,,,20-21,1,T. Thompson makes free throw 2 of 2
1:38.0,A. Afflalo misses 3-pt shot from 25 ft,,20-21,,
1:37.0,,,20-21,,Defensive rebound by D. Waiters
1:20.0,,,20-23,2,K. Love makes 2-pt shot from 5 ft (assist by K. Irving)
1:07.0,W. Chandler misses 2-pt shot at rim,,20-23,,
1:05.0,Offensive rebound by J. McGee,,20-23,,
1:05.0,J. McGee makes 2-pt shot at rim,2,22-23,,
0:48.0,,,22-26,3,J. Harris makes 3-pt shot from 23 ft (assist by K. Irving)
0:41.0,Turnover by A. Afflalo (traveling),,22-26,,
0:41.0,D. Gallinari enters the game for A. Afflalo,,22-26,,
0:41.0,R. Foye enters the game for W. Chandler,,22-26,,
0:35.0,,,22-26,,Turnover by K. Irving (bad pass; steal by J. McGee)
0:31.0,T. Lawson makes 2-pt shot at rim (assist by D. Gallinari),2,24-26,,
0:06.0,,,24-26,,K. Irving misses 2-pt shot from 17 ft
0:05.0,Defensive rebound by D. Arthur,,24-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,24-26,,D. Waiters misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by D. Gallinari,,24-26,,
11:22.0,D. Arthur makes 3-pt shot from 26 ft (assist by N. Robinson),3,27-26,,
10:57.0,,,27-26,,Turnover by S. Marion (traveling)
10:38.0,D. Gallinari misses 2-pt shot from 5 ft,,27-26,,
10:36.0,,,27-26,,Defensive rebound by T. Thompson
10:29.0,,,27-29,3,K. Irving makes 3-pt shot from 24 ft (assist by J. Harris)
10:12.0,J. McGee misses 2-pt shot from 6 ft,,27-29,,
10:11.0,,,27-29,,Defensive rebound by T. Thompson
10:03.0,,,27-29,,D. Waiters misses 2-pt shot from 1 ft
10:00.0,,,27-29,,Offensive rebound by T. Thompson
9:58.0,,,27-29,,T. Thompson misses 2-pt shot from 1 ft
9:56.0,,,27-29,,Offensive rebound by T. Thompson
9:56.0,,,27-31,2,T. Thompson makes 2-pt shot from 1 ft
9:52.0,Denver full timeout,,27-31,,
9:52.0,,,27-31,,M. Miller enters the game for J. Harris
9:52.0,,,27-31,,L. James enters the game for D. Waiters
9:45.0,J. McGee misses 2-pt shot from 7 ft (block by T. Thompson),,27-31,,
9:44.0,,,27-31,,Defensive rebound by S. Marion
9:29.0,,,27-31,,M. Miller misses 3-pt shot from 22 ft
9:29.0,Defensive rebound by Team,,27-31,,
9:07.0,R. Foye misses 3-pt shot from 25 ft,,27-31,,
9:06.0,,,27-31,,Defensive rebound by T. Thompson
8:58.0,,,27-34,3,K. Irving makes 3-pt shot from 23 ft (assist by S. Marion)
8:44.0,,,27-34,,Personal foul by L. James (drawn by D. Gallinari)
8:44.0,Official timeout,,27-34,,
8:44.0,A. Afflalo enters the game for J. McGee,,27-34,,
8:44.0,T. Mozgov enters the game for R. Foye,,27-34,,
8:29.0,N. Robinson misses 2-pt shot from 8 ft (block by S. Marion),,27-34,,
8:28.0,Offensive rebound by T. Mozgov,,27-34,,
8:28.0,T. Mozgov makes 2-pt shot from 6 ft,2,29-34,,
8:19.0,,,29-34,,Turnover by L. James (bad pass; steal by D. Arthur)
8:15.0,D. Arthur makes 2-pt shot at rim,2,31-34,,
7:50.0,,,31-36,2,L. James makes 2-pt shot at rim
7:37.0,N. Robinson makes 3-pt shot from 25 ft (assist by D. Arthur),3,34-36,,
7:23.0,,,34-36,,Shooting foul by N. Robinson (drawn by K. Irving)
