time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. B. James (R. Jefferson gains possession),,,,Jump ball: O. Asik vs. B. James (R. Jefferson gains possession)
11:44.0,,,0-2,2,R. Jefferson makes 2-pt shot from 1 ft
11:24.0,T. Evans makes 2-pt shot from 21 ft (assist by E. Gordon),2,2-2,,
11:04.0,,,2-2,,Turnover by R. Rondo (bad pass; steal by O. Asik)
10:56.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by T. Evans),3,5-2,,
10:39.0,,,5-4,2,R. Rondo makes 2-pt shot from 19 ft (assist by M. Ellis)
10:19.0,T. Evans misses 3-pt shot from 24 ft,,5-4,,
10:18.0,,,5-4,,Defensive rebound by M. Ellis
10:03.0,,,5-4,,R. Rondo misses 2-pt shot at rim
10:01.0,Defensive rebound by O. Asik,,5-4,,
9:48.0,,,5-4,,Personal foul by D. Nowitzki (drawn by O. Asik)
9:39.0,T. Evans makes 2-pt shot from 4 ft,2,7-4,,
9:20.0,,,7-6,2,R. Rondo makes 2-pt shot from 4 ft
9:02.0,T. Evans makes 3-pt shot from 22 ft (assist by Q. Pondexter),3,10-6,,
8:41.0,,,10-9,3,R. Jefferson makes 3-pt shot from 24 ft (assist by R. Rondo)
8:28.0,,,10-9,,Personal block foul by B. James (drawn by E. Gordon)
8:18.0,D. Cunningham misses 2-pt shot from 19 ft,,10-9,,
8:17.0,,,10-9,,Defensive rebound by R. Rondo
8:13.0,,,10-11,2,R. Rondo makes 2-pt shot from 1 ft
8:04.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,13-11,,
7:42.0,,,13-13,2,M. Ellis makes 2-pt shot from 16 ft
7:22.0,Shooting foul by R. Jefferson (drawn by E. Gordon),,13-13,,
7:22.0,E. Gordon makes free throw 1 of 2,1,14-13,,
7:22.0,E. Gordon makes free throw 2 of 2,1,15-13,,
7:09.0,,,15-15,2,R. Rondo makes 2-pt shot from 6 ft
6:54.0,E. Gordon misses 3-pt shot from 22 ft (block by M. Ellis),,15-15,,
6:52.0,,,15-15,,Defensive rebound by R. Jefferson
6:42.0,Personal foul by Q. Pondexter (drawn by D. Nowitzki),,15-15,,
6:37.0,Personal foul by T. Evans (drawn by R. Rondo),,15-15,,
6:22.0,,,15-15,,R. Rondo misses 2-pt shot from 20 ft
6:21.0,,,15-15,,Offensive rebound by R. Jefferson
6:20.0,,,15-17,2,R. Jefferson makes 2-pt shot at rim
5:59.0,D. Cunningham misses 2-pt shot from 5 ft (block by B. James),,15-17,,
5:57.0,,,15-17,,Defensive rebound by M. Ellis
5:50.0,,,15-17,,R. Rondo misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by T. Evans,,15-17,,
5:44.0,Offensive charge foul by T. Evans,,15-17,,
5:44.0,Turnover by T. Evans (offensive foul),,15-17,,
5:44.0,,,15-17,,Dallas full timeout
5:44.0,,,15-17,,A. Aminu enters the game for D. Nowitzki
5:44.0,N. Cole enters the game for T. Evans,,15-17,,
5:30.0,,,15-19,2,R. Rondo makes 2-pt shot from 8 ft
5:12.0,D. Cunningham misses 2-pt shot from 21 ft,,15-19,,
5:11.0,,,15-19,,Defensive rebound by B. James
5:01.0,,,15-19,,Shooting foul by E. Gordon (drawn by R. Jefferson)
5:01.0,,,15-20,1,R. Jefferson makes free throw 1 of 2
5:01.0,L. Babbitt enters the game for D. Cunningham,,15-20,,
5:01.0,,,15-21,1,R. Jefferson makes free throw 2 of 2
4:46.0,N. Cole makes 3-pt shot from 25 ft,3,18-21,,
4:24.0,,,18-23,2,A. Aminu makes 2-pt shot from 6 ft
4:06.0,,,18-23,,A. Stoudemire enters the game for B. James
4:06.0,A. Ajinca enters the game for O. Asik,,18-23,,
4:04.0,A. Ajinca makes 2-pt shot at rim (assist by Q. Pondexter),2,20-23,,
3:37.0,,,20-25,2,A. Stoudemire makes 2-pt shot from 1 ft
3:22.0,Shooting foul by M. Ellis (drawn by E. Gordon),,20-25,,
3:22.0,E. Gordon makes free throw 1 of 2,1,21-25,,
3:22.0,E. Gordon makes free throw 2 of 2,1,22-25,,
3:12.0,,,22-25,,A. Stoudemire misses 2-pt shot from 18 ft
3:11.0,Defensive rebound by N. Cole,,22-25,,
2:58.0,A. Ajinca makes 2-pt shot from 9 ft,2,24-25,,
2:40.0,,,24-25,,A. Stoudemire misses 2-pt shot from 6 ft
2:39.0,Defensive rebound by Q. Pondexter,,24-25,,
2:28.0,E. Gordon misses 3-pt shot from 25 ft,,24-25,,
2:27.0,Offensive rebound by L. Babbitt,,24-25,,
2:25.0,L. Babbitt misses 2-pt shot from 7 ft,,24-25,,
2:24.0,,,24-25,,Defensive rebound by A. Stoudemire
2:10.0,,,24-28,3,R. Rondo makes 3-pt shot from 24 ft (assist by A. Aminu)
1:52.0,,,24-28,,Personal foul by M. Ellis (drawn by N. Cole)
1:52.0,New Orleans full timeout,,24-28,,
1:52.0,,,24-28,,J. Barea enters the game for R. Jefferson
1:52.0,,,24-28,,D. Harris enters the game for M. Ellis
1:52.0,,,24-28,,D. Nowitzki enters the game for R. Rondo
1:52.0,N. Cole makes free throw 1 of 2,1,25-28,,
1:52.0,N. Cole misses free throw 2 of 2,,25-28,,
1:51.0,,,25-28,,Defensive rebound by D. Nowitzki
1:25.0,,,25-28,,D. Harris misses 3-pt shot from 30 ft
1:24.0,Defensive rebound by Q. Pondexter,,25-28,,
1:13.0,D. Cunningham enters the game for Q. Pondexter,,25-28,,
1:02.0,D. Cunningham makes 2-pt shot from 12 ft (assist by N. Cole),2,27-28,,
0:47.0,,,27-28,,Shooting foul by L. Babbitt (drawn by D. Harris)
0:47.0,,,27-29,1,D. Harris makes free throw 1 of 2
0:47.0,J. Fredette enters the game for E. Gordon,,27-29,,
0:47.0,,,27-30,1,D. Harris makes free throw 2 of 2
0:28.0,A. Ajinca makes 2-pt shot from 8 ft,2,29-30,,
0:07.0,,,29-32,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Harris)
0:00.0,J. Fredette makes 2-pt shot at rim,2,31-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Turnover by A. Ajinca (lost ball),,31-32,,
11:21.0,,,31-32,,J. Barea misses 2-pt shot from 2 ft (block by D. Cunningham)
11:19.0,Defensive rebound by A. Ajinca,,31-32,,
11:14.0,,,31-32,,B. James enters the game for A. Stoudemire
