time,Chicago,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Noah (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. J. Noah (B. Griffin gains possession)
11:46.0,,,0-0,,Turnover by M. Barnes (bad pass)
11:42.0,J. Noah misses 2-pt shot from 7 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by M. Barnes
11:26.0,,,0-2,2,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul)
11:06.0,T. Gibson makes 2-pt shot from 18 ft (assist by K. Hinrich),2,2-2,,
10:46.0,,,2-2,,J. Redick misses 2-pt shot from 22 ft
10:45.0,Defensive rebound by J. Noah,,2-2,,
10:39.0,Turnover by K. Hinrich (bad pass; steal by C. Paul),,2-2,,
10:29.0,,,2-2,,M. Barnes misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by J. Noah,,2-2,,
10:16.0,J. Butler makes 2-pt shot from 19 ft (assist by J. Noah),2,4-2,,
10:09.0,Personal foul by M. Dunleavy (drawn by J. Redick),,4-2,,
9:57.0,,,4-4,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
9:43.0,J. Butler misses 2-pt shot from 14 ft,,4-4,,
9:41.0,,,4-4,,Defensive rebound by B. Griffin
9:30.0,,,4-4,,J. Redick misses 2-pt shot from 8 ft (block by T. Gibson)
9:28.0,Defensive rebound by J. Noah,,4-4,,
9:23.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Butler),3,7-4,,
9:09.0,,,7-4,,J. Redick misses 2-pt shot from 20 ft
9:07.0,Defensive rebound by J. Noah,,7-4,,
9:02.0,M. Dunleavy misses 3-pt shot from 26 ft,,7-4,,
9:00.0,Offensive rebound by J. Noah,,7-4,,
8:56.0,Shooting foul by M. Barnes (drawn by M. Dunleavy),,7-4,,
8:56.0,M. Dunleavy makes free throw 1 of 2,1,8-4,,
8:56.0,M. Dunleavy makes free throw 2 of 2,1,9-4,,
8:43.0,Personal foul by J. Noah (drawn by B. Griffin),,9-4,,
8:36.0,,,9-6,2,B. Griffin makes 2-pt shot from 17 ft
8:18.0,Turnover by M. Dunleavy (bad pass),,9-6,,
8:10.0,Violation by K. Hinrich (kicked ball),,9-6,,
7:59.0,,,9-8,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
7:40.0,T. Gibson misses 2-pt shot from 16 ft,,9-8,,
7:38.0,,,9-8,,Defensive rebound by B. Griffin
7:20.0,,,9-8,,Shooting foul by T. Gibson (drawn by B. Griffin)
7:20.0,,,9-9,1,B. Griffin makes free throw 1 of 2
7:20.0,,,9-10,1,B. Griffin makes free throw 2 of 2
7:05.0,K. Hinrich misses 2-pt shot from 21 ft,,9-10,,
7:03.0,Offensive rebound by M. Dunleavy,,9-10,,
7:00.0,K. Hinrich misses 3-pt shot from 30 ft,,9-10,,
6:58.0,,,9-10,,Defensive rebound by B. Griffin
6:49.0,,,9-12,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
6:37.0,J. Butler misses 3-pt shot from 27 ft,,9-12,,
6:35.0,,,9-12,,Defensive rebound by D. Jordan
6:25.0,,,9-12,,B. Griffin misses 2-pt shot from 20 ft
6:21.0,Defensive rebound by M. Dunleavy,,9-12,,
6:07.0,Shooting foul by J. Redick (drawn by M. Dunleavy),,9-12,,
6:07.0,M. Dunleavy misses free throw 1 of 2,,9-12,,
6:07.0,Offensive rebound by Team,,9-12,,
6:07.0,M. Dunleavy makes free throw 2 of 2,1,10-12,,
5:55.0,,,10-12,,C. Paul misses 2-pt shot from 17 ft
5:53.0,Defensive rebound by T. Gibson,,10-12,,
5:42.0,K. Hinrich makes 2-pt shot at rim (assist by T. Gibson),2,12-12,,
5:32.0,,,12-12,,J. Redick misses 2-pt shot from 20 ft
5:30.0,,,12-12,,Offensive rebound by D. Jordan
5:14.0,,,12-14,2,C. Paul makes 2-pt shot from 12 ft
5:00.0,J. Butler misses 2-pt shot from 4 ft,,12-14,,
4:58.0,,,12-14,,Defensive rebound by C. Paul
4:53.0,,,12-14,,M. Barnes misses 2-pt shot from 2 ft
4:50.0,,,12-14,,Offensive rebound by B. Griffin
4:47.0,,,12-16,2,B. Griffin makes 2-pt shot at rim
4:27.0,K. Hinrich misses 2-pt shot from 8 ft (block by C. Paul),,12-16,,
4:24.0,,,12-16,,Defensive rebound by D. Jordan
4:19.0,,,12-16,,Turnover by B. Griffin (lost ball; steal by K. Hinrich)
4:13.0,K. Hinrich makes 3-pt shot from 24 ft (assist by J. Noah),3,15-16,,
3:48.0,,,15-16,,J. Redick misses 3-pt shot from 24 ft
3:47.0,Defensive rebound by J. Noah,,15-16,,
3:29.0,Turnover by K. Hinrich (bad pass),,15-16,,
3:29.0,,,15-16,,LA Clippers full timeout
3:29.0,N. Mirotic enters the game for J. Noah,,15-16,,
3:29.0,,,15-16,,J. Crawford enters the game for J. Redick
3:29.0,A. Brooks enters the game for K. Hinrich,,15-16,,
3:06.0,,,15-16,,M. Barnes misses 3-pt shot from 25 ft
3:04.0,,,15-16,,Offensive rebound by D. Jordan
2:54.0,,,15-16,,B. Griffin misses 2-pt shot from 18 ft
2:53.0,Defensive rebound by N. Mirotic,,15-16,,
2:39.0,T. Gibson misses 2-pt shot from 11 ft,,15-16,,
2:38.0,,,15-16,,Defensive rebound by D. Jordan
2:28.0,,,15-16,,M. Barnes misses 2-pt shot from 3 ft
2:24.0,,,15-16,,Offensive rebound by B. Griffin
2:24.0,,,15-16,,B. Griffin misses 2-pt shot at rim
2:21.0,Defensive rebound by M. Dunleavy,,15-16,,
2:15.0,,,15-16,,Violation by M. Barnes (kicked ball)
2:15.0,Chicago full timeout,,15-16,,
2:15.0,,,15-16,,S. Hawes enters the game for D. Jordan
2:15.0,,,15-16,,R. Bullock enters the game for M. Barnes
2:02.0,A. Brooks makes 2-pt shot from 8 ft,2,17-16,,
1:40.0,,,17-16,,R. Bullock misses 2-pt shot from 6 ft
1:38.0,Defensive rebound by T. Gibson,,17-16,,
1:18.0,N. Mirotic makes 3-pt shot from 25 ft (assist by T. Gibson),3,20-16,,
0:58.0,,,20-18,2,S. Hawes makes 2-pt shot from 8 ft (assist by J. Crawford)
0:44.0,A. Brooks misses 2-pt shot from 8 ft,,20-18,,
0:39.0,,,20-18,,Defensive rebound by S. Hawes
0:34.0,,,20-18,,J. Farmar enters the game for C. Paul
0:22.0,,,20-18,,B. Griffin misses 2-pt shot from 6 ft (block by T. Gibson)
0:22.0,,,20-18,,Offensive rebound by Team
0:19.0,,,20-18,,B. Griffin misses 3-pt shot from 25 ft
0:16.0,Defensive rebound by M. Dunleavy,,20-18,,
0:06.0,,,20-18,,Personal take foul by J. Farmar (drawn by A. Brooks)
0:03.0,Shooting foul by S. Hawes (drawn by N. Mirotic),,20-18,,
0:03.0,N. Mirotic makes free throw 1 of 2,1,21-18,,
0:03.0,E. Moore enters the game for A. Brooks,,21-18,,
0:03.0,,,21-18,,J. Redick enters the game for B. Griffin
0:03.0,N. Mirotic misses free throw 2 of 2,,21-18,,
0:02.0,,,21-18,,Defensive rebound by S. Hawes
0:01.0,,,21-18,,S. Hawes misses 3-pt shot from 66 ft
0:00.0,,,21-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,N. Mirotic misses 3-pt shot from 26 ft,,21-18,,
11:35.0,,,21-18,,Defensive rebound by J. Crawford
11:28.0,,,21-18,,J. Crawford misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by D. McDermott,,21-18,,
11:14.0,A. Brooks misses 3-pt shot from 26 ft,,21-18,,
11:12.0,Offensive rebound by J. Butler,,21-18,,
11:04.0,,,21-18,,Shooting block foul by G. Davis (drawn by T. Gibson)
11:04.0,T. Gibson misses free throw 1 of 2,,21-18,,
11:04.0,Offensive rebound by Team,,21-18,,
11:04.0,T. Gibson makes free throw 2 of 2,1,22-18,,
10:51.0,,,22-20,2,G. Davis makes 2-pt shot from 16 ft (assist by J. Crawford)
10:45.0,J. Butler misses 2-pt shot from 3 ft,,22-20,,
10:41.0,,,22-20,,Defensive rebound by R. Bullock
10:32.0,,,22-22,2,J. Crawford makes 2-pt shot from 18 ft
10:32.0,,,22-22,,Shooting foul by N. Mirotic (drawn by J. Crawford)
10:32.0,,,22-23,1,J. Crawford makes free throw 1 of 1
10:25.0,,,22-23,,Personal foul by J. Farmar (drawn by A. Brooks)
10:11.0,N. Mirotic makes 2-pt shot from 19 ft (assist by T. Gibson),2,24-23,,
9:52.0,,,24-25,2,J. Crawford makes 2-pt shot from 19 ft
9:37.0,N. Mirotic makes 2-pt shot from 1 ft,2,26-25,,
9:13.0,,,26-25,,J. Crawford misses 3-pt shot from 28 ft
9:11.0,Defensive rebound by D. McDermott,,26-25,,
9:02.0,D. McDermott misses 3-pt shot from 26 ft,,26-25,,
9:00.0,,,26-25,,Defensive rebound by S. Hawes
8:52.0,,,26-27,2,J. Crawford makes 2-pt shot from 16 ft
8:52.0,,,26-27,,Shooting foul by D. McDermott (drawn by J. Crawford)
8:52.0,Official timeout,,26-27,,
8:52.0,,,26-28,1,J. Crawford makes free throw 1 of 1
8:36.0,N. Mirotic misses 3-pt shot from 27 ft,,26-28,,
8:35.0,,,26-28,,Defensive rebound by S. Hawes
