time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Stoudemire vs. J. Valanciunas (J. Calderon gains possession),,,,Jump ball: A. Stoudemire vs. J. Valanciunas (J. Calderon gains possession)
11:39.0,,,0-0,,C. Anthony misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by T. Ross,,0-0,,
11:17.0,J. Valanciunas makes 2-pt shot at rim,2,2-0,,
10:55.0,,,2-2,2,T. Hardaway makes 2-pt shot from 19 ft (assist by Q. Acy)
10:44.0,K. Lowry makes 3-pt shot from 25 ft,3,5-2,,
10:35.0,,,5-2,,Shooting foul by J. Valanciunas (drawn by A. Stoudemire)
10:35.0,,,5-2,,A. Stoudemire misses free throw 1 of 2
10:35.0,,,5-2,,Offensive rebound by Team
10:35.0,,,5-3,1,A. Stoudemire makes free throw 2 of 2
10:20.0,Turnover by L. Fields (traveling),,5-3,,
10:04.0,,,5-3,,T. Hardaway misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by J. Valanciunas,,5-3,,
9:44.0,T. Ross misses 2-pt shot from 9 ft,,5-3,,
9:43.0,,,5-3,,Defensive rebound by C. Anthony
9:22.0,,,5-5,2,T. Hardaway makes 2-pt shot from 9 ft
9:07.0,Turnover by K. Lowry (bad pass; steal by A. Stoudemire),,5-5,,
9:02.0,,,5-5,,Turnover by J. Calderon (bad pass; steal by K. Lowry)
8:57.0,T. Ross makes 2-pt shot at rim (assist by K. Lowry),2,7-5,,
8:38.0,,,7-5,,Q. Acy misses 2-pt shot at rim
8:36.0,Defensive rebound by T. Ross,,7-5,,
8:32.0,Offensive foul by T. Ross,,7-5,,
8:32.0,Turnover by T. Ross (offensive foul),,7-5,,
8:09.0,Def 3 sec tech foul by A. Johnson,,7-5,,
8:09.0,,,7-5,,C. Anthony misses technical free throw
8:09.0,,,7-5,,Offensive rebound by Team
8:05.0,Violation by L. Fields (kicked ball),,7-5,,
7:52.0,,,7-5,,C. Anthony misses 3-pt shot from 31 ft
7:51.0,Defensive rebound by K. Lowry,,7-5,,
7:41.0,K. Lowry misses 2-pt shot from 12 ft,,7-5,,
7:40.0,,,7-5,,Defensive rebound by T. Hardaway
7:36.0,,,7-5,,Shooting foul by T. Ross (drawn by T. Hardaway)
7:36.0,,,7-6,1,T. Hardaway makes free throw 1 of 2
7:36.0,L. Williams enters the game for T. Ross,,7-6,,
7:36.0,,,7-7,1,T. Hardaway makes free throw 2 of 2
7:09.0,K. Lowry makes 2-pt shot from 1 ft,2,9-7,,
