time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (M. Barnes gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (M. Barnes gains possession)
11:47.0,,,0-0,,C. Paul misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by M. Gasol,,0-0,,
11:29.0,J. Green makes 2-pt shot from 1 ft (assist by M. Gasol),2,2-0,,
11:22.0,,,2-3,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
11:00.0,C. Lee makes 2-pt shot from 5 ft (assist by B. Udrih),2,4-3,,
10:40.0,,,4-3,,B. Griffin misses 2-pt shot from 5 ft
10:38.0,Defensive rebound by B. Udrih,,4-3,,
10:27.0,B. Udrih makes 2-pt shot from 10 ft (assist by J. Green),2,6-3,,
10:09.0,,,6-3,,Turnover by B. Griffin (bad pass; steal by M. Gasol)
10:04.0,,,6-3,,Violation by B. Griffin (def goaltending)
10:04.0,B. Udrih makes 2-pt shot at rim (assist by C. Lee),2,8-3,,
9:54.0,,,8-5,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin)
9:33.0,Turnover by J. Green (bad pass; steal by C. Paul),,8-5,,
9:30.0,,,8-5,,Turnover by C. Paul (traveling)
9:20.0,Turnover by B. Udrih (bad pass; steal by D. Jordan),,8-5,,
9:14.0,,,8-7,2,J. Redick makes 2-pt shot at rim (assist by C. Paul)
8:53.0,Z. Randolph makes 2-pt shot from 16 ft,2,10-7,,
8:38.0,,,10-7,,D. Jordan misses 2-pt shot from 1 ft (block by J. Green)
8:36.0,Defensive rebound by M. Gasol,,10-7,,
8:32.0,B. Udrih makes 2-pt shot at rim,2,12-7,,
8:29.0,,,12-7,,Turnover by M. Barnes (bad pass; steal by Z. Randolph)
8:22.0,M. Gasol misses 2-pt shot from 14 ft,,12-7,,
8:20.0,,,12-7,,Defensive rebound by D. Jordan
8:16.0,,,12-9,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
8:00.0,M. Gasol makes 2-pt shot at rim (assist by C. Lee),2,14-9,,
7:48.0,,,14-11,2,B. Griffin makes 2-pt shot from 15 ft (assist by C. Paul)
7:35.0,Turnover by B. Udrih (bad pass; steal by B. Griffin),,14-11,,
7:20.0,,,14-11,,B. Griffin misses 2-pt shot from 15 ft
7:20.0,,,14-11,,Offensive rebound by Team
7:20.0,Loose ball foul by Z. Randolph (drawn by D. Jordan),,14-11,,
7:13.0,,,14-11,,J. Redick misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by B. Udrih,,14-11,,
7:06.0,C. Lee misses 2-pt shot from 2 ft (block by D. Jordan),,14-11,,
7:03.0,,,14-11,,Defensive rebound by D. Jordan
6:57.0,,,14-13,2,C. Paul makes 2-pt shot from 16 ft (assist by B. Griffin)
6:37.0,Z. Randolph misses 2-pt shot from 17 ft,,14-13,,
6:34.0,,,14-13,,Defensive rebound by C. Paul
6:19.0,,,14-15,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
6:05.0,Z. Randolph misses 2-pt shot from 18 ft,,14-15,,
6:04.0,,,14-15,,Defensive rebound by D. Jordan
5:54.0,,,14-15,,C. Paul misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by Z. Randolph,,14-15,,
5:41.0,J. Green misses 3-pt shot from 22 ft,,14-15,,
5:40.0,,,14-15,,Defensive rebound by D. Jordan
5:35.0,,,14-17,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
5:28.0,Memphis full timeout,,14-17,,
5:28.0,V. Carter enters the game for J. Green,,14-17,,
5:16.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol),2,16-17,,
4:56.0,,,16-19,2,B. Griffin makes 2-pt shot from 2 ft
4:41.0,M. Gasol misses 2-pt shot from 7 ft,,16-19,,
4:40.0,,,16-19,,Defensive rebound by D. Jordan
4:36.0,,,16-21,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
