time,Utah,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. M. Gasol (E. Kanter gains possession),,,,Jump ball: D. Favors vs. M. Gasol (E. Kanter gains possession)
11:38.0,E. Kanter misses 2-pt shot from 2 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by Team
11:34.0,,,0-2,2,M. Conley makes 2-pt shot from 6 ft
11:10.0,T. Burke misses 3-pt shot from 26 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by K. Koufos
10:55.0,,,0-2,,M. Gasol misses 2-pt shot from 19 ft
10:54.0,Defensive rebound by T. Burke,,0-2,,
10:38.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,3-2,,
10:13.0,,,3-2,,T. Prince misses 2-pt shot from 12 ft
10:12.0,Defensive rebound by Team,,3-2,,
10:00.0,G. Hayward makes 2-pt shot from 17 ft,2,5-2,,
9:43.0,,,5-2,,M. Gasol misses 2-pt shot from 5 ft
9:42.0,Defensive rebound by Team,,5-2,,
9:26.0,Shooting foul by K. Koufos (drawn by D. Favors),,5-2,,
9:26.0,D. Favors makes free throw 1 of 2,1,6-2,,
9:26.0,D. Favors misses free throw 2 of 2,,6-2,,
9:25.0,,,6-2,,Defensive rebound by M. Gasol
9:02.0,,,6-4,2,K. Koufos makes 2-pt shot from 6 ft (assist by M. Conley)
8:44.0,E. Kanter makes 2-pt shot at rim,2,8-4,,
8:24.0,,,8-4,,T. Prince misses 2-pt shot from 20 ft
8:23.0,,,8-4,,Offensive rebound by M. Gasol
8:07.0,,,8-6,2,M. Gasol makes 2-pt shot from 9 ft
7:47.0,E. Kanter misses 2-pt shot from 1 ft,,8-6,,
7:46.0,,,8-6,,Defensive rebound by M. Gasol
7:37.0,,,8-8,2,M. Conley makes 2-pt shot from 10 ft
7:23.0,T. Burke misses 2-pt shot from 10 ft,,8-8,,
7:23.0,,,8-8,,Defensive rebound by Team
7:21.0,Loose ball foul by E. Kanter (drawn by M. Gasol),,8-8,,
7:09.0,,,8-10,2,C. Lee makes 2-pt shot from 19 ft (assist by T. Prince)
6:56.0,G. Hayward misses 2-pt shot from 6 ft (block by K. Koufos),,8-10,,
6:54.0,,,8-10,,Defensive rebound by M. Conley
6:43.0,,,8-12,2,M. Gasol makes 2-pt shot from 11 ft (assist by T. Prince)
6:29.0,D. Favors misses 2-pt shot from 2 ft,,8-12,,
6:27.0,,,8-12,,Defensive rebound by M. Gasol
6:22.0,,,8-12,,M. Conley misses 2-pt shot from 2 ft
6:19.0,,,8-12,,Offensive rebound by K. Koufos
6:19.0,,,8-12,,K. Koufos misses 2-pt shot at rim
6:17.0,Defensive rebound by D. Favors,,8-12,,
6:06.0,A. Burks makes 2-pt shot from 2 ft,2,10-12,,
5:50.0,,,10-12,,Offensive foul by M. Conley
5:50.0,,,10-12,,Turnover by M. Conley (offensive foul)
5:50.0,,,10-12,,Memphis full timeout
5:50.0,,,10-12,,B. Udrih enters the game for M. Conley
5:50.0,R. Gobert enters the game for E. Kanter,,10-12,,
5:50.0,D. Exum enters the game for T. Burke,,10-12,,
5:38.0,R. Gobert misses 2-pt shot at rim,,10-12,,
5:36.0,,,10-12,,Defensive rebound by B. Udrih
5:22.0,,,10-14,2,C. Lee makes 2-pt shot from 16 ft (assist by K. Koufos)
5:03.0,D. Favors misses 2-pt shot from 16 ft,,10-14,,
5:02.0,,,10-14,,Defensive rebound by C. Lee
4:49.0,,,10-16,2,M. Gasol makes 2-pt shot from 10 ft
4:36.0,Turnover by R. Gobert (traveling),,10-16,,
4:36.0,R. Hood enters the game for A. Burks,,10-16,,
4:36.0,,,10-16,,V. Carter enters the game for T. Prince
4:12.0,,,10-18,2,M. Gasol makes 2-pt shot from 22 ft (assist by K. Koufos)
3:56.0,R. Hood makes 3-pt shot from 26 ft (assist by D. Exum),3,13-18,,
3:33.0,,,13-18,,C. Lee misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by Team,,13-18,,
3:20.0,G. Hayward misses 2-pt shot from 16 ft,,13-18,,
3:19.0,Offensive rebound by Team,,13-18,,
3:18.0,,,13-18,,J. Leuer enters the game for K. Koufos
3:10.0,R. Hood misses 3-pt shot from 25 ft,,13-18,,
3:09.0,Offensive rebound by R. Hood,,13-18,,
2:57.0,Turnover by R. Hood (bad pass; steal by V. Carter),,13-18,,
2:44.0,,,13-20,2,M. Gasol makes 2-pt shot from 20 ft (assist by V. Carter)
2:32.0,D. Favors makes 2-pt shot from 5 ft (assist by R. Hood),2,15-20,,
2:05.0,,,15-20,,B. Udrih misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by R. Gobert,,15-20,,
1:47.0,D. Favors misses 2-pt shot from 11 ft,,15-20,,
1:46.0,,,15-20,,Defensive rebound by V. Carter
1:33.0,,,15-20,,C. Lee misses 3-pt shot from 25 ft
1:30.0,,,15-20,,Offensive rebound by M. Gasol
