time,Denver,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Faried (E. Gordon gains possession),,,,Jump ball: A. Davis vs. K. Faried (E. Gordon gains possession)
11:37.0,,,0-3,3,E. Gordon makes 3-pt shot from 25 ft
11:20.0,Turnover by K. Faried (lost ball),,0-3,,
11:07.0,,,0-3,,A. Davis misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by J. Nurkic,,0-3,,
10:55.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Gallinari),2,2-3,,
10:34.0,,,2-3,,Q. Pondexter misses 3-pt shot from 24 ft
10:33.0,Defensive rebound by T. Lawson,,2-3,,
10:23.0,Turnover by J. Nurkic (lost ball; steal by O. Asik),,2-3,,
10:10.0,,,2-5,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
9:43.0,J. Nurkic misses 2-pt shot from 18 ft,,2-5,,
9:42.0,,,2-5,,Defensive rebound by Q. Pondexter
9:33.0,,,2-5,,O. Asik misses 2-pt shot from 1 ft (block by K. Faried)
9:31.0,Defensive rebound by D. Gallinari,,2-5,,
9:26.0,K. Faried makes 2-pt shot at rim (assist by D. Gallinari),2,4-5,,
9:06.0,,,4-5,,E. Gordon misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by D. Gallinari,,4-5,,
8:54.0,K. Faried misses 2-pt shot from 5 ft (block by A. Davis),,4-5,,
8:52.0,Offensive rebound by K. Faried,,4-5,,
8:47.0,T. Lawson makes 2-pt shot from 8 ft (assist by K. Faried),2,6-5,,
8:29.0,,,6-5,,Q. Pondexter misses 3-pt shot from 25 ft
8:28.0,,,6-5,,Offensive rebound by E. Gordon
8:26.0,,,6-5,,Shooting foul by K. Faried (drawn by A. Davis)
8:26.0,,,6-6,1,A. Davis makes free throw 1 of 2
8:26.0,,,6-7,1,A. Davis makes free throw 2 of 2
8:10.0,G. Harris misses 2-pt shot from 12 ft,,6-7,,
8:08.0,,,6-7,,Defensive rebound by O. Asik
8:02.0,Personal foul by G. Harris (drawn by T. Evans),,6-7,,
7:55.0,,,6-10,3,E. Gordon makes 3-pt shot from 24 ft (assist by O. Asik)
7:38.0,K. Faried misses 2-pt shot from 9 ft,,6-10,,
7:35.0,,,6-10,,Defensive rebound by Q. Pondexter
7:23.0,,,6-10,,O. Asik misses 2-pt shot from 2 ft
7:22.0,,,6-10,,Offensive rebound by O. Asik
7:19.0,,,6-10,,O. Asik misses 2-pt shot from 2 ft (block by G. Harris)
7:18.0,Defensive rebound by D. Gallinari,,6-10,,
7:12.0,T. Lawson makes 3-pt shot from 25 ft (assist by D. Gallinari),3,9-10,,
6:48.0,,,9-10,,Shooting foul by J. Nurkic (drawn by T. Evans)
6:48.0,,,9-11,1,T. Evans makes free throw 1 of 2
6:48.0,,,9-11,,T. Evans misses free throw 2 of 2
6:47.0,Defensive rebound by K. Faried,,9-11,,
6:38.0,D. Gallinari misses 3-pt shot from 25 ft,,9-11,,
6:37.0,,,9-11,,Defensive rebound by T. Evans
6:26.0,,,9-13,2,A. Davis makes 2-pt shot from 11 ft (assist by T. Evans)
6:15.0,J. Nurkic makes 2-pt shot from 2 ft (assist by T. Lawson),2,11-13,,
5:56.0,,,11-13,,Turnover by O. Asik (traveling)
5:56.0,,,11-13,,New Orleans full timeout
5:43.0,D. Gallinari makes 2-pt shot from 1 ft,2,13-13,,
5:26.0,,,13-13,,E. Gordon misses 2-pt shot from 12 ft
5:26.0,,,13-13,,Offensive rebound by O. Asik
5:26.0,Loose ball foul by D. Gallinari (drawn by O. Asik),,13-13,,
5:15.0,,,13-15,2,A. Davis makes 2-pt shot from 8 ft (assist by T. Evans)
5:03.0,Turnover by T. Lawson (bad pass),,13-15,,
5:03.0,,,13-15,,D. Cunningham enters the game for Q. Pondexter
4:49.0,,,13-17,2,T. Evans makes 2-pt shot from 2 ft (assist by D. Cunningham)
4:30.0,J. Nurkic misses 2-pt shot from 1 ft,,13-17,,
4:28.0,,,13-17,,Defensive rebound by D. Cunningham
4:13.0,,,13-17,,T. Evans misses 2-pt shot from 3 ft
4:12.0,,,13-17,,Offensive rebound by O. Asik
4:12.0,,,13-17,,Shooting foul by D. Gallinari (drawn by O. Asik)
4:12.0,,,13-17,,O. Asik misses free throw 1 of 2
4:12.0,,,13-17,,Offensive rebound by Team
4:12.0,W. Barton enters the game for J. Nurkic,,13-17,,
4:12.0,J. Hickson enters the game for G. Harris,,13-17,,
4:12.0,J. Nelson enters the game for D. Gallinari,,13-17,,
4:12.0,,,13-18,1,O. Asik makes free throw 2 of 2
3:55.0,K. Faried misses 2-pt shot from 4 ft,,13-18,,
3:53.0,,,13-18,,Defensive rebound by E. Gordon
3:47.0,,,13-18,,Turnover by T. Evans (bad pass; steal by T. Lawson)
3:43.0,W. Barton makes 2-pt shot at rim (assist by T. Lawson),2,15-18,,
3:27.0,,,15-20,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
3:14.0,Turnover by J. Nelson (bad pass),,15-20,,
3:14.0,,,15-20,,A. Ajinca enters the game for O. Asik
3:01.0,,,15-22,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
2:53.0,T. Lawson misses 2-pt shot from 3 ft,,15-22,,
2:52.0,Offensive rebound by T. Lawson,,15-22,,
2:46.0,Turnover by K. Faried (lost ball; steal by A. Ajinca),,15-22,,
2:44.0,,,15-22,,Turnover by A. Ajinca (bad pass; steal by W. Barton)
2:40.0,K. Faried makes 2-pt shot at rim (assist by J. Hickson),2,17-22,,
2:35.0,,,17-22,,New Orleans full timeout
2:35.0,Denver full timeout,,17-22,,
2:35.0,,,17-22,,N. Cole enters the game for T. Evans
2:22.0,,,17-24,2,A. Davis makes 2-pt shot from 16 ft
2:07.0,J. Hickson misses 2-pt shot from 5 ft,,17-24,,
2:06.0,,,17-24,,Defensive rebound by A. Ajinca
2:05.0,,,17-24,,Turnover by A. Ajinca (bad pass; steal by T. Lawson)
2:03.0,Shooting foul by A. Ajinca (drawn by K. Faried),,17-24,,
2:03.0,K. Faried makes free throw 1 of 2,1,18-24,,
2:03.0,,,18-24,,E. Williams enters the game for E. Gordon
2:03.0,E. Green enters the game for T. Lawson,,18-24,,
2:03.0,K. Faried makes free throw 2 of 2,1,19-24,,
1:46.0,,,19-24,,Offensive foul by A. Ajinca
1:46.0,,,19-24,,Turnover by A. Ajinca (offensive foul)
1:29.0,J. Nelson misses 3-pt shot from 24 ft,,19-24,,
1:27.0,Offensive rebound by Team,,19-24,,
1:27.0,,,19-24,,J. Withey enters the game for A. Ajinca
1:24.0,J. Hickson misses 2-pt shot from 15 ft,,19-24,,
1:22.0,,,19-24,,Defensive rebound by A. Davis
1:15.0,,,19-24,,N. Cole misses 2-pt shot from 4 ft
1:13.0,Defensive rebound by J. Hickson,,19-24,,
