time,Indiana,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Mozgov (S. Hill gains possession),,,,Jump ball: R. Hibbert vs. T. Mozgov (S. Hill gains possession)
11:38.0,Turnover by S. Hill (bad pass; steal by T. Lawson),,0-0,,
11:34.0,,,0-2,2,T. Lawson makes 2-pt shot from 1 ft (assist by K. Faried)
11:16.0,S. Hill misses 2-pt shot from 18 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by A. Afflalo
11:08.0,,,0-2,,T. Lawson misses 2-pt shot from 14 ft
11:08.0,Defensive rebound by Team,,0-2,,
10:51.0,Turnover by R. Hibbert (lost ball; steal by A. Afflalo),,0-2,,
10:43.0,,,0-2,,A. Afflalo misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by S. Hill,,0-2,,
10:23.0,R. Hibbert misses 2-pt shot from 8 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by T. Mozgov
10:06.0,,,0-2,,W. Chandler misses 2-pt shot from 10 ft
10:05.0,Defensive rebound by D. West,,0-2,,
10:04.0,,,0-2,,Personal foul by K. Faried (drawn by D. West)
9:44.0,D. West makes 2-pt shot from 15 ft,2,2-2,,
9:33.0,,,2-2,,Turnover by T. Mozgov (bad pass)
9:18.0,D. West makes 3-pt shot from 22 ft (assist by R. Stuckey),3,5-2,,
9:07.0,,,5-2,,Offensive foul by T. Mozgov
9:07.0,,,5-2,,Turnover by T. Mozgov (offensive foul)
8:50.0,D. West makes 2-pt shot from 17 ft (assist by D. Sloan),2,7-2,,
8:36.0,,,7-2,,W. Chandler misses 3-pt shot from 24 ft
8:36.0,,,7-2,,Offensive rebound by Team
8:36.0,Loose ball foul by R. Hibbert (drawn by T. Mozgov),,7-2,,
8:34.0,Personal foul by S. Hill (drawn by W. Chandler),,7-2,,
8:24.0,,,7-4,2,T. Lawson makes 2-pt shot from 2 ft
8:20.0,Turnover by D. West (bad pass; steal by T. Lawson),,7-4,,
8:18.0,,,7-4,,Turnover by A. Afflalo (bad pass)
8:03.0,D. Sloan makes 2-pt shot from 2 ft,2,9-4,,
7:44.0,,,9-4,,A. Afflalo misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by D. West,,9-4,,
7:31.0,D. West misses 3-pt shot from 25 ft,,9-4,,
7:30.0,,,9-4,,Defensive rebound by A. Afflalo
7:19.0,,,9-4,,K. Faried misses 2-pt shot from 6 ft
7:17.0,Defensive rebound by R. Hibbert,,9-4,,
7:09.0,R. Stuckey misses 2-pt shot from 10 ft,,9-4,,
7:07.0,,,9-4,,Defensive rebound by T. Mozgov
6:55.0,,,9-4,,K. Faried misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by D. Sloan,,9-4,,
6:40.0,D. West makes 2-pt shot from 20 ft (assist by D. Sloan),2,11-4,,
6:31.0,,,11-4,,Denver full timeout
6:31.0,,,11-4,,J. Hickson enters the game for K. Faried
6:17.0,,,11-4,,A. Afflalo misses 2-pt shot from 17 ft
6:16.0,,,11-4,,Offensive rebound by T. Mozgov
6:16.0,,,11-4,,T. Mozgov misses 2-pt shot at rim
6:16.0,,,11-4,,Offensive rebound by Team
6:16.0,Loose ball foul by R. Hibbert (drawn by T. Mozgov),,11-4,,
6:16.0,L. Allen enters the game for R. Hibbert,,11-4,,
6:06.0,,,11-4,,T. Lawson misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by L. Allen,,11-4,,
5:50.0,D. West misses 2-pt shot from 18 ft,,11-4,,
5:48.0,,,11-4,,Defensive rebound by T. Mozgov
5:45.0,,,11-6,2,J. Hickson makes 2-pt shot from 1 ft (assist by T. Lawson)
5:31.0,R. Stuckey misses 2-pt shot from 3 ft (block by J. Hickson),,11-6,,
5:30.0,Offensive rebound by Team,,11-6,,
5:30.0,C. Miles enters the game for R. Stuckey,,11-6,,
5:30.0,Offensive foul by D. West,,11-6,,
5:30.0,Turnover by D. West (offensive foul),,11-6,,
5:20.0,,,11-6,,Shooting foul by D. Sloan (drawn by T. Lawson)
5:20.0,,,11-7,1,T. Lawson makes free throw 1 of 2
5:20.0,,,11-7,,T. Lawson misses free throw 2 of 2
5:18.0,Defensive rebound by S. Hill,,11-7,,
5:03.0,C. Miles misses 3-pt shot from 24 ft,,11-7,,
5:02.0,,,11-7,,Defensive rebound by T. Mozgov
4:51.0,,,11-7,,W. Chandler misses 2-pt shot from 16 ft
4:50.0,Defensive rebound by D. West,,11-7,,
4:34.0,C. Miles misses 2-pt shot from 16 ft,,11-7,,
4:32.0,,,11-7,,Defensive rebound by W. Chandler
4:22.0,,,11-7,,J. Hickson misses 2-pt shot from 9 ft
