time,San Antonio,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Lopez (T. Parker gains possession),,,,Jump ball: T. Duncan vs. R. Lopez (T. Parker gains possession)
11:48.0,T. Parker misses 2-pt shot from 18 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by L. Aldridge
11:34.0,,,0-0,,L. Aldridge misses 2-pt shot from 21 ft
11:33.0,Defensive rebound by K. Leonard,,0-0,,
11:18.0,A. Baynes misses 2-pt shot from 14 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by D. Lillard
11:10.0,Shooting block foul by A. Baynes (drawn by R. Lopez),,0-0,,
11:10.0,,,0-1,1,R. Lopez makes free throw 1 of 2
11:10.0,,,0-2,1,R. Lopez makes free throw 2 of 2
10:56.0,T. Duncan makes 2-pt shot from 3 ft (assist by T. Parker),2,2-2,,
10:33.0,,,2-2,,W. Matthews misses 3-pt shot from 22 ft
10:32.0,Defensive rebound by T. Duncan,,2-2,,
10:17.0,T. Duncan makes 2-pt shot from 20 ft (assist by T. Parker),2,4-2,,
9:56.0,,,4-2,,Turnover by N. Batum (bad pass; steal by T. Duncan)
9:29.0,K. Leonard misses 3-pt shot from 24 ft,,4-2,,
9:29.0,,,4-2,,Defensive rebound by L. Aldridge
9:21.0,,,4-4,2,W. Matthews makes 2-pt shot from 1 ft
8:57.0,T. Duncan makes 2-pt shot from 6 ft,2,6-4,,
8:46.0,,,6-6,2,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Lillard)
8:31.0,T. Parker misses 2-pt shot from 17 ft,,6-6,,
8:30.0,,,6-6,,Defensive rebound by W. Matthews
8:16.0,,,6-6,,Shooting foul by T. Parker (drawn by W. Matthews)
8:16.0,,,6-7,1,W. Matthews makes free throw 1 of 2
8:16.0,,,6-8,1,W. Matthews makes free throw 2 of 2
8:02.0,Turnover by T. Parker (bad pass; steal by N. Batum),,6-8,,
7:59.0,,,6-10,2,N. Batum makes 2-pt shot at rim
7:47.0,A. Baynes misses 2-pt shot from 2 ft (block by R. Lopez),,6-10,,
7:47.0,Offensive rebound by Team,,6-10,,
7:32.0,T. Parker misses 2-pt shot from 21 ft,,6-10,,
7:32.0,,,6-10,,Defensive rebound by L. Aldridge
7:22.0,,,6-10,,L. Aldridge misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by K. Leonard,,6-10,,
7:14.0,T. Duncan makes 2-pt shot at rim (assist by K. Leonard),2,8-10,,
6:50.0,,,8-10,,L. Aldridge misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by A. Baynes,,8-10,,
6:37.0,D. Green misses 2-pt shot from 19 ft,,8-10,,
6:36.0,,,8-10,,Defensive rebound by W. Matthews
6:29.0,,,8-12,2,N. Batum makes 2-pt shot from 19 ft
6:29.0,San Antonio full timeout,,8-12,,
6:29.0,M. Ginobili enters the game for K. Leonard,,8-12,,
6:29.0,B. Diaw enters the game for D. Green,,8-12,,
6:29.0,K. Leonard enters the game for A. Baynes,,8-12,,
6:16.0,T. Duncan makes 2-pt shot from 2 ft (assist by B. Diaw),2,10-12,,
5:59.0,,,10-12,,D. Lillard misses 2-pt shot from 22 ft
5:57.0,Defensive rebound by Team,,10-12,,
5:49.0,Turnover by T. Parker (bad pass),,10-12,,
5:40.0,,,10-12,,L. Aldridge misses 2-pt shot from 2 ft
5:39.0,,,10-12,,Offensive rebound by R. Lopez
5:28.0,,,10-12,,W. Matthews misses 3-pt shot from 24 ft
5:26.0,,,10-12,,Offensive rebound by N. Batum
5:22.0,,,10-15,3,N. Batum makes 3-pt shot from 24 ft (assist by D. Lillard)
5:01.0,M. Ginobili makes 2-pt shot from 1 ft (assist by B. Diaw),2,12-15,,
4:47.0,,,12-17,2,R. Lopez makes 2-pt shot from 2 ft (assist by N. Batum)
4:35.0,Turnover by K. Leonard (bad pass; steal by N. Batum),,12-17,,
4:18.0,,,12-19,2,R. Lopez makes 2-pt shot from 19 ft (assist by N. Batum)
3:51.0,M. Ginobili misses 3-pt shot from 25 ft,,12-19,,
3:50.0,,,12-19,,Defensive rebound by N. Batum
3:37.0,,,12-21,2,W. Matthews makes 2-pt shot from 17 ft (assist by L. Aldridge)
3:26.0,T. Parker misses 2-pt shot from 1 ft,,12-21,,
3:25.0,,,12-21,,Defensive rebound by D. Lillard
3:21.0,,,12-23,2,D. Lillard makes 2-pt shot from 1 ft
3:08.0,Offensive foul by T. Duncan,,12-23,,
3:08.0,Turnover by T. Duncan (offensive foul),,12-23,,
3:08.0,M. Belinelli enters the game for K. Leonard,,12-23,,
3:08.0,T. Splitter enters the game for T. Duncan,,12-23,,
3:08.0,C. Joseph enters the game for T. Parker,,12-23,,
3:08.0,,,12-23,,A. Afflalo enters the game for L. Aldridge
3:08.0,,,12-23,,C. Kaman enters the game for R. Lopez
3:08.0,,,12-23,,S. Blake enters the game for W. Matthews
3:08.0,,,12-23,,L. Aldridge enters the game for D. Lillard
2:50.0,,,12-25,2,S. Blake makes 2-pt shot from 18 ft
2:35.0,M. Belinelli misses 2-pt shot from 1 ft (block by N. Batum),,12-25,,
2:32.0,,,12-25,,Defensive rebound by S. Blake
2:21.0,,,12-25,,L. Aldridge misses 2-pt shot from 15 ft
2:21.0,Defensive rebound by Team,,12-25,,
2:21.0,,,12-25,,Loose ball foul by C. Kaman (drawn by B. Diaw)
2:21.0,,,12-25,,Portland full timeout
2:07.0,M. Ginobili misses 2-pt shot from 10 ft,,12-25,,
2:06.0,Offensive rebound by T. Splitter,,12-25,,
1:55.0,M. Belinelli makes 2-pt shot from 7 ft (assist by M. Ginobili),2,14-25,,
1:32.0,,,14-27,2,L. Aldridge makes 2-pt shot from 16 ft
1:08.0,,,14-27,,Personal foul by S. Blake (drawn by C. Joseph)
1:04.0,T. Splitter makes 2-pt shot at rim (assist by M. Ginobili),2,16-27,,
0:52.0,,,16-30,3,N. Batum makes 3-pt shot from 24 ft
0:38.0,Turnover by M. Ginobili (bad pass; steal by A. Afflalo),,16-30,,
0:34.0,,,16-32,2,A. Afflalo makes 2-pt shot from 1 ft (assist by N. Batum)
0:18.0,B. Diaw misses 2-pt shot from 20 ft,,16-32,,
0:17.0,,,16-32,,Defensive rebound by C. Kaman
0:06.0,,,16-32,,L. Aldridge misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by M. Ginobili,,16-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,16-34,2,W. Matthews makes 2-pt shot from 8 ft (assist by S. Blake)
11:16.0,B. Diaw makes 2-pt shot from 10 ft,2,18-34,,
10:59.0,,,18-37,3,A. Afflalo makes 3-pt shot from 25 ft (assist by S. Blake)
10:48.0,B. Diaw makes 3-pt shot from 24 ft (assist by C. Joseph),3,21-37,,
10:31.0,,,21-37,,A. Afflalo misses 2-pt shot from 9 ft
10:30.0,Defensive rebound by T. Splitter,,21-37,,
10:19.0,B. Diaw misses 2-pt shot from 2 ft,,21-37,,
10:18.0,,,21-37,,Defensive rebound by C. Kaman
10:01.0,,,21-37,,Turnover by C. Kaman (bad pass; steal by C. Joseph)
9:38.0,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Diaw),3,24-37,,
9:10.0,,,24-37,,S. Blake misses 2-pt shot from 15 ft
9:10.0,,,24-37,,Offensive rebound by Team
9:10.0,Loose ball foul by B. Diaw (drawn by M. Leonard),,24-37,,
9:10.0,K. Leonard enters the game for M. Ginobili,,24-37,,
9:00.0,,,24-37,,W. Matthews misses 3-pt shot from 24 ft
8:59.0,,,24-37,,Offensive rebound by W. Matthews
8:52.0,Violation by B. Diaw (kicked ball),,24-37,,
8:52.0,Official timeout,,24-37,,
8:38.0,,,24-39,2,W. Matthews makes 2-pt shot from 1 ft (assist by M. Leonard)
8:21.0,T. Splitter makes 2-pt shot from 6 ft,2,26-39,,
8:01.0,,,26-39,,Turnover by A. Afflalo (bad pass; steal by B. Diaw)
7:58.0,Offensive charge foul by B. Diaw,,26-39,,
7:58.0,Turnover by B. Diaw (offensive foul),,26-39,,
7:58.0,,,26-39,,D. Lillard enters the game for S. Blake
7:58.0,T. Duncan enters the game for B. Diaw,,26-39,,
7:38.0,,,26-42,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
7:25.0,M. Belinelli makes 2-pt shot from 20 ft,2,28-42,,
7:18.0,,,28-42,,Turnover by M. Leonard (offensive foul)
7:18.0,,,28-42,,Offensive foul by M. Leonard
7:18.0,T. Parker enters the game for C. Joseph,,28-42,,
7:18.0,D. Green enters the game for M. Belinelli,,28-42,,
6:58.0,T. Duncan makes 2-pt shot from 19 ft,2,30-42,,
6:44.0,Personal foul by K. Leonard (drawn by W. Matthews),,30-42,,
6:44.0,A. Baynes enters the game for T. Splitter,,30-42,,
6:44.0,,,30-42,,R. Lopez enters the game for C. Kaman
6:44.0,,,30-42,,N. Batum enters the game for W. Matthews
6:39.0,,,30-42,,Turnover by N. Batum (bad pass; steal by K. Leonard)
6:33.0,K. Leonard misses 2-pt shot from 21 ft,,30-42,,
6:32.0,,,30-42,,Defensive rebound by D. Lillard
6:25.0,,,30-44,2,D. Lillard makes 2-pt shot at rim
6:10.0,A. Baynes makes 2-pt shot at rim (assist by T. Parker),2,32-44,,
5:53.0,,,32-46,2,N. Batum makes 2-pt shot from 17 ft
5:28.0,K. Leonard makes 3-pt shot from 24 ft (assist by A. Baynes),3,35-46,,
5:28.0,,,35-46,,Portland full timeout
5:28.0,,,35-46,,L. Aldridge enters the game for M. Leonard
5:16.0,,,35-46,,Turnover by N. Batum (bad pass; steal by T. Parker)
5:02.0,K. Leonard misses 2-pt shot from 7 ft,,35-46,,
5:02.0,Offensive rebound by D. Green,,35-46,,
5:02.0,Shooting foul by R. Lopez (drawn by D. Green),,35-46,,
5:02.0,D. Green makes free throw 1 of 2,1,36-46,,
5:02.0,D. Green makes free throw 2 of 2,1,37-46,,
4:42.0,,,37-46,,L. Aldridge misses 2-pt shot from 5 ft
4:41.0,Defensive rebound by K. Leonard,,37-46,,
4:22.0,D. Green misses 3-pt shot from 27 ft,,37-46,,
4:21.0,,,37-46,,Defensive rebound by D. Lillard
4:15.0,,,37-46,,Turnover by D. Lillard (lost ball; steal by K. Leonard)
4:11.0,K. Leonard makes 2-pt shot at rim,2,39-46,,
3:51.0,,,39-46,,N. Batum misses 3-pt shot from 24 ft
3:49.0,Defensive rebound by A. Baynes,,39-46,,
3:34.0,D. Green makes 2-pt shot from 15 ft (assist by T. Duncan),2,41-46,,
3:34.0,,,41-46,,Portland full timeout
3:34.0,,,41-46,,W. Matthews enters the game for A. Afflalo
3:19.0,,,41-48,2,L. Aldridge makes 2-pt shot from 17 ft (assist by R. Lopez)
2:56.0,T. Duncan makes 2-pt shot from 21 ft (assist by K. Leonard),2,43-48,,
2:41.0,,,43-48,,D. Lillard misses 2-pt shot from 7 ft
2:39.0,Defensive rebound by T. Duncan,,43-48,,
2:33.0,D. Green makes 3-pt shot from 23 ft (assist by T. Duncan),3,46-48,,
2:16.0,,,46-48,,Offensive foul by L. Aldridge
2:16.0,,,46-48,,Turnover by L. Aldridge (offensive foul)
2:16.0,San Antonio full timeout,,46-48,,
