time,Orlando,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. N. Vucevic (T. Lawson gains possession),,,,Jump ball: J. Nurkic vs. N. Vucevic (T. Lawson gains possession)
11:48.0,,,0-0,,Turnover by W. Chandler (bad pass; steal by V. Oladipo)
11:26.0,E. Payton misses 2-pt shot from 4 ft (block by K. Faried),,0-0,,
11:25.0,Offensive rebound by Team,,0-0,,
11:25.0,Turnover by Team (shot clock),,0-0,,
11:04.0,,,0-2,2,A. Afflalo makes 2-pt shot from 10 ft
10:45.0,K. O'Quinn misses 3-pt shot from 24 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by W. Chandler
10:26.0,,,0-2,,J. Nurkic misses 2-pt shot from 7 ft
10:24.0,Defensive rebound by E. Payton,,0-2,,
10:14.0,Turnover by N. Vucevic (3 sec),,0-2,,
10:01.0,,,0-2,,A. Afflalo misses 2-pt shot from 17 ft
10:00.0,Defensive rebound by K. O'Quinn,,0-2,,
9:56.0,Orlando full timeout,,0-2,,
9:44.0,N. Vucevic misses 2-pt shot from 10 ft,,0-2,,
9:42.0,,,0-2,,Defensive rebound by K. Faried
9:38.0,,,0-2,,K. Faried misses 2-pt shot from 16 ft
9:37.0,,,0-2,,Offensive rebound by Team
9:37.0,Loose ball foul by N. Vucevic (drawn by J. Nurkic),,0-2,,
9:24.0,,,0-2,,J. Nurkic misses 2-pt shot from 18 ft
9:22.0,Defensive rebound by T. Harris,,0-2,,
9:04.0,K. O'Quinn misses 2-pt shot from 18 ft,,0-2,,
9:03.0,Offensive rebound by E. Payton,,0-2,,
8:53.0,E. Payton misses 2-pt shot at rim,,0-2,,
8:51.0,,,0-2,,Defensive rebound by T. Lawson
8:37.0,,,0-2,,Shooting foul by N. Vucevic (drawn by J. Nurkic)
8:37.0,,,0-2,,Denver full timeout
8:37.0,C. Frye enters the game for N. Vucevic,,0-2,,
8:37.0,,,0-3,1,J. Nurkic makes free throw 1 of 2
8:37.0,,,0-4,1,J. Nurkic makes free throw 2 of 2
8:23.0,V. Oladipo makes 2-pt shot from 2 ft,2,2-4,,
8:01.0,T. Harris misses 3-pt shot from 23 ft,,2-4,,
7:59.0,,,2-4,,Defensive rebound by K. Faried
7:52.0,,,2-7,3,T. Lawson makes 3-pt shot from 25 ft
7:39.0,K. O'Quinn makes 2-pt shot from 1 ft (assist by E. Payton),2,4-7,,
7:39.0,Shooting foul by J. Nurkic (drawn by K. O'Quinn),,4-7,,
7:39.0,K. O'Quinn makes free throw 1 of 1,1,5-7,,
7:25.0,,,5-7,,J. Nurkic misses 2-pt shot from 1 ft
7:23.0,,,5-7,,Offensive rebound by T. Lawson
7:20.0,,,5-7,,K. Faried misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by T. Harris,,5-7,,
7:01.0,V. Oladipo misses 2-pt shot from 2 ft,,5-7,,
6:59.0,,,5-7,,Defensive rebound by K. Faried
6:53.0,,,5-9,2,A. Afflalo makes 2-pt shot from 1 ft
6:38.0,T. Harris misses 2-pt shot from 21 ft,,5-9,,
6:36.0,,,5-9,,Defensive rebound by T. Lawson
6:30.0,,,5-9,,Turnover by K. Faried (bad pass)
6:16.0,Turnover by K. O'Quinn (traveling),,5-9,,
6:16.0,,,5-9,,J. Hickson enters the game for K. Faried
5:54.0,,,5-11,2,T. Lawson makes 2-pt shot from 11 ft
5:42.0,T. Harris misses 2-pt shot from 5 ft,,5-11,,
5:41.0,,,5-11,,Defensive rebound by W. Chandler
5:35.0,,,5-11,,A. Afflalo misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by T. Harris,,5-11,,
5:25.0,Turnover by T. Harris (lost ball; steal by J. Nurkic),,5-11,,
5:18.0,,,5-11,,W. Chandler misses 2-pt shot from 6 ft
5:17.0,Defensive rebound by E. Payton,,5-11,,
5:13.0,Orlando full timeout,,5-11,,
5:13.0,E. Fournier enters the game for E. Payton,,5-11,,
5:00.0,V. Oladipo makes 2-pt shot from 2 ft,2,7-11,,
4:39.0,,,7-13,2,T. Lawson makes 2-pt shot from 18 ft
4:19.0,K. O'Quinn makes 2-pt shot at rim (assist by V. Oladipo),2,9-13,,
4:06.0,,,9-13,,Turnover by T. Lawson (bad pass; steal by V. Oladipo)
4:03.0,Shooting foul by T. Lawson (drawn by E. Fournier),,9-13,,
4:03.0,E. Fournier makes free throw 1 of 2,1,10-13,,
4:03.0,D. Dedmon enters the game for T. Harris,,10-13,,
4:03.0,B. Gordon enters the game for K. O'Quinn,,10-13,,
4:03.0,E. Fournier makes free throw 2 of 2,1,11-13,,
3:47.0,,,11-16,3,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson)
3:31.0,E. Fournier misses 2-pt shot from 1 ft (block by J. Hickson),,11-16,,
3:29.0,,,11-16,,Defensive rebound by W. Chandler
3:28.0,,,11-16,,Turnover by W. Chandler (traveling)
3:28.0,,,11-16,,N. Robinson enters the game for W. Chandler
3:14.0,C. Frye misses 3-pt shot from 25 ft,,11-16,,
3:12.0,,,11-16,,Defensive rebound by A. Afflalo
3:01.0,,,11-18,2,J. Hickson makes 2-pt shot from 1 ft
2:43.0,B. Gordon misses 2-pt shot from 1 ft,,11-18,,
2:42.0,,,11-18,,Defensive rebound by N. Robinson
2:31.0,,,11-21,3,T. Lawson makes 3-pt shot from 24 ft (assist by N. Robinson)
2:31.0,Orlando full timeout,,11-21,,
2:31.0,L. Ridnour enters the game for V. Oladipo,,11-21,,
2:31.0,,,11-21,,D. Arthur enters the game for J. Nurkic
2:12.0,D. Dedmon makes 2-pt shot at rim (assist by E. Fournier),2,13-21,,
1:57.0,Personal foul by B. Gordon (drawn by N. Robinson),,13-21,,
1:47.0,Violation by L. Ridnour (kicked ball),,13-21,,
1:40.0,,,13-21,,D. Arthur misses 2-pt shot from 14 ft
1:39.0,Defensive rebound by L. Ridnour,,13-21,,
1:33.0,C. Frye misses 3-pt shot from 25 ft,,13-21,,
1:31.0,Offensive rebound by E. Fournier,,13-21,,
1:14.0,E. Fournier makes 2-pt shot from 1 ft,2,15-21,,
1:14.0,Shooting foul by D. Arthur (drawn by E. Fournier),,15-21,,
1:14.0,N. Vucevic enters the game for D. Dedmon,,15-21,,
1:14.0,E. Fournier makes free throw 1 of 1,1,16-21,,
1:02.0,,,16-23,2,D. Arthur makes 2-pt shot from 19 ft (assist by N. Robinson)
0:42.0,N. Vucevic makes 2-pt shot from 5 ft (assist by B. Gordon),2,18-23,,
0:36.0,,,18-23,,T. Lawson misses 2-pt shot from 1 ft
0:35.0,Defensive rebound by N. Vucevic,,18-23,,
0:25.0,Turnover by E. Fournier (bad pass; steal by T. Lawson),,18-23,,
0:24.0,Personal take foul by C. Frye (drawn by T. Lawson),,18-23,,
0:24.0,,,18-23,,T. Lawson misses free throw 1 of 2
0:24.0,,,18-23,,Offensive rebound by Team
0:24.0,,,18-23,,T. Lawson misses free throw 2 of 2
0:22.0,Defensive rebound by E. Fournier,,18-23,,
0:05.0,Turnover by E. Fournier (lost ball; steal by J. Hickson),,18-23,,
0:02.0,,,18-25,2,T. Lawson makes 2-pt shot from 2 ft (assist by D. Arthur)
0:01.0,E. Fournier misses 3-pt shot from 31 ft,,18-25,,
0:00.0,Offensive rebound by Team,,18-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,B. Gordon misses 3-pt shot from 27 ft,,18-25,,
11:34.0,,,18-25,,Defensive rebound by J. Hickson
11:20.0,,,18-25,,W. Chandler misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by L. Ridnour,,18-25,,
11:11.0,L. Ridnour misses 2-pt shot from 20 ft,,18-25,,
11:10.0,Offensive rebound by N. Vucevic,,18-25,,
11:07.0,N. Vucevic misses 2-pt shot from 2 ft,,18-25,,
11:06.0,,,18-25,,Defensive rebound by J. Hickson
10:59.0,,,18-25,,Shooting foul by C. Frye (drawn by J. Hickson)
10:59.0,,,18-26,1,J. Hickson makes free throw 1 of 2
10:59.0,,,18-26,,A. Afflalo enters the game for T. Lawson
10:59.0,,,18-26,,J. Hickson misses free throw 2 of 2
10:57.0,Defensive rebound by N. Vucevic,,18-26,,
10:45.0,T. Harris misses 2-pt shot from 5 ft,,18-26,,
10:43.0,,,18-26,,Defensive rebound by W. Chandler
10:37.0,,,18-28,2,J. Hickson makes 2-pt shot at rim (assist by N. Robinson)
10:21.0,Offensive foul by B. Gordon,,18-28,,
10:21.0,Turnover by B. Gordon (offensive foul),,18-28,,
10:21.0,V. Oladipo enters the game for C. Frye,,18-28,,
10:21.0,D. Dedmon enters the game for B. Gordon,,18-28,,
10:21.0,,,18-28,,K. Faried enters the game for J. Hickson
10:14.0,,,18-28,,Turnover by D. Arthur (bad pass; steal by V. Oladipo)
10:09.0,Turnover by L. Ridnour (bad pass; steal by K. Faried),,18-28,,
10:06.0,,,18-28,,Shooting foul by D. Dedmon (drawn by A. Afflalo)
10:06.0,,,18-28,,A. Afflalo misses free throw 1 of 2
10:06.0,,,18-28,,Offensive rebound by Team
10:06.0,,,18-29,1,A. Afflalo makes free throw 2 of 2
9:50.0,N. Vucevic misses 2-pt shot from 19 ft,,18-29,,
9:49.0,,,18-29,,Defensive rebound by K. Faried
9:35.0,,,18-29,,K. Faried misses 2-pt shot from 6 ft
9:34.0,Defensive rebound by N. Vucevic,,18-29,,
9:23.0,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,20-29,,
9:17.0,,,20-31,2,K. Faried makes 2-pt shot at rim (assist by N. Robinson)
9:03.0,N. Vucevic misses 2-pt shot from 4 ft,,20-31,,
9:02.0,Offensive rebound by D. Dedmon,,20-31,,
8:54.0,T. Harris misses 2-pt shot from 16 ft,,20-31,,
8:52.0,,,20-31,,Defensive rebound by K. Faried
8:29.0,,,20-31,,N. Robinson misses 2-pt shot from 1 ft
8:28.0,,,20-31,,Offensive rebound by K. Faried
8:18.0,,,20-31,,D. Arthur misses 2-pt shot from 1 ft
8:17.0,Defensive rebound by D. Dedmon,,20-31,,
8:13.0,Orlando full timeout,,20-31,,
8:13.0,E. Payton enters the game for D. Dedmon,,20-31,,
8:13.0,A. Nicholson enters the game for L. Ridnour,,20-31,,
8:13.0,,,20-31,,J. Nurkic enters the game for D. Arthur
8:02.0,N. Vucevic misses 2-pt shot from 7 ft,,20-31,,
8:01.0,,,20-31,,Defensive rebound by K. Faried
7:46.0,,,20-31,,K. Faried misses 2-pt shot from 9 ft
7:44.0,Defensive rebound by E. Payton,,20-31,,
7:35.0,A. Nicholson makes 3-pt shot from 25 ft (assist by E. Payton),3,23-31,,
7:09.0,,,23-31,,W. Chandler misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by E. Payton,,23-31,,
7:04.0,,,23-31,,Personal take foul by N. Robinson (drawn by E. Payton)
7:04.0,,,23-31,,J. Hickson enters the game for K. Faried
6:49.0,V. Oladipo makes 2-pt shot from 3 ft (assist by E. Payton),2,25-31,,
6:28.0,,,25-33,2,J. Nurkic makes 2-pt shot from 5 ft (assist by J. Hickson)
6:26.0,Turnover by E. Payton (bad pass),,25-33,,
6:12.0,,,25-35,2,J. Nurkic makes 2-pt shot from 11 ft (assist by N. Robinson)
6:00.0,Turnover by T. Harris (traveling),,25-35,,
5:50.0,,,25-35,,N. Robinson misses 2-pt shot from 15 ft
5:48.0,Defensive rebound by T. Harris,,25-35,,
5:39.0,A. Nicholson makes 2-pt shot from 18 ft (assist by T. Harris),2,27-35,,
5:18.0,,,27-35,,J. Hickson misses 2-pt shot from 1 ft
5:17.0,Defensive rebound by A. Nicholson,,27-35,,
5:03.0,N. Vucevic makes 2-pt shot at rim,2,29-35,,
5:01.0,,,29-35,,Denver full timeout
4:58.0,,,29-35,,T. Lawson enters the game for N. Robinson
4:49.0,,,29-35,,Turnover by J. Hickson (bad pass)
4:34.0,A. Nicholson misses 3-pt shot from 22 ft,,29-35,,
4:32.0,Offensive rebound by A. Nicholson,,29-35,,
4:21.0,V. Oladipo makes 2-pt shot at rim,2,31-35,,
4:10.0,,,31-35,,Turnover by J. Nurkic (lost ball; steal by T. Harris)
4:09.0,,,31-35,,Personal take foul by A. Afflalo (drawn by V. Oladipo)
4:01.0,N. Vucevic misses 2-pt shot from 7 ft,,31-35,,
4:00.0,,,31-35,,Defensive rebound by J. Hickson
3:46.0,,,31-35,,Turnover by T. Lawson (lost ball; steal by E. Payton)
3:33.0,A. Nicholson misses 2-pt shot from 5 ft,,31-35,,
3:31.0,,,31-35,,Defensive rebound by J. Nurkic
