time,Cleveland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. Z. Pachulia (E. Ilyasova gains possession),,,,Jump ball: T. Mozgov vs. Z. Pachulia (E. Ilyasova gains possession)
11:45.0,,,0-2,2,M. Carter-Williams makes 2-pt shot from 17 ft (assist by J. Dudley)
11:25.0,J. Smith misses 3-pt shot from 24 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by M. Carter-Williams
11:11.0,,,0-4,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by J. Dudley)
10:52.0,K. Irving misses 3-pt shot from 23 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by Z. Pachulia
10:27.0,,,0-6,2,Z. Pachulia makes 2-pt shot from 13 ft (assist by J. Dudley)
10:07.0,L. James makes 2-pt shot from 16 ft (assist by K. Irving),2,2-6,,
9:46.0,,,2-8,2,M. Carter-Williams makes 2-pt shot from 10 ft
9:25.0,K. Love makes 2-pt shot at rim (assist by K. Irving),2,4-8,,
9:10.0,,,4-8,,E. Ilyasova misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by K. Love,,4-8,,
9:02.0,,,4-8,,Personal block foul by E. Ilyasova (drawn by K. Irving)
8:49.0,L. James makes 3-pt shot from 27 ft,3,7-8,,
8:34.0,,,7-8,,M. Carter-Williams misses 3-pt shot from 26 ft
8:33.0,Defensive rebound by T. Mozgov,,7-8,,
8:20.0,K. Love makes 2-pt shot from 14 ft (assist by K. Irving),2,9-8,,
8:07.0,,,9-8,,E. Ilyasova misses 2-pt shot from 14 ft
8:05.0,Defensive rebound by L. James,,9-8,,
8:03.0,,,9-8,,Violation by M. Carter-Williams (kicked ball)
7:57.0,Turnover by K. Irving (bad pass; steal by M. Carter-Williams),,9-8,,
7:54.0,,,9-10,2,M. Carter-Williams makes 2-pt shot at rim (assist by E. Ilyasova)
7:36.0,L. James makes 2-pt shot at rim (assist by T. Mozgov),2,11-10,,
7:16.0,,,11-10,,M. Carter-Williams misses 2-pt shot from 7 ft
7:15.0,Defensive rebound by K. Love,,11-10,,
7:09.0,L. James misses 3-pt shot from 24 ft,,11-10,,
7:08.0,Offensive rebound by J. Smith,,11-10,,
6:57.0,K. Irving misses 3-pt shot from 24 ft,,11-10,,
6:56.0,Offensive rebound by K. Love,,11-10,,
6:50.0,K. Irving makes 2-pt shot at rim,2,13-10,,
6:34.0,,,13-12,2,M. Carter-Williams makes 2-pt shot at rim
6:20.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,15-12,,
6:01.0,,,15-14,2,Z. Pachulia makes 2-pt shot at rim (assist by E. Ilyasova)
5:36.0,K. Love misses 2-pt shot from 15 ft,,15-14,,
5:35.0,,,15-14,,Defensive rebound by Z. Pachulia
5:28.0,,,15-16,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams)
5:11.0,Turnover by J. Smith (bad pass; steal by J. Dudley),,15-16,,
5:06.0,,,15-18,2,J. Dudley makes 2-pt shot from 1 ft
5:06.0,Cleveland full timeout,,15-18,,
5:06.0,M. Dellavedova enters the game for K. Irving,,15-18,,
5:06.0,,,15-18,,O. Mayo enters the game for K. Middleton
4:48.0,Turnover by K. Love (bad pass; steal by E. Ilyasova),,15-18,,
4:34.0,,,15-18,,M. Carter-Williams misses 2-pt shot from 5 ft (block by K. Love)
4:27.0,Defensive rebound by K. Love,,15-18,,
4:20.0,M. Dellavedova makes 3-pt shot from 26 ft,3,18-18,,
4:03.0,,,18-18,,E. Ilyasova misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by T. Mozgov,,18-18,,
3:56.0,,,18-18,,Shooting block foul by Z. Pachulia (drawn by T. Mozgov)
3:56.0,T. Mozgov makes free throw 1 of 2,1,19-18,,
3:56.0,,,19-18,,J. Henson enters the game for Z. Pachulia
3:56.0,I. Shumpert enters the game for J. Smith,,19-18,,
3:56.0,T. Mozgov makes free throw 2 of 2,1,20-18,,
3:43.0,,,20-20,2,M. Carter-Williams makes 2-pt shot from 4 ft
3:29.0,T. Thompson enters the game for T. Mozgov,,20-20,,
3:28.0,,,20-20,,Personal foul by M. Carter-Williams (drawn by M. Dellavedova)
3:22.0,M. Dellavedova misses 3-pt shot from 27 ft,,20-20,,
3:20.0,,,20-20,,Defensive rebound by E. Ilyasova
3:07.0,,,20-20,,J. Dudley misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by L. James,,20-20,,
3:03.0,I. Shumpert makes 2-pt shot at rim (assist by L. James),2,22-20,,
2:52.0,Personal foul by M. Dellavedova (drawn by J. Dudley),,22-20,,
2:52.0,,,22-20,,Milwaukee full timeout
2:52.0,K. Irving enters the game for L. James,,22-20,,
2:51.0,,,22-20,,Offensive foul by M. Carter-Williams
2:51.0,,,22-20,,Turnover by M. Carter-Williams (offensive foul)
2:34.0,K. Love misses 2-pt shot from 4 ft,,22-20,,
2:33.0,Offensive rebound by K. Love,,22-20,,
2:26.0,K. Love makes 2-pt shot from 4 ft,2,24-20,,
2:11.0,Personal foul by I. Shumpert (drawn by J. Henson),,24-20,,
2:11.0,,,24-20,,J. Bayless enters the game for M. Carter-Williams
2:03.0,,,24-20,,O. Mayo misses 2-pt shot from 16 ft
2:01.0,Defensive rebound by T. Thompson,,24-20,,
1:40.0,K. Love makes 2-pt shot at rim (assist by K. Irving),2,26-20,,
1:24.0,,,26-20,,J. Bayless misses 2-pt shot from 8 ft
1:22.0,Defensive rebound by T. Thompson,,26-20,,
1:17.0,Shooting foul by J. Bayless (drawn by K. Irving),,26-20,,
1:17.0,K. Irving misses free throw 1 of 2,,26-20,,
1:17.0,Offensive rebound by Team,,26-20,,
1:17.0,J. Jones enters the game for K. Love,,26-20,,
1:17.0,K. Irving misses free throw 2 of 2,,26-20,,
1:16.0,,,26-20,,Defensive rebound by J. Henson
1:05.0,,,26-20,,O. Mayo misses 2-pt shot at rim
1:02.0,Defensive rebound by M. Dellavedova,,26-20,,
0:56.0,I. Shumpert misses 2-pt shot from 8 ft,,26-20,,
0:54.0,,,26-20,,Defensive rebound by J. Dudley
0:43.0,,,26-20,,O. Mayo misses 3-pt shot from 23 ft
0:42.0,Defensive rebound by M. Dellavedova,,26-20,,
0:39.0,M. Dellavedova misses 2-pt shot from 2 ft (block by J. Dudley),,26-20,,
0:38.0,Offensive rebound by Team,,26-20,,
0:38.0,,,26-20,,K. Middleton enters the game for J. Dudley
0:34.0,M. Dellavedova misses 2-pt shot from 19 ft,,26-20,,
0:33.0,,,26-20,,Defensive rebound by K. Middleton
0:18.0,,,26-22,2,J. Henson makes 2-pt shot at rim
0:00.0,I. Shumpert misses 3-pt shot from 23 ft,,26-22,,
0:00.0,Offensive rebound by Team,,26-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Offensive foul by I. Shumpert,,26-22,,
11:50.0,Turnover by I. Shumpert (offensive foul),,26-22,,
11:40.0,,,26-22,,Turnover by O. Mayo (bad pass; steal by K. Irving)
11:31.0,T. Thompson makes 2-pt shot from 4 ft (assist by K. Irving),2,28-22,,
11:20.0,,,28-22,,O. Mayo misses 3-pt shot from 27 ft
11:19.0,Defensive rebound by T. Thompson,,28-22,,
11:10.0,Turnover by T. Thompson (lost ball; steal by O. Mayo),,28-22,,
11:07.0,,,28-22,,Shooting foul by I. Shumpert (drawn by J. Bayless)
11:07.0,,,28-22,,J. Bayless misses free throw 1 of 2
11:07.0,,,28-22,,Offensive rebound by Team
11:07.0,J. Smith enters the game for I. Shumpert,,28-22,,
11:07.0,,,28-22,,J. Bayless misses free throw 2 of 2
11:06.0,Defensive rebound by T. Thompson,,28-22,,
10:50.0,J. Jones misses 3-pt shot from 26 ft,,28-22,,
10:49.0,Offensive rebound by K. Irving,,28-22,,
10:45.0,K. Irving misses 2-pt shot from 1 ft,,28-22,,
10:43.0,Offensive rebound by K. Irving,,28-22,,
10:38.0,Turnover by K. Irving (bad pass; steal by J. Henson),,28-22,,
10:28.0,,,28-24,2,K. Middleton makes 2-pt shot from 18 ft (assist by J. Henson)
10:04.0,J. Smith misses 3-pt shot from 25 ft,,28-24,,
10:03.0,,,28-24,,Defensive rebound by E. Ilyasova
9:50.0,,,28-24,,Turnover by J. Bayless (bad pass)
9:50.0,,,28-24,,T. Ennis enters the game for E. Ilyasova
9:37.0,,,28-24,,Def 3 sec tech foul by K. Middleton
9:37.0,K. Irving makes technical free throw,1,29-24,,
9:37.0,L. James enters the game for M. Dellavedova,,29-24,,
9:28.0,K. Irving misses 2-pt shot from 14 ft,,29-24,,
9:27.0,,,29-24,,Defensive rebound by O. Mayo
9:11.0,,,29-24,,K. Middleton misses 2-pt shot from 10 ft
9:10.0,Defensive rebound by T. Thompson,,29-24,,
9:00.0,J. Jones misses 3-pt shot from 23 ft,,29-24,,
8:58.0,,,29-24,,Defensive rebound by K. Middleton
8:52.0,,,29-24,,T. Ennis misses 2-pt shot at rim (block by J. Jones)
8:50.0,Defensive rebound by L. James,,29-24,,
8:40.0,L. James misses 2-pt shot from 2 ft (block by J. Henson),,29-24,,
8:38.0,,,29-24,,Defensive rebound by T. Ennis
8:32.0,,,29-24,,O. Mayo misses 2-pt shot from 9 ft
8:30.0,Defensive rebound by T. Thompson,,29-24,,
8:17.0,Shooting foul by T. Ennis (drawn by T. Thompson),,29-24,,
8:17.0,Official timeout,,29-24,,
8:17.0,K. Love enters the game for J. Jones,,29-24,,
8:17.0,,,29-24,,Z. Pachulia enters the game for J. Henson
8:17.0,,,29-24,,M. Plumlee enters the game for O. Mayo
8:17.0,T. Thompson makes free throw 1 of 2,1,30-24,,
8:17.0,T. Thompson makes free throw 2 of 2,1,31-24,,
7:51.0,,,31-27,3,K. Middleton makes 3-pt shot from 23 ft (assist by J. Bayless)
7:44.0,Turnover by L. James (bad pass; steal by K. Middleton),,31-27,,
7:33.0,,,31-27,,T. Ennis misses 2-pt shot from 14 ft
7:32.0,Defensive rebound by K. Love,,31-27,,
7:18.0,Shooting foul by J. Bayless (drawn by K. Irving),,31-27,,
7:18.0,K. Irving makes free throw 1 of 2,1,32-27,,
7:18.0,T. Mozgov enters the game for T. Thompson,,32-27,,
7:18.0,K. Irving makes free throw 2 of 2,1,33-27,,
7:07.0,,,33-27,,Turnover by Z. Pachulia (lost ball; steal by T. Mozgov)
6:49.0,Turnover by L. James (bad pass; steal by J. Bayless),,33-27,,
6:44.0,,,33-29,2,M. Plumlee makes 2-pt shot at rim (assist by T. Ennis)
6:24.0,K. Irving makes 3-pt shot from 23 ft (assist by J. Smith),3,36-29,,
6:01.0,,,36-31,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by J. Bayless)
5:32.0,L. James misses 2-pt shot from 17 ft,,36-31,,
5:31.0,,,36-31,,Defensive rebound by J. Bayless
5:24.0,,,36-31,,Shooting foul by L. James (drawn by Z. Pachulia)
5:24.0,,,36-31,,Milwaukee full timeout
5:24.0,,,36-31,,M. Carter-Williams enters the game for J. Bayless
5:24.0,,,36-31,,Z. Pachulia misses free throw 1 of 2
