time,Chicago,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: P. Gasol vs. N. Noel (L. Mbah a Moute gains possession)
11:44.0,,,0-0,,N. Noel misses 2-pt shot from 1 ft (block by N. Mirotic)
11:42.0,Defensive rebound by P. Gasol,,0-0,,
11:24.0,N. Mirotic misses 3-pt shot from 22 ft,,0-0,,
11:22.0,Offensive rebound by Team,,0-0,,
11:17.0,P. Gasol misses 2-pt shot from 5 ft,,0-0,,
11:15.0,Offensive rebound by P. Gasol,,0-0,,
11:15.0,P. Gasol makes 2-pt shot at rim,2,2-0,,
11:03.0,,,2-2,2,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by J. Richardson)
10:32.0,A. Brooks makes 3-pt shot from 23 ft,3,5-2,,
10:13.0,,,5-2,,J. Sampson misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by P. Gasol,,5-2,,
10:05.0,Turnover by N. Mirotic (lost ball; steal by J. Richardson),,5-2,,
9:57.0,,,5-2,,I. Smith misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by A. Brooks,,5-2,,
9:49.0,P. Gasol makes 2-pt shot at rim (assist by M. Dunleavy),2,7-2,,
9:22.0,,,7-2,,I. Smith misses 2-pt shot from 15 ft
9:20.0,Defensive rebound by P. Gasol,,7-2,,
9:07.0,T. Snell makes 3-pt shot from 25 ft (assist by P. Gasol),3,10-2,,
8:49.0,,,10-2,,J. Richardson misses 3-pt shot from 25 ft
8:47.0,,,10-2,,Offensive rebound by N. Noel
8:36.0,,,10-4,2,N. Noel makes 2-pt shot from 3 ft
8:20.0,A. Brooks misses 3-pt shot from 25 ft,,10-4,,
8:18.0,,,10-4,,Defensive rebound by N. Noel
8:08.0,,,10-4,,N. Noel misses 2-pt shot at rim
8:04.0,Defensive rebound by T. Snell,,10-4,,
7:57.0,P. Gasol makes 2-pt shot at rim (assist by N. Mirotic),2,12-4,,
7:57.0,,,12-4,,Philadelphia full timeout
7:41.0,,,12-4,,I. Smith misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by N. Mirotic,,12-4,,
7:21.0,A. Brooks misses 2-pt shot from 15 ft,,12-4,,
7:19.0,,,12-4,,Defensive rebound by N. Noel
7:12.0,,,12-4,,Shooting foul by P. Gasol (drawn by J. Sampson)
7:12.0,,,12-5,1,J. Sampson makes free throw 1 of 2
7:12.0,,,12-6,1,J. Sampson makes free throw 2 of 2
7:04.0,P. Gasol makes 2-pt shot from 6 ft (assist by A. Brooks),2,14-6,,
6:51.0,,,14-8,2,I. Smith makes 2-pt shot at rim
6:29.0,P. Gasol misses 2-pt shot from 1 ft,,14-8,,
6:28.0,,,14-8,,Defensive rebound by J. Sampson
6:16.0,,,14-11,3,J. Sampson makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
5:54.0,N. Mirotic misses 2-pt shot from 1 ft,,14-11,,
5:49.0,,,14-11,,Defensive rebound by L. Mbah a Moute
5:46.0,,,14-11,,J. Richardson misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by N. Mirotic,,14-11,,
5:40.0,Turnover by N. Mirotic (palming),,14-11,,
5:40.0,,,14-11,,J. Grant enters the game for J. Richardson
5:26.0,,,14-11,,L. Mbah a Moute misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by T. Snell,,14-11,,
5:16.0,N. Mirotic misses 2-pt shot from 1 ft,,14-11,,
5:14.0,,,14-11,,Defensive rebound by L. Mbah a Moute
5:06.0,,,14-11,,N. Noel misses 2-pt shot from 16 ft
5:04.0,Defensive rebound by P. Gasol,,14-11,,
4:55.0,Turnover by T. Snell (bad pass; steal by N. Noel),,14-11,,
4:47.0,,,14-13,2,I. Smith makes 2-pt shot from 5 ft
4:33.0,P. Gasol misses 2-pt shot from 7 ft,,14-13,,
4:32.0,,,14-13,,Defensive rebound by J. Grant
4:24.0,,,14-13,,J. Sampson misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by A. Brooks,,14-13,,
4:17.0,Shooting foul by I. Smith (drawn by A. Brooks),,14-13,,
4:17.0,A. Brooks makes free throw 1 of 2,1,15-13,,
4:17.0,N. Mohammed enters the game for N. Mirotic,,15-13,,
4:17.0,,,15-13,,R. Covington enters the game for J. Sampson
4:17.0,,,15-13,,I. Canaan enters the game for L. Mbah a Moute
4:17.0,,,15-13,,T. Robinson enters the game for I. Smith
4:17.0,A. Brooks makes free throw 2 of 2,1,16-13,,
3:57.0,,,16-13,,J. Grant misses 3-pt shot from 24 ft
3:56.0,Defensive rebound by A. Brooks,,16-13,,
3:44.0,P. Gasol misses 2-pt shot at rim,,16-13,,
3:41.0,Offensive rebound by P. Gasol,,16-13,,
3:41.0,P. Gasol makes 2-pt shot at rim,2,18-13,,
3:20.0,,,18-13,,Turnover by R. Covington (bad pass; steal by N. Mohammed)
3:06.0,P. Gasol misses 2-pt shot from 2 ft,,18-13,,
3:04.0,,,18-13,,Defensive rebound by T. Robinson
2:59.0,,,18-13,,R. Covington misses 3-pt shot from 26 ft
2:55.0,Defensive rebound by T. Snell,,18-13,,
2:48.0,A. Brooks misses 3-pt shot from 25 ft,,18-13,,
2:46.0,,,18-13,,Defensive rebound by N. Noel
2:34.0,,,18-13,,Turnover by N. Noel (traveling)
2:34.0,Chicago full timeout,,18-13,,
2:34.0,D. McDermott enters the game for M. Dunleavy,,18-13,,
2:34.0,K. Hinrich enters the game for A. Brooks,,18-13,,
2:34.0,,,18-13,,F. Aldemir enters the game for N. Noel
2:16.0,K. Hinrich misses 2-pt shot from 16 ft,,18-13,,
2:14.0,,,18-13,,Defensive rebound by T. Robinson
2:04.0,,,18-16,3,I. Canaan makes 3-pt shot from 24 ft (assist by J. Grant)
1:41.0,P. Gasol makes 2-pt shot from 18 ft,2,20-16,,
1:23.0,,,20-16,,J. Grant misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by N. Mohammed,,20-16,,
1:06.0,P. Gasol misses 2-pt shot from 3 ft (block by F. Aldemir),,20-16,,
1:06.0,Jump ball: F. Aldemir vs. P. Gasol (J. Grant gains possession),,,,Jump ball: F. Aldemir vs. P. Gasol (J. Grant gains possession)
1:06.0,,,20-16,,Offensive rebound by Team
1:00.0,,,20-19,3,I. Canaan makes 3-pt shot from 27 ft
0:46.0,N. Mohammed misses 2-pt shot from 17 ft,,20-19,,
0:44.0,,,20-19,,Defensive rebound by F. Aldemir
0:34.0,,,20-19,,T. Robinson misses 2-pt shot from 2 ft
0:31.0,,,20-19,,Offensive rebound by T. Robinson
0:31.0,,,20-19,,T. Robinson misses 2-pt shot at rim
0:30.0,Defensive rebound by N. Mohammed,,20-19,,
0:23.0,,,20-19,,Personal foul by F. Aldemir (drawn by P. Gasol)
0:15.0,P. Gasol makes 2-pt shot from 10 ft (assist by K. Hinrich),2,22-19,,
0:05.0,,,22-22,3,I. Canaan makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,D. McDermott misses 3-pt shot from 25 ft,,22-22,,
11:49.0,,,22-22,,Defensive rebound by T. Robinson
11:37.0,,,22-24,2,T. Robinson makes 2-pt shot from 4 ft (assist by R. Covington)
