time,LA Lakers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Hill (J. Clarkson gains possession),,,,Jump ball: T. Duncan vs. J. Hill (J. Clarkson gains possession)
11:34.0,J. Hill misses 2-pt shot from 5 ft,,0-0,,
11:34.0,Offensive rebound by R. Sacre,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:21.0,,,0-0,,T. Parker misses 2-pt shot from 4 ft
11:20.0,Defensive rebound by J. Clarkson,,0-0,,
11:03.0,R. Sacre misses 2-pt shot from 12 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by M. Bonner
10:53.0,,,0-3,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
10:35.0,W. Ellington misses 2-pt shot from 22 ft,,0-3,,
10:34.0,,,0-3,,Defensive rebound by T. Duncan
10:19.0,,,0-5,2,T. Duncan makes 2-pt shot from 6 ft
10:03.0,Offensive foul by J. Hill,,0-5,,
10:03.0,Turnover by J. Hill (offensive foul),,0-5,,
9:49.0,,,0-7,2,T. Duncan makes 2-pt shot from 6 ft
9:32.0,J. Hill misses 2-pt shot from 3 ft (block by T. Duncan),,0-7,,
9:31.0,,,0-7,,Defensive rebound by K. Leonard
9:20.0,,,0-9,2,T. Parker makes 2-pt shot from 18 ft (assist by T. Duncan)
9:04.0,R. Sacre misses 2-pt shot from 15 ft,,0-9,,
9:03.0,,,0-9,,Defensive rebound by Team
8:40.0,,,0-9,,T. Duncan misses 2-pt shot from 19 ft
8:39.0,Defensive rebound by W. Ellington,,0-9,,
8:25.0,J. Clarkson makes 2-pt shot from 19 ft,2,2-9,,
8:12.0,,,2-9,,T. Parker misses 2-pt shot from 2 ft
8:11.0,Defensive rebound by R. Kelly,,2-9,,
8:04.0,J. Clarkson makes 2-pt shot at rim,2,4-9,,
7:50.0,,,4-9,,Turnover by T. Parker (bad pass)
7:31.0,J. Hill misses 2-pt shot from 20 ft,,4-9,,
7:31.0,,,4-9,,Defensive rebound by D. Green
7:20.0,,,4-11,2,T. Parker makes 2-pt shot from 2 ft (assist by T. Duncan)
6:58.0,J. Hill misses 2-pt shot from 3 ft (block by D. Green),,4-11,,
6:56.0,,,4-11,,Defensive rebound by T. Duncan
6:51.0,,,4-11,,K. Leonard misses 2-pt shot at rim
6:49.0,Defensive rebound by J. Clarkson,,4-11,,
6:44.0,J. Clarkson misses 2-pt shot from 1 ft,,4-11,,
6:43.0,,,4-11,,Defensive rebound by M. Bonner
6:32.0,,,4-13,2,T. Parker makes 2-pt shot from 17 ft
6:24.0,LA Lakers full timeout,,4-13,,
6:24.0,,,4-13,,M. Ginobili enters the game for D. Green
6:13.0,R. Sacre makes 2-pt shot from 4 ft (assist by W. Ellington),2,6-13,,
5:50.0,,,6-15,2,K. Leonard makes 2-pt shot from 10 ft
5:25.0,R. Sacre misses 2-pt shot from 6 ft,,6-15,,
5:24.0,,,6-15,,Defensive rebound by T. Duncan
5:18.0,,,6-15,,T. Parker misses 2-pt shot from 2 ft (block by R. Kelly)
5:16.0,Defensive rebound by W. Ellington,,6-15,,
5:11.0,W. Ellington misses 2-pt shot from 1 ft (block by T. Duncan),,6-15,,
5:09.0,,,6-15,,Defensive rebound by K. Leonard
5:00.0,,,6-15,,M. Bonner misses 3-pt shot from 23 ft
4:59.0,Defensive rebound by R. Sacre,,6-15,,
4:46.0,J. Clarkson makes 2-pt shot from 4 ft,2,8-15,,
4:36.0,,,8-15,,M. Ginobili misses 2-pt shot at rim
4:35.0,,,8-15,,Offensive rebound by M. Bonner
4:22.0,,,8-17,2,K. Leonard makes 2-pt shot from 5 ft
4:22.0,,,8-17,,Shooting foul by R. Kelly (drawn by K. Leonard)
4:22.0,C. Boozer enters the game for J. Hill,,8-17,,
4:22.0,W. Johnson enters the game for R. Kelly,,8-17,,
4:22.0,N. Young enters the game for W. Ellington,,8-17,,
4:22.0,,,8-17,,T. Splitter enters the game for M. Bonner
4:22.0,,,8-18,1,K. Leonard makes free throw 1 of 1
3:58.0,R. Sacre misses 2-pt shot from 12 ft,,8-18,,
3:57.0,,,8-18,,Defensive rebound by T. Parker
3:54.0,Shooting block foul by J. Clarkson (drawn by T. Parker),,8-18,,
3:54.0,,,8-18,,T. Parker misses free throw 1 of 2
3:54.0,,,8-18,,Offensive rebound by Team
3:54.0,E. Davis enters the game for R. Sacre,,8-18,,
3:54.0,,,8-18,,A. Baynes enters the game for T. Duncan
3:54.0,,,8-19,1,T. Parker makes free throw 2 of 2
3:45.0,Turnover by N. Young (lost ball; steal by K. Leonard),,8-19,,
3:41.0,,,8-21,2,K. Leonard makes 2-pt shot at rim
3:25.0,C. Boozer misses 2-pt shot from 13 ft,,8-21,,
3:24.0,,,8-21,,Defensive rebound by A. Baynes
3:16.0,,,8-21,,T. Parker misses 2-pt shot from 13 ft
3:15.0,,,8-21,,Offensive rebound by T. Splitter
3:15.0,,,8-21,,T. Splitter misses 2-pt shot from 2 ft (block by C. Boozer)
3:15.0,,,8-21,,Offensive rebound by Team
3:15.0,,,8-21,,C. Joseph enters the game for T. Parker
3:15.0,,,8-21,,San Antonio full timeout
3:15.0,R. Price enters the game for J. Clarkson,,8-21,,
3:10.0,Personal foul by N. Young (drawn by M. Ginobili),,8-21,,
3:05.0,,,8-23,2,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili)
2:40.0,W. Johnson misses 2-pt shot from 16 ft,,8-23,,
2:39.0,,,8-23,,Defensive rebound by K. Leonard
2:30.0,,,8-25,2,A. Baynes makes 2-pt shot from 2 ft (assist by K. Leonard)
2:07.0,Shooting foul by C. Joseph (drawn by N. Young),,8-25,,
2:07.0,N. Young makes free throw 1 of 2,1,9-25,,
2:07.0,,,9-25,,D. Green enters the game for K. Leonard
2:07.0,N. Young makes free throw 2 of 2,1,10-25,,
1:50.0,,,10-25,,D. Green misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by C. Boozer,,10-25,,
1:42.0,,,10-25,,Personal foul by T. Splitter (drawn by E. Davis)
1:36.0,N. Young makes 2-pt shot from 13 ft,2,12-25,,
1:22.0,,,12-28,3,C. Joseph makes 3-pt shot from 24 ft (assist by D. Green)
1:04.0,N. Young misses 3-pt shot from 25 ft,,12-28,,
1:03.0,Offensive rebound by E. Davis,,12-28,,
0:59.0,N. Young makes 3-pt shot from 22 ft (assist by E. Davis),3,15-28,,
0:45.0,,,15-31,3,M. Ginobili makes 3-pt shot from 24 ft (assist by D. Green)
0:37.0,Turnover by C. Boozer (traveling),,15-31,,
0:24.0,,,15-31,,A. Baynes misses 2-pt shot from 8 ft
0:22.0,Defensive rebound by W. Johnson,,15-31,,
0:06.0,R. Price misses 3-pt shot from 26 ft,,15-31,,
0:05.0,,,15-31,,Defensive rebound by T. Splitter
0:00.0,,,15-31,,C. Joseph misses 2-pt shot from 5 ft
0:00.0,,,15-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
