time,Boston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Zeller (D. Carroll gains possession),,,,Jump ball: A. Horford vs. T. Zeller (D. Carroll gains possession)
11:46.0,,,0-3,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Carroll)
11:26.0,Turnover by J. Green (lost ball; steal by D. Carroll),,0-3,,
11:21.0,,,0-5,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague)
11:08.0,T. Zeller makes 2-pt shot from 1 ft (assist by R. Rondo),2,2-5,,
11:08.0,Shooting foul by P. Millsap (drawn by T. Zeller),,2-5,,
11:08.0,T. Zeller makes free throw 1 of 1,1,3-5,,
10:49.0,,,3-5,,Turnover by J. Teague (bad pass; steal by R. Rondo)
10:45.0,,,3-5,,Personal foul by J. Teague (drawn by R. Rondo)
10:37.0,J. Green makes 2-pt shot from 15 ft (assist by R. Rondo),2,5-5,,
10:26.0,,,5-8,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll)
10:13.0,A. Bradley makes 3-pt shot from 25 ft (assist by T. Zeller),3,8-8,,
9:53.0,,,8-8,,Turnover by D. Carroll (bad pass)
9:39.0,J. Green misses 2-pt shot from 12 ft,,8-8,,
9:39.0,,,8-8,,Defensive rebound by D. Carroll
9:33.0,,,8-8,,D. Carroll misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by T. Zeller,,8-8,,
9:27.0,R. Rondo misses 2-pt shot from 1 ft,,8-8,,
9:26.0,Offensive rebound by J. Sullinger,,8-8,,
9:26.0,J. Sullinger makes 2-pt shot at rim,2,10-8,,
9:11.0,,,10-8,,Shooting foul by J. Sullinger (drawn by P. Millsap)
9:11.0,,,10-9,1,P. Millsap makes free throw 1 of 2
9:11.0,,,10-10,1,P. Millsap makes free throw 2 of 2
8:53.0,J. Sullinger makes 2-pt shot from 2 ft,2,12-10,,
8:41.0,,,12-10,,D. Carroll misses 2-pt shot from 3 ft (block by T. Zeller)
8:40.0,,,12-10,,Offensive rebound by Team
8:29.0,,,12-10,,J. Teague misses 3-pt shot from 26 ft
8:28.0,Defensive rebound by T. Zeller,,12-10,,
8:19.0,Turnover by R. Rondo (lost ball),,12-10,,
8:09.0,,,12-10,,A. Horford misses 2-pt shot from 5 ft
8:09.0,Defensive rebound by J. Green,,12-10,,
8:00.0,,,12-10,,Violation by D. Carroll (kicked ball)
7:54.0,A. Bradley makes 2-pt shot from 18 ft (assist by R. Rondo),2,14-10,,
7:36.0,,,14-10,,P. Millsap misses 2-pt shot from 15 ft
