time,LA Clippers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (K. Garnett gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (K. Garnett gains possession)
11:43.0,,,0-0,,A. Anderson misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by B. Griffin,,0-0,,
11:27.0,Shooting foul by J. Johnson (drawn by D. Jordan),,0-0,,
11:27.0,D. Jordan misses free throw 1 of 2,,0-0,,
11:27.0,Offensive rebound by Team,,0-0,,
11:27.0,D. Jordan misses free throw 2 of 2,,0-0,,
11:26.0,,,0-0,,Defensive rebound by M. Plumlee
11:01.0,,,0-0,,K. Garnett misses 2-pt shot from 15 ft
11:00.0,Defensive rebound by D. Jordan,,0-0,,
10:47.0,Turnover by M. Barnes (bad pass),,0-0,,
10:31.0,,,0-2,2,A. Anderson makes 2-pt shot from 2 ft
10:10.0,Shooting foul by M. Plumlee (drawn by D. Jordan),,0-2,,
10:10.0,D. Jordan misses free throw 1 of 2,,0-2,,
10:10.0,Offensive rebound by Team,,0-2,,
10:10.0,D. Jordan misses free throw 2 of 2,,0-2,,
10:09.0,Offensive rebound by J. Redick,,0-2,,
10:06.0,J. Redick misses 3-pt shot from 25 ft,,0-2,,
10:05.0,,,0-2,,Defensive rebound by K. Garnett
9:51.0,Personal foul by M. Barnes (drawn by K. Garnett),,0-2,,
9:45.0,,,0-2,,J. Jack misses 2-pt shot from 18 ft
9:44.0,Defensive rebound by C. Paul,,0-2,,
9:34.0,B. Griffin misses 2-pt shot from 16 ft,,0-2,,
9:32.0,,,0-2,,Defensive rebound by J. Johnson
9:26.0,,,0-2,,K. Garnett misses 2-pt shot from 10 ft
9:25.0,,,0-2,,Offensive rebound by K. Garnett
9:24.0,,,0-2,,Turnover by K. Garnett (bad pass)
9:07.0,,,0-2,,Personal foul by K. Garnett (drawn by B. Griffin)
9:05.0,Offensive foul by B. Griffin,,0-2,,
9:05.0,Turnover by B. Griffin (offensive foul),,0-2,,
8:52.0,,,0-2,,A. Anderson misses 3-pt shot from 23 ft
8:51.0,Defensive rebound by M. Barnes,,0-2,,
8:42.0,C. Paul misses 3-pt shot from 23 ft,,0-2,,
8:41.0,,,0-2,,Defensive rebound by K. Garnett
8:21.0,,,0-2,,J. Johnson misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by D. Jordan,,0-2,,
8:13.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,2-2,,
7:55.0,,,2-4,2,K. Garnett makes 2-pt shot from 8 ft (assist by J. Johnson)
7:49.0,LA Clippers full timeout,,2-4,,
7:49.0,J. Crawford enters the game for J. Redick,,2-4,,
7:41.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,4-4,,
7:20.0,,,4-4,,A. Anderson misses 2-pt shot from 5 ft
7:19.0,Defensive rebound by D. Jordan,,4-4,,
7:12.0,C. Paul misses 2-pt shot from 20 ft,,4-4,,
7:11.0,Offensive rebound by D. Jordan,,4-4,,
7:10.0,Shooting foul by K. Garnett (drawn by D. Jordan),,4-4,,
7:10.0,D. Jordan misses free throw 1 of 2,,4-4,,
7:10.0,Offensive rebound by Team,,4-4,,
7:10.0,,,4-4,,B. Lopez enters the game for K. Garnett
7:10.0,D. Jordan misses free throw 2 of 2,,4-4,,
7:09.0,,,4-4,,Defensive rebound by B. Lopez
6:52.0,,,4-4,,J. Jack misses 2-pt shot from 8 ft
6:51.0,,,4-4,,Offensive rebound by M. Plumlee
6:49.0,,,4-4,,Turnover by M. Plumlee (bad pass; steal by M. Barnes)
6:45.0,B. Griffin makes 2-pt shot at rim (assist by M. Barnes),2,6-4,,
6:35.0,Personal foul by D. Jordan (drawn by B. Lopez),,6-4,,
