time,Cleveland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Mozgov,,,,Jump ball: T. Chandler vs. T. Mozgov
11:38.0,T. Mozgov misses 2-pt shot from 1 ft (block by D. Nowitzki),,0-0,,
11:34.0,Offensive rebound by J. Smith,,0-0,,
11:34.0,J. Smith misses 2-pt shot from 3 ft (block by M. Ellis),,0-0,,
11:32.0,Offensive rebound by K. Irving,,0-0,,
11:31.0,K. Irving makes 3-pt shot from 24 ft,3,3-0,,
11:23.0,,,3-0,,R. Rondo misses 2-pt shot at rim
11:22.0,Defensive rebound by L. James,,3-0,,
11:11.0,T. Mozgov misses 2-pt shot from 1 ft,,3-0,,
11:10.0,Offensive rebound by T. Mozgov,,3-0,,
11:10.0,Shooting foul by T. Chandler (drawn by T. Mozgov),,3-0,,
11:10.0,T. Mozgov makes free throw 1 of 2,1,4-0,,
11:10.0,T. Mozgov makes free throw 2 of 2,1,5-0,,
10:57.0,,,5-0,,M. Ellis misses 2-pt shot from 18 ft
10:56.0,Defensive rebound by L. James,,5-0,,
10:51.0,J. Smith makes 2-pt shot from 19 ft,2,7-0,,
10:39.0,,,7-2,2,R. Rondo makes 2-pt shot at rim (assist by M. Ellis)
10:24.0,K. Irving misses 2-pt shot at rim,,7-2,,
10:22.0,,,7-2,,Defensive rebound by C. Parsons
10:15.0,,,7-4,2,C. Parsons makes 2-pt shot from 19 ft (assist by R. Rondo)
9:56.0,L. James misses 3-pt shot from 22 ft,,7-4,,
9:55.0,,,7-4,,Defensive rebound by M. Ellis
9:49.0,,,7-7,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
9:37.0,Turnover by K. Irving (bad pass; steal by D. Nowitzki),,7-7,,
9:30.0,,,7-10,3,C. Parsons makes 3-pt shot from 25 ft (assist by R. Rondo)
9:14.0,,,7-10,,Personal foul by D. Nowitzki (drawn by K. Love)
9:06.0,K. Irving misses 2-pt shot from 2 ft,,7-10,,
9:04.0,,,7-10,,Defensive rebound by T. Chandler
9:01.0,,,7-10,,C. Parsons misses 2-pt shot from 1 ft (block by L. James)
8:58.0,,,7-10,,Offensive rebound by T. Chandler
