time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gasol (M. Conley gains possession),,,,Jump ball: T. Duncan vs. M. Gasol (M. Conley gains possession)
11:39.0,,,0-0,,M. Gasol misses 2-pt shot from 13 ft
11:38.0,Defensive rebound by T. Duncan,,0-0,,
11:38.0,Turnover by T. Duncan (bad pass; steal by T. Allen),,0-0,,
11:34.0,,,0-0,,Turnover by T. Allen (step out of bounds)
11:21.0,T. Parker makes 2-pt shot from 18 ft,2,2-0,,
11:04.0,,,2-0,,Z. Randolph misses 2-pt shot from 2 ft (block by K. Leonard)
11:04.0,Defensive rebound by Team,,2-0,,
11:04.0,Jump ball: K. Leonard vs. Z. Randolph,,,,Jump ball: K. Leonard vs. Z. Randolph
10:48.0,K. Leonard makes 3-pt shot from 25 ft (assist by T. Parker),3,5-0,,
10:35.0,,,5-2,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
10:12.0,M. Bonner makes 3-pt shot from 26 ft (assist by T. Parker),3,8-2,,
9:58.0,,,8-2,,Offensive foul by Z. Randolph
9:58.0,,,8-2,,Turnover by Z. Randolph (offensive foul)
9:43.0,D. Green misses 3-pt shot from 23 ft,,8-2,,
9:42.0,,,8-2,,Defensive rebound by Z. Randolph
9:33.0,,,8-2,,Turnover by Z. Randolph (bad pass)
9:17.0,M. Bonner misses 3-pt shot from 25 ft,,8-2,,
9:15.0,,,8-2,,Defensive rebound by M. Gasol
9:12.0,,,8-2,,Z. Randolph misses 2-pt shot from 3 ft
9:09.0,Defensive rebound by K. Leonard,,8-2,,
9:01.0,T. Parker misses 2-pt shot from 21 ft,,8-2,,
8:59.0,,,8-2,,Defensive rebound by M. Gasol
8:58.0,Personal foul by T. Duncan (drawn by M. Gasol),,8-2,,
8:40.0,,,8-2,,M. Conley misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by T. Duncan,,8-2,,
8:28.0,T. Parker misses 2-pt shot from 21 ft,,8-2,,
8:25.0,,,8-2,,Defensive rebound by Z. Randolph
8:15.0,,,8-2,,Turnover by M. Gasol (lost ball; steal by K. Leonard)
8:11.0,K. Leonard makes 2-pt shot at rim,2,10-2,,
8:11.0,,,10-2,,Technical foul by M. Gasol
8:11.0,,,10-2,,Memphis full timeout
8:11.0,D. Green makes technical free throw,1,11-2,,
7:57.0,,,11-2,,M. Gasol misses 2-pt shot from 15 ft
7:56.0,Defensive rebound by T. Parker,,11-2,,
7:39.0,T. Duncan makes 2-pt shot from 16 ft (assist by D. Green),2,13-2,,
7:26.0,,,13-2,,C. Lee misses 2-pt shot at rim
7:22.0,Defensive rebound by D. Green,,13-2,,
7:17.0,T. Duncan misses 2-pt shot from 1 ft (block by T. Allen),,13-2,,
7:16.0,,,13-2,,Defensive rebound by T. Allen
7:10.0,,,13-2,,T. Allen misses 2-pt shot from 2 ft
7:08.0,Defensive rebound by D. Green,,13-2,,
6:54.0,Turnover by M. Bonner (lost ball; steal by T. Allen),,13-2,,
6:39.0,,,13-2,,M. Gasol misses 2-pt shot at rim
6:38.0,,,13-2,,Offensive rebound by M. Gasol
6:36.0,,,13-4,2,M. Gasol makes 2-pt shot at rim
6:18.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,15-4,,
6:00.0,,,15-4,,Z. Randolph misses 2-pt shot from 12 ft
5:59.0,Defensive rebound by T. Duncan,,15-4,,
5:51.0,Turnover by T. Duncan (bad pass),,15-4,,
5:51.0,M. Ginobili enters the game for D. Green,,15-4,,
5:51.0,,,15-4,,T. Prince enters the game for T. Allen
5:33.0,,,15-4,,C. Lee misses 2-pt shot from 8 ft
5:31.0,,,15-4,,Offensive rebound by Z. Randolph
5:31.0,,,15-4,,Z. Randolph misses 2-pt shot at rim (block by T. Duncan)
5:31.0,Defensive rebound by Team,,15-4,,
5:31.0,Jump ball: T. Duncan vs. Z. Randolph (K. Leonard gains possession),,,,Jump ball: T. Duncan vs. Z. Randolph (K. Leonard gains possession)
5:17.0,T. Parker misses 3-pt shot from 22 ft,,15-4,,
5:16.0,,,15-4,,Defensive rebound by M. Gasol
5:08.0,,,15-6,2,M. Conley makes 2-pt shot at rim
5:08.0,San Antonio full timeout,,15-6,,
4:57.0,K. Leonard misses 2-pt shot at rim (block by M. Gasol),,15-6,,
4:54.0,Offensive rebound by M. Bonner,,15-6,,
4:50.0,,,15-6,,Personal foul by C. Lee (drawn by K. Leonard)
4:42.0,T. Parker makes 2-pt shot from 7 ft,2,17-6,,
4:25.0,,,17-8,2,C. Lee makes 2-pt shot from 13 ft
4:00.0,Turnover by T. Parker (lost ball; steal by M. Conley),,17-8,,
3:59.0,,,17-8,,Turnover by Z. Randolph (lost ball; steal by M. Bonner)
3:56.0,T. Duncan makes 2-pt shot at rim (assist by K. Leonard),2,19-8,,
3:39.0,,,19-10,2,T. Prince makes 2-pt shot from 19 ft (assist by M. Gasol)
3:16.0,Turnover by T. Parker (step out of bounds),,19-10,,
3:16.0,C. Joseph enters the game for T. Parker,,19-10,,
3:06.0,Personal foul by C. Joseph (drawn by M. Conley),,19-10,,
3:06.0,B. Diaw enters the game for M. Bonner,,19-10,,
2:52.0,,,19-10,,M. Gasol misses 2-pt shot from 3 ft (block by T. Duncan)
