time,Sacramento,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. J. Dorsey (C. Landry gains possession),,,,Jump ball: D. Cousins vs. J. Dorsey (C. Landry gains possession)
11:46.0,D. Cousins misses 2-pt shot from 14 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by J. Terry
11:37.0,,,0-0,,Turnover by J. Harden (bad pass)
11:23.0,C. Landry misses 2-pt shot from 19 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by J. Dorsey
11:02.0,,,0-0,,T. Ariza misses 3-pt shot from 23 ft
11:01.0,Defensive rebound by O. Casspi,,0-0,,
10:46.0,R. McCallum makes 3-pt shot from 23 ft (assist by D. Cousins),3,3-0,,
10:37.0,,,3-0,,J. Terry misses 3-pt shot from 23 ft
10:36.0,,,3-0,,Offensive rebound by J. Harden
10:28.0,,,3-2,2,T. Ariza makes 2-pt shot at rim
10:09.0,B. McLemore misses 2-pt shot from 21 ft,,3-2,,
10:07.0,,,3-2,,Defensive rebound by J. Terry
10:06.0,,,3-2,,Turnover by J. Terry (traveling)
9:50.0,O. Casspi misses 2-pt shot from 10 ft,,3-2,,
9:48.0,,,3-2,,Defensive rebound by T. Jones
9:42.0,,,3-4,2,J. Dorsey makes 2-pt shot at rim (assist by J. Harden)
9:30.0,Offensive foul by D. Cousins,,3-4,,
9:30.0,Turnover by D. Cousins (offensive foul),,3-4,,
9:17.0,,,3-4,,J. Terry misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by C. Landry,,3-4,,
8:57.0,O. Casspi misses 2-pt shot from 3 ft (block by T. Jones),,3-4,,
8:55.0,Offensive rebound by O. Casspi,,3-4,,
8:54.0,O. Casspi misses 2-pt shot from 2 ft (block by T. Jones),,3-4,,
8:54.0,Offensive rebound by O. Casspi,,3-4,,
8:54.0,Turnover by O. Casspi (bad pass),,3-4,,
8:46.0,,,3-4,,J. Harden misses 2-pt shot from 2 ft (block by D. Cousins)
8:45.0,,,3-4,,Offensive rebound by T. Jones
8:37.0,,,3-6,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
8:23.0,Turnover by D. Cousins (traveling),,3-6,,
8:08.0,,,3-9,3,J. Harden makes 3-pt shot from 23 ft (assist by T. Jones)
7:48.0,Turnover by R. McCallum (bad pass; steal by T. Ariza),,3-9,,
7:37.0,,,3-9,,J. Terry misses 3-pt shot from 23 ft
7:36.0,,,3-9,,Offensive rebound by J. Dorsey
7:32.0,,,3-9,,J. Terry misses 2-pt shot from 1 ft
7:31.0,,,3-9,,Offensive rebound by J. Dorsey
7:26.0,,,3-9,,Shooting foul by O. Casspi (drawn by J. Harden)
7:26.0,,,3-10,1,J. Harden makes free throw 1 of 2
7:26.0,,,3-11,1,J. Harden makes free throw 2 of 2
7:12.0,Turnover by B. McLemore (lost ball; steal by J. Terry),,3-11,,
7:05.0,,,3-13,2,J. Dorsey makes 2-pt shot at rim (assist by J. Terry)
6:57.0,Sacramento full timeout,,3-13,,
6:51.0,R. McCallum makes 2-pt shot from 1 ft (assist by D. Cousins),2,5-13,,
