time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Howard (J. Terry gains possession),,,,Jump ball: R. Gobert vs. D. Howard (J. Terry gains possession)
11:42.0,,,0-0,,J. Terry misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by R. Hood,,0-0,,
11:25.0,D. Favors misses 3-pt shot from 23 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by T. Ariza
11:16.0,,,0-0,,T. Ariza misses 2-pt shot from 2 ft (block by R. Gobert)
11:15.0,Defensive rebound by D. Exum,,0-0,,
11:09.0,R. Hood misses 2-pt shot from 1 ft,,0-0,,
11:08.0,Offensive rebound by D. Favors,,0-0,,
11:06.0,D. Favors misses 2-pt shot from 6 ft (block by D. Howard),,0-0,,
11:04.0,,,0-0,,Defensive rebound by T. Jones
11:00.0,,,0-0,,J. Harden misses 2-pt shot from 3 ft (block by D. Exum)
10:59.0,,,0-0,,Offensive rebound by Team
10:58.0,Personal foul by R. Hood (drawn by J. Harden),,0-0,,
10:51.0,,,0-0,,Shooting foul by D. Exum (drawn by J. Harden)
10:51.0,,,0-1,1,J. Harden makes free throw 1 of 2
10:51.0,,,0-2,1,J. Harden makes free throw 2 of 2
10:31.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,2-2,,
10:17.0,,,2-4,2,D. Howard makes 2-pt shot from 3 ft
9:57.0,R. Hood misses 2-pt shot from 18 ft,,2-4,,
9:55.0,Offensive rebound by D. Favors,,2-4,,
9:39.0,J. Ingles misses 2-pt shot from 22 ft,,2-4,,
9:39.0,,,2-4,,Defensive rebound by Team
9:39.0,Loose ball foul by D. Favors (drawn by T. Jones),,2-4,,
9:19.0,,,2-4,,D. Howard misses 2-pt shot from 4 ft (block by R. Gobert)
9:18.0,,,2-4,,Offensive rebound by Team
9:13.0,,,2-7,3,T. Ariza makes 3-pt shot from 25 ft (assist by T. Jones)
8:52.0,R. Gobert misses 2-pt shot from 3 ft (block by T. Jones),,2-7,,
8:50.0,,,2-7,,Defensive rebound by D. Howard
8:50.0,,,2-7,,Turnover by D. Howard (bad pass)
8:33.0,D. Favors misses 2-pt shot from 18 ft,,2-7,,
8:33.0,Offensive rebound by R. Gobert,,2-7,,
8:26.0,R. Hood makes 2-pt shot from 17 ft,2,4-7,,
8:14.0,,,4-9,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
7:52.0,R. Hood misses 2-pt shot from 4 ft (block by D. Howard),,4-9,,
7:52.0,Offensive rebound by Team,,4-9,,
7:52.0,T. Burke enters the game for J. Ingles,,4-9,,
7:52.0,J. Evans enters the game for D. Favors,,4-9,,
7:46.0,D. Exum misses 3-pt shot from 23 ft,,4-9,,
7:44.0,,,4-9,,Defensive rebound by D. Howard
7:37.0,,,4-9,,J. Terry misses 3-pt shot from 24 ft
7:36.0,,,4-9,,Offensive rebound by D. Howard
7:36.0,,,4-11,2,D. Howard makes 2-pt shot from 1 ft
7:19.0,T. Burke misses 2-pt shot from 8 ft,,4-11,,
7:17.0,,,4-11,,Defensive rebound by T. Jones
7:08.0,,,4-11,,Shooting foul by T. Burke (drawn by J. Harden)
7:08.0,,,4-12,1,J. Harden makes free throw 1 of 2
7:08.0,,,4-13,1,J. Harden makes free throw 2 of 2
6:54.0,D. Exum misses 3-pt shot from 24 ft,,4-13,,
6:53.0,Offensive rebound by J. Evans,,4-13,,
6:49.0,D. Exum makes 2-pt shot from 1 ft (assist by J. Evans),2,6-13,,
6:29.0,,,6-13,,J. Terry misses 2-pt shot from 16 ft
6:27.0,Defensive rebound by R. Gobert,,6-13,,
6:16.0,Turnover by T. Burke (bad pass),,6-13,,
6:05.0,,,6-15,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
5:45.0,J. Evans makes 2-pt shot from 2 ft (assist by R. Hood),2,8-15,,
5:45.0,Shooting foul by J. Harden (drawn by J. Evans),,8-15,,
5:45.0,,,8-15,,Houston full timeout
5:45.0,,,8-15,,C. Capela enters the game for D. Howard
5:45.0,J. Evans makes free throw 1 of 1,1,9-15,,
5:32.0,,,9-15,,Turnover by J. Harden (bad pass; steal by R. Gobert)
5:26.0,T. Burke misses 2-pt shot from 3 ft (block by J. Terry),,9-15,,
5:25.0,Offensive rebound by T. Burke,,9-15,,
5:25.0,Shooting foul by J. Terry (drawn by T. Burke),,9-15,,
5:25.0,T. Burke makes free throw 1 of 2,1,10-15,,
5:25.0,D. Favors enters the game for R. Gobert,,10-15,,
5:25.0,T. Burke misses free throw 2 of 2,,10-15,,
5:25.0,,,10-15,,Defensive rebound by C. Capela
5:06.0,,,10-17,2,T. Jones makes 2-pt shot from 4 ft
4:51.0,D. Exum misses 3-pt shot from 23 ft,,10-17,,
4:50.0,Offensive rebound by D. Favors,,10-17,,
4:49.0,D. Favors makes 2-pt shot from 2 ft,2,12-17,,
4:49.0,Shooting foul by C. Capela (drawn by D. Favors),,12-17,,
4:49.0,,,12-17,,J. Smith enters the game for T. Jones
4:49.0,D. Favors misses free throw 1 of 1,,12-17,,
4:49.0,,,12-17,,Defensive rebound by J. Smith
4:39.0,,,12-19,2,J. Harden makes 2-pt shot from 1 ft
4:15.0,R. Hood makes 3-pt shot from 25 ft,3,15-19,,
4:02.0,,,15-21,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Smith)
3:44.0,Turnover by R. Hood (bad pass; steal by J. Terry),,15-21,,
3:40.0,,,15-23,2,T. Ariza makes 2-pt shot at rim (assist by J. Terry)
3:39.0,Utah full timeout,,15-23,,
3:39.0,,,15-23,,P. Prigioni enters the game for T. Ariza
3:39.0,,,15-23,,C. Brewer enters the game for J. Terry
3:19.0,D. Favors misses 2-pt shot from 3 ft,,15-23,,
3:18.0,,,15-23,,Defensive rebound by J. Harden
3:14.0,E. Millsap enters the game for R. Hood,,15-23,,
3:14.0,C. Johnson enters the game for D. Exum,,15-23,,
3:03.0,,,15-23,,Shooting foul by D. Favors (drawn by J. Smith)
3:03.0,,,15-24,1,J. Smith makes free throw 1 of 2
3:03.0,,,15-24,,J. Smith misses free throw 2 of 2
3:03.0,Defensive rebound by J. Evans,,15-24,,
2:55.0,,,15-24,,Personal foul by P. Prigioni (drawn by T. Burke)
2:45.0,E. Millsap makes 3-pt shot from 24 ft (assist by T. Burke),3,18-24,,
2:20.0,,,18-24,,C. Brewer misses 3-pt shot from 22 ft
2:19.0,Defensive rebound by E. Millsap,,18-24,,
2:12.0,Turnover by D. Favors (bad pass),,18-24,,
2:04.0,Personal block foul by E. Millsap (drawn by J. Harden),,18-24,,
