time,San Antonio,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. T. Zeller (T. Parker gains possession),,,,Jump ball: T. Duncan vs. T. Zeller (T. Parker gains possession)
11:36.0,D. Green misses 3-pt shot from 25 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by A. Bradley
11:32.0,,,0-0,,Turnover by A. Bradley (bad pass; steal by D. Green)
11:21.0,K. Leonard makes 3-pt shot from 25 ft (assist by B. Diaw),3,3-0,,
11:04.0,,,3-0,,J. Green misses 2-pt shot from 10 ft
11:03.0,,,3-0,,Offensive rebound by T. Zeller
11:03.0,,,3-0,,Shooting foul by B. Diaw (drawn by T. Zeller)
11:03.0,,,3-1,1,T. Zeller makes free throw 1 of 2
11:03.0,,,3-2,1,T. Zeller makes free throw 2 of 2
10:46.0,B. Diaw makes 3-pt shot from 23 ft (assist by T. Parker),3,6-2,,
10:22.0,,,6-4,2,J. Sullinger makes 2-pt shot from 7 ft (assist by R. Rondo)
10:10.0,Turnover by T. Parker (bad pass),,6-4,,
9:52.0,,,6-4,,J. Green misses 2-pt shot at rim (block by T. Duncan)
9:51.0,,,6-4,,Offensive rebound by Team
9:47.0,,,6-4,,J. Sullinger misses 2-pt shot from 13 ft
9:46.0,Defensive rebound by T. Duncan,,6-4,,
9:34.0,B. Diaw misses 3-pt shot from 25 ft,,6-4,,
9:33.0,,,6-4,,Defensive rebound by A. Bradley
9:25.0,,,6-4,,A. Bradley misses 2-pt shot from 15 ft
9:24.0,Defensive rebound by Team,,6-4,,
9:10.0,Shooting foul by T. Zeller (drawn by T. Duncan),,6-4,,
9:10.0,T. Duncan makes free throw 1 of 2,1,7-4,,
9:10.0,T. Duncan makes free throw 2 of 2,1,8-4,,
8:54.0,,,8-4,,J. Green misses 2-pt shot from 9 ft
8:53.0,,,8-4,,Offensive rebound by T. Zeller
8:51.0,,,8-4,,T. Zeller misses 2-pt shot at rim
8:49.0,,,8-4,,Offensive rebound by J. Green
8:49.0,,,8-6,2,J. Green makes 2-pt shot at rim
8:35.0,T. Duncan makes 2-pt shot from 4 ft (assist by T. Parker),2,10-6,,
8:28.0,,,10-8,2,R. Rondo makes 2-pt shot from 1 ft
8:10.0,T. Duncan misses 2-pt shot from 6 ft,,10-8,,
8:09.0,,,10-8,,Defensive rebound by T. Zeller
7:57.0,,,10-10,2,T. Zeller makes 2-pt shot at rim (assist by R. Rondo)
7:40.0,D. Green makes 2-pt shot from 19 ft,2,12-10,,
7:23.0,,,12-10,,J. Sullinger misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by Team,,12-10,,
6:59.0,B. Diaw makes 3-pt shot from 25 ft (assist by T. Parker),3,15-10,,
6:40.0,,,15-10,,J. Green misses 3-pt shot from 25 ft
6:39.0,Defensive rebound by D. Green,,15-10,,
6:29.0,San Antonio full timeout,,15-10,,
6:29.0,,,15-10,,E. Turner enters the game for J. Sullinger
6:29.0,,,15-10,,B. Bass enters the game for A. Bradley
6:25.0,D. Green misses 3-pt shot from 23 ft,,15-10,,
6:24.0,Offensive rebound by B. Diaw,,15-10,,
6:11.0,D. Green misses 3-pt shot from 23 ft (block by J. Green),,15-10,,
6:09.0,Offensive rebound by D. Green,,15-10,,
6:07.0,T. Duncan makes 2-pt shot from 1 ft (assist by D. Green),2,17-10,,
5:53.0,,,17-12,2,J. Green makes 2-pt shot from 16 ft (assist by R. Rondo)
5:41.0,,,17-12,,Personal foul by R. Rondo (drawn by T. Parker)
5:41.0,M. Ginobili enters the game for D. Green,,17-12,,
5:36.0,Turnover by M. Ginobili (lost ball),,17-12,,
5:20.0,,,17-12,,J. Green misses 2-pt shot from 14 ft
5:19.0,,,17-12,,Offensive rebound by T. Zeller
5:01.0,,,17-14,2,B. Bass makes 2-pt shot from 12 ft
4:44.0,T. Parker misses 2-pt shot from 18 ft,,17-14,,
4:43.0,,,17-14,,Defensive rebound by T. Zeller
4:31.0,,,17-14,,R. Rondo misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by B. Diaw,,17-14,,
4:19.0,T. Duncan misses 2-pt shot from 18 ft,,17-14,,
4:18.0,,,17-14,,Defensive rebound by R. Rondo
4:06.0,,,17-14,,J. Green misses 3-pt shot from 22 ft
4:05.0,Defensive rebound by T. Duncan,,17-14,,
3:51.0,B. Diaw makes 2-pt shot from 11 ft (assist by T. Parker),2,19-14,,
3:31.0,,,19-14,,T. Zeller misses 2-pt shot from 5 ft
3:30.0,Defensive rebound by B. Diaw,,19-14,,
3:27.0,Turnover by M. Ginobili (bad pass),,19-14,,
3:27.0,,,19-14,,K. Olynyk enters the game for T. Zeller
3:27.0,A. Baynes enters the game for T. Duncan,,19-14,,
3:15.0,,,19-14,,J. Green misses 2-pt shot from 12 ft
3:14.0,Defensive rebound by B. Diaw,,19-14,,
3:06.0,A. Baynes makes 2-pt shot at rim (assist by B. Diaw),2,21-14,,
3:06.0,,,21-14,,Boston full timeout
3:06.0,,,21-14,,M. Thornton enters the game for J. Green
3:06.0,M. Belinelli enters the game for K. Leonard,,21-14,,
2:44.0,,,21-14,,B. Bass misses 2-pt shot from 15 ft
2:43.0,Defensive rebound by T. Parker,,21-14,,
2:34.0,A. Baynes makes 2-pt shot from 3 ft (assist by T. Parker),2,23-14,,
2:20.0,,,23-17,3,M. Thornton makes 3-pt shot from 26 ft (assist by B. Bass)
2:01.0,T. Parker misses 2-pt shot from 19 ft,,23-17,,
2:00.0,,,23-17,,Defensive rebound by E. Turner
