time,Milwaukee,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. Z. Pachulia (L. Galloway gains possession),,,,Jump ball: C. Aldrich vs. Z. Pachulia (L. Galloway gains possession)
11:49.0,,,0-0,,L. Galloway misses 3-pt shot from 26 ft
11:47.0,Defensive rebound by K. Middleton,,0-0,,
11:30.0,E. Ilyasova misses 2-pt shot from 15 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by C. Aldrich
11:21.0,,,0-0,,Turnover by T. Hardaway (bad pass; steal by K. Middleton)
11:17.0,M. Carter-Williams makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,2-0,,
10:56.0,,,2-2,2,L. Galloway makes 2-pt shot from 1 ft (assist by C. Aldrich)
10:42.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,2-2,,
10:41.0,Offensive rebound by G. Antetokounmpo,,2-2,,
10:37.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,4-2,,
10:27.0,Personal foul by E. Ilyasova (drawn by Q. Acy),,4-2,,
10:12.0,,,4-2,,T. Hardaway misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by Z. Pachulia,,4-2,,
10:03.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,6-2,,
9:44.0,,,6-5,3,T. Hardaway makes 3-pt shot from 23 ft (assist by L. Galloway)
9:28.0,K. Middleton misses 2-pt shot from 16 ft,,6-5,,
9:26.0,,,6-5,,Defensive rebound by Q. Acy
9:21.0,,,6-7,2,L. Galloway makes 2-pt shot from 1 ft (assist by T. Hardaway)
9:06.0,K. Middleton misses 3-pt shot from 23 ft,,6-7,,
9:04.0,,,6-7,,Defensive rebound by C. Aldrich
9:03.0,,,6-7,,Turnover by C. Aldrich (bad pass; steal by K. Middleton)
9:01.0,K. Middleton makes 2-pt shot from 2 ft,2,8-7,,
8:42.0,,,8-7,,Turnover by T. Hardaway (bad pass)
8:31.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,8-7,,
8:29.0,,,8-7,,Defensive rebound by C. Aldrich
8:16.0,,,8-9,2,L. Galloway makes 2-pt shot from 4 ft (assist by C. Aldrich)
8:06.0,,,8-9,,Personal foul by C. Aldrich (drawn by Z. Pachulia)
7:59.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,10-9,,
7:46.0,,,10-9,,Q. Acy misses 2-pt shot from 18 ft
7:44.0,Defensive rebound by G. Antetokounmpo,,10-9,,
