time,New Orleans,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. P. Gasol (D. Rose gains possession),,,,Jump ball: A. Davis vs. P. Gasol (D. Rose gains possession)
11:39.0,,,0-0,,Turnover by M. Dunleavy (bad pass; steal by T. Evans)
11:21.0,A. Davis misses 2-pt shot from 16 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by M. Dunleavy
11:04.0,,,0-2,2,J. Butler makes 2-pt shot from 13 ft (assist by P. Gasol)
10:52.0,J. Holiday misses 3-pt shot from 25 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by P. Gasol
10:41.0,,,0-2,,Turnover by D. Rose (bad pass; steal by L. Babbitt)
10:23.0,T. Evans makes 2-pt shot from 1 ft,2,2-2,,
10:07.0,,,2-2,,D. Rose misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by O. Asik,,2-2,,
9:53.0,T. Evans makes 2-pt shot from 22 ft,2,4-2,,
9:30.0,,,4-5,3,D. Rose makes 3-pt shot from 25 ft (assist by P. Gasol)
9:05.0,A. Davis misses 2-pt shot from 18 ft,,4-5,,
9:04.0,,,4-5,,Defensive rebound by M. Dunleavy
8:53.0,,,4-7,2,D. Rose makes 2-pt shot from 7 ft
8:38.0,O. Asik misses 2-pt shot from 2 ft (block by P. Gasol),,4-7,,
8:36.0,,,4-7,,Defensive rebound by J. Butler
8:20.0,,,4-7,,D. Rose misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by L. Babbitt,,4-7,,
8:08.0,T. Evans misses 2-pt shot from 1 ft,,4-7,,
8:07.0,,,4-7,,Defensive rebound by P. Gasol
8:02.0,,,4-9,2,J. Butler makes 2-pt shot from 2 ft (assist by M. Dunleavy)
7:45.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday),2,6-9,,
7:30.0,,,6-9,,Turnover by P. Gasol (lost ball; steal by O. Asik)
7:24.0,T. Evans makes 2-pt shot from 1 ft,2,8-9,,
7:03.0,,,8-11,2,J. Butler makes 2-pt shot from 5 ft
7:03.0,,,8-11,,Shooting foul by L. Babbitt (drawn by J. Butler)
7:03.0,,,8-12,1,J. Butler makes free throw 1 of 1
6:45.0,O. Asik misses 2-pt shot from 2 ft (block by P. Gasol),,8-12,,
6:44.0,Offensive rebound by Team,,8-12,,
6:32.0,T. Evans misses 2-pt shot from 5 ft,,8-12,,
6:31.0,,,8-12,,Defensive rebound by P. Gasol
6:22.0,,,8-12,,Shooting foul by T. Evans (drawn by J. Butler)
6:22.0,,,8-12,,J. Butler misses free throw 1 of 2
6:22.0,,,8-12,,Offensive rebound by Team
6:22.0,,,8-13,1,J. Butler makes free throw 2 of 2
6:04.0,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday),2,10-13,,
5:47.0,,,10-16,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol)
5:21.0,A. Davis misses 2-pt shot from 10 ft (block by J. Noah),,10-16,,
5:20.0,,,10-16,,Defensive rebound by J. Butler
5:17.0,,,10-16,,J. Butler misses 2-pt shot from 2 ft
5:16.0,,,10-16,,Offensive rebound by P. Gasol
5:16.0,,,10-18,2,P. Gasol makes 2-pt shot from 2 ft
5:16.0,New Orleans full timeout,,10-18,,
5:16.0,D. Cunningham enters the game for L. Babbitt,,10-18,,
5:07.0,Shooting foul by J. Noah (drawn by T. Evans),,10-18,,
5:07.0,T. Evans makes free throw 1 of 2,1,11-18,,
5:07.0,R. Anderson enters the game for O. Asik,,11-18,,
5:07.0,T. Evans makes free throw 2 of 2,1,12-18,,
