time,Golden State,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,K. Thompson misses 2-pt shot from 19 ft,,0-0,,
12:00.0,Jump ball: A. Bogut vs. T. Chandler (S. Curry gains possession),,,,Jump ball: A. Bogut vs. T. Chandler (S. Curry gains possession)
11:43.0,,,0-0,,Defensive rebound by R. Jefferson
11:27.0,,,0-0,,Turnover by R. Rondo (bad pass; steal by K. Thompson)
11:23.0,S. Curry makes 2-pt shot from 4 ft (assist by K. Thompson),2,2-0,,
11:23.0,Shooting foul by D. Nowitzki (drawn by S. Curry),,2-0,,
11:23.0,S. Curry makes free throw 1 of 1,1,3-0,,
11:01.0,,,3-0,,Turnover by R. Jefferson (bad pass; steal by K. Thompson)
10:57.0,K. Thompson makes 2-pt shot at rim,2,5-0,,
10:40.0,,,5-0,,Shooting foul by H. Barnes (drawn by T. Chandler)
10:40.0,,,5-0,,T. Chandler misses free throw 1 of 2
10:40.0,,,5-0,,Offensive rebound by Team
10:40.0,,,5-1,1,T. Chandler makes free throw 2 of 2
10:27.0,S. Curry misses 2-pt shot from 12 ft,,5-1,,
10:26.0,,,5-1,,Defensive rebound by T. Chandler
10:19.0,,,5-3,2,T. Chandler makes 2-pt shot at rim (assist by R. Rondo)
10:08.0,K. Thompson makes 3-pt shot from 22 ft (assist by H. Barnes),3,8-3,,
9:54.0,,,8-3,,M. Ellis misses 2-pt shot from 3 ft
9:53.0,Defensive rebound by D. Green,,8-3,,
9:44.0,S. Curry makes 2-pt shot at rim (assist by A. Bogut),2,10-3,,
9:44.0,,,10-3,,Dallas full timeout
9:25.0,Personal block foul by K. Thompson (drawn by M. Ellis),,10-3,,
9:17.0,,,10-3,,Turnover by M. Ellis (bad pass; steal by H. Barnes)
9:13.0,H. Barnes makes 2-pt shot at rim (assist by K. Thompson),2,12-3,,
8:57.0,,,12-6,3,R. Jefferson makes 3-pt shot from 23 ft (assist by D. Nowitzki)
8:43.0,A. Bogut misses 2-pt shot from 6 ft,,12-6,,
