time,New Orleans,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Davis (C. Landry gains possession),,,,Jump ball: D. Cousins vs. A. Davis (C. Landry gains possession)
11:36.0,,,0-0,,D. Cousins misses 2-pt shot from 12 ft
11:36.0,Defensive rebound by A. Davis,,0-0,,
11:15.0,A. Davis misses 2-pt shot from 8 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by D. Cousins
10:55.0,,,0-2,2,O. Casspi makes 2-pt shot from 21 ft
10:38.0,E. Gordon misses 2-pt shot from 6 ft,,0-2,,
10:37.0,Offensive rebound by O. Asik,,0-2,,
10:37.0,O. Asik misses 2-pt shot from 1 ft,,0-2,,
10:35.0,Offensive rebound by Q. Pondexter,,0-2,,
10:32.0,E. Gordon makes 3-pt shot from 22 ft (assist by Q. Pondexter),3,3-2,,
10:13.0,,,3-4,2,C. Landry makes 2-pt shot from 17 ft (assist by B. McLemore)
9:57.0,A. Davis makes 2-pt shot from 19 ft (assist by E. Gordon),2,5-4,,
9:43.0,,,5-6,2,D. Cousins makes 2-pt shot from 17 ft
9:32.0,,,5-6,,Personal block foul by R. McCallum (drawn by E. Gordon)
9:28.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by O. Asik),3,8-6,,
9:19.0,,,8-6,,Turnover by O. Casspi (lost ball)
9:00.0,A. Davis misses 2-pt shot from 20 ft (block by D. Cousins),,8-6,,
8:55.0,,,8-6,,Defensive rebound by D. Cousins
8:52.0,,,8-9,3,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins)
8:39.0,Q. Pondexter misses 2-pt shot from 1 ft (block by D. Cousins),,8-9,,
8:37.0,Offensive rebound by Q. Pondexter,,8-9,,
8:27.0,Turnover by T. Evans (bad pass; steal by B. McLemore),,8-9,,
8:26.0,,,8-9,,Turnover by B. McLemore (bad pass; steal by E. Gordon)
8:17.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,11-9,,
