time,Memphis,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. M. Gasol (M. Conley gains possession),,,,Jump ball: T. Black vs. M. Gasol (M. Conley gains possession)
11:38.0,T. Allen makes 2-pt shot from 4 ft,2,2-0,,
11:21.0,,,2-0,,T. Ariza misses 2-pt shot from 2 ft (block by M. Gasol)
11:18.0,,,2-0,,Offensive rebound by T. Black
11:12.0,,,2-0,,T. Ariza misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by Z. Randolph,,2-0,,
10:57.0,M. Gasol makes 2-pt shot from 5 ft,2,4-0,,
10:46.0,,,4-0,,Turnover by J. Terry (lost ball; steal by T. Allen)
10:45.0,,,4-0,,Personal foul by J. Terry (drawn by M. Conley)
10:23.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley),2,6-0,,
10:04.0,Violation by M. Gasol (kicked ball),,6-0,,
9:54.0,,,6-0,,Turnover by J. Harden (bad pass)
9:36.0,M. Gasol makes 2-pt shot from 1 ft,2,8-0,,
9:23.0,,,8-3,3,J. Terry makes 3-pt shot from 25 ft (assist by D. Motiejunas)
9:15.0,,,8-3,,Personal foul by J. Terry (drawn by M. Conley)
9:05.0,Z. Randolph makes 2-pt shot from 14 ft,2,10-3,,
8:43.0,,,10-3,,T. Ariza misses 2-pt shot from 1 ft
8:42.0,,,10-3,,Offensive rebound by T. Ariza
8:42.0,,,10-5,2,T. Ariza makes 2-pt shot from 1 ft
8:24.0,C. Lee makes 2-pt shot from 21 ft (assist by M. Gasol),2,12-5,,
8:12.0,,,12-8,3,J. Terry makes 3-pt shot from 23 ft (assist by D. Motiejunas)
7:59.0,Turnover by Z. Randolph (traveling),,12-8,,
7:47.0,,,12-8,,D. Motiejunas misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by Z. Randolph,,12-8,,
7:35.0,T. Allen makes 2-pt shot from 15 ft (assist by C. Lee),2,14-8,,
7:26.0,,,14-8,,J. Harden misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by C. Lee,,14-8,,
7:21.0,T. Allen makes 2-pt shot at rim (assist by C. Lee),2,16-8,,
7:20.0,,,16-8,,Houston full timeout
7:01.0,,,16-10,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by T. Ariza)
6:38.0,Turnover by T. Allen (bad pass),,16-10,,
6:31.0,,,16-13,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
6:16.0,M. Gasol misses 2-pt shot from 18 ft,,16-13,,
6:15.0,,,16-13,,Defensive rebound by J. Harden
6:06.0,,,16-13,,T. Ariza misses 3-pt shot from 25 ft
6:05.0,,,16-13,,Offensive rebound by J. Harden
6:05.0,,,16-15,2,J. Harden makes 2-pt shot from 1 ft
6:03.0,Memphis full timeout,,16-15,,
5:49.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,18-15,,
5:32.0,,,18-17,2,J. Terry makes 2-pt shot from 5 ft
5:32.0,,,18-17,,Shooting foul by M. Conley (drawn by J. Terry)
5:32.0,,,18-17,,J. Terry misses free throw 1 of 1
5:32.0,Defensive rebound by Z. Randolph,,18-17,,
5:13.0,Shooting foul by T. Black (drawn by Z. Randolph),,18-17,,
5:13.0,Z. Randolph makes free throw 1 of 2,1,19-17,,
5:13.0,Z. Randolph misses free throw 2 of 2,,19-17,,
5:13.0,,,19-17,,Defensive rebound by T. Black
4:50.0,,,19-19,2,D. Motiejunas makes 2-pt shot from 4 ft
4:42.0,Turnover by T. Allen (lost ball),,19-19,,
4:23.0,,,19-19,,J. Terry misses 3-pt shot from 24 ft
4:22.0,Defensive rebound by M. Gasol,,19-19,,
4:17.0,C. Lee makes 2-pt shot from 2 ft (assist by M. Conley),2,21-19,,
4:07.0,,,21-19,,T. Ariza misses 2-pt shot from 19 ft
4:06.0,,,21-19,,Offensive rebound by T. Ariza
3:54.0,,,21-19,,Shooting foul by T. Allen (drawn by J. Harden)
3:54.0,,,21-20,1,J. Harden makes free throw 1 of 2
3:54.0,,,21-20,,J. Dorsey enters the game for T. Black
3:54.0,,,21-21,1,J. Harden makes free throw 2 of 2
3:42.0,Turnover by M. Gasol (lost ball; steal by J. Terry),,21-21,,
3:35.0,,,21-21,,T. Ariza misses 2-pt shot from 20 ft
3:34.0,,,21-21,,Offensive rebound by D. Motiejunas
3:34.0,Personal foul by C. Lee (drawn by D. Motiejunas),,21-21,,
3:34.0,,,21-21,,N. Johnson enters the game for J. Terry
3:22.0,,,21-21,,N. Johnson misses 2-pt shot from 5 ft
3:21.0,,,21-21,,Offensive rebound by J. Dorsey
3:16.0,,,21-21,,T. Ariza misses 2-pt shot from 2 ft
3:15.0,,,21-21,,Offensive rebound by D. Motiejunas
3:15.0,,,21-21,,D. Motiejunas misses 2-pt shot from 1 ft
3:15.0,,,21-21,,Offensive rebound by D. Motiejunas
3:15.0,,,21-23,2,D. Motiejunas makes 2-pt shot from 1 ft
3:15.0,,,21-23,,Shooting foul by M. Conley (drawn by D. Motiejunas)
3:15.0,B. Udrih enters the game for M. Conley,,21-23,,
3:15.0,,,21-23,,D. Motiejunas misses free throw 1 of 1
3:15.0,Defensive rebound by M. Gasol,,21-23,,
2:58.0,Shooting foul by J. Dorsey (drawn by T. Allen),,21-23,,
2:58.0,T. Allen makes free throw 1 of 2,1,22-23,,
2:58.0,,,22-23,,F. Garcia enters the game for T. Ariza
2:58.0,Q. Pondexter enters the game for C. Lee,,22-23,,
2:58.0,T. Allen makes free throw 2 of 2,1,23-23,,
2:42.0,,,23-23,,Offensive foul by J. Dorsey
2:42.0,,,23-23,,Turnover by J. Dorsey (offensive foul)
2:28.0,T. Allen misses 2-pt shot from 21 ft,,23-23,,
2:27.0,,,23-23,,Defensive rebound by N. Johnson
2:23.0,,,23-25,2,D. Motiejunas makes 2-pt shot at rim (assist by N. Johnson)
2:04.0,T. Allen misses 2-pt shot from 2 ft (block by D. Motiejunas),,23-25,,
2:02.0,,,23-25,,Defensive rebound by J. Dorsey
1:58.0,,,23-27,2,J. Harden makes 2-pt shot from 1 ft
1:44.0,Turnover by B. Udrih (lost ball; steal by N. Johnson),,23-27,,
1:38.0,,,23-29,2,J. Dorsey makes 2-pt shot at rim (assist by F. Garcia)
1:37.0,Memphis full timeout,,23-29,,
1:37.0,V. Carter enters the game for T. Allen,,23-29,,
1:37.0,K. Koufos enters the game for Z. Randolph,,23-29,,
1:37.0,J. Leuer enters the game for M. Gasol,,23-29,,
1:37.0,,,23-29,,K. Papanikolaou enters the game for D. Motiejunas
1:26.0,K. Koufos makes 2-pt shot from 9 ft (assist by B. Udrih),2,25-29,,
1:10.0,,,25-29,,Offensive charge foul by N. Johnson
1:10.0,,,25-29,,Turnover by N. Johnson (offensive foul)
0:50.0,Shooting foul by N. Johnson (drawn by B. Udrih),,25-29,,
0:50.0,B. Udrih makes free throw 1 of 2,1,26-29,,
0:50.0,B. Udrih misses free throw 2 of 2,,26-29,,
0:50.0,,,26-29,,Defensive rebound by J. Dorsey
0:32.0,,,26-29,,Shooting foul by Q. Pondexter (drawn by J. Harden)
0:32.0,,,26-30,1,J. Harden makes free throw 1 of 2
0:32.0,,,26-31,1,J. Harden makes free throw 2 of 2
0:22.0,J. Leuer makes 2-pt shot from 2 ft (assist by Q. Pondexter),2,28-31,,
0:03.0,,,28-34,3,J. Harden makes 3-pt shot from 24 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,28-34,,F. Garcia misses 2-pt shot from 11 ft
11:44.0,,,28-34,,Offensive rebound by Team
11:39.0,,,28-34,,K. Papanikolaou misses 2-pt shot from 13 ft
11:37.0,Defensive rebound by J. Leuer,,28-34,,
11:22.0,K. Koufos misses 2-pt shot from 1 ft,,28-34,,
11:20.0,Offensive rebound by Q. Pondexter,,28-34,,
11:17.0,Q. Pondexter misses 2-pt shot from 2 ft,,28-34,,
11:16.0,,,28-34,,Defensive rebound by T. Ariza
10:59.0,,,28-36,2,J. Terry makes 2-pt shot from 6 ft (assist by F. Garcia)
10:48.0,K. Koufos misses 2-pt shot from 1 ft,,28-36,,
10:47.0,Offensive rebound by K. Koufos,,28-36,,
10:47.0,Turnover by K. Koufos (traveling),,28-36,,
10:27.0,,,28-38,2,J. Dorsey makes 2-pt shot from 1 ft (assist by F. Garcia)
10:13.0,Q. Pondexter misses 2-pt shot from 2 ft (block by J. Dorsey),,28-38,,
10:11.0,,,28-38,,Defensive rebound by J. Terry
10:07.0,,,28-38,,K. Papanikolaou misses 2-pt shot from 1 ft
10:06.0,,,28-38,,Offensive rebound by J. Dorsey
10:06.0,,,28-40,2,J. Dorsey makes 2-pt shot at rim
10:06.0,Memphis full timeout,,28-40,,
9:44.0,V. Carter makes 2-pt shot from 21 ft,2,30-40,,
9:26.0,,,30-40,,T. Ariza misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by Team,,30-40,,
9:10.0,,,30-40,,Def 3 sec tech foul by J. Dorsey
9:10.0,V. Carter misses technical free throw,,30-40,,
9:10.0,Offensive rebound by Team,,30-40,,
9:00.0,V. Carter makes 3-pt shot from 23 ft (assist by B. Udrih),3,33-40,,
8:50.0,,,33-40,,J. Terry misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by Team,,33-40,,
8:40.0,Turnover by B. Udrih (bad pass; steal by K. Papanikolaou),,33-40,,
8:23.0,,,33-42,2,K. Papanikolaou makes 2-pt shot from 21 ft (assist by F. Garcia)
