time,Boston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. D. Cousins (T. Zeller gains possession),,,,Jump ball: B. Bass vs. D. Cousins (T. Zeller gains possession)
11:33.0,E. Turner misses 3-pt shot from 24 ft,,0-0,,
11:32.0,Offensive rebound by B. Bass,,0-0,,
11:32.0,B. Bass makes 2-pt shot from 1 ft,2,2-0,,
11:17.0,,,2-0,,Turnover by B. McLemore (bad pass)
11:06.0,T. Zeller makes 2-pt shot from 2 ft (assist by A. Bradley),2,4-0,,
11:06.0,Shooting foul by R. Gay (drawn by T. Zeller),,4-0,,
11:06.0,T. Zeller makes free throw 1 of 1,1,5-0,,
10:50.0,,,5-0,,Turnover by R. Gay (bad pass; steal by A. Bradley)
10:36.0,T. Zeller makes 2-pt shot from 2 ft (assist by B. Bass),2,7-0,,
10:24.0,,,7-2,2,D. Cousins makes 2-pt shot from 3 ft
10:10.0,M. Smart makes 2-pt shot from 21 ft,2,9-2,,
9:48.0,,,9-2,,R. McCallum misses 3-pt shot from 23 ft
9:48.0,,,9-2,,Offensive rebound by R. McCallum
9:42.0,,,9-2,,B. McLemore misses 3-pt shot from 24 ft
9:41.0,,,9-2,,Offensive rebound by D. Cousins
9:37.0,,,9-2,,Turnover by D. Cousins (lost ball)
9:28.0,A. Bradley makes 2-pt shot from 19 ft,2,11-2,,
9:09.0,,,11-2,,D. Cousins misses 2-pt shot from 9 ft
9:09.0,Defensive rebound by E. Turner,,11-2,,
8:57.0,M. Smart misses 3-pt shot from 23 ft,,11-2,,
8:56.0,,,11-2,,Defensive rebound by D. Cousins
8:45.0,,,11-2,,Turnover by R. McCallum (lost ball)
8:36.0,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller),2,13-2,,
8:30.0,,,13-2,,Sacramento full timeout
8:21.0,,,13-2,,Turnover by D. Cousins (bad pass; steal by E. Turner)
8:18.0,Turnover by E. Turner (bad pass),,13-2,,
8:06.0,,,13-2,,R. Gay misses 3-pt shot from 22 ft
8:05.0,,,13-2,,Offensive rebound by C. Landry
8:05.0,,,13-2,,Turnover by C. Landry (traveling)
7:48.0,B. Bass makes 3-pt shot from 23 ft (assist by T. Zeller),3,16-2,,
7:33.0,,,16-4,2,D. Cousins makes 2-pt shot from 17 ft (assist by R. McCallum)
7:13.0,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner),2,18-4,,
7:02.0,,,18-4,,R. Gay misses 2-pt shot from 6 ft
7:02.0,,,18-4,,Offensive rebound by Team
7:02.0,,,18-4,,J. Thompson enters the game for C. Landry
6:59.0,,,18-4,,B. McLemore misses 2-pt shot from 13 ft (block by A. Bradley)
6:57.0,Defensive rebound by E. Turner,,18-4,,
6:42.0,A. Bradley misses 3-pt shot from 24 ft,,18-4,,
6:42.0,,,18-4,,Defensive rebound by J. Thompson
6:27.0,,,18-7,3,R. McCallum makes 3-pt shot from 23 ft (assist by D. Cousins)
6:05.0,T. Zeller misses 2-pt shot from 16 ft,,18-7,,
6:04.0,,,18-7,,Defensive rebound by R. McCallum
5:48.0,,,18-7,,R. Gay misses 2-pt shot from 12 ft
5:48.0,Defensive rebound by E. Turner,,18-7,,
5:36.0,T. Zeller makes 2-pt shot from 9 ft (assist by E. Turner),2,20-7,,
5:11.0,,,20-9,2,D. Cousins makes 2-pt shot from 2 ft (assist by B. McLemore)
4:56.0,Turnover by E. Turner (bad pass; steal by D. Cousins),,20-9,,
4:51.0,,,20-9,,Turnover by D. Cousins (lost ball)
4:51.0,,,20-9,,O. Casspi enters the game for R. Gay
4:51.0,J. Crowder enters the game for B. Bass,,20-9,,
4:51.0,,,20-9,,Technical foul by D. Cousins
4:51.0,A. Bradley makes technical free throw,1,21-9,,
4:34.0,T. Zeller makes 2-pt shot from 5 ft (assist by E. Turner),2,23-9,,
4:19.0,,,23-11,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. McCallum)
4:01.0,T. Zeller makes 2-pt shot from 19 ft (assist by A. Bradley),2,25-11,,
3:50.0,,,25-11,,Turnover by B. McLemore (offensive foul)
3:50.0,,,25-11,,Offensive charge foul by B. McLemore
3:50.0,,,25-11,,D. Williams enters the game for D. Cousins
3:38.0,A. Bradley makes 2-pt shot from 16 ft,2,27-11,,
3:26.0,,,27-13,2,B. McLemore makes 2-pt shot from 1 ft
3:26.0,,,27-13,,Shooting foul by A. Bradley (drawn by B. McLemore)
3:26.0,G. Wallace enters the game for T. Zeller,,27-13,,
3:26.0,,,27-14,1,B. McLemore makes free throw 1 of 1
3:09.0,A. Bradley misses 3-pt shot from 24 ft,,27-14,,
3:09.0,,,27-14,,Defensive rebound by Team
3:09.0,Loose ball foul by J. Crowder (drawn by J. Thompson),,27-14,,
3:07.0,J. Young enters the game for A. Bradley,,27-14,,
2:54.0,,,27-17,3,R. McCallum makes 3-pt shot from 25 ft (assist by O. Casspi)
2:52.0,Boston full timeout,,27-17,,
2:52.0,P. Pressey enters the game for M. Smart,,27-17,,
2:45.0,E. Turner misses 2-pt shot from 2 ft,,27-17,,
2:45.0,Offensive rebound by G. Wallace,,27-17,,
2:45.0,Shooting foul by J. Thompson (drawn by G. Wallace),,27-17,,
2:45.0,G. Wallace misses free throw 1 of 2,,27-17,,
2:45.0,Offensive rebound by Team,,27-17,,
2:45.0,G. Wallace misses free throw 2 of 2,,27-17,,
2:43.0,Offensive rebound by J. Young,,27-17,,
2:43.0,,,27-17,,Personal foul by O. Casspi (drawn by J. Young)
2:36.0,Turnover by E. Turner (bad pass; steal by O. Casspi),,27-17,,
2:25.0,,,27-19,2,R. McCallum makes 2-pt shot from 2 ft (assist by B. McLemore)
2:04.0,J. Crowder misses 2-pt shot from 19 ft,,27-19,,
2:04.0,,,27-19,,Defensive rebound by J. Thompson
1:51.0,,,27-21,2,J. Thompson makes 2-pt shot from 2 ft (assist by R. McCallum)
1:25.0,P. Pressey misses 2-pt shot from 5 ft,,27-21,,
1:24.0,,,27-21,,Defensive rebound by R. McCallum
1:18.0,,,27-23,2,D. Williams makes 2-pt shot from 2 ft (assist by O. Casspi)
1:04.0,E. Turner misses 2-pt shot from 16 ft,,27-23,,
1:03.0,,,27-23,,Defensive rebound by O. Casspi
0:56.0,,,27-26,3,B. McLemore makes 3-pt shot from 23 ft (assist by O. Casspi)
0:41.0,P. Pressey misses 2-pt shot from 19 ft,,27-26,,
0:40.0,Offensive rebound by Team,,27-26,,
0:40.0,,,27-26,,Loose ball foul by J. Thompson (drawn by G. Wallace)
0:40.0,B. Bass enters the game for E. Turner,,27-26,,
0:34.0,B. Bass misses 2-pt shot from 10 ft,,27-26,,
0:33.0,,,27-26,,Defensive rebound by D. Williams
0:26.0,,,27-26,,D. Williams misses 2-pt shot from 3 ft
0:25.0,Defensive rebound by Team,,27-26,,
0:05.0,P. Pressey misses 2-pt shot from 6 ft (block by J. Thompson),,27-26,,
0:04.0,,,27-26,,Defensive rebound by J. Thompson
0:01.0,,,27-28,2,O. Casspi makes 2-pt shot at rim (assist by J. Thompson)
0:00.0,G. Wallace misses 3-pt shot from 35 ft,,27-28,,
0:00.0,Offensive rebound by Team,,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-28,,O. Casspi misses 2-pt shot from 5 ft (block by B. Bass)
11:41.0,,,27-28,,Offensive rebound by O. Casspi
11:41.0,Personal foul by J. Crowder (drawn by O. Casspi),,27-28,,
11:35.0,,,27-28,,B. McLemore misses 2-pt shot from 6 ft
11:33.0,Defensive rebound by G. Wallace,,27-28,,
11:17.0,Shooting foul by B. McLemore (drawn by J. Young),,27-28,,
11:17.0,J. Young makes free throw 1 of 2,1,28-28,,
11:17.0,,,28-28,,R. Gay enters the game for B. McLemore
11:17.0,J. Young misses free throw 2 of 2,,28-28,,
11:17.0,,,28-28,,Defensive rebound by D. Williams
11:02.0,,,28-31,3,R. Gay makes 3-pt shot from 23 ft (assist by J. Thompson)
10:45.0,P. Pressey makes 3-pt shot from 24 ft,3,31-31,,
10:36.0,,,31-31,,A. Miller misses 2-pt shot from 8 ft
10:35.0,Defensive rebound by B. Bass,,31-31,,
10:24.0,P. Pressey misses 3-pt shot from 24 ft,,31-31,,
10:24.0,,,31-31,,Defensive rebound by O. Casspi
10:21.0,,,31-33,2,D. Williams makes 2-pt shot at rim (assist by O. Casspi)
10:05.0,J. Crowder makes 2-pt shot from 8 ft (assist by B. Bass),2,33-33,,
9:44.0,,,33-36,3,D. Williams makes 3-pt shot from 25 ft (assist by R. Gay)
9:27.0,J. Crowder misses 2-pt shot from 21 ft,,33-36,,
9:26.0,,,33-36,,Defensive rebound by A. Miller
9:22.0,,,33-38,2,D. Williams makes 2-pt shot at rim (assist by A. Miller)
9:21.0,Boston full timeout,,33-38,,
9:21.0,A. Bradley enters the game for J. Crowder,,33-38,,
9:21.0,M. Smart enters the game for G. Wallace,,33-38,,
9:21.0,T. Zeller enters the game for P. Pressey,,33-38,,
9:21.0,,,33-38,,D. Cousins enters the game for J. Thompson
9:06.0,J. Young misses 3-pt shot from 23 ft,,33-38,,
9:02.0,Offensive rebound by T. Zeller,,33-38,,
9:02.0,T. Zeller misses 2-pt shot from 4 ft,,33-38,,
9:00.0,,,33-38,,Defensive rebound by O. Casspi
8:50.0,Personal foul by J. Young (drawn by O. Casspi),,33-38,,
8:36.0,,,33-38,,D. Williams misses 3-pt shot from 24 ft
8:35.0,,,33-38,,Offensive rebound by D. Cousins
8:33.0,,,33-40,2,D. Cousins makes 2-pt shot from 2 ft
8:14.0,Shooting foul by D. Williams (drawn by A. Bradley),,33-40,,
8:14.0,A. Bradley misses free throw 1 of 2,,33-40,,
8:14.0,Offensive rebound by Team,,33-40,,
8:14.0,E. Turner enters the game for J. Young,,33-40,,
8:14.0,A. Bradley makes free throw 2 of 2,1,34-40,,
7:54.0,,,34-40,,R. Gay misses 2-pt shot from 13 ft
7:54.0,,,34-40,,Offensive rebound by A. Miller
7:51.0,,,34-40,,Turnover by D. Cousins (3 sec)
7:42.0,Shooting foul by D. Williams (drawn by M. Smart),,34-40,,
7:42.0,M. Smart misses free throw 1 of 3,,34-40,,
7:42.0,Offensive rebound by Team,,34-40,,
7:42.0,M. Smart makes free throw 2 of 3,1,35-40,,
7:42.0,M. Smart makes free throw 3 of 3,1,36-40,,
7:29.0,,,36-40,,Turnover by R. Gay (bad pass; steal by M. Smart)
7:14.0,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner),2,38-40,,
7:05.0,,,38-40,,Turnover by A. Miller (lost ball)
7:05.0,,,38-40,,B. McLemore enters the game for D. Williams
6:53.0,Shooting foul by O. Casspi (drawn by T. Zeller),,38-40,,
6:53.0,T. Zeller makes free throw 1 of 2,1,39-40,,
6:53.0,T. Zeller makes free throw 2 of 2,1,40-40,,
6:40.0,,,40-40,,D. Cousins misses 2-pt shot from 4 ft
6:38.0,,,40-40,,Offensive rebound by R. Gay
6:35.0,,,40-40,,Shooting foul by T. Zeller (drawn by R. Gay)
6:35.0,,,40-41,1,R. Gay makes free throw 1 of 2
6:35.0,,,40-42,1,R. Gay makes free throw 2 of 2
6:26.0,E. Turner misses 2-pt shot from 8 ft,,40-42,,
6:26.0,,,40-42,,Defensive rebound by D. Cousins
6:15.0,,,40-42,,O. Casspi misses 2-pt shot from 23 ft
6:15.0,,,40-42,,Offensive rebound by Team
6:15.0,Loose ball foul by T. Zeller (drawn by D. Cousins),,40-42,,
6:15.0,S. Randolph enters the game for T. Zeller,,40-42,,
6:05.0,,,40-45,3,O. Casspi makes 3-pt shot from 24 ft (assist by D. Cousins)
5:46.0,B. Bass misses 2-pt shot from 2 ft,,40-45,,
5:45.0,,,40-45,,Defensive rebound by D. Cousins
5:43.0,,,40-45,,Turnover by D. Cousins (bad pass; steal by M. Smart)
5:37.0,M. Smart misses 3-pt shot from 24 ft,,40-45,,
5:36.0,,,40-45,,Defensive rebound by A. Miller
5:24.0,,,40-48,3,R. Gay makes 3-pt shot from 24 ft (assist by D. Cousins)
5:24.0,Boston full timeout,,40-48,,
5:24.0,Official timeout,,40-48,,
5:08.0,E. Turner misses 2-pt shot from 3 ft,,40-48,,
5:07.0,Offensive rebound by S. Randolph,,40-48,,
5:07.0,S. Randolph misses 2-pt shot from 4 ft,,40-48,,
