time,LA Clippers,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (M. Barnes gains possession),,,,Jump ball: D. Howard vs. D. Jordan (M. Barnes gains possession)
11:40.0,Shooting foul by D. Howard (drawn by D. Jordan),,0-0,,
11:40.0,D. Jordan misses free throw 1 of 2,,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:40.0,D. Jordan misses free throw 2 of 2,,0-0,,
11:39.0,Offensive rebound by B. Griffin,,0-0,,
11:32.0,M. Barnes misses 2-pt shot from 4 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by D. Howard
11:12.0,,,0-2,2,T. Ariza makes 2-pt shot at rim (assist by J. Terry)
10:54.0,B. Griffin misses 2-pt shot from 3 ft,,0-2,,
10:53.0,Offensive rebound by B. Griffin,,0-2,,
10:53.0,B. Griffin misses 2-pt shot from 3 ft,,0-2,,
10:52.0,Offensive rebound by B. Griffin,,0-2,,
10:42.0,J. Redick misses 2-pt shot from 14 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by Team
10:42.0,Loose ball foul by D. Jordan (drawn by D. Howard),,0-2,,
10:26.0,,,0-2,,J. Smith misses 2-pt shot from 10 ft
10:25.0,,,0-2,,Offensive rebound by J. Smith
10:20.0,,,0-4,2,J. Smith makes 2-pt shot from 4 ft
10:06.0,C. Paul misses 3-pt shot from 26 ft,,0-4,,
10:05.0,,,0-4,,Defensive rebound by T. Ariza
9:55.0,,,0-4,,Turnover by J. Smith (bad pass; steal by J. Redick)
9:38.0,M. Barnes misses 3-pt shot from 25 ft,,0-4,,
9:37.0,Offensive rebound by D. Jordan,,0-4,,
9:34.0,D. Jordan makes 2-pt shot from 2 ft,2,2-4,,
9:17.0,,,2-4,,J. Terry misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by B. Griffin,,2-4,,
9:05.0,J. Redick misses 2-pt shot from 21 ft,,2-4,,
9:04.0,,,2-4,,Defensive rebound by J. Smith
8:59.0,,,2-4,,T. Ariza misses 2-pt shot from 3 ft
8:58.0,Defensive rebound by C. Paul,,2-4,,
8:49.0,M. Barnes misses 2-pt shot from 2 ft,,2-4,,
8:48.0,,,2-4,,Defensive rebound by T. Ariza
8:41.0,,,2-4,,J. Terry misses 3-pt shot from 24 ft
8:40.0,,,2-4,,Offensive rebound by J. Smith
8:36.0,,,2-4,,T. Ariza misses 3-pt shot from 23 ft
8:34.0,Defensive rebound by D. Jordan,,2-4,,
8:32.0,Turnover by D. Jordan (lost ball; steal by T. Ariza),,2-4,,
