time,Sacramento,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. G. Dieng (B. McLemore gains possession),,,,Jump ball: D. Cousins vs. G. Dieng (B. McLemore gains possession)
11:42.0,D. Cousins makes 2-pt shot from 4 ft (assist by R. Gay),2,2-0,,
11:19.0,,,2-0,,Turnover by S. Muhammad (lost ball; steal by R. Gay)
11:09.0,Shooting foul by S. Muhammad (drawn by R. Gay),,2-0,,
11:09.0,R. Gay makes free throw 1 of 2,1,3-0,,
11:09.0,R. Gay makes free throw 2 of 2,1,4-0,,
10:51.0,,,4-0,,S. Muhammad misses 2-pt shot from 10 ft (block by R. Gay)
10:50.0,Defensive rebound by D. Collison,,4-0,,
10:41.0,D. Collison makes 2-pt shot from 12 ft,2,6-0,,
10:23.0,,,6-0,,A. Wiggins misses 2-pt shot from 10 ft
10:22.0,Defensive rebound by D. Williams,,6-0,,
10:14.0,D. Collison misses 2-pt shot from 13 ft,,6-0,,
10:13.0,Offensive rebound by R. Gay,,6-0,,
10:12.0,R. Gay makes 2-pt shot from 1 ft,2,8-0,,
9:50.0,,,8-2,2,Z. LaVine makes 2-pt shot from 16 ft
9:33.0,D. Williams makes 3-pt shot from 24 ft (assist by R. Gay),3,11-2,,
9:11.0,,,11-2,,Turnover by G. Dieng (lost ball; steal by R. Gay)
8:55.0,Turnover by D. Cousins (lost ball; steal by Z. LaVine),,11-2,,
8:44.0,,,11-4,2,G. Dieng makes 2-pt shot from 15 ft (assist by A. Wiggins)
8:31.0,Shooting foul by T. Young (drawn by D. Williams),,11-4,,
8:31.0,D. Williams makes free throw 1 of 2,1,12-4,,
8:31.0,D. Williams makes free throw 2 of 2,1,13-4,,
8:22.0,,,13-6,2,S. Muhammad makes 2-pt shot from 8 ft
8:11.0,,,13-6,,Personal foul by G. Dieng (drawn by D. Cousins)
8:05.0,D. Cousins makes 2-pt shot at rim,2,15-6,,
7:49.0,,,15-6,,A. Wiggins misses 2-pt shot from 16 ft
7:48.0,Defensive rebound by D. Cousins,,15-6,,
7:39.0,R. Gay misses 2-pt shot from 2 ft,,15-6,,
7:36.0,,,15-6,,Defensive rebound by T. Young
7:31.0,,,15-6,,Shooting foul by D. Cousins (drawn by S. Muhammad)
7:31.0,,,15-6,,S. Muhammad misses free throw 1 of 2
7:31.0,,,15-6,,Offensive rebound by Team
7:31.0,,,15-7,1,S. Muhammad makes free throw 2 of 2
7:15.0,D. Cousins makes 2-pt shot from 4 ft (assist by B. McLemore),2,17-7,,
6:56.0,,,17-7,,Offensive charge foul by A. Wiggins
6:56.0,,,17-7,,Turnover by A. Wiggins (offensive foul)
6:35.0,D. Williams makes 2-pt shot from 13 ft (assist by D. Collison),2,19-7,,
6:33.0,,,19-7,,Minnesota full timeout
6:21.0,,,19-9,2,Z. LaVine makes 2-pt shot from 22 ft
6:07.0,Turnover by R. Gay (bad pass),,19-9,,
5:59.0,,,19-9,,T. Young misses 2-pt shot from 1 ft
5:58.0,,,19-9,,Offensive rebound by T. Young
5:58.0,,,19-9,,T. Young misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by R. Gay,,19-9,,
5:54.0,Turnover by R. Gay (bad pass),,19-9,,
5:44.0,,,19-11,2,Z. LaVine makes 2-pt shot from 20 ft
5:19.0,Turnover by D. Cousins (lost ball; steal by T. Young),,19-11,,
5:06.0,,,19-11,,S. Muhammad misses 3-pt shot from 22 ft
5:05.0,Defensive rebound by R. Gay,,19-11,,
5:01.0,B. McLemore makes 2-pt shot at rim (assist by D. Collison),2,21-11,,
4:44.0,,,21-11,,Turnover by Z. LaVine (bad pass; steal by D. Williams)
4:39.0,B. McLemore makes 2-pt shot at rim (assist by D. Williams),2,23-11,,
4:14.0,Violation by D. Cousins (def goaltending),,23-11,,
4:14.0,,,23-13,2,A. Wiggins makes 2-pt shot from 4 ft
3:57.0,D. Cousins misses 2-pt shot from 1 ft (block by G. Dieng),,23-13,,
3:55.0,Offensive rebound by D. Cousins,,23-13,,
3:54.0,D. Cousins makes 2-pt shot at rim,2,25-13,,
3:40.0,,,25-13,,Turnover by A. Wiggins (bad pass; steal by D. Williams)
3:35.0,,,25-13,,C. Budinger enters the game for A. Wiggins
3:35.0,,,25-13,,J. Adrien enters the game for G. Dieng
3:27.0,R. Gay misses 2-pt shot from 19 ft,,25-13,,
3:26.0,,,25-13,,Defensive rebound by Z. LaVine
3:17.0,,,25-15,2,S. Muhammad makes 2-pt shot at rim (assist by T. Young)
3:17.0,,,25-15,,Shooting foul by B. McLemore (drawn by S. Muhammad)
3:17.0,,,25-16,1,S. Muhammad makes free throw 1 of 1
3:03.0,Shooting foul by T. Young (drawn by D. Collison),,25-16,,
3:03.0,D. Collison makes free throw 1 of 2,1,26-16,,
3:03.0,J. Thompson enters the game for D. Cousins,,26-16,,
3:03.0,N. Stauskas enters the game for B. McLemore,,26-16,,
3:03.0,,,26-16,,A. Bennett enters the game for T. Young
3:03.0,D. Collison makes free throw 2 of 2,1,27-16,,
2:52.0,,,27-16,,Turnover by A. Bennett (bad pass; steal by R. Gay)
2:48.0,R. Gay makes 2-pt shot at rim,2,29-16,,
2:35.0,,,29-16,,A. Bennett misses 2-pt shot at rim (block by D. Williams)
2:34.0,,,29-16,,Offensive rebound by Team
2:34.0,Sacramento full timeout,,29-16,,
2:32.0,Personal foul by R. Gay (drawn by S. Muhammad),,29-16,,
2:28.0,,,29-18,2,A. Bennett makes 2-pt shot from 21 ft (assist by Z. LaVine)
2:13.0,Turnover by N. Stauskas (traveling),,29-18,,
2:13.0,,,29-18,,M. Williams enters the game for Z. LaVine
2:01.0,,,29-18,,J. Adrien misses 2-pt shot at rim (block by J. Thompson)
2:00.0,,,29-18,,Offensive rebound by Team
2:00.0,C. Landry enters the game for D. Williams,,29-18,,
1:53.0,,,29-18,,Shooting foul by J. Thompson (drawn by J. Adrien)
1:53.0,,,29-19,1,J. Adrien makes free throw 1 of 2
1:53.0,,,29-20,1,J. Adrien makes free throw 2 of 2
1:36.0,Shooting foul by S. Muhammad (drawn by R. Gay),,29-20,,
1:36.0,R. Gay makes free throw 1 of 2,1,30-20,,
1:36.0,,,30-20,,A. Wiggins enters the game for S. Muhammad
1:36.0,R. Gay makes free throw 2 of 2,1,31-20,,
1:23.0,,,31-22,2,A. Wiggins makes 2-pt shot from 11 ft (assist by M. Williams)
1:11.0,Turnover by D. Collison (bad pass; steal by A. Wiggins),,31-22,,
1:07.0,,,31-24,2,A. Wiggins makes 2-pt shot at rim
0:49.0,R. Gay makes 2-pt shot from 4 ft,2,33-24,,
0:38.0,,,33-27,3,M. Williams makes 3-pt shot from 24 ft
0:29.0,J. Thompson makes 2-pt shot from 18 ft (assist by D. Collison),2,35-27,,
0:08.0,,,35-29,2,C. Budinger makes 2-pt shot from 17 ft (assist by M. Williams)
0:02.0,D. Collison makes 2-pt shot from 15 ft,2,37-29,,
0:00.0,,,37-29,,M. Williams misses 3-pt shot from 42 ft
0:00.0,,,37-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,37-29,,C. Budinger misses 2-pt shot at rim
11:45.0,Defensive rebound by C. Landry,,37-29,,
11:31.0,Turnover by R. Gay (bad pass; steal by A. Bennett),,37-29,,
11:25.0,Personal foul by R. Gay (drawn by A. Bennett),,37-29,,
11:25.0,D. Williams enters the game for R. Gay,,37-29,,
11:19.0,,,37-31,2,J. Adrien makes 2-pt shot at rim (assist by M. Williams)
11:03.0,C. Landry makes 2-pt shot at rim (assist by R. McCallum),2,39-31,,
10:38.0,,,39-33,2,A. Wiggins makes 2-pt shot at rim
10:17.0,,,39-33,,Personal foul by A. Bennett (drawn by C. Landry)
10:17.0,,,39-33,,G. Dieng enters the game for J. Adrien
10:10.0,D. Williams misses 3-pt shot from 24 ft,,39-33,,
10:09.0,,,39-33,,Defensive rebound by A. Bennett
10:00.0,,,39-33,,M. Williams misses 3-pt shot from 24 ft
9:59.0,,,39-33,,Offensive rebound by G. Dieng
9:54.0,,,39-35,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
9:33.0,C. Landry misses 2-pt shot from 18 ft,,39-35,,
9:31.0,,,39-35,,Defensive rebound by A. Wiggins
