time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. G. Dieng (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. G. Dieng (S. Ibaka gains possession)
11:44.0,,,0-0,,P. Jones misses 3-pt shot from 22 ft
11:43.0,Defensive rebound by G. Dieng,,0-0,,
11:27.0,M. Williams misses 2-pt shot from 5 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by P. Jones
11:21.0,,,0-0,,R. Westbrook misses 2-pt shot from 2 ft (block by G. Dieng)
11:21.0,,,0-0,,Offensive rebound by Team
11:21.0,,,0-0,,Violation by Team (delay of game)
11:18.0,,,0-0,,P. Jones misses 2-pt shot from 16 ft
11:17.0,Defensive rebound by T. Young,,0-0,,
11:00.0,Turnover by A. Wiggins (bad pass),,0-0,,
10:41.0,,,0-2,2,S. Ibaka makes 2-pt shot from 10 ft
10:22.0,A. Wiggins makes 2-pt shot from 1 ft,2,2-2,,
10:08.0,,,2-2,,R. Westbrook misses 2-pt shot at rim (block by G. Dieng)
10:06.0,Defensive rebound by T. Young,,2-2,,
10:03.0,Turnover by T. Young (traveling),,2-2,,
9:53.0,,,2-2,,S. Ibaka misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by N. Pekovic,,2-2,,
9:44.0,T. Young makes 2-pt shot from 3 ft,2,4-2,,
9:28.0,,,4-4,2,S. Adams makes 2-pt shot at rim (assist by P. Jones)
9:04.0,N. Pekovic misses 2-pt shot from 7 ft (block by S. Adams),,4-4,,
9:03.0,,,4-4,,Defensive rebound by S. Ibaka
8:57.0,,,4-4,,R. Westbrook misses 2-pt shot from 16 ft (block by A. Wiggins)
8:56.0,Defensive rebound by G. Dieng,,4-4,,
8:50.0,,,4-4,,Violation by P. Jones (kicked ball)
8:41.0,A. Wiggins misses 2-pt shot from 3 ft (block by A. Roberson),,4-4,,
8:39.0,,,4-4,,Defensive rebound by S. Ibaka
8:31.0,,,4-4,,S. Ibaka misses 2-pt shot from 4 ft
8:30.0,Defensive rebound by Team,,4-4,,
8:19.0,M. Williams misses 3-pt shot from 24 ft,,4-4,,
8:18.0,,,4-4,,Defensive rebound by A. Roberson
8:07.0,,,4-4,,S. Adams misses 2-pt shot from 4 ft
8:06.0,Defensive rebound by N. Pekovic,,4-4,,
7:46.0,N. Pekovic misses 2-pt shot from 4 ft,,4-4,,
7:44.0,,,4-4,,Defensive rebound by S. Adams
7:37.0,,,4-4,,R. Westbrook misses 2-pt shot from 4 ft
7:36.0,Defensive rebound by G. Dieng,,4-4,,
7:21.0,T. Young misses 2-pt shot from 2 ft,,4-4,,
7:20.0,Offensive rebound by T. Young,,4-4,,
7:20.0,T. Young misses 2-pt shot from 2 ft,,4-4,,
7:20.0,,,4-4,,Defensive rebound by Team
7:07.0,,,4-4,,Turnover by S. Adams (bad pass; steal by G. Dieng)
