time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. A. Len (G. Dragic gains possession),,,,Jump ball: G. Dieng vs. A. Len (G. Dragic gains possession)
11:40.0,,,0-2,2,A. Len makes 2-pt shot from 4 ft (assist by P. Tucker)
11:19.0,M. Williams makes 3-pt shot from 23 ft (assist by T. Young),3,3-2,,
10:58.0,,,3-2,,M. Morris misses 2-pt shot from 19 ft
10:55.0,,,3-2,,Offensive rebound by G. Dragic
10:55.0,,,3-4,2,G. Dragic makes 2-pt shot at rim
10:47.0,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng),2,5-4,,
10:38.0,Personal foul by M. Williams (drawn by G. Dragic),,5-4,,
10:32.0,,,5-4,,E. Bledsoe misses 2-pt shot from 2 ft (block by G. Dieng)
10:30.0,,,5-4,,Offensive rebound by A. Len
10:30.0,,,5-6,2,A. Len makes 2-pt shot at rim
10:17.0,Turnover by M. Williams (lost ball),,5-6,,
10:05.0,,,5-6,,G. Dragic misses 2-pt shot from 14 ft
10:03.0,,,5-6,,Offensive rebound by A. Len
10:03.0,,,5-8,2,A. Len makes 2-pt shot at rim
9:38.0,G. Dieng makes 2-pt shot from 16 ft,2,7-8,,
9:22.0,,,7-10,2,G. Dragic makes 2-pt shot from 7 ft
9:02.0,T. Young makes 2-pt shot from 1 ft,2,9-10,,
8:37.0,,,9-10,,G. Dragic misses 2-pt shot from 2 ft (block by G. Dieng)
8:34.0,,,9-10,,Offensive rebound by G. Dragic
8:34.0,,,9-12,2,G. Dragic makes 2-pt shot from 2 ft
8:14.0,C. Budinger makes 2-pt shot from 13 ft,2,11-12,,
8:02.0,,,11-12,,M. Morris misses 2-pt shot from 17 ft
8:01.0,Defensive rebound by Team,,11-12,,
7:43.0,G. Dieng makes 2-pt shot from 2 ft (assist by T. Young),2,13-12,,
7:38.0,,,13-12,,Phoenix full timeout
7:26.0,,,13-12,,E. Bledsoe misses 3-pt shot from 26 ft
7:19.0,Defensive rebound by C. Budinger,,13-12,,
7:14.0,M. Williams makes 2-pt shot at rim (assist by T. Young),2,15-12,,
7:08.0,Shooting block foul by T. Young (drawn by E. Bledsoe),,15-12,,
7:08.0,,,15-13,1,E. Bledsoe makes free throw 1 of 2
7:08.0,,,15-14,1,E. Bledsoe makes free throw 2 of 2
6:56.0,T. Young makes 2-pt shot at rim (assist by M. Williams),2,17-14,,
6:40.0,,,17-16,2,G. Dragic makes 2-pt shot from 1 ft
6:26.0,,,17-16,,Personal foul by E. Bledsoe (drawn by M. Williams)
