time,Atlanta,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Brand vs. D. Cousins (R. McCallum gains possession),,,,Jump ball: E. Brand vs. D. Cousins (R. McCallum gains possession)
11:54.0,,,0-0,,O. Casspi misses 2-pt shot from 2 ft
11:51.0,,,0-0,,Offensive rebound by B. McLemore
11:50.0,,,0-0,,B. McLemore misses 2-pt shot at rim
11:49.0,Defensive rebound by P. Millsap,,0-0,,
11:31.0,E. Brand misses 2-pt shot from 18 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by D. Cousins
11:18.0,,,0-0,,C. Landry misses 2-pt shot from 2 ft
11:17.0,Defensive rebound by D. Carroll,,0-0,,
10:57.0,P. Millsap makes 2-pt shot from 2 ft,2,2-0,,
10:38.0,,,2-0,,O. Casspi misses 3-pt shot from 24 ft
10:38.0,,,2-0,,Offensive rebound by Team
10:38.0,Loose ball foul by K. Bazemore (drawn by C. Landry),,2-0,,
10:27.0,,,2-2,2,B. McLemore makes 2-pt shot from 20 ft
10:22.0,Shooting foul by B. McLemore (drawn by K. Bazemore),,2-2,,
10:22.0,K. Bazemore misses free throw 1 of 2,,2-2,,
10:22.0,Offensive rebound by Team,,2-2,,
10:22.0,K. Bazemore makes free throw 2 of 2,1,3-2,,
10:12.0,,,3-2,,D. Cousins misses 2-pt shot from 16 ft
10:12.0,Defensive rebound by J. Teague,,3-2,,
9:54.0,E. Brand misses 2-pt shot from 15 ft,,3-2,,
9:53.0,Offensive rebound by P. Millsap,,3-2,,
9:46.0,D. Carroll misses 3-pt shot from 24 ft,,3-2,,
9:46.0,Offensive rebound by D. Carroll,,3-2,,
9:42.0,Shooting foul by B. McLemore (drawn by D. Carroll),,3-2,,
9:42.0,D. Carroll misses free throw 1 of 2,,3-2,,
9:42.0,Offensive rebound by Team,,3-2,,
9:42.0,,,3-2,,N. Stauskas enters the game for B. McLemore
9:42.0,D. Carroll makes free throw 2 of 2,1,4-2,,
9:28.0,,,4-2,,Turnover by O. Casspi (bad pass; steal by E. Brand)
9:13.0,D. Carroll makes 2-pt shot from 6 ft,2,6-2,,
8:57.0,,,6-5,3,R. McCallum makes 3-pt shot from 24 ft (assist by N. Stauskas)
8:39.0,D. Carroll makes 3-pt shot from 25 ft (assist by P. Millsap),3,9-5,,
8:27.0,,,9-7,2,D. Cousins makes 2-pt shot from 3 ft
8:12.0,P. Millsap makes 3-pt shot from 23 ft (assist by J. Teague),3,12-7,,
7:55.0,,,12-7,,Shooting foul by P. Millsap (drawn by C. Landry)
7:55.0,,,12-8,1,C. Landry makes free throw 1 of 2
7:55.0,S. Mack enters the game for K. Bazemore,,12-8,,
7:55.0,,,12-9,1,C. Landry makes free throw 2 of 2
7:35.0,P. Millsap misses 2-pt shot from 17 ft,,12-9,,
7:34.0,,,12-9,,Defensive rebound by D. Cousins
7:23.0,,,12-9,,Turnover by C. Landry (bad pass; steal by D. Carroll)
7:17.0,Turnover by D. Carroll (lost ball; steal by O. Casspi),,12-9,,
7:14.0,,,12-12,3,R. McCallum makes 3-pt shot from 25 ft (assist by O. Casspi)
6:58.0,Turnover by D. Carroll (bad pass; steal by D. Cousins),,12-12,,
6:55.0,,,12-14,2,D. Cousins makes 2-pt shot at rim
6:53.0,Atlanta full timeout,,12-14,,
6:40.0,P. Millsap makes 2-pt shot from 8 ft,2,14-14,,
6:40.0,Shooting foul by R. McCallum (drawn by P. Millsap),,14-14,,
6:40.0,P. Millsap makes free throw 1 of 1,1,15-14,,
6:26.0,,,15-14,,Shooting foul by D. Carroll (drawn by D. Cousins)
6:26.0,,,15-15,1,D. Cousins makes free throw 1 of 2
6:26.0,,,15-15,,D. Cousins misses free throw 2 of 2
6:26.0,Defensive rebound by E. Brand,,15-15,,
6:04.0,P. Millsap misses 2-pt shot from 15 ft,,15-15,,
6:03.0,,,15-15,,Defensive rebound by O. Casspi
5:47.0,,,15-15,,R. McCallum misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by E. Brand,,15-15,,
5:39.0,E. Brand makes 2-pt shot from 16 ft (assist by J. Teague),2,17-15,,
5:26.0,,,17-15,,D. Cousins misses 2-pt shot from 17 ft
5:25.0,Defensive rebound by D. Carroll,,17-15,,
5:11.0,J. Teague misses 2-pt shot from 2 ft,,17-15,,
5:11.0,,,17-15,,Defensive rebound by R. McCallum
5:07.0,,,17-17,2,O. Casspi makes 2-pt shot at rim (assist by R. McCallum)
4:48.0,,,17-17,,D. Williams enters the game for C. Landry
4:48.0,P. Antic enters the game for E. Brand,,17-17,,
4:44.0,J. Teague misses 2-pt shot from 20 ft,,17-17,,
4:41.0,,,17-17,,Defensive rebound by N. Stauskas
4:31.0,,,17-17,,Shooting foul by P. Millsap (drawn by O. Casspi)
4:31.0,,,17-18,1,O. Casspi makes free throw 1 of 2
4:31.0,D. Schroder enters the game for P. Millsap,,17-18,,
4:31.0,M. Muscala enters the game for S. Mack,,17-18,,
4:31.0,,,17-19,1,O. Casspi makes free throw 2 of 2
4:06.0,P. Antic misses 3-pt shot from 25 ft,,17-19,,
4:04.0,Offensive rebound by M. Muscala,,17-19,,
4:03.0,D. Carroll makes 2-pt shot from 1 ft (assist by M. Muscala),2,19-19,,
3:43.0,,,19-19,,Turnover by O. Casspi (lost ball; steal by J. Teague)
3:39.0,J. Teague makes 2-pt shot from 2 ft (assist by D. Schroder),2,21-19,,
3:25.0,Personal foul by P. Antic (drawn by D. Cousins),,21-19,,
3:25.0,,,21-20,1,D. Cousins makes free throw 1 of 2
3:25.0,,,21-20,,A. Miller enters the game for O. Casspi
3:25.0,,,21-20,,B. McLemore enters the game for R. McCallum
3:25.0,,,21-21,1,D. Cousins makes free throw 2 of 2
3:04.0,D. Schroder misses 2-pt shot from 3 ft,,21-21,,
3:04.0,,,21-21,,Defensive rebound by D. Cousins
2:56.0,,,21-21,,Shooting foul by M. Muscala (drawn by D. Cousins)
2:56.0,,,21-21,,Sacramento full timeout
2:56.0,,,21-22,1,D. Cousins makes free throw 1 of 2
2:56.0,,,21-22,,D. Cousins misses free throw 2 of 2
2:54.0,Defensive rebound by M. Muscala,,21-22,,
2:31.0,Turnover by M. Muscala (kicked ball),,21-22,,
2:31.0,,,21-22,,Turnover by A. Miller (bad pass)
2:14.0,P. Antic misses 2-pt shot from 8 ft (block by D. Cousins),,21-22,,
2:13.0,,,21-22,,Defensive rebound by D. Williams
2:08.0,,,21-24,2,N. Stauskas makes 2-pt shot from 2 ft (assist by D. Williams)
1:50.0,D. Schroder misses 2-pt shot from 17 ft (block by D. Cousins),,21-24,,
1:49.0,,,21-24,,Defensive rebound by D. Williams
1:47.0,,,21-24,,B. McLemore misses 2-pt shot from 3 ft (block by J. Teague)
1:47.0,,,21-24,,Offensive rebound by Team
1:47.0,,,21-24,,J. Thompson enters the game for D. Cousins
1:47.0,S. Mack enters the game for D. Carroll,,21-24,,
1:47.0,K. Bazemore enters the game for J. Teague,,21-24,,
1:30.0,,,21-24,,D. Williams misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by M. Muscala,,21-24,,
1:10.0,K. Bazemore misses 2-pt shot from 3 ft,,21-24,,
1:09.0,,,21-24,,Defensive rebound by B. McLemore
1:04.0,,,21-26,2,B. McLemore makes 2-pt shot at rim (assist by A. Miller)
0:42.0,S. Mack makes 2-pt shot from 2 ft (assist by D. Schroder),2,23-26,,
0:34.0,,,23-29,3,N. Stauskas makes 3-pt shot from 25 ft (assist by A. Miller)
0:29.0,D. Schroder makes 2-pt shot from 2 ft,2,25-29,,
0:29.0,Shooting foul by D. Williams (drawn by D. Schroder),,25-29,,
0:29.0,D. Schroder misses free throw 1 of 1,,25-29,,
0:27.0,,,25-29,,Defensive rebound by D. Williams
0:06.0,,,25-29,,D. Williams misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by S. Mack,,25-29,,
0:00.0,S. Mack makes 3-pt shot from 24 ft,3,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,K. Bazemore misses 3-pt shot from 24 ft,,28-29,,
11:41.0,Offensive rebound by Team,,28-29,,
11:41.0,,,28-29,,Loose ball foul by J. Thompson (drawn by P. Antic)
11:17.0,K. Bazemore makes 2-pt shot from 15 ft (assist by D. Schroder),2,30-29,,
10:50.0,,,30-32,3,A. Miller makes 3-pt shot from 27 ft
10:31.0,S. Mack misses 3-pt shot from 24 ft,,30-32,,
10:29.0,,,30-32,,Defensive rebound by D. Williams
10:18.0,,,30-34,2,B. McLemore makes 2-pt shot from 1 ft (assist by J. Thompson)
10:03.0,M. Muscala makes 2-pt shot from 2 ft (assist by K. Bazemore),2,32-34,,
9:44.0,,,32-34,,Offensive charge foul by A. Miller
9:44.0,,,32-34,,Turnover by A. Miller (offensive foul)
9:31.0,M. Muscala makes 2-pt shot from 16 ft (assist by D. Schroder),2,34-34,,
9:16.0,,,34-36,2,J. Thompson makes 2-pt shot from 18 ft (assist by B. McLemore)
8:52.0,D. Schroder misses 2-pt shot from 11 ft (block by J. Thompson),,34-36,,
8:51.0,,,34-36,,Defensive rebound by N. Stauskas
8:45.0,,,34-36,,D. Williams misses 2-pt shot from 4 ft (block by M. Muscala)
8:43.0,Defensive rebound by K. Bazemore,,34-36,,
8:36.0,S. Mack makes 3-pt shot from 24 ft (assist by K. Bazemore),3,37-36,,
8:18.0,,,37-36,,N. Stauskas misses 2-pt shot from 2 ft
8:16.0,Defensive rebound by M. Muscala,,37-36,,
8:09.0,D. Schroder misses 3-pt shot from 25 ft,,37-36,,
8:08.0,Offensive rebound by Team,,37-36,,
8:08.0,Official timeout,,37-36,,
8:08.0,,,37-36,,O. Casspi enters the game for D. Williams
8:08.0,,,37-36,,D. Cousins enters the game for J. Thompson
8:08.0,P. Millsap enters the game for P. Antic,,37-36,,
7:53.0,P. Millsap makes 2-pt shot from 2 ft,2,39-36,,
7:39.0,,,39-36,,Turnover by N. Stauskas (lost ball; steal by K. Bazemore)
7:34.0,S. Mack misses 2-pt shot from 2 ft,,39-36,,
7:32.0,,,39-36,,Defensive rebound by B. McLemore
7:27.0,Personal foul by M. Muscala (drawn by D. Cousins),,39-36,,
7:27.0,E. Brand enters the game for M. Muscala,,39-36,,
7:13.0,,,39-39,3,O. Casspi makes 3-pt shot from 25 ft (assist by A. Miller)
7:05.0,,,39-39,,Personal foul by O. Casspi (drawn by P. Millsap)
7:05.0,J. Teague enters the game for K. Bazemore,,39-39,,
7:05.0,D. Carroll enters the game for S. Mack,,39-39,,
6:51.0,J. Teague makes 2-pt shot from 3 ft,2,41-39,,
6:35.0,,,41-41,2,D. Cousins makes 2-pt shot from 19 ft
6:18.0,J. Teague misses 2-pt shot from 18 ft,,41-41,,
6:18.0,Offensive rebound by E. Brand,,41-41,,
6:16.0,,,41-41,,Personal foul by B. McLemore (drawn by J. Teague)
6:16.0,,,41-41,,C. Landry enters the game for N. Stauskas
6:07.0,Turnover by P. Millsap (lost ball),,41-41,,
5:55.0,,,41-41,,B. McLemore misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by D. Carroll,,41-41,,
5:45.0,Offensive charge foul by D. Carroll,,41-41,,
5:45.0,Turnover by D. Carroll (offensive foul),,41-41,,
5:45.0,,,41-41,,Sacramento full timeout
5:45.0,,,41-41,,R. McCallum enters the game for B. McLemore
5:45.0,,,41-41,,D. Williams enters the game for A. Miller
5:25.0,,,41-41,,D. Cousins misses 2-pt shot from 12 ft
5:25.0,Defensive rebound by P. Millsap,,41-41,,
5:06.0,J. Teague makes 2-pt shot from 9 ft,2,43-41,,
4:52.0,,,43-41,,D. Cousins misses 2-pt shot from 3 ft
4:51.0,Defensive rebound by P. Millsap,,43-41,,
4:44.0,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap),3,46-41,,
4:25.0,,,46-41,,D. Williams misses 2-pt shot from 19 ft
4:24.0,Defensive rebound by D. Schroder,,46-41,,
4:14.0,D. Schroder misses 2-pt shot from 3 ft,,46-41,,
4:14.0,,,46-41,,Defensive rebound by D. Cousins
4:07.0,,,46-41,,Turnover by R. McCallum (lost ball; steal by D. Carroll)
4:07.0,,,46-41,,Personal foul by C. Landry (drawn by D. Carroll)
3:53.0,D. Schroder misses 3-pt shot from 24 ft,,46-41,,
3:52.0,,,46-41,,Defensive rebound by D. Cousins
3:44.0,,,46-41,,O. Casspi misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by P. Millsap,,46-41,,
3:18.0,J. Teague misses 2-pt shot from 8 ft,,46-41,,
3:18.0,,,46-41,,Defensive rebound by D. Cousins
3:10.0,,,46-41,,O. Casspi misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by E. Brand,,46-41,,
2:58.0,E. Brand misses 2-pt shot from 17 ft,,46-41,,
2:57.0,Offensive rebound by P. Millsap,,46-41,,
2:51.0,E. Brand makes 2-pt shot from 3 ft (assist by D. Carroll),2,48-41,,
2:48.0,,,48-41,,Sacramento full timeout
2:48.0,Atlanta full timeout,,48-41,,
2:48.0,,,48-41,,N. Stauskas enters the game for C. Landry
2:48.0,K. Bazemore enters the game for D. Schroder,,48-41,,
2:39.0,,,48-41,,D. Cousins misses 2-pt shot from 8 ft
2:38.0,Defensive rebound by D. Carroll,,48-41,,
2:35.0,Shooting foul by R. McCallum (drawn by J. Teague),,48-41,,
2:35.0,J. Teague makes free throw 1 of 2,1,49-41,,
2:35.0,J. Teague makes free throw 2 of 2,1,50-41,,
2:28.0,Personal foul by E. Brand (drawn by D. Cousins),,50-41,,
2:28.0,,,50-41,,A. Miller enters the game for O. Casspi
2:16.0,,,50-43,2,D. Cousins makes 2-pt shot at rim (assist by R. McCallum)
2:02.0,J. Teague misses 2-pt shot from 7 ft (block by D. Cousins),,50-43,,
2:01.0,,,50-43,,Defensive rebound by D. Cousins
1:54.0,,,50-43,,D. Cousins misses 2-pt shot from 2 ft
1:52.0,,,50-43,,Offensive rebound by D. Cousins
1:51.0,,,50-45,2,D. Cousins makes 2-pt shot from 1 ft
1:32.0,Shooting foul by A. Miller (drawn by E. Brand),,50-45,,
1:32.0,E. Brand makes free throw 1 of 2,1,51-45,,
1:32.0,P. Antic enters the game for P. Millsap,,51-45,,
1:32.0,E. Brand makes free throw 2 of 2,1,52-45,,
1:18.0,Personal foul by E. Brand (drawn by D. Cousins),,52-45,,
1:18.0,P. Millsap enters the game for E. Brand,,52-45,,
1:08.0,,,52-45,,Turnover by D. Williams (lost ball; steal by K. Bazemore)
1:00.0,P. Millsap misses 2-pt shot from 3 ft (block by N. Stauskas),,52-45,,
0:58.0,,,52-45,,Defensive rebound by D. Cousins
0:53.0,,,52-45,,Turnover by D. Cousins (lost ball; steal by K. Bazemore)
0:48.0,K. Bazemore makes 2-pt shot from 7 ft (assist by J. Teague),2,54-45,,
0:33.0,,,54-45,,D. Cousins misses 2-pt shot from 2 ft (block by K. Bazemore)
0:33.0,,,54-45,,Offensive rebound by Team
0:33.0,D. Schroder enters the game for D. Carroll,,54-45,,
0:33.0,E. Brand enters the game for P. Millsap,,54-45,,
0:29.0,,,54-45,,R. McCallum misses 2-pt shot from 3 ft (block by P. Antic)
0:29.0,,,54-45,,Offensive rebound by Team
0:24.0,,,54-45,,N. Stauskas misses 2-pt shot from 20 ft
0:21.0,,,54-45,,Offensive rebound by R. McCallum
0:21.0,,,54-45,,R. McCallum misses 2-pt shot from 2 ft
0:21.0,,,54-45,,Offensive rebound by R. McCallum
0:21.0,,,54-47,2,R. McCallum makes 2-pt shot from 2 ft
0:21.0,Atlanta full timeout,,54-47,,
0:21.0,P. Millsap enters the game for E. Brand,,54-47,,
0:21.0,D. Carroll enters the game for K. Bazemore,,54-47,,
0:21.0,S. Mack enters the game for P. Antic,,54-47,,
0:04.0,P. Millsap misses 3-pt shot from 25 ft,,54-47,,
0:03.0,,,54-47,,Defensive rebound by R. McCallum
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by E. Brand (bad pass),,54-47,,
11:38.0,,,54-47,,Turnover by B. McLemore (bad pass; steal by E. Brand)
11:32.0,D. Carroll makes 2-pt shot from 2 ft (assist by K. Bazemore),2,56-47,,
11:19.0,,,56-47,,Turnover by B. McLemore (traveling)
11:13.0,K. Bazemore misses 3-pt shot from 23 ft,,56-47,,
11:12.0,,,56-47,,Defensive rebound by D. Cousins
10:59.0,,,56-50,3,O. Casspi makes 3-pt shot from 24 ft (assist by D. Cousins)
10:43.0,D. Carroll misses 3-pt shot from 24 ft,,56-50,,
10:42.0,,,56-50,,Defensive rebound by D. Cousins
10:40.0,,,56-50,,Turnover by D. Cousins (bad pass; steal by D. Carroll)
10:34.0,K. Bazemore misses 3-pt shot from 24 ft,,56-50,,
10:34.0,,,56-50,,Defensive rebound by R. McCallum
10:27.0,,,56-50,,B. McLemore misses 3-pt shot from 24 ft
10:27.0,,,56-50,,Offensive rebound by Team
10:27.0,Loose ball foul by P. Millsap (drawn by O. Casspi),,56-50,,
10:27.0,,,56-50,,N. Stauskas enters the game for B. McLemore
10:14.0,,,56-50,,D. Cousins misses 2-pt shot from 8 ft
10:13.0,Defensive rebound by E. Brand,,56-50,,
10:09.0,Shooting foul by R. McCallum (drawn by J. Teague),,56-50,,
10:09.0,J. Teague makes free throw 1 of 2,1,57-50,,
10:09.0,J. Teague misses free throw 2 of 2,,57-50,,
10:07.0,,,57-50,,Defensive rebound by C. Landry
9:56.0,,,57-50,,N. Stauskas misses 3-pt shot from 23 ft
9:56.0,Defensive rebound by D. Carroll,,57-50,,
9:51.0,,,57-50,,Personal foul by D. Cousins (drawn by E. Brand)
9:44.0,,,57-50,,Personal foul by O. Casspi (drawn by P. Millsap)
9:32.0,K. Bazemore misses 2-pt shot from 14 ft,,57-50,,
9:32.0,,,57-50,,Defensive rebound by C. Landry
9:17.0,,,57-50,,D. Cousins misses 2-pt shot from 6 ft
9:16.0,Defensive rebound by D. Carroll,,57-50,,
8:58.0,J. Teague misses 2-pt shot from 5 ft,,57-50,,
8:57.0,,,57-50,,Defensive rebound by D. Cousins
8:49.0,,,57-50,,O. Casspi misses 2-pt shot from 4 ft (block by P. Millsap)
8:47.0,Defensive rebound by J. Teague,,57-50,,
8:41.0,Turnover by J. Teague (bad pass; steal by D. Cousins),,57-50,,
8:37.0,,,57-52,2,O. Casspi makes 2-pt shot at rim (assist by D. Cousins)
8:11.0,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap),3,60-52,,
7:45.0,,,60-52,,N. Stauskas misses 3-pt shot from 23 ft
7:44.0,,,60-52,,Offensive rebound by O. Casspi
7:34.0,,,60-54,2,C. Landry makes 2-pt shot from 10 ft (assist by R. McCallum)
7:34.0,,,60-54,,Shooting foul by E. Brand (drawn by C. Landry)
7:34.0,,,60-54,,Turnover by D. Cousins (lane violation.)
7:20.0,P. Millsap misses 2-pt shot from 7 ft,,60-54,,
7:20.0,Offensive rebound by Team,,60-54,,
7:20.0,,,60-54,,Loose ball foul by D. Cousins (drawn by E. Brand)
7:09.0,K. Bazemore misses 3-pt shot from 23 ft,,60-54,,
7:09.0,Offensive rebound by P. Millsap,,60-54,,
7:09.0,P. Millsap makes 2-pt shot from 1 ft,2,62-54,,
7:09.0,Shooting foul by C. Landry (drawn by P. Millsap),,62-54,,
7:09.0,P. Millsap makes free throw 1 of 1,1,63-54,,
6:55.0,,,63-56,2,R. McCallum makes 2-pt shot at rim (assist by D. Cousins)
6:39.0,K. Bazemore makes 3-pt shot from 23 ft (assist by D. Carroll),3,66-56,,
6:27.0,,,66-56,,D. Cousins misses 2-pt shot from 5 ft
6:26.0,,,66-56,,Offensive rebound by C. Landry
6:26.0,,,66-56,,C. Landry misses 2-pt shot from 1 ft
6:26.0,,,66-56,,Offensive rebound by Team
6:23.0,,,66-56,,Offensive charge foul by D. Cousins
6:23.0,,,66-56,,Turnover by D. Cousins (offensive foul)
