time,Cleveland,pts.away,score,pts.home,Indiana
11:42.0,,,31-29,2,R. Stuckey makes 2-pt shot from 6 ft
11:16.0,L. James makes 2-pt shot from 18 ft,2,33-29,,
10:50.0,,,33-29,,C. Watson misses 2-pt shot from 15 ft
10:48.0,Defensive rebound by I. Shumpert,,33-29,,
10:36.0,L. James makes 2-pt shot from 2 ft,2,35-29,,
10:13.0,,,35-31,2,L. Scola makes 2-pt shot from 4 ft (assist by R. Stuckey)
9:51.0,Shooting foul by D. Rudez (drawn by L. James),,35-31,,
9:51.0,L. James makes free throw 1 of 2,1,36-31,,
9:51.0,,,36-31,,S. Hill enters the game for D. Rudez
9:51.0,T. Mozgov enters the game for I. Shumpert,,36-31,,
9:51.0,L. James makes free throw 2 of 2,1,37-31,,
9:35.0,,,37-31,,R. Hibbert misses 2-pt shot from 9 ft
9:34.0,Defensive rebound by T. Thompson,,37-31,,
9:25.0,Shooting foul by L. Scola (drawn by L. James),,37-31,,
9:25.0,L. James makes free throw 1 of 2,1,38-31,,
9:25.0,L. James makes free throw 2 of 2,1,39-31,,
9:06.0,,,39-31,,C. Watson misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by S. Marion,,39-31,,
8:55.0,L. James misses 2-pt shot from 13 ft,,39-31,,
8:54.0,,,39-31,,Defensive rebound by C. Watson
8:46.0,,,39-31,,R. Stuckey misses 2-pt shot from 10 ft
8:46.0,Defensive rebound by Team,,39-31,,
8:46.0,Official timeout,,39-31,,
8:34.0,L. James misses 2-pt shot from 12 ft,,39-31,,
8:32.0,Offensive rebound by T. Thompson,,39-31,,
8:32.0,T. Thompson misses 2-pt shot from 1 ft,,39-31,,
8:30.0,Offensive rebound by T. Mozgov,,39-31,,
8:28.0,M. Dellavedova misses 3-pt shot from 24 ft,,39-31,,
8:27.0,,,39-31,,Defensive rebound by R. Hibbert
8:27.0,Loose ball foul by L. James (drawn by L. Scola),,39-31,,
8:27.0,K. Irving enters the game for M. Dellavedova,,39-31,,
8:17.0,,,39-33,2,L. Scola makes 2-pt shot from 19 ft (assist by C. Watson)
7:53.0,L. James makes 2-pt shot from 5 ft (assist by T. Mozgov),2,41-33,,
7:38.0,,,41-33,,L. Scola misses 2-pt shot from 3 ft (block by T. Thompson)
7:36.0,Defensive rebound by L. James,,41-33,,
7:23.0,T. Mozgov misses 2-pt shot from 9 ft,,41-33,,
7:19.0,Offensive rebound by T. Thompson,,41-33,,
7:19.0,J. Smith enters the game for S. Marion,,41-33,,
7:19.0,I. Shumpert enters the game for L. James,,41-33,,
7:19.0,,,41-33,,S. Whittington enters the game for R. Hibbert
7:19.0,Violation by Team (jump ball),,41-33,,
7:19.0,Turnover by T. Thompson (jump ball violation.),,41-33,,
7:19.0,Jump ball: S. Hill vs. T. Thompson,,,,Jump ball: S. Hill vs. T. Thompson
7:17.0,,,41-33,,D. Rudez enters the game for S. Hill
7:17.0,K. Love enters the game for T. Thompson,,41-33,,
7:02.0,,,41-33,,C. Watson misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by K. Love,,41-33,,
6:42.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving),2,43-33,,
6:37.0,,,43-33,,Indiana full timeout
6:37.0,,,43-33,,G. Hill enters the game for C. Watson
6:37.0,,,43-33,,D. West enters the game for L. Scola
6:37.0,T. Thompson enters the game for T. Mozgov,,43-33,,
6:19.0,,,43-33,,Turnover by S. Whittington (traveling)
5:59.0,K. Love misses 2-pt shot from 21 ft,,43-33,,
5:58.0,,,43-33,,Defensive rebound by D. West
5:45.0,,,43-33,,D. West misses 2-pt shot from 3 ft
5:44.0,Defensive rebound by K. Love,,43-33,,
5:35.0,K. Irving misses 2-pt shot from 3 ft,,43-33,,
5:34.0,Offensive rebound by T. Thompson,,43-33,,
5:34.0,T. Thompson makes 2-pt shot from 2 ft,2,45-33,,
5:22.0,,,45-35,2,G. Hill makes 2-pt shot from 1 ft
5:13.0,K. Irving misses 2-pt shot from 2 ft (block by G. Hill),,45-35,,
5:13.0,Offensive rebound by Team,,45-35,,
5:13.0,,,45-35,,R. Hibbert enters the game for S. Whittington
5:13.0,,,45-35,,C. Miles enters the game for R. Stuckey
5:13.0,T. Mozgov enters the game for T. Thompson,,45-35,,
5:10.0,J. Smith misses 3-pt shot from 23 ft,,45-35,,
5:09.0,,,45-35,,Defensive rebound by C. Miles
5:01.0,,,45-35,,R. Hibbert misses 2-pt shot from 17 ft
4:59.0,Defensive rebound by K. Love,,45-35,,
4:49.0,K. Irving makes 3-pt shot from 25 ft (assist by I. Shumpert),3,48-35,,
4:24.0,,,48-38,3,G. Hill makes 3-pt shot from 25 ft
3:57.0,J. Smith makes 2-pt shot from 4 ft,2,50-38,,
3:46.0,,,50-38,,Shooting foul by K. Love (drawn by G. Hill)
3:46.0,,,50-39,1,G. Hill makes free throw 1 of 2
3:46.0,,,50-39,,S. Hill enters the game for D. Rudez
3:46.0,L. James enters the game for I. Shumpert,,50-39,,
3:46.0,,,50-40,1,G. Hill makes free throw 2 of 2
3:28.0,K. Irving makes 2-pt shot from 16 ft (assist by L. James),2,52-40,,
3:17.0,,,52-40,,R. Hibbert misses 2-pt shot from 3 ft
3:15.0,,,52-40,,Offensive rebound by G. Hill
3:14.0,Personal foul by L. James (drawn by G. Hill),,52-40,,
2:59.0,,,52-40,,Shooting foul by T. Mozgov (drawn by D. West)
2:59.0,Cleveland full timeout,,52-40,,
2:59.0,T. Thompson enters the game for T. Mozgov,,52-40,,
2:59.0,,,52-41,1,D. West makes free throw 1 of 2
2:59.0,,,52-42,1,D. West makes free throw 2 of 2
2:48.0,T. Thompson misses 2-pt shot from 2 ft,,52-42,,
2:47.0,,,52-42,,Defensive rebound by D. West
2:36.0,,,52-42,,Shooting foul by K. Irving (drawn by G. Hill)
2:36.0,,,52-42,,G. Hill misses free throw 1 of 2
2:36.0,,,52-42,,Offensive rebound by Team
2:36.0,,,52-43,1,G. Hill makes free throw 2 of 2
2:23.0,J. Smith misses 2-pt shot from 11 ft,,52-43,,
2:23.0,Offensive rebound by Team,,52-43,,
2:23.0,,,52-43,,Loose ball foul by S. Hill (drawn by T. Thompson)
2:08.0,K. Irving misses 2-pt shot from 14 ft,,52-43,,
2:07.0,,,52-43,,Defensive rebound by D. West
1:56.0,,,52-43,,D. West misses 2-pt shot from 16 ft
1:55.0,Defensive rebound by J. Smith,,52-43,,
1:42.0,J. Smith misses 3-pt shot from 26 ft,,52-43,,
1:40.0,,,52-43,,Defensive rebound by R. Hibbert
1:36.0,,,52-45,2,C. Miles makes 2-pt shot from 2 ft (assist by G. Hill)
1:16.0,Turnover by L. James (bad pass; steal by C. Miles),,52-45,,
0:56.0,,,52-45,,R. Hibbert misses 2-pt shot from 9 ft
0:55.0,Defensive rebound by K. Love,,52-45,,
0:33.0,L. James misses 2-pt shot from 19 ft,,52-45,,
0:32.0,,,52-45,,Defensive rebound by D. West
0:24.0,,,52-45,,Indiana full timeout
0:24.0,I. Shumpert enters the game for L. James,,52-45,,
0:08.0,,,52-47,2,D. West makes 2-pt shot from 13 ft (assist by G. Hill)
0:01.0,K. Irving makes 3-pt shot from 29 ft,3,55-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,55-49,2,D. West makes 2-pt shot from 18 ft (assist by G. Hill)
11:30.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Irving),3,58-49,,
11:06.0,,,58-49,,Turnover by G. Hill (bad pass; steal by L. James)
10:52.0,Turnover by T. Mozgov (lost ball; steal by D. West),,58-49,,
10:36.0,,,58-49,,D. West misses 2-pt shot from 18 ft
10:35.0,Defensive rebound by T. Mozgov,,58-49,,
10:27.0,K. Love misses 3-pt shot from 23 ft,,58-49,,
10:26.0,,,58-49,,Defensive rebound by G. Hill
10:04.0,,,58-51,2,R. Hibbert makes 2-pt shot from 10 ft
9:50.0,K. Irving makes 2-pt shot from 17 ft,2,60-51,,
9:32.0,,,60-51,,C. Miles misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by T. Mozgov,,60-51,,
9:22.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,63-51,,
9:03.0,,,63-53,2,D. West makes 2-pt shot from 18 ft (assist by S. Hill)
8:46.0,,,63-53,,Personal foul by G. Hill (drawn by T. Mozgov)
8:32.0,K. Love misses 2-pt shot from 1 ft (block by R. Hibbert),,63-53,,
8:31.0,,,63-53,,Defensive rebound by D. West
8:26.0,,,63-53,,G. Hill misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by T. Mozgov,,63-53,,
8:18.0,K. Irving makes 2-pt shot from 6 ft,2,65-53,,
7:56.0,Personal foul by K. Irving (drawn by G. Hill),,65-53,,
7:53.0,,,65-53,,C. Miles misses 3-pt shot from 25 ft
7:52.0,,,65-53,,Offensive rebound by D. West
7:44.0,,,65-53,,Turnover by C. Miles (bad pass; steal by J. Smith)
7:33.0,K. Irving misses 2-pt shot from 10 ft,,65-53,,
7:32.0,Offensive rebound by T. Mozgov,,65-53,,
7:26.0,J. Smith misses 3-pt shot from 23 ft,,65-53,,
7:25.0,,,65-53,,Defensive rebound by R. Hibbert
7:16.0,,,65-53,,Shooting foul by K. Love (drawn by G. Hill)
7:16.0,,,65-53,,G. Hill misses free throw 1 of 2
7:16.0,,,65-53,,Offensive rebound by Team
7:16.0,,,65-54,1,G. Hill makes free throw 2 of 2
6:58.0,J. Smith misses 3-pt shot from 24 ft,,65-54,,
6:57.0,,,65-54,,Defensive rebound by D. West
6:54.0,Personal foul by J. Smith (drawn by G. Hill),,65-54,,
6:54.0,,,65-54,,Indiana full timeout
6:44.0,,,65-54,,Turnover by G. Hill (bad pass)
6:34.0,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James),2,67-54,,
6:16.0,,,67-54,,S. Hill misses 2-pt shot from 4 ft
6:15.0,,,67-54,,Offensive rebound by S. Hill
6:12.0,,,67-54,,C. Miles misses 3-pt shot from 26 ft
6:10.0,,,67-54,,Offensive rebound by D. West
6:10.0,,,67-54,,D. West misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by L. James,,67-54,,
5:57.0,Turnover by L. James (bad pass; steal by D. West),,67-54,,
5:48.0,,,67-54,,G. Hill misses 2-pt shot from 8 ft
5:47.0,Defensive rebound by K. Love,,67-54,,
5:41.0,J. Smith misses 3-pt shot from 26 ft,,67-54,,
5:40.0,Offensive rebound by K. Irving,,67-54,,
5:32.0,I. Shumpert enters the game for L. James,,67-54,,
5:18.0,T. Mozgov misses 2-pt shot from 12 ft,,67-54,,
5:17.0,,,67-54,,Defensive rebound by C. Miles
5:12.0,,,67-54,,Shooting foul by K. Love (drawn by C. Miles)
5:12.0,,,67-54,,C. Miles misses free throw 1 of 2
5:12.0,,,67-54,,Offensive rebound by Team
5:12.0,T. Thompson enters the game for K. Love,,67-54,,
5:12.0,,,67-54,,R. Stuckey enters the game for S. Hill
5:12.0,,,67-54,,L. Scola enters the game for R. Hibbert
5:12.0,,,67-54,,C. Watson enters the game for G. Hill
5:12.0,,,67-55,1,C. Miles makes free throw 2 of 2
5:03.0,K. Irving misses 3-pt shot from 25 ft,,67-55,,
5:02.0,,,67-55,,Defensive rebound by L. Scola
4:44.0,,,67-55,,D. West misses 2-pt shot from 19 ft
4:43.0,Defensive rebound by I. Shumpert,,67-55,,
4:35.0,,,67-55,,Personal foul by R. Stuckey (drawn by I. Shumpert)
4:30.0,Turnover by T. Mozgov (lost ball; steal by R. Stuckey),,67-55,,
4:25.0,,,67-57,2,C. Miles makes 2-pt shot from 2 ft (assist by R. Stuckey)
4:03.0,K. Irving makes 2-pt shot from 1 ft,2,69-57,,
3:45.0,,,69-59,2,D. West makes 2-pt shot from 9 ft
3:37.0,Turnover by K. Irving (lost ball; steal by C. Watson),,69-59,,
3:32.0,,,69-61,2,C. Miles makes 2-pt shot from 1 ft (assist by C. Watson)
3:24.0,J. Smith misses 3-pt shot from 24 ft,,69-61,,
3:23.0,,,69-61,,Defensive rebound by C. Watson
3:10.0,,,69-63,2,L. Scola makes 2-pt shot from 3 ft (assist by D. West)
3:09.0,Cleveland full timeout,,69-63,,
3:09.0,,,69-63,,R. Hibbert enters the game for C. Miles
3:09.0,L. James enters the game for J. Smith,,69-63,,
3:09.0,M. Dellavedova enters the game for K. Irving,,69-63,,
3:04.0,,,69-63,,S. Hill enters the game for D. West
2:55.0,I. Shumpert misses 3-pt shot from 23 ft,,69-63,,
2:54.0,Offensive rebound by T. Mozgov,,69-63,,
2:34.0,M. Dellavedova misses 3-pt shot from 24 ft,,69-63,,
2:33.0,,,69-63,,Defensive rebound by L. Scola
2:23.0,,,69-63,,L. Scola misses 2-pt shot from 8 ft (block by T. Thompson)
2:23.0,,,69-63,,Offensive rebound by L. Scola
2:23.0,Jump ball: L. Scola vs. T. Thompson,,,,Jump ball: L. Scola vs. T. Thompson
2:09.0,,,69-63,,R. Stuckey misses 2-pt shot from 20 ft
2:07.0,Defensive rebound by M. Dellavedova,,69-63,,
1:58.0,L. James misses 2-pt shot from 18 ft,,69-63,,
1:57.0,,,69-63,,Defensive rebound by R. Hibbert
1:49.0,,,69-65,2,S. Hill makes 2-pt shot from 1 ft
1:32.0,M. Dellavedova misses 3-pt shot from 23 ft,,69-65,,
1:31.0,Offensive rebound by T. Thompson,,69-65,,
1:29.0,T. Thompson misses 2-pt shot from 1 ft,,69-65,,
1:28.0,Offensive rebound by T. Thompson,,69-65,,
1:10.0,Turnover by I. Shumpert (step out of bounds),,69-65,,
0:54.0,,,69-65,,Turnover by R. Hibbert (bad pass; steal by T. Thompson)
0:49.0,L. James makes flagrant free throw 1 of 2,1,70-65,,
0:49.0,L. James misses flagrant free throw 2 of 2,,70-65,,
0:49.0,Offensive rebound by Team,,70-65,,
0:41.0,Offensive foul by T. Mozgov,,70-65,,
0:41.0,Turnover by T. Mozgov (offensive foul),,70-65,,
0:21.0,,,70-67,2,R. Hibbert makes 2-pt shot from 19 ft (assist by R. Stuckey)
0:00.0,L. James misses 3-pt shot from 24 ft,,70-67,,
0:00.0,,,70-67,,Defensive rebound by L. Scola
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,T. Thompson makes 2-pt shot from 5 ft (assist by K. Love),2,72-67,,
11:20.0,,,72-69,2,S. Hill makes 2-pt shot from 1 ft (assist by L. Scola)
11:04.0,K. Irving misses 2-pt shot from 11 ft,,72-69,,
11:04.0,Offensive rebound by Team,,72-69,,
11:04.0,,,72-69,,Loose ball foul by R. Hibbert (drawn by T. Thompson)
10:58.0,K. Irving makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,75-69,,
10:36.0,,,75-69,,S. Hill misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by K. Love,,75-69,,
10:22.0,Turnover by K. Irving (bad pass; steal by L. Scola),,75-69,,
10:18.0,,,75-69,,L. Scola misses 2-pt shot from 2 ft (block by L. James)
10:15.0,Defensive rebound by K. Love,,75-69,,
10:09.0,K. Irving misses 3-pt shot from 23 ft,,75-69,,
10:08.0,,,75-69,,Defensive rebound by L. Scola
10:02.0,,,75-71,2,S. Hill makes 2-pt shot from 2 ft
10:02.0,,,75-71,,Shooting foul by M. Dellavedova (drawn by S. Hill)
10:02.0,,,75-72,1,S. Hill makes free throw 1 of 1
9:52.0,L. James makes 2-pt shot at rim (assist by K. Love),2,77-72,,
9:29.0,,,77-72,,R. Stuckey misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by Team,,77-72,,
9:05.0,L. James makes 2-pt shot from 16 ft,2,79-72,,
8:35.0,,,79-72,,L. Scola misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by T. Thompson,,79-72,,
8:21.0,L. James makes 2-pt shot from 16 ft,2,81-72,,
8:20.0,,,81-72,,Indiana full timeout
8:20.0,,,81-72,,C. Miles enters the game for R. Stuckey
8:04.0,,,81-74,2,S. Hill makes 2-pt shot from 18 ft (assist by C. Watson)
7:41.0,Turnover by L. James (lost ball),,81-74,,
7:23.0,,,81-76,2,C. Miles makes 2-pt shot from 21 ft
7:06.0,K. Love misses 3-pt shot from 25 ft,,81-76,,
7:04.0,,,81-76,,Defensive rebound by S. Hill
6:57.0,,,81-79,3,C. Miles makes 3-pt shot from 24 ft (assist by S. Hill)
