time,Dallas,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Zeller (E. Turner gains possession),,,,Jump ball: T. Chandler vs. T. Zeller (E. Turner gains possession)
11:44.0,,,0-0,,Turnover by J. Sullinger (lost ball; steal by T. Chandler)
11:38.0,R. Rondo makes 2-pt shot at rim,2,2-0,,
11:25.0,,,2-0,,J. Sullinger misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by D. Nowitzki,,2-0,,
11:06.0,D. Nowitzki misses 2-pt shot from 20 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by T. Zeller
10:56.0,,,2-2,2,E. Turner makes 2-pt shot from 9 ft
10:31.0,R. Rondo makes 3-pt shot from 24 ft (assist by M. Ellis),3,5-2,,
10:12.0,,,5-4,2,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner)
9:54.0,Turnover by C. Parsons (lost ball; steal by T. Zeller),,5-4,,
9:44.0,,,5-4,,Turnover by Team (back court)
9:24.0,R. Rondo makes 3-pt shot from 23 ft (assist by M. Ellis),3,8-4,,
9:12.0,,,8-4,,Shooting foul by R. Rondo (drawn by E. Turner)
9:12.0,,,8-5,1,E. Turner makes free throw 1 of 2
9:12.0,,,8-5,,E. Turner misses free throw 2 of 2
9:12.0,Defensive rebound by D. Nowitzki,,8-5,,
9:00.0,T. Chandler misses 2-pt shot from 15 ft,,8-5,,
8:59.0,,,8-5,,Defensive rebound by J. Sullinger
8:49.0,,,8-5,,T. Zeller misses 2-pt shot from 6 ft
8:48.0,,,8-5,,Offensive rebound by Team
8:48.0,Personal foul by T. Chandler (drawn by J. Sullinger),,8-5,,
8:48.0,G. Smith enters the game for T. Chandler,,8-5,,
8:44.0,,,8-5,,A. Bradley misses 2-pt shot from 16 ft
8:42.0,Defensive rebound by M. Ellis,,8-5,,
8:30.0,M. Ellis misses 2-pt shot from 17 ft,,8-5,,
8:29.0,,,8-5,,Defensive rebound by J. Green
8:21.0,,,8-7,2,J. Green makes 2-pt shot from 9 ft
8:06.0,R. Rondo makes 2-pt shot from 2 ft,2,10-7,,
7:47.0,,,10-7,,A. Bradley misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by R. Rondo,,10-7,,
7:39.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by R. Rondo),2,12-7,,
7:23.0,,,12-7,,J. Sullinger misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by M. Ellis,,12-7,,
7:06.0,D. Nowitzki misses 2-pt shot from 11 ft,,12-7,,
7:06.0,Offensive rebound by Team,,12-7,,
7:03.0,,,12-7,,Loose ball foul by J. Sullinger (drawn by G. Smith)
6:59.0,,,12-7,,Personal foul by A. Bradley (drawn by R. Rondo)
6:50.0,D. Nowitzki makes 2-pt shot from 14 ft,2,14-7,,
6:38.0,,,14-9,2,A. Bradley makes 2-pt shot from 1 ft
6:26.0,G. Smith makes 2-pt shot from 1 ft (assist by C. Parsons),2,16-9,,
6:17.0,,,16-9,,Shooting foul by M. Ellis (drawn by T. Zeller)
6:17.0,,,16-9,,T. Zeller misses free throw 1 of 2
6:17.0,,,16-9,,Offensive rebound by Team
6:17.0,D. Harris enters the game for R. Rondo,,16-9,,
6:17.0,C. Villanueva enters the game for D. Nowitzki,,16-9,,
6:17.0,,,16-10,1,T. Zeller makes free throw 2 of 2
6:09.0,M. Ellis misses 2-pt shot from 13 ft,,16-10,,
6:08.0,,,16-10,,Defensive rebound by J. Green
6:02.0,,,16-10,,T. Zeller misses 2-pt shot from 2 ft
6:01.0,,,16-10,,Offensive rebound by J. Sullinger
6:01.0,,,16-12,2,J. Sullinger makes 2-pt shot at rim
5:53.0,Dallas full timeout,,16-12,,
5:53.0,T. Chandler enters the game for G. Smith,,16-12,,
5:53.0,,,16-12,,K. Olynyk enters the game for T. Zeller
5:42.0,Turnover by C. Villanueva (bad pass),,16-12,,
5:21.0,,,16-14,2,J. Green makes 2-pt shot from 3 ft
5:10.0,C. Parsons makes 2-pt shot from 4 ft,2,18-14,,
4:46.0,,,18-17,3,E. Turner makes 3-pt shot from 24 ft (assist by J. Sullinger)
4:34.0,C. Parsons misses 2-pt shot from 4 ft,,18-17,,
4:33.0,,,18-17,,Defensive rebound by K. Olynyk
4:23.0,,,18-17,,K. Olynyk misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by T. Chandler,,18-17,,
4:11.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Ellis),3,21-17,,
3:56.0,,,21-17,,Turnover by K. Olynyk (lost ball; steal by M. Ellis)
3:53.0,,,21-17,,Shooting block foul by E. Turner (drawn by M. Ellis)
3:53.0,M. Ellis makes free throw 1 of 2,1,22-17,,
3:53.0,,,22-17,,J. Nelson enters the game for E. Turner
3:53.0,M. Ellis makes free throw 2 of 2,1,23-17,,
3:37.0,,,23-17,,J. Green misses 2-pt shot from 12 ft
3:36.0,Defensive rebound by T. Chandler,,23-17,,
3:29.0,D. Harris misses 3-pt shot from 25 ft,,23-17,,
3:27.0,Offensive rebound by C. Villanueva,,23-17,,
3:23.0,D. Harris misses 3-pt shot from 24 ft,,23-17,,
3:22.0,,,23-17,,Defensive rebound by J. Nelson
3:12.0,,,23-17,,K. Olynyk misses 2-pt shot from 22 ft
3:10.0,Defensive rebound by T. Chandler,,23-17,,
2:58.0,M. Ellis misses 2-pt shot from 3 ft (block by A. Bradley),,23-17,,
2:57.0,Offensive rebound by Team,,23-17,,
2:57.0,,,23-17,,Boston full timeout
2:57.0,,,23-17,,B. Bass enters the game for J. Sullinger
2:57.0,,,23-17,,M. Smart enters the game for A. Bradley
2:48.0,D. Harris makes 3-pt shot from 24 ft (assist by M. Ellis),3,26-17,,
2:31.0,,,26-17,,B. Bass misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by D. Harris,,26-17,,
2:24.0,C. Villanueva misses 3-pt shot from 25 ft,,26-17,,
2:23.0,,,26-17,,Defensive rebound by B. Bass
2:00.0,,,26-17,,J. Nelson misses 3-pt shot from 39 ft
1:58.0,,,26-17,,Offensive rebound by Team
1:58.0,,,26-17,,Turnover by Team (shot clock)
1:58.0,R. Rondo enters the game for C. Parsons,,26-17,,
1:58.0,D. Nowitzki enters the game for M. Ellis,,26-17,,
1:58.0,R. Jefferson enters the game for C. Villanueva,,26-17,,
1:40.0,D. Nowitzki misses 2-pt shot from 12 ft,,26-17,,
1:38.0,Offensive rebound by R. Rondo,,26-17,,
1:35.0,T. Chandler misses 2-pt shot from 2 ft,,26-17,,
1:34.0,Offensive rebound by Team,,26-17,,
1:34.0,,,26-17,,Loose ball foul by K. Olynyk (drawn by T. Chandler)
1:09.0,R. Rondo makes 2-pt shot from 7 ft,2,28-17,,
0:54.0,,,28-17,,J. Nelson misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by R. Jefferson,,28-17,,
0:33.0,D. Harris misses 2-pt shot from 2 ft,,28-17,,
0:32.0,Offensive rebound by T. Chandler,,28-17,,
0:28.0,R. Jefferson misses 3-pt shot from 25 ft,,28-17,,
0:27.0,,,28-17,,Defensive rebound by J. Green
0:10.0,,,28-17,,J. Green misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by T. Chandler,,28-17,,
0:00.0,R. Rondo makes 3-pt shot from 25 ft (assist by R. Jefferson),3,31-17,,
0:00.0,,,31-17,,J. Green misses 3-pt shot from 62 ft
0:00.0,,,31-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Nowitzki misses 2-pt shot from 9 ft,,31-17,,
11:42.0,Offensive rebound by G. Smith,,31-17,,
11:39.0,G. Smith makes 2-pt shot at rim,2,33-17,,
11:24.0,,,33-17,,K. Olynyk misses 2-pt shot from 9 ft
11:23.0,Defensive rebound by R. Rondo,,33-17,,
11:13.0,Shooting foul by M. Smart (drawn by D. Nowitzki),,33-17,,
11:13.0,D. Nowitzki makes free throw 1 of 2,1,34-17,,
11:13.0,,,34-17,,B. Wright enters the game for K. Olynyk
11:13.0,D. Nowitzki makes free throw 2 of 2,1,35-17,,
10:55.0,,,35-17,,J. Nelson misses 2-pt shot from 16 ft
10:53.0,,,35-17,,Offensive rebound by B. Wright
10:50.0,,,35-20,3,M. Smart makes 3-pt shot from 25 ft (assist by B. Wright)
10:28.0,R. Rondo makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,38-20,,
10:08.0,,,38-23,3,M. Smart makes 3-pt shot from 25 ft (assist by J. Crowder)
9:59.0,R. Rondo misses 2-pt shot from 3 ft,,38-23,,
9:58.0,Offensive rebound by D. Nowitzki,,38-23,,
9:55.0,R. Rondo misses 2-pt shot from 2 ft,,38-23,,
9:53.0,Offensive rebound by G. Smith,,38-23,,
9:53.0,G. Smith makes 2-pt shot from 1 ft,2,40-23,,
9:44.0,,,40-23,,Turnover by J. Nelson (lost ball; steal by R. Jefferson)
9:37.0,Dallas full timeout,,40-23,,
9:37.0,,,40-23,,J. Sullinger enters the game for B. Bass
9:29.0,D. Nowitzki misses 2-pt shot from 10 ft,,40-23,,
9:28.0,,,40-23,,Defensive rebound by J. Nelson
9:16.0,,,40-23,,M. Smart misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by G. Smith,,40-23,,
8:58.0,D. Nowitzki misses 2-pt shot from 15 ft,,40-23,,
8:57.0,,,40-23,,Defensive rebound by J. Nelson
8:42.0,,,40-26,3,J. Nelson makes 3-pt shot from 24 ft (assist by M. Smart)
8:34.0,Dallas full timeout,,40-26,,
8:34.0,C. Villanueva enters the game for D. Nowitzki,,40-26,,
8:24.0,Turnover by C. Villanueva (lost ball; steal by M. Smart),,40-26,,
8:04.0,,,40-26,,Shooting foul by J. Barea (drawn by J. Nelson)
8:04.0,,,40-27,1,J. Nelson makes free throw 1 of 2
8:04.0,T. Chandler enters the game for G. Smith,,40-27,,
8:04.0,C. Parsons enters the game for R. Jefferson,,40-27,,
8:04.0,M. Ellis enters the game for R. Rondo,,40-27,,
8:04.0,,,40-27,,J. Nelson misses free throw 2 of 2
8:03.0,Defensive rebound by T. Chandler,,40-27,,
7:52.0,C. Parsons makes 3-pt shot from 26 ft (assist by J. Barea),3,43-27,,
