time,LA Clippers,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Jordan (R. Stuckey gains possession),,,,Jump ball: R. Hibbert vs. D. Jordan (R. Stuckey gains possession)
11:48.0,Personal foul by J. Redick (drawn by D. West),,0-0,,
11:46.0,,,0-0,,C. Copeland misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by D. Jordan,,0-0,,
11:22.0,D. Jordan misses 3-pt shot from 30 ft,,0-0,,
11:22.0,Offensive rebound by Team,,0-0,,
11:22.0,Turnover by Team (shot clock),,0-0,,
11:06.0,,,0-2,2,C. Copeland makes 2-pt shot from 17 ft (assist by D. West)
10:50.0,B. Griffin makes 2-pt shot from 6 ft (assist by C. Paul),2,2-2,,
10:35.0,Personal foul by D. Jordan (drawn by R. Hibbert),,2-2,,
10:28.0,,,2-4,2,S. Hill makes 2-pt shot from 13 ft
10:14.0,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul),2,4-4,,
9:57.0,,,4-6,2,R. Stuckey makes 2-pt shot from 2 ft (assist by R. Hibbert)
9:38.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,7-6,,
9:24.0,,,7-6,,Turnover by S. Hill (bad pass)
9:17.0,C. Paul makes 2-pt shot from 13 ft,2,9-6,,
9:01.0,,,9-8,2,R. Hibbert makes 2-pt shot from 8 ft (assist by S. Hill)
8:52.0,C. Paul makes 2-pt shot from 14 ft,2,11-8,,
8:36.0,,,11-8,,Offensive charge foul by R. Hibbert
8:36.0,,,11-8,,Turnover by R. Hibbert (offensive foul)
8:24.0,,,11-8,,Personal foul by C. Copeland (drawn by M. Barnes)
8:22.0,Shooting foul by D. West (drawn by B. Griffin),,11-8,,
8:22.0,B. Griffin makes free throw 1 of 2,1,12-8,,
8:22.0,B. Griffin makes free throw 2 of 2,1,13-8,,
8:07.0,,,13-8,,D. West misses 2-pt shot from 18 ft
8:05.0,Defensive rebound by M. Barnes,,13-8,,
7:54.0,J. Redick makes 2-pt shot from 22 ft (assist by B. Griffin),2,15-8,,
7:35.0,,,15-8,,C. Copeland misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by D. Jordan,,15-8,,
7:22.0,B. Griffin misses 2-pt shot from 22 ft,,15-8,,
7:21.0,Offensive rebound by B. Griffin,,15-8,,
7:19.0,B. Griffin makes 2-pt shot at rim,2,17-8,,
7:16.0,,,17-8,,Indiana full timeout
6:59.0,,,17-8,,R. Hibbert misses 2-pt shot from 9 ft
6:58.0,Defensive rebound by M. Barnes,,17-8,,
6:50.0,C. Paul misses 2-pt shot from 18 ft,,17-8,,
6:48.0,Offensive rebound by D. Jordan,,17-8,,
6:46.0,D. Jordan makes 2-pt shot at rim,2,19-8,,
6:29.0,,,19-8,,S. Hill misses 3-pt shot from 23 ft
6:28.0,,,19-8,,Offensive rebound by R. Hibbert
6:28.0,Loose ball foul by B. Griffin (drawn by R. Hibbert),,19-8,,
6:17.0,,,19-11,3,C. Copeland makes 3-pt shot from 22 ft (assist by S. Hill)
6:03.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,22-11,,
5:48.0,,,22-11,,S. Hill misses 2-pt shot from 5 ft
5:47.0,,,22-11,,Offensive rebound by R. Hibbert
5:43.0,,,22-11,,D. West misses 2-pt shot from 20 ft
5:42.0,Defensive rebound by C. Paul,,22-11,,
5:37.0,Shooting foul by C. Copeland (drawn by D. Jordan),,22-11,,
5:37.0,D. Jordan makes 2-pt shot from 3 ft (assist by M. Barnes),2,24-11,,
5:37.0,,,24-11,,C. Miles enters the game for C. Copeland
5:37.0,D. Jordan makes free throw 1 of 1,1,25-11,,
5:19.0,,,25-11,,R. Hibbert misses 2-pt shot from 10 ft
5:18.0,Defensive rebound by D. Jordan,,25-11,,
5:13.0,B. Griffin misses 2-pt shot from 1 ft,,25-11,,
5:12.0,,,25-11,,Defensive rebound by D. West
4:57.0,,,25-11,,C. Miles misses 2-pt shot from 16 ft
4:56.0,Defensive rebound by D. Jordan,,25-11,,
4:51.0,B. Griffin misses 2-pt shot from 2 ft,,25-11,,
4:50.0,,,25-11,,Defensive rebound by R. Hibbert
4:39.0,,,25-11,,D. West misses 2-pt shot from 14 ft
4:38.0,Defensive rebound by M. Barnes,,25-11,,
4:23.0,J. Redick misses 3-pt shot from 25 ft,,25-11,,
4:22.0,,,25-11,,Defensive rebound by Team
4:21.0,,,25-11,,L. Scola enters the game for D. West
4:12.0,,,25-13,2,R. Stuckey makes 2-pt shot from 14 ft
3:56.0,Shooting foul by R. Hibbert (drawn by D. Jordan),,25-13,,
3:56.0,D. Jordan misses free throw 1 of 2,,25-13,,
3:56.0,Offensive rebound by Team,,25-13,,
3:56.0,J. Crawford enters the game for M. Barnes,,25-13,,
3:56.0,,,25-13,,L. Allen enters the game for R. Hibbert
3:56.0,,,25-13,,C. Watson enters the game for S. Hill
3:56.0,D. Jordan makes free throw 2 of 2,1,26-13,,
3:40.0,,,26-13,,Turnover by C. Miles (bad pass; steal by C. Paul)
3:37.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,28-13,,
3:36.0,,,28-13,,Indiana full timeout
3:22.0,,,28-15,2,L. Scola makes 2-pt shot from 17 ft (assist by R. Stuckey)
2:58.0,B. Griffin misses 2-pt shot from 19 ft,,28-15,,
2:57.0,Offensive rebound by D. Jordan,,28-15,,
2:54.0,C. Paul misses 3-pt shot from 25 ft,,28-15,,
2:53.0,,,28-15,,Defensive rebound by L. Scola
2:41.0,,,28-17,2,R. Stuckey makes 2-pt shot from 7 ft (assist by L. Scola)
2:35.0,LA Clippers full timeout,,28-17,,
2:35.0,S. Hawes enters the game for D. Jordan,,28-17,,
2:22.0,B. Griffin misses 2-pt shot from 16 ft,,28-17,,
2:20.0,,,28-17,,Defensive rebound by L. Scola
2:11.0,,,28-17,,R. Stuckey misses 2-pt shot from 18 ft
2:09.0,Defensive rebound by B. Griffin,,28-17,,
1:57.0,J. Crawford misses 3-pt shot from 22 ft,,28-17,,
1:56.0,,,28-17,,Defensive rebound by L. Scola
1:43.0,,,28-20,3,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey)
1:33.0,J. Redick misses 3-pt shot from 23 ft,,28-20,,
1:32.0,,,28-20,,Defensive rebound by L. Scola
1:21.0,,,28-20,,C. Miles misses 3-pt shot from 23 ft
1:20.0,Defensive rebound by C. Paul,,28-20,,
1:09.0,Turnover by C. Paul (bad pass),,28-20,,
1:09.0,J. Farmar enters the game for J. Redick,,28-20,,
0:58.0,,,28-20,,R. Stuckey misses 2-pt shot from 7 ft
0:57.0,,,28-20,,Offensive rebound by L. Scola
0:56.0,,,28-22,2,L. Scola makes 2-pt shot from 2 ft
0:45.0,J. Crawford makes 2-pt shot from 19 ft (assist by B. Griffin),2,30-22,,
0:31.0,,,30-22,,L. Allen misses 2-pt shot at rim (block by S. Hawes)
0:30.0,,,30-22,,Offensive rebound by Team
0:30.0,H. Turkoglu enters the game for C. Paul,,30-22,,
0:30.0,G. Davis enters the game for B. Griffin,,30-22,,
0:21.0,,,30-25,3,C. Miles makes 3-pt shot from 26 ft (assist by C. Watson)
0:02.0,S. Hawes makes 3-pt shot from 26 ft (assist by J. Crawford),3,33-25,,
0:00.0,,,33-25,,C. Miles misses 3-pt shot from 44 ft
0:00.0,,,33-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,S. Hawes misses 2-pt shot from 20 ft,,33-25,,
11:43.0,,,33-25,,Defensive rebound by Team
11:29.0,,,33-25,,C. Miles misses 2-pt shot from 16 ft
11:28.0,Defensive rebound by S. Hawes,,33-25,,
11:04.0,G. Davis misses 2-pt shot from 17 ft,,33-25,,
11:03.0,,,33-25,,Defensive rebound by L. Scola
10:50.0,,,33-28,3,C. Miles makes 3-pt shot from 26 ft (assist by C. Watson)
10:31.0,H. Turkoglu misses 2-pt shot from 21 ft,,33-28,,
10:29.0,,,33-28,,Defensive rebound by L. Allen
10:18.0,,,33-30,2,C. Miles makes 2-pt shot from 13 ft (assist by L. Scola)
10:03.0,Shooting foul by C. Miles (drawn by J. Crawford),,33-30,,
10:03.0,J. Crawford makes free throw 1 of 2,1,34-30,,
10:03.0,J. Crawford makes free throw 2 of 2,1,35-30,,
9:55.0,Shooting block foul by G. Davis (drawn by C. Watson),,35-30,,
9:55.0,,,35-31,1,C. Watson makes free throw 1 of 2
9:55.0,,,35-31,,C. Watson misses free throw 2 of 2
9:55.0,Defensive rebound by J. Crawford,,35-31,,
9:41.0,Turnover by J. Crawford (bad pass; steal by L. Scola),,35-31,,
9:38.0,,,35-33,2,C. Miles makes 2-pt shot from 1 ft (assist by L. Scola)
9:30.0,,,35-33,,Personal foul by L. Scola (drawn by H. Turkoglu)
9:18.0,S. Hawes misses 2-pt shot from 19 ft,,35-33,,
9:16.0,,,35-33,,Defensive rebound by L. Scola
9:07.0,,,35-33,,Turnover by L. Scola (lost ball; steal by H. Turkoglu)
9:07.0,,,35-33,,Loose ball foul by L. Scola (drawn by H. Turkoglu)
8:55.0,J. Crawford makes 2-pt shot from 20 ft (assist by S. Hawes),2,37-33,,
8:39.0,,,37-33,,Shooting foul by J. Crawford (drawn by C. Miles)
8:39.0,Official timeout,,37-33,,
8:39.0,,,37-33,,C. Miles misses free throw 1 of 2
8:39.0,,,37-33,,Offensive rebound by Team
8:39.0,,,37-33,,C. Miles misses free throw 2 of 2
8:38.0,Defensive rebound by H. Turkoglu,,37-33,,
8:25.0,Turnover by J. Crawford (bad pass; steal by C. Miles),,37-33,,
8:14.0,,,37-33,,Turnover by C. Miles (bad pass)
7:55.0,S. Hawes misses 2-pt shot from 2 ft,,37-33,,
7:54.0,,,37-33,,Defensive rebound by L. Allen
7:40.0,,,37-33,,L. Scola misses 2-pt shot from 6 ft
7:38.0,Defensive rebound by S. Hawes,,37-33,,
7:29.0,J. Farmar makes 2-pt shot from 19 ft,2,39-33,,
7:13.0,,,39-33,,C. Watson misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by J. Crawford,,39-33,,
7:04.0,J. Farmar misses 3-pt shot from 22 ft,,39-33,,
7:03.0,,,39-33,,Defensive rebound by L. Scola
6:57.0,Shooting block foul by J. Crawford (drawn by C. Watson),,39-33,,
6:57.0,,,39-34,1,C. Watson makes free throw 1 of 2
6:57.0,,,39-34,,D. West enters the game for L. Scola
6:57.0,D. Jordan enters the game for S. Hawes,,39-34,,
6:57.0,M. Barnes enters the game for H. Turkoglu,,39-34,,
6:57.0,B. Griffin enters the game for G. Davis,,39-34,,
6:57.0,,,39-34,,C. Watson misses free throw 2 of 2
6:55.0,Defensive rebound by J. Farmar,,39-34,,
6:39.0,J. Crawford makes 3-pt shot from 24 ft (assist by B. Griffin),3,42-34,,
