time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Lopez (A. Roberson gains possession),,,,Jump ball: S. Adams vs. R. Lopez (A. Roberson gains possession)
11:43.0,R. Westbrook misses 2-pt shot from 1 ft,,0-0,,
11:42.0,Offensive rebound by R. Westbrook,,0-0,,
11:42.0,R. Westbrook makes 2-pt shot from 1 ft,2,2-0,,
11:24.0,,,2-2,2,R. Lopez makes 2-pt shot from 9 ft (assist by N. Batum)
11:06.0,R. Westbrook makes 2-pt shot from 2 ft (assist by S. Adams),2,4-2,,
10:51.0,,,4-2,,W. Matthews misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by S. Adams,,4-2,,
10:39.0,Turnover by S. Ibaka (lost ball; steal by L. Aldridge),,4-2,,
10:32.0,,,4-5,3,L. Aldridge makes 3-pt shot from 24 ft (assist by W. Matthews)
10:14.0,Shooting foul by R. Lopez (drawn by S. Adams),,4-5,,
10:14.0,S. Adams makes free throw 1 of 2,1,5-5,,
10:14.0,S. Adams makes free throw 2 of 2,1,6-5,,
10:03.0,,,6-5,,Turnover by N. Batum (bad pass; steal by R. Westbrook)
9:56.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,8-5,,
9:44.0,Personal foul by P. Jones (drawn by N. Batum),,8-5,,
9:38.0,,,8-5,,L. Aldridge misses 2-pt shot from 22 ft
9:37.0,Defensive rebound by P. Jones,,8-5,,
9:31.0,S. Ibaka misses 2-pt shot from 2 ft (block by L. Aldridge),,8-5,,
9:30.0,Offensive rebound by Team,,8-5,,
9:24.0,R. Westbrook makes 2-pt shot from 2 ft (assist by S. Ibaka),2,10-5,,
9:24.0,Shooting foul by R. Lopez (drawn by R. Westbrook),,10-5,,
9:24.0,,,10-5,,C. Kaman enters the game for R. Lopez
9:24.0,R. Westbrook makes free throw 1 of 1,1,11-5,,
9:10.0,,,11-5,,D. Lillard misses 3-pt shot from 27 ft
9:09.0,Defensive rebound by S. Adams,,11-5,,
8:52.0,S. Ibaka misses 3-pt shot from 24 ft,,11-5,,
8:51.0,,,11-5,,Defensive rebound by D. Lillard
8:45.0,Personal foul by P. Jones (drawn by N. Batum),,11-5,,
8:45.0,L. Thomas enters the game for P. Jones,,11-5,,
8:39.0,,,11-5,,D. Lillard misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by L. Thomas,,11-5,,
8:28.0,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook),2,13-5,,
8:10.0,,,13-7,2,L. Aldridge makes 2-pt shot from 2 ft
8:10.0,,,13-7,,Shooting foul by S. Ibaka (drawn by L. Aldridge)
8:10.0,,,13-7,,L. Aldridge misses free throw 1 of 1
8:09.0,Defensive rebound by A. Roberson,,13-7,,
7:59.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook),3,16-7,,
7:42.0,,,16-9,2,W. Matthews makes 2-pt shot from 17 ft (assist by D. Lillard)
7:25.0,L. Thomas makes 2-pt shot from 16 ft (assist by S. Ibaka),2,18-9,,
7:08.0,,,18-11,2,C. Kaman makes 2-pt shot from 5 ft
6:52.0,Turnover by S. Adams (3 sec),,18-11,,
6:44.0,Personal foul by S. Adams (drawn by C. Kaman),,18-11,,
6:32.0,,,18-13,2,W. Matthews makes 2-pt shot at rim (assist by C. Kaman)
6:18.0,R. Westbrook misses 2-pt shot from 15 ft,,18-13,,
6:17.0,,,18-13,,Defensive rebound by Team
6:17.0,,,18-13,,Portland full timeout
6:04.0,,,18-13,,N. Batum misses 2-pt shot from 19 ft
6:02.0,,,18-13,,Offensive rebound by L. Aldridge
5:59.0,,,18-16,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard)
5:43.0,R. Westbrook misses 2-pt shot from 15 ft,,18-16,,
5:41.0,Offensive rebound by S. Ibaka,,18-16,,
5:38.0,S. Ibaka misses 2-pt shot from 14 ft,,18-16,,
5:37.0,,,18-16,,Defensive rebound by C. Kaman
5:28.0,,,18-16,,Turnover by L. Aldridge (bad pass; steal by S. Adams)
5:07.0,R. Westbrook makes 2-pt shot from 17 ft,2,20-16,,
