time,New York,pts.away,score,pts.home,Oklahoma City
4:13.0,Shooting foul by K. Perkins (drawn by A. Stoudemire),,63-98,,
4:13.0,A. Stoudemire makes free throw 1 of 2,1,64-98,,
4:13.0,,,64-98,,L. Thomas enters the game for K. Perkins
4:13.0,A. Stoudemire makes free throw 2 of 2,1,65-98,,
3:53.0,,,65-98,,L. Thomas misses 2-pt shot from 14 ft
3:52.0,Defensive rebound by A. Stoudemire,,65-98,,
3:41.0,J. Smith makes 2-pt shot from 1 ft (assist by T. Hardaway),2,67-98,,
3:25.0,,,67-98,,Shooting foul by T. Hardaway (drawn by J. Lamb)
3:25.0,,,67-99,1,J. Lamb makes free throw 1 of 2
3:25.0,,,67-100,1,J. Lamb makes free throw 2 of 2
3:01.0,T. Hardaway makes 2-pt shot from 18 ft,2,69-100,,
2:43.0,,,69-103,3,G. Jerrett makes 3-pt shot from 24 ft (assist by A. Morrow)
2:37.0,,,69-103,,Personal foul by L. Thomas (drawn by A. Stoudemire)
2:37.0,New York full timeout,,69-103,,
2:37.0,Q. Acy enters the game for J. Smith,,69-103,,
2:37.0,A. Stoudemire makes free throw 1 of 2,1,70-103,,
2:37.0,A. Stoudemire misses free throw 2 of 2,,70-103,,
2:36.0,,,70-103,,Defensive rebound by L. Thomas
2:24.0,,,70-103,,I. Smith misses 2-pt shot at rim
2:23.0,,,70-103,,Offensive rebound by L. Thomas
2:23.0,,,70-103,,L. Thomas misses 2-pt shot at rim
2:21.0,,,70-103,,Offensive rebound by L. Thomas
2:21.0,,,70-105,2,L. Thomas makes 2-pt shot from 1 ft
2:06.0,A. Stoudemire makes 2-pt shot at rim (assist by T. Wear),2,72-105,,
1:55.0,,,72-105,,G. Jerrett misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by Q. Acy,,72-105,,
1:40.0,T. Hardaway misses 2-pt shot from 15 ft,,72-105,,
1:38.0,,,72-105,,Defensive rebound by A. Morrow
1:28.0,,,72-105,,G. Jerrett misses 3-pt shot from 22 ft
1:27.0,Defensive rebound by T. Wear,,72-105,,
1:23.0,,,72-105,,Personal foul by G. Jerrett (drawn by S. Larkin)
1:23.0,S. Larkin makes free throw 1 of 2,1,73-105,,
1:23.0,S. Larkin makes free throw 2 of 2,1,74-105,,
1:03.0,,,74-105,,Turnover by G. Jerrett (lost ball; steal by T. Wear)
1:00.0,T. Hardaway makes 2-pt shot at rim (assist by T. Wear),2,76-105,,
0:50.0,,,76-105,,G. Jerrett misses 3-pt shot from 22 ft
0:49.0,Defensive rebound by S. Larkin,,76-105,,
0:28.0,Shooting foul by L. Thomas (drawn by A. Stoudemire),,76-105,,
0:28.0,,,76-105,,A. Roberson enters the game for L. Thomas
0:28.0,A. Stoudemire makes free throw 1 of 2,1,77-105,,
0:28.0,A. Stoudemire makes free throw 2 of 2,1,78-105,,
0:04.0,,,78-105,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
