time,New York,pts.away,score,pts.home,Oklahoma City
2:17.0,T. Hardaway misses 3-pt shot from 26 ft,,11-28,,
2:17.0,Offensive rebound by Team,,11-28,,
2:17.0,,,11-28,,Loose ball foul by N. Collison (drawn by J. Smith)
2:17.0,,,11-28,,Oklahoma City full timeout
2:17.0,J. Smith makes free throw 1 of 2,1,12-28,,
2:17.0,J. Smith makes free throw 2 of 2,1,13-28,,
2:03.0,,,13-28,,R. Jackson misses 2-pt shot from 9 ft
2:02.0,Defensive rebound by A. Stoudemire,,13-28,,
1:57.0,Offensive foul by J. Smith,,13-28,,
1:57.0,Turnover by J. Smith (offensive foul),,13-28,,
1:45.0,,,13-28,,A. Morrow misses 3-pt shot from 24 ft
1:45.0,Defensive rebound by Team,,13-28,,
1:27.0,S. Larkin misses 3-pt shot from 24 ft,,13-28,,
1:26.0,,,13-28,,Defensive rebound by J. Lamb
1:15.0,,,13-28,,N. Collison misses 3-pt shot from 24 ft
1:14.0,Defensive rebound by A. Stoudemire,,13-28,,
1:01.0,Turnover by J. Smith (traveling),,13-28,,
0:50.0,Personal foul by S. Larkin (drawn by R. Jackson),,13-28,,
0:50.0,,,13-29,1,R. Jackson makes free throw 1 of 2
0:50.0,,,13-30,1,R. Jackson makes free throw 2 of 2
0:29.0,T. Hardaway misses 3-pt shot from 24 ft,,13-30,,
0:28.0,,,13-30,,Defensive rebound by J. Lamb
0:02.0,,,13-30,,K. Perkins misses 2-pt shot from 12 ft
0:01.0,Defensive rebound by P. Prigioni,,13-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,P. Prigioni misses 2-pt shot at rim,,13-30,,
11:40.0,,,13-30,,Defensive rebound by N. Collison
11:23.0,,,13-30,,Offensive foul by N. Collison
11:23.0,,,13-30,,Turnover by N. Collison (offensive foul)
11:23.0,Q. Acy enters the game for J. Smith,,13-30,,
10:58.0,T. Hardaway misses 3-pt shot from 25 ft,,13-30,,
10:57.0,,,13-30,,Defensive rebound by K. Perkins
10:47.0,,,13-33,3,J. Lamb makes 3-pt shot from 24 ft (assist by R. Jackson)
10:28.0,Q. Acy misses 2-pt shot from 3 ft,,13-33,,
10:27.0,,,13-33,,Defensive rebound by N. Collison
