time,Orlando,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Dorsey (N. Vucevic gains possession),,,,Jump ball: D. Dedmon vs. J. Dorsey (N. Vucevic gains possession)
11:44.0,N. Vucevic misses 2-pt shot from 11 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by T. Ariza
11:32.0,,,0-2,2,J. Dorsey makes 2-pt shot from 1 ft (assist by T. Ariza)
11:12.0,E. Payton makes 2-pt shot from 8 ft,2,2-2,,
10:50.0,,,2-2,,D. Motiejunas misses 2-pt shot from 7 ft
10:48.0,,,2-2,,Offensive rebound by J. Dorsey
10:42.0,,,2-2,,P. Beverley misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by D. Dedmon,,2-2,,
10:39.0,Turnover by D. Dedmon (bad pass; steal by J. Harden),,2-2,,
10:35.0,,,2-2,,J. Harden misses 3-pt shot from 25 ft
10:34.0,,,2-2,,Offensive rebound by J. Dorsey
10:24.0,,,2-2,,J. Harden misses 2-pt shot from 1 ft
10:23.0,,,2-2,,Offensive rebound by J. Harden
10:22.0,Violation by T. Harris (kicked ball),,2-2,,
10:16.0,,,2-5,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
9:59.0,V. Oladipo misses 2-pt shot from 16 ft,,2-5,,
9:57.0,Offensive rebound by Team,,2-5,,
9:49.0,V. Oladipo makes 2-pt shot from 1 ft,2,4-5,,
9:32.0,,,4-7,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by P. Beverley)
9:22.0,V. Oladipo makes 2-pt shot at rim (assist by E. Payton),2,6-7,,
9:07.0,,,6-9,2,P. Beverley makes 2-pt shot from 11 ft
8:46.0,V. Oladipo misses 2-pt shot from 4 ft (block by J. Dorsey),,6-9,,
8:46.0,Offensive rebound by Team,,6-9,,
8:43.0,N. Vucevic makes 2-pt shot from 20 ft (assist by T. Harris),2,8-9,,
8:28.0,Personal foul by V. Oladipo (drawn by J. Harden),,8-9,,
8:16.0,,,8-9,,J. Harden misses 2-pt shot from 14 ft (block by N. Vucevic)
8:15.0,Defensive rebound by Team,,8-9,,
8:02.0,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic),2,10-9,,
7:43.0,,,10-11,2,D. Motiejunas makes 2-pt shot from 10 ft
7:22.0,T. Harris misses 3-pt shot from 25 ft,,10-11,,
7:21.0,,,10-11,,Defensive rebound by J. Dorsey
7:12.0,,,10-11,,Turnover by T. Ariza (lost ball; steal by N. Vucevic)
7:09.0,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,12-11,,
7:09.0,Shooting foul by P. Beverley (drawn by N. Vucevic),,12-11,,
7:09.0,N. Vucevic misses free throw 1 of 1,,12-11,,
7:09.0,,,12-11,,Defensive rebound by J. Dorsey
6:56.0,,,12-14,3,D. Motiejunas makes 3-pt shot from 22 ft (assist by T. Ariza)
6:38.0,Shooting foul by J. Dorsey (drawn by V. Oladipo),,12-14,,
6:38.0,V. Oladipo makes free throw 1 of 2,1,13-14,,
6:38.0,V. Oladipo makes free throw 2 of 2,1,14-14,,
6:26.0,,,14-14,,Shooting foul by N. Vucevic (drawn by J. Harden)
6:26.0,,,14-14,,J. Harden misses free throw 1 of 2
6:26.0,,,14-14,,Offensive rebound by Team
6:26.0,,,14-15,1,J. Harden makes free throw 2 of 2
6:03.0,T. Harris makes 2-pt shot from 20 ft,2,16-15,,
5:47.0,,,16-15,,D. Motiejunas misses 2-pt shot at rim (block by D. Dedmon)
5:45.0,,,16-15,,Offensive rebound by T. Ariza
5:38.0,,,16-17,2,P. Beverley makes 2-pt shot from 7 ft
5:31.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton),2,18-17,,
5:17.0,,,18-20,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
5:08.0,Orlando full timeout,,18-20,,
5:08.0,,,18-20,,T. Jones enters the game for J. Dorsey
5:08.0,A. Gordon enters the game for D. Dedmon,,18-20,,
4:53.0,T. Harris misses 3-pt shot from 24 ft,,18-20,,
4:52.0,Offensive rebound by N. Vucevic,,18-20,,
4:46.0,N. Vucevic misses 2-pt shot from 8 ft,,18-20,,
4:44.0,,,18-20,,Defensive rebound by T. Jones
4:31.0,,,18-20,,P. Beverley misses 3-pt shot from 23 ft
4:30.0,Defensive rebound by N. Vucevic,,18-20,,
4:20.0,V. Oladipo makes 3-pt shot from 24 ft,3,21-20,,
4:07.0,,,21-22,2,T. Ariza makes 2-pt shot from 18 ft (assist by D. Motiejunas)
3:41.0,E. Payton misses 3-pt shot from 24 ft,,21-22,,
3:40.0,,,21-22,,Defensive rebound by J. Harden
3:33.0,Shooting block foul by A. Gordon (drawn by J. Harden),,21-22,,
3:33.0,,,21-23,1,J. Harden makes free throw 1 of 2
3:33.0,,,21-23,,P. Prigioni enters the game for P. Beverley
3:33.0,,,21-23,,J. Smith enters the game for D. Motiejunas
3:33.0,,,21-23,,C. Brewer enters the game for T. Ariza
3:33.0,L. Ridnour enters the game for E. Payton,,21-23,,
3:33.0,,,21-24,1,J. Harden makes free throw 2 of 2
3:16.0,L. Ridnour misses 2-pt shot from 21 ft,,21-24,,
3:14.0,,,21-24,,Defensive rebound by C. Brewer
3:10.0,,,21-26,2,C. Brewer makes 2-pt shot from 1 ft
2:53.0,T. Harris misses 2-pt shot from 2 ft,,21-26,,
2:52.0,Offensive rebound by N. Vucevic,,21-26,,
2:52.0,N. Vucevic misses 2-pt shot from 3 ft,,21-26,,
2:50.0,,,21-26,,Defensive rebound by C. Brewer
2:45.0,,,21-26,,J. Harden misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by N. Vucevic,,21-26,,
2:27.0,Shooting foul by J. Smith (drawn by N. Vucevic),,21-26,,
2:27.0,,,21-26,,Houston full timeout
2:27.0,C. Frye enters the game for T. Harris,,21-26,,
2:27.0,N. Vucevic misses free throw 1 of 2,,21-26,,
2:27.0,Offensive rebound by Team,,21-26,,
2:27.0,N. Vucevic makes free throw 2 of 2,1,22-26,,
2:15.0,,,22-26,,P. Prigioni misses 3-pt shot from 23 ft
2:14.0,Defensive rebound by V. Oladipo,,22-26,,
1:54.0,N. Vucevic misses 2-pt shot from 7 ft,,22-26,,
1:52.0,,,22-26,,Defensive rebound by C. Brewer
1:45.0,,,22-28,2,J. Smith makes 2-pt shot from 7 ft (assist by T. Jones)
1:31.0,N. Vucevic makes 2-pt shot from 3 ft (assist by C. Frye),2,24-28,,
1:31.0,,,24-28,,C. Brewer misses 2-pt shot from 2 ft
1:31.0,,,24-28,,Offensive rebound by C. Brewer
1:31.0,,,24-28,,Turnover by C. Brewer (traveling)
1:31.0,D. Dedmon enters the game for N. Vucevic,,24-28,,
1:21.0,Turnover by L. Ridnour (lost ball),,24-28,,
1:04.0,,,24-28,,J. Harden misses 2-pt shot from 20 ft
1:03.0,Defensive rebound by C. Frye,,24-28,,
0:41.0,V. Oladipo misses 2-pt shot from 6 ft,,24-28,,
0:39.0,Offensive rebound by V. Oladipo,,24-28,,
0:39.0,V. Oladipo misses 2-pt shot from 1 ft,,24-28,,
0:38.0,,,24-28,,Defensive rebound by C. Brewer
0:32.0,,,24-28,,Turnover by J. Smith (traveling)
0:15.0,Jump ball: T. Jones vs. V. Oladipo (D. Dedmon gains possession),,,,Jump ball: T. Jones vs. V. Oladipo (D. Dedmon gains possession)
0:10.0,C. Frye misses 3-pt shot from 25 ft,,24-28,,
0:09.0,,,24-28,,Defensive rebound by J. Harden
0:02.0,,,24-28,,J. Harden misses 2-pt shot at rim
0:01.0,Defensive rebound by V. Oladipo,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,24-28,,C. Brewer misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by C. Frye,,24-28,,
11:12.0,C. Frye makes 3-pt shot from 23 ft (assist by B. Gordon),3,27-28,,
11:04.0,,,27-28,,Shooting foul by D. Dedmon (drawn by T. Jones)
