time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession)
11:39.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by J. Noah),3,3-0,,
11:13.0,,,3-2,2,I. Shumpert makes 2-pt shot from 16 ft (assist by K. Irving)
10:59.0,Shooting foul by I. Shumpert (drawn by J. Noah),,3-2,,
10:59.0,J. Noah misses free throw 1 of 2,,3-2,,
10:59.0,Offensive rebound by Team,,3-2,,
10:59.0,J. Noah misses free throw 2 of 2,,3-2,,
10:57.0,,,3-2,,Defensive rebound by L. James
10:44.0,,,3-2,,K. Irving misses 2-pt shot from 18 ft
10:43.0,Defensive rebound by J. Noah,,3-2,,
10:35.0,,,3-2,,Personal foul by K. Irving (drawn by D. Rose)
10:18.0,D. Rose makes 3-pt shot from 28 ft (assist by J. Butler),3,6-2,,
10:04.0,,,6-2,,Turnover by L. James (lost ball)
9:43.0,J. Butler misses 2-pt shot from 14 ft,,6-2,,
9:42.0,,,6-2,,Defensive rebound by M. Miller
9:34.0,,,6-2,,M. Miller misses 3-pt shot from 27 ft
9:33.0,Defensive rebound by J. Noah,,6-2,,
9:21.0,D. Rose misses 2-pt shot from 9 ft,,6-2,,
9:20.0,,,6-2,,Defensive rebound by M. Miller
9:12.0,,,6-2,,I. Shumpert misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by P. Gasol,,6-2,,
9:06.0,J. Butler misses 3-pt shot from 24 ft,,6-2,,
9:04.0,,,6-2,,Defensive rebound by M. Miller
8:42.0,,,6-2,,I. Shumpert misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by J. Noah,,6-2,,
8:29.0,P. Gasol misses 2-pt shot from 18 ft,,6-2,,
8:27.0,Offensive rebound by M. Dunleavy,,6-2,,
8:26.0,M. Dunleavy makes 2-pt shot at rim,2,8-2,,
8:08.0,,,8-2,,K. Irving misses 2-pt shot from 1 ft
