time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Howard (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Howard (T. Parker gains possession)
11:41.0,,,0-0,,D. Green misses 2-pt shot from 16 ft
11:40.0,,,0-0,,Offensive rebound by T. Duncan
11:26.0,,,0-2,2,T. Parker makes 2-pt shot from 14 ft
11:03.0,T. Jones misses 2-pt shot from 6 ft (block by D. Green),,0-2,,
11:02.0,,,0-2,,Defensive rebound by A. Baynes
10:54.0,,,0-4,2,T. Parker makes 2-pt shot from 6 ft
10:41.0,T. Ariza misses 2-pt shot from 18 ft,,0-4,,
10:38.0,Offensive rebound by D. Howard,,0-4,,
10:38.0,D. Howard misses 2-pt shot from 2 ft (block by T. Duncan),,0-4,,
10:36.0,Offensive rebound by D. Howard,,0-4,,
10:34.0,Turnover by D. Howard (lost ball; steal by K. Leonard),,0-4,,
10:26.0,,,0-4,,D. Green misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by D. Howard,,0-4,,
10:21.0,Shooting foul by K. Leonard (drawn by J. Harden),,0-4,,
10:21.0,J. Harden makes free throw 1 of 2,1,1-4,,
10:21.0,J. Harden makes free throw 2 of 2,1,2-4,,
10:03.0,,,2-4,,K. Leonard misses 2-pt shot from 10 ft
10:02.0,Defensive rebound by D. Howard,,2-4,,
9:55.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,5-4,,
9:39.0,,,5-4,,T. Parker misses 2-pt shot from 18 ft
9:38.0,Defensive rebound by D. Howard,,5-4,,
9:32.0,T. Ariza misses 2-pt shot from 2 ft (block by T. Duncan),,5-4,,
9:30.0,,,5-4,,Defensive rebound by T. Duncan
9:20.0,,,5-4,,D. Green misses 2-pt shot from 18 ft
9:19.0,Defensive rebound by Team,,5-4,,
9:08.0,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden),2,7-4,,
8:50.0,,,7-4,,Turnover by K. Leonard (bad pass; steal by T. Ariza)
8:46.0,Shooting foul by D. Green (drawn by J. Harden),,7-4,,
8:46.0,J. Harden makes free throw 1 of 2,1,8-4,,
8:46.0,,,8-4,,San Antonio full timeout
8:46.0,J. Harden makes free throw 2 of 2,1,9-4,,
8:35.0,Personal foul by D. Howard (drawn by T. Duncan),,9-4,,
8:29.0,,,9-4,,Shooting foul by J. Terry (drawn by T. Parker)
8:29.0,,,9-4,,T. Parker misses free throw 1 of 2
8:29.0,,,9-4,,Offensive rebound by Team
8:29.0,,,9-5,1,T. Parker makes free throw 2 of 2
8:13.0,D. Howard makes 2-pt shot from 6 ft (assist by J. Terry),2,11-5,,
8:00.0,,,11-7,2,T. Parker makes 2-pt shot from 7 ft (assist by T. Duncan)
7:47.0,J. Terry makes 2-pt shot from 12 ft (assist by D. Howard),2,13-7,,
7:35.0,,,13-9,2,T. Parker makes 2-pt shot from 3 ft
7:35.0,,,13-9,,Shooting foul by J. Terry (drawn by T. Parker)
7:35.0,P. Prigioni enters the game for J. Terry,,13-9,,
7:35.0,,,13-9,,T. Parker misses free throw 1 of 1
7:33.0,,,13-9,,Offensive rebound by D. Green
7:20.0,Violation by D. Howard (def goaltending),,13-9,,
7:20.0,,,13-11,2,D. Green makes 2-pt shot from 4 ft (assist by T. Parker)
7:00.0,D. Howard misses 2-pt shot from 5 ft (block by T. Duncan),,13-11,,
7:00.0,Offensive rebound by Team,,13-11,,
6:56.0,J. Harden misses 3-pt shot from 24 ft,,13-11,,
6:55.0,Offensive rebound by D. Howard,,13-11,,
6:43.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,15-11,,
6:31.0,,,15-13,2,T. Duncan makes 2-pt shot at rim (assist by T. Parker)
6:17.0,P. Prigioni makes 2-pt shot from 5 ft,2,17-13,,
6:07.0,,,17-15,2,A. Baynes makes 2-pt shot from 5 ft (assist by D. Green)
5:55.0,D. Howard makes 2-pt shot at rim (assist by P. Prigioni),2,19-15,,
5:41.0,,,19-15,,T. Parker misses 2-pt shot from 2 ft
5:40.0,,,19-15,,Offensive rebound by A. Baynes
5:36.0,,,19-15,,K. Leonard misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by D. Howard,,19-15,,
5:27.0,T. Ariza misses 2-pt shot from 20 ft,,19-15,,
5:27.0,,,19-15,,Defensive rebound by A. Baynes
5:18.0,,,19-15,,D. Green misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by T. Ariza,,19-15,,
5:12.0,Houston full timeout,,19-15,,
5:12.0,,,19-15,,B. Diaw enters the game for T. Duncan
5:12.0,,,19-15,,M. Ginobili enters the game for D. Green
5:12.0,J. Dorsey enters the game for D. Howard,,19-15,,
5:12.0,J. Smith enters the game for T. Jones,,19-15,,
5:02.0,J. Harden misses 3-pt shot from 23 ft,,19-15,,
5:01.0,,,19-15,,Defensive rebound by B. Diaw
4:53.0,,,19-15,,K. Leonard misses 2-pt shot from 16 ft
4:52.0,Defensive rebound by J. Dorsey,,19-15,,
4:41.0,J. Smith misses 3-pt shot from 24 ft,,19-15,,
4:40.0,Offensive rebound by J. Harden,,19-15,,
4:36.0,Shooting foul by T. Parker (drawn by J. Harden),,19-15,,
4:36.0,J. Harden makes free throw 1 of 2,1,20-15,,
4:36.0,J. Harden makes free throw 2 of 2,1,21-15,,
4:21.0,,,21-17,2,K. Leonard makes 2-pt shot at rim (assist by M. Ginobili)
4:02.0,J. Harden makes 3-pt shot from 22 ft (assist by J. Smith),3,24-17,,
3:42.0,,,24-20,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
3:23.0,J. Smith makes 3-pt shot from 23 ft (assist by P. Prigioni),3,27-20,,
3:06.0,,,27-20,,A. Baynes misses 2-pt shot from 5 ft
3:05.0,Defensive rebound by J. Smith,,27-20,,
3:01.0,T. Ariza makes 2-pt shot at rim (assist by J. Smith),2,29-20,,
2:39.0,,,29-22,2,T. Parker makes 2-pt shot from 6 ft
2:25.0,J. Harden makes 2-pt shot from 9 ft,2,31-22,,
2:15.0,,,31-24,2,T. Parker makes 2-pt shot from 2 ft
2:06.0,Shooting foul by M. Ginobili (drawn by J. Dorsey),,31-24,,
2:06.0,J. Dorsey misses free throw 1 of 2,,31-24,,
2:06.0,Offensive rebound by Team,,31-24,,
2:06.0,C. Brewer enters the game for T. Ariza,,31-24,,
2:06.0,,,31-24,,D. Green enters the game for K. Leonard
2:06.0,,,31-24,,C. Joseph enters the game for T. Parker
2:06.0,,,31-24,,T. Duncan enters the game for A. Baynes
2:06.0,J. Dorsey misses free throw 2 of 2,,31-24,,
2:05.0,,,31-24,,Defensive rebound by M. Ginobili
1:45.0,,,31-24,,C. Joseph misses 2-pt shot from 17 ft
1:44.0,Defensive rebound by J. Smith,,31-24,,
1:37.0,J. Smith misses 2-pt shot from 5 ft (block by B. Diaw),,31-24,,
1:36.0,,,31-24,,Defensive rebound by T. Duncan
1:27.0,,,31-24,,M. Ginobili misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by J. Dorsey,,31-24,,
1:19.0,J. Harden makes 2-pt shot from 2 ft,2,33-24,,
1:08.0,Personal foul by P. Prigioni (drawn by D. Green),,33-24,,
0:55.0,,,33-27,3,M. Ginobili makes 3-pt shot from 24 ft (assist by B. Diaw)
0:46.0,,,33-27,,Personal take foul by B. Diaw (drawn by J. Dorsey)
0:46.0,J. Dorsey misses free throw 1 of 2,,33-27,,
0:46.0,Offensive rebound by Team,,33-27,,
0:46.0,J. Dorsey misses free throw 2 of 2,,33-27,,
0:45.0,,,33-27,,Defensive rebound by T. Duncan
0:34.0,,,33-29,2,M. Ginobili makes 2-pt shot from 4 ft
0:27.0,C. Brewer misses 2-pt shot from 15 ft,,33-29,,
0:26.0,,,33-29,,Defensive rebound by B. Diaw
0:01.0,,,33-32,3,B. Diaw makes 3-pt shot from 24 ft (assist by C. Joseph)
0:01.0,P. Prigioni misses 3-pt shot from 47 ft,,33-32,,
0:00.0,Offensive rebound by Team,,33-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Howard makes 2-pt shot from 6 ft,2,35-32,,
11:31.0,,,35-32,,Turnover by M. Ginobili (lost ball; steal by C. Brewer)
11:27.0,T. Ariza makes 2-pt shot at rim (assist by P. Prigioni),2,37-32,,
11:08.0,,,37-34,2,T. Duncan makes 2-pt shot from 9 ft
10:54.0,J. Smith makes 2-pt shot from 1 ft,2,39-34,,
10:50.0,,,39-34,,Turnover by T. Duncan (bad pass; steal by T. Ariza)
10:35.0,J. Smith misses 2-pt shot from 6 ft,,39-34,,
10:34.0,,,39-34,,Defensive rebound by T. Duncan
10:12.0,Violation by D. Howard (def goaltending),,39-34,,
10:12.0,,,39-36,2,B. Diaw makes 2-pt shot from 7 ft (assist by C. Joseph)
10:03.0,,,39-36,,Personal foul by T. Duncan (drawn by D. Howard)
