time,Brooklyn,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. T. Zeller (K. Garnett gains possession),,,,Jump ball: M. Plumlee vs. T. Zeller (K. Garnett gains possession)
11:37.0,J. Johnson misses 3-pt shot from 25 ft,,0-0,,
11:36.0,Offensive rebound by M. Plumlee,,0-0,,
11:25.0,Turnover by J. Johnson (bad pass),,0-0,,
11:04.0,,,0-2,2,T. Zeller makes 2-pt shot from 7 ft (assist by J. Green)
10:52.0,Turnover by M. Plumlee (lost ball; steal by T. Zeller),,0-2,,
10:47.0,,,0-4,2,J. Green makes 2-pt shot at rim
10:29.0,S. Karasev makes 2-pt shot from 1 ft (assist by M. Plumlee),2,2-4,,
10:20.0,Violation by J. Jack (kicked ball),,2-4,,
10:14.0,,,2-4,,J. Sullinger misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by J. Johnson,,2-4,,
10:09.0,,,2-4,,Personal foul by J. Sullinger (drawn by K. Garnett)
9:59.0,S. Karasev misses 2-pt shot from 1 ft (block by T. Zeller),,2-4,,
9:58.0,Offensive rebound by S. Karasev,,2-4,,
9:57.0,S. Karasev misses 2-pt shot from 2 ft,,2-4,,
9:56.0,Offensive rebound by S. Karasev,,2-4,,
9:54.0,M. Plumlee misses 2-pt shot from 2 ft,,2-4,,
9:53.0,,,2-4,,Defensive rebound by T. Zeller
9:42.0,,,2-4,,T. Zeller misses 2-pt shot from 5 ft
9:41.0,Defensive rebound by K. Garnett,,2-4,,
9:29.0,Shooting foul by M. Smart (drawn by J. Jack),,2-4,,
9:29.0,J. Jack makes free throw 1 of 2,1,3-4,,
9:29.0,J. Jack makes free throw 2 of 2,1,4-4,,
9:16.0,,,4-4,,J. Green misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by K. Garnett,,4-4,,
8:58.0,J. Johnson makes 2-pt shot from 3 ft (assist by S. Karasev),2,6-4,,
8:40.0,,,6-4,,A. Bradley misses 2-pt shot from 18 ft
8:39.0,Defensive rebound by J. Jack,,6-4,,
8:30.0,S. Karasev makes 3-pt shot from 25 ft (assist by K. Garnett),3,9-4,,
8:03.0,,,9-4,,Turnover by A. Bradley (lost ball; steal by S. Karasev)
7:59.0,Turnover by K. Garnett (bad pass),,9-4,,
7:45.0,,,9-6,2,J. Sullinger makes 2-pt shot from 1 ft
7:33.0,J. Jack makes 2-pt shot from 1 ft,2,11-6,,
7:23.0,,,11-6,,M. Smart misses 3-pt shot from 24 ft
7:22.0,,,11-6,,Offensive rebound by T. Zeller
7:20.0,,,11-8,2,T. Zeller makes 2-pt shot at rim
7:05.0,S. Karasev makes 2-pt shot from 4 ft,2,13-8,,
6:53.0,Shooting block foul by J. Jack (drawn by J. Green),,13-8,,
6:53.0,,,13-8,,J. Green misses free throw 1 of 2
6:53.0,,,13-8,,Offensive rebound by Team
6:53.0,B. Lopez enters the game for K. Garnett,,13-8,,
