time,Phoenix,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. M. Plumlee (M. Brown gains possession),,,,Jump ball: A. Len vs. M. Plumlee (M. Brown gains possession)
11:48.0,,,0-0,,Turnover by M. Brown (bad pass; steal by E. Bledsoe)
11:44.0,E. Bledsoe makes 2-pt shot at rim,2,2-0,,
11:27.0,,,2-0,,D. Williams misses 2-pt shot from 21 ft
11:26.0,,,2-0,,Offensive rebound by M. Plumlee
11:21.0,,,2-3,3,M. Brown makes 3-pt shot from 23 ft (assist by J. Johnson)
11:05.0,M. Morris makes 2-pt shot from 8 ft (assist by B. Knight),2,4-3,,
10:48.0,,,4-3,,D. Williams misses 2-pt shot at rim
10:47.0,Defensive rebound by B. Knight,,4-3,,
10:40.0,M. Morris misses 3-pt shot from 23 ft,,4-3,,
10:39.0,,,4-3,,Defensive rebound by A. Anderson
10:27.0,,,4-3,,M. Plumlee misses 2-pt shot at rim
10:26.0,Defensive rebound by Team,,4-3,,
10:19.0,,,4-3,,Personal foul by M. Brown (drawn by E. Bledsoe)
10:08.0,M. Morris misses 2-pt shot from 18 ft,,4-3,,
10:08.0,,,4-3,,Defensive rebound by J. Johnson
9:49.0,,,4-3,,Turnover by D. Williams (bad pass; steal by M. Morris)
9:42.0,A. Len makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,6-3,,
9:42.0,Shooting foul by M. Plumlee (drawn by A. Len),,6-3,,
9:42.0,A. Len makes free throw 1 of 1,1,7-3,,
9:30.0,,,7-3,,Turnover by M. Brown (lost ball; steal by M. Morris)
9:24.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by M. Morris),2,9-3,,
9:23.0,,,9-3,,Brooklyn full timeout
9:06.0,,,9-3,,A. Anderson misses 2-pt shot from 5 ft
9:05.0,Defensive rebound by Team,,9-3,,
8:50.0,B. Knight misses 2-pt shot from 19 ft,,9-3,,
8:49.0,Offensive rebound by M. Morris,,9-3,,
8:42.0,Shooting foul by M. Brown (drawn by E. Bledsoe),,9-3,,
8:42.0,E. Bledsoe makes free throw 1 of 2,1,10-3,,
8:42.0,,,10-3,,J. Jack enters the game for M. Brown
8:42.0,E. Bledsoe makes free throw 2 of 2,1,11-3,,
8:34.0,Personal foul by M. Morris (drawn by A. Anderson),,11-3,,
8:29.0,,,11-6,3,A. Anderson makes 3-pt shot from 24 ft (assist by J. Jack)
8:20.0,Turnover by E. Bledsoe (traveling),,11-6,,
8:07.0,,,11-6,,J. Jack misses 2-pt shot from 20 ft
8:06.0,Defensive rebound by A. Len,,11-6,,
7:56.0,M. Morris misses 2-pt shot from 16 ft,,11-6,,
7:54.0,,,11-6,,Defensive rebound by A. Anderson
7:37.0,,,11-6,,J. Johnson misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by M. Morris,,11-6,,
7:31.0,E. Bledsoe misses 2-pt shot from 6 ft,,11-6,,
7:30.0,Offensive rebound by M. Morris,,11-6,,
7:29.0,M. Morris makes 2-pt shot at rim,2,13-6,,
7:13.0,,,13-6,,Shooting foul by E. Bledsoe (drawn by J. Jack)
7:13.0,,,13-7,1,J. Jack makes free throw 1 of 2
7:13.0,,,13-8,1,J. Jack makes free throw 2 of 2
6:56.0,M. Morris misses 2-pt shot from 2 ft,,13-8,,
6:55.0,,,13-8,,Defensive rebound by J. Jack
6:51.0,Personal foul by E. Bledsoe (drawn by J. Jack),,13-8,,
6:51.0,G. Green enters the game for E. Bledsoe,,13-8,,
6:40.0,,,13-10,2,J. Jack makes 2-pt shot from 10 ft
6:18.0,B. Knight misses 3-pt shot from 24 ft,,13-10,,
6:17.0,Offensive rebound by A. Len,,13-10,,
6:16.0,Shooting foul by M. Plumlee (drawn by A. Len),,13-10,,
6:16.0,A. Len misses free throw 1 of 2,,13-10,,
6:16.0,Offensive rebound by Team,,13-10,,
6:16.0,,,13-10,,B. Lopez enters the game for M. Plumlee
6:16.0,A. Len misses free throw 2 of 2,,13-10,,
6:15.0,,,13-10,,Defensive rebound by B. Lopez
5:57.0,,,13-10,,J. Jack misses 2-pt shot from 13 ft
5:56.0,Defensive rebound by M. Morris,,13-10,,
5:47.0,A. Len misses 2-pt shot from 7 ft,,13-10,,
5:46.0,,,13-10,,Defensive rebound by D. Williams
5:39.0,,,13-10,,B. Lopez misses 2-pt shot from 11 ft
5:37.0,Defensive rebound by B. Knight,,13-10,,
5:28.0,,,13-10,,Brooklyn full timeout
5:22.0,Turnover by G. Green (bad pass),,13-10,,
5:07.0,,,13-12,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
4:57.0,G. Green misses 2-pt shot from 6 ft,,13-12,,
4:56.0,Offensive rebound by A. Len,,13-12,,
4:48.0,M. Morris misses 3-pt shot from 24 ft,,13-12,,
4:47.0,,,13-12,,Defensive rebound by D. Williams
4:32.0,,,13-14,2,B. Lopez makes 2-pt shot from 7 ft
4:15.0,M. Morris misses 2-pt shot from 9 ft,,13-14,,
4:13.0,,,13-14,,Defensive rebound by Team
4:04.0,Personal foul by G. Green (drawn by J. Johnson),,13-14,,
4:04.0,P. Tucker enters the game for M. Morris,,13-14,,
3:50.0,,,13-14,,J. Johnson misses 2-pt shot from 10 ft
3:49.0,Defensive rebound by A. Len,,13-14,,
3:39.0,Turnover by G. Green (bad pass),,13-14,,
3:33.0,,,13-14,,D. Williams misses 2-pt shot from 3 ft
3:32.0,,,13-14,,Offensive rebound by J. Johnson
3:30.0,,,13-14,,J. Johnson misses 2-pt shot from 2 ft
3:29.0,,,13-14,,Offensive rebound by J. Johnson
3:20.0,,,13-14,,Turnover by J. Johnson (bad pass; steal by M. Morris)
3:15.0,B. Knight makes 2-pt shot from 20 ft,2,15-14,,
3:06.0,,,15-14,,Shooting foul by A. Len (drawn by B. Lopez)
3:06.0,,,15-15,1,B. Lopez makes free throw 1 of 2
3:06.0,,,15-15,,T. Young enters the game for J. Johnson
3:06.0,,,15-16,1,B. Lopez makes free throw 2 of 2
2:51.0,G. Green makes 2-pt shot from 11 ft,2,17-16,,
2:39.0,,,17-16,,Shooting foul by A. Len (drawn by B. Lopez)
2:39.0,Phoenix full timeout,,17-16,,
2:39.0,,,17-16,,B. Bogdanovic enters the game for D. Williams
2:39.0,B. Wright enters the game for A. Len,,17-16,,
2:39.0,,,17-17,1,B. Lopez makes free throw 1 of 2
2:39.0,,,17-18,1,B. Lopez makes free throw 2 of 2
2:25.0,G. Green misses 2-pt shot from 1 ft,,17-18,,
2:24.0,,,17-18,,Defensive rebound by B. Lopez
2:16.0,,,17-18,,B. Bogdanovic misses 2-pt shot from 8 ft
2:15.0,,,17-18,,Offensive rebound by B. Bogdanovic
2:13.0,,,17-18,,B. Bogdanovic misses 2-pt shot from 1 ft
2:12.0,,,17-18,,Offensive rebound by B. Lopez
2:11.0,,,17-18,,B. Lopez misses 2-pt shot at rim
2:09.0,Defensive rebound by Team,,17-18,,
2:09.0,,,17-18,,Loose ball foul by B. Bogdanovic (drawn by M. Morris)
2:09.0,M. Morris makes free throw 1 of 2,1,18-18,,
2:09.0,M. Morris makes free throw 2 of 2,1,19-18,,
1:58.0,,,19-18,,Turnover by B. Bogdanovic (lost ball; steal by P. Tucker)
1:48.0,B. Knight misses 2-pt shot from 20 ft,,19-18,,
1:47.0,,,19-18,,Defensive rebound by T. Young
1:46.0,,,19-18,,Turnover by J. Jack (traveling)
1:38.0,M. Morris misses 3-pt shot from 24 ft,,19-18,,
1:37.0,,,19-18,,Defensive rebound by A. Anderson
