time,New York,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. G. Dieng (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. G. Dieng (S. Larkin gains possession)
11:44.0,I. Shumpert misses 2-pt shot from 18 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by M. Williams
11:31.0,,,0-0,,A. Wiggins misses 2-pt shot from 1 ft
11:30.0,Defensive rebound by I. Shumpert,,0-0,,
11:25.0,Q. Acy makes 2-pt shot at rim (assist by I. Shumpert),2,2-0,,
11:09.0,,,2-3,3,K. Martin makes 3-pt shot from 25 ft (assist by S. Muhammad)
10:50.0,C. Anthony misses 2-pt shot from 19 ft,,2-3,,
10:48.0,,,2-3,,Defensive rebound by A. Wiggins
10:37.0,,,2-3,,Turnover by A. Wiggins (traveling)
10:18.0,I. Shumpert misses 2-pt shot from 12 ft,,2-3,,
10:16.0,Offensive rebound by Q. Acy,,2-3,,
9:55.0,C. Anthony makes 2-pt shot from 21 ft,2,4-3,,
9:45.0,,,4-3,,M. Williams misses 2-pt shot at rim (block by S. Dalembert)
9:44.0,,,4-3,,Offensive rebound by Team
9:36.0,,,4-3,,S. Muhammad misses 2-pt shot from 6 ft
9:35.0,Defensive rebound by S. Dalembert,,4-3,,
9:27.0,Turnover by S. Dalembert (bad pass; steal by G. Dieng),,4-3,,
9:23.0,,,4-5,2,S. Muhammad makes 2-pt shot at rim (assist by M. Williams)
9:23.0,,,4-5,,Shooting foul by S. Dalembert (drawn by S. Muhammad)
9:23.0,,,4-6,1,S. Muhammad makes free throw 1 of 1
9:05.0,I. Shumpert misses 2-pt shot from 15 ft,,4-6,,
9:04.0,Offensive rebound by I. Shumpert,,4-6,,
9:00.0,Q. Acy misses 2-pt shot at rim,,4-6,,
8:58.0,,,4-6,,Defensive rebound by Team
8:42.0,,,4-6,,A. Wiggins misses 2-pt shot from 16 ft
8:41.0,,,4-6,,Offensive rebound by G. Dieng
8:37.0,,,4-6,,K. Martin misses 2-pt shot from 12 ft
8:36.0,,,4-6,,Offensive rebound by Team
8:36.0,Loose ball foul by Q. Acy (drawn by A. Wiggins),,4-6,,
8:26.0,,,4-6,,A. Wiggins misses 2-pt shot at rim
8:25.0,Defensive rebound by I. Shumpert,,4-6,,
8:20.0,I. Shumpert misses 2-pt shot at rim,,4-6,,
8:19.0,,,4-6,,Defensive rebound by Team
8:05.0,,,4-6,,S. Muhammad misses 2-pt shot from 21 ft
8:03.0,Defensive rebound by I. Shumpert,,4-6,,
7:44.0,S. Dalembert makes 2-pt shot from 18 ft (assist by S. Larkin),2,6-6,,
7:31.0,,,6-9,3,M. Williams makes 3-pt shot from 24 ft
7:15.0,Turnover by I. Shumpert (lost ball; steal by G. Dieng),,6-9,,
7:05.0,,,6-9,,K. Martin misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by C. Anthony,,6-9,,
6:57.0,Q. Acy misses 2-pt shot at rim,,6-9,,
6:56.0,Offensive rebound by Team,,6-9,,
6:54.0,I. Shumpert misses 2-pt shot from 15 ft,,6-9,,
6:53.0,,,6-9,,Defensive rebound by S. Muhammad
6:48.0,,,6-12,3,K. Martin makes 3-pt shot from 25 ft (assist by M. Williams)
6:48.0,,,6-12,,Shooting foul by S. Larkin (drawn by K. Martin)
6:48.0,New York full timeout,,6-12,,
6:48.0,A. Stoudemire enters the game for S. Dalembert,,6-12,,
6:48.0,P. Prigioni enters the game for S. Larkin,,6-12,,
6:48.0,,,6-12,,K. Martin misses free throw 1 of 1
6:48.0,Defensive rebound by A. Stoudemire,,6-12,,
6:36.0,Turnover by I. Shumpert (traveling),,6-12,,
6:21.0,,,6-12,,A. Wiggins misses 2-pt shot from 21 ft
6:18.0,Defensive rebound by Team,,6-12,,
6:18.0,J. Smith enters the game for Q. Acy,,6-12,,
6:04.0,C. Anthony makes 3-pt shot from 24 ft (assist by J. Smith),3,9-12,,
5:46.0,,,9-12,,M. Williams misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by Team,,9-12,,
5:27.0,I. Shumpert makes 3-pt shot from 24 ft,3,12-12,,
5:10.0,,,12-12,,A. Bennett enters the game for S. Muhammad
5:04.0,,,12-12,,C. Brewer enters the game for A. Wiggins
5:01.0,,,12-14,2,M. Williams makes 2-pt shot from 16 ft (assist by K. Martin)
4:46.0,J. Smith misses 2-pt shot from 20 ft,,12-14,,
4:45.0,,,12-14,,Defensive rebound by K. Martin
4:37.0,,,12-16,2,A. Bennett makes 2-pt shot from 20 ft (assist by K. Martin)
4:19.0,I. Shumpert misses 2-pt shot from 17 ft,,12-16,,
4:18.0,,,12-16,,Defensive rebound by K. Martin
4:07.0,,,12-16,,K. Martin misses 2-pt shot from 7 ft
4:06.0,,,12-16,,Offensive rebound by G. Dieng
4:06.0,,,12-18,2,G. Dieng makes 2-pt shot at rim
3:51.0,P. Prigioni makes 3-pt shot from 22 ft (assist by J. Smith),3,15-18,,
3:29.0,,,15-18,,C. Brewer misses 2-pt shot from 4 ft
3:28.0,,,15-18,,Offensive rebound by C. Brewer
3:23.0,,,15-21,3,K. Martin makes 3-pt shot from 23 ft (assist by M. Williams)
3:08.0,A. Stoudemire makes 2-pt shot from 5 ft (assist by J. Smith),2,17-21,,
3:02.0,,,17-23,2,C. Brewer makes 2-pt shot at rim
2:46.0,C. Anthony misses 2-pt shot from 17 ft,,17-23,,
2:45.0,,,17-23,,Defensive rebound by A. Bennett
2:35.0,Personal foul by J. Smith (drawn by M. Williams),,17-23,,
2:35.0,,,17-23,,Minnesota full timeout
2:35.0,,,17-23,,Z. LaVine enters the game for M. Williams
2:35.0,T. Hardaway enters the game for I. Shumpert,,17-23,,
2:31.0,,,17-23,,C. Brewer misses 2-pt shot from 1 ft
2:30.0,Defensive rebound by A. Stoudemire,,17-23,,
2:20.0,,,17-23,,Personal foul by K. Martin (drawn by C. Anthony)
2:08.0,C. Anthony makes 3-pt shot from 25 ft (assist by T. Hardaway),3,20-23,,
