time,Cleveland,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Olynyk vs. A. Varejao (K. Love gains possession),,,,Jump ball: K. Olynyk vs. A. Varejao (K. Love gains possession)
11:46.0,Shooting foul by A. Bradley (drawn by K. Love),,0-0,,
11:46.0,K. Love makes free throw 1 of 2,1,1-0,,
11:46.0,K. Love makes free throw 2 of 2,1,2-0,,
11:36.0,,,2-0,,R. Rondo misses 2-pt shot from 4 ft
11:35.0,,,2-0,,Offensive rebound by J. Sullinger
11:33.0,,,2-0,,J. Sullinger misses 2-pt shot at rim
11:33.0,,,2-0,,Offensive rebound by J. Sullinger
11:27.0,,,2-2,2,J. Sullinger makes 2-pt shot from 1 ft
11:21.0,L. James misses 2-pt shot from 4 ft (block by K. Olynyk),,2-2,,
11:19.0,,,2-2,,Defensive rebound by K. Olynyk
11:14.0,,,2-2,,Turnover by J. Green (bad pass; steal by S. Marion)
11:07.0,L. James makes 3-pt shot from 24 ft (assist by K. Irving),3,5-2,,
10:53.0,,,5-4,2,K. Olynyk makes 2-pt shot from 4 ft
10:39.0,Turnover by K. Love (bad pass; steal by R. Rondo),,5-4,,
10:34.0,,,5-6,2,K. Olynyk makes 2-pt shot from 1 ft (assist by R. Rondo)
10:13.0,K. Love misses 3-pt shot from 23 ft,,5-6,,
10:11.0,Offensive rebound by Team,,5-6,,
10:01.0,A. Varejao misses 2-pt shot from 13 ft,,5-6,,
9:59.0,,,5-6,,Defensive rebound by A. Bradley
9:48.0,,,5-6,,J. Sullinger misses 2-pt shot from 7 ft
9:46.0,,,5-6,,Offensive rebound by K. Olynyk
9:40.0,,,5-6,,J. Green misses 3-pt shot from 23 ft
9:39.0,Defensive rebound by K. Love,,5-6,,
9:36.0,L. James makes 2-pt shot at rim (assist by K. Love),2,7-6,,
9:25.0,,,7-6,,R. Rondo misses 2-pt shot from 21 ft
9:24.0,Defensive rebound by K. Love,,7-6,,
9:11.0,K. Love misses 2-pt shot from 7 ft,,7-6,,
9:10.0,,,7-6,,Defensive rebound by Team
9:10.0,Loose ball foul by K. Love (drawn by K. Olynyk),,7-6,,
9:02.0,,,7-8,2,R. Rondo makes 2-pt shot from 1 ft
8:47.0,L. James misses 3-pt shot from 24 ft,,7-8,,
8:46.0,,,7-8,,Defensive rebound by J. Sullinger
8:36.0,,,7-8,,A. Bradley misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by K. Love,,7-8,,
