time,Minnesota,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. A. Payne (J. Brown gains possession),,,,Jump ball: T. Black vs. A. Payne (J. Brown gains possession)
11:38.0,,,0-2,2,R. Kelly makes 2-pt shot at rim (assist by J. Brown)
11:17.0,A. Wiggins misses 2-pt shot from 5 ft,,0-2,,
11:15.0,Offensive rebound by A. Wiggins,,0-2,,
11:12.0,A. Wiggins makes 2-pt shot from 1 ft,2,2-2,,
10:50.0,,,2-2,,R. Kelly misses 2-pt shot from 4 ft
10:47.0,Defensive rebound by Z. LaVine,,2-2,,
10:43.0,Shooting foul by J. Brown (drawn by K. Martin),,2-2,,
10:43.0,K. Martin makes free throw 1 of 2,1,3-2,,
10:43.0,K. Martin makes free throw 2 of 2,1,4-2,,
10:30.0,,,4-2,,Shooting foul by J. Hamilton (drawn by T. Black)
10:30.0,,,4-3,1,T. Black makes free throw 1 of 2
10:30.0,,,4-3,,T. Black misses free throw 2 of 2
10:28.0,Defensive rebound by Z. LaVine,,4-3,,
10:12.0,Z. LaVine makes 2-pt shot from 19 ft,2,6-3,,
9:55.0,,,6-5,2,T. Black makes 2-pt shot from 2 ft (assist by W. Johnson)
9:41.0,A. Wiggins misses 2-pt shot from 19 ft (block by W. Johnson),,6-5,,
9:37.0,,,6-5,,Defensive rebound by J. Brown
9:31.0,,,6-5,,J. Brown misses 2-pt shot from 16 ft
9:29.0,Defensive rebound by J. Hamilton,,6-5,,
9:28.0,Turnover by Z. LaVine (bad pass),,6-5,,
9:16.0,,,6-8,3,J. Clarkson makes 3-pt shot from 25 ft (assist by R. Kelly)
8:57.0,A. Payne makes 2-pt shot from 17 ft,2,8-8,,
8:45.0,,,8-10,2,T. Black makes 2-pt shot at rim (assist by J. Brown)
8:27.0,Turnover by A. Wiggins (bad pass),,8-10,,
8:17.0,,,8-10,,W. Johnson misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by K. Martin,,8-10,,
8:09.0,Turnover by K. Martin (lost ball; steal by J. Clarkson),,8-10,,
8:03.0,,,8-12,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
7:48.0,K. Martin makes 2-pt shot from 12 ft (assist by Z. LaVine),2,10-12,,
7:27.0,,,10-15,3,R. Kelly makes 3-pt shot from 23 ft (assist by J. Brown)
7:07.0,J. Hamilton makes 2-pt shot from 14 ft (assist by A. Payne),2,12-15,,
6:49.0,,,12-15,,W. Johnson misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by Z. LaVine,,12-15,,
6:37.0,Turnover by A. Wiggins (bad pass; steal by J. Clarkson),,12-15,,
6:29.0,,,12-15,,J. Brown misses 2-pt shot from 1 ft
6:27.0,Defensive rebound by J. Hamilton,,12-15,,
6:26.0,Turnover by Z. LaVine (lost ball),,12-15,,
6:26.0,C. Budinger enters the game for A. Payne,,12-15,,
6:13.0,,,12-15,,J. Brown misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by J. Hamilton,,12-15,,
6:06.0,C. Budinger misses 2-pt shot from 1 ft,,12-15,,
6:03.0,,,12-15,,Defensive rebound by J. Clarkson
5:58.0,,,12-18,3,R. Kelly makes 3-pt shot from 22 ft (assist by J. Clarkson)
5:58.0,Minnesota full timeout,,12-18,,
5:58.0,,,12-18,,D. Buycks enters the game for J. Brown
