time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. R. Hibbert (D. West gains possession),,,,Jump ball: D. Dedmon vs. R. Hibbert (D. West gains possession)
11:43.0,,,0-0,,D. West misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by V. Oladipo,,0-0,,
11:24.0,T. Harris misses 2-pt shot from 1 ft (block by R. Hibbert),,0-0,,
11:23.0,Offensive rebound by D. Dedmon,,0-0,,
11:21.0,D. Dedmon makes 2-pt shot from 1 ft,2,2-0,,
11:03.0,,,2-2,2,R. Hibbert makes 2-pt shot from 4 ft (assist by D. Rudez)
10:49.0,N. Vucevic makes 2-pt shot from 20 ft (assist by V. Oladipo),2,4-2,,
10:33.0,,,4-4,2,D. West makes 2-pt shot from 16 ft (assist by R. Hibbert)
10:15.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,6-4,,
9:54.0,,,6-4,,G. Hill misses 3-pt shot from 27 ft
9:53.0,Defensive rebound by N. Vucevic,,6-4,,
9:45.0,V. Oladipo makes 2-pt shot from 16 ft,2,8-4,,
9:24.0,,,8-4,,G. Hill misses 2-pt shot from 11 ft (block by D. Dedmon)
9:22.0,,,8-4,,Offensive rebound by R. Hibbert
9:22.0,Personal foul by D. Dedmon (drawn by R. Hibbert),,8-4,,
9:12.0,,,8-6,2,S. Hill makes 2-pt shot at rim (assist by G. Hill)
8:56.0,E. Payton misses 2-pt shot at rim,,8-6,,
8:55.0,Offensive rebound by D. Dedmon,,8-6,,
8:55.0,D. Dedmon makes 2-pt shot at rim,2,10-6,,
8:47.0,,,10-9,3,D. Rudez makes 3-pt shot from 23 ft (assist by S. Hill)
8:33.0,Turnover by V. Oladipo (bad pass; steal by D. West),,10-9,,
8:19.0,,,10-9,,D. West misses 2-pt shot from 18 ft
8:17.0,Defensive rebound by D. Dedmon,,10-9,,
8:08.0,V. Oladipo misses 2-pt shot from 2 ft,,10-9,,
8:07.0,Offensive rebound by Team,,10-9,,
8:00.0,V. Oladipo makes 2-pt shot from 11 ft (assist by E. Payton),2,12-9,,
7:42.0,,,12-9,,S. Hill misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by D. Dedmon,,12-9,,
7:32.0,Turnover by E. Payton (bad pass; steal by G. Hill),,12-9,,
7:22.0,,,12-9,,Turnover by S. Hill (bad pass; steal by V. Oladipo)
7:15.0,T. Harris makes 2-pt shot from 10 ft,2,14-9,,
6:52.0,,,14-9,,D. Rudez misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by N. Vucevic,,14-9,,
6:44.0,,,14-9,,Personal foul by G. Hill (drawn by N. Vucevic)
6:32.0,N. Vucevic misses 2-pt shot from 9 ft,,14-9,,
6:31.0,,,14-9,,Defensive rebound by D. West
6:19.0,,,14-9,,Turnover by D. Rudez (step out of bounds)
6:07.0,T. Harris makes 2-pt shot from 8 ft,2,16-9,,
6:07.0,,,16-9,,Indiana full timeout
6:07.0,,,16-9,,R. Stuckey enters the game for D. Rudez
5:55.0,Personal foul by D. Dedmon (drawn by D. West),,16-9,,
5:55.0,C. Frye enters the game for D. Dedmon,,16-9,,
5:41.0,,,16-12,3,R. Stuckey makes 3-pt shot from 25 ft
5:18.0,V. Oladipo misses 2-pt shot from 1 ft (block by R. Stuckey),,16-12,,
5:18.0,Offensive rebound by Team,,16-12,,
5:18.0,,,16-12,,I. Mahinmi enters the game for R. Hibbert
5:13.0,N. Vucevic misses 2-pt shot from 3 ft,,16-12,,
5:12.0,Offensive rebound by T. Harris,,16-12,,
5:12.0,Shooting foul by S. Hill (drawn by T. Harris),,16-12,,
5:12.0,T. Harris makes free throw 1 of 2,1,17-12,,
