time,LA Clippers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: K. Faried vs. D. Jordan (B. Griffin gains possession)
11:34.0,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin),3,3-0,,
11:12.0,,,3-0,,Turnover by J. Nelson (lost ball)
10:56.0,M. Barnes makes 3-pt shot from 26 ft (assist by J. Redick),3,6-0,,
10:31.0,,,6-0,,Turnover by Team (shot clock)
10:19.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,8-0,,
10:03.0,,,8-0,,J. Nelson misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by D. Jordan,,8-0,,
9:53.0,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul),2,10-0,,
9:46.0,,,10-0,,Denver full timeout
9:33.0,,,10-0,,K. Faried misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by D. Jordan,,10-0,,
9:25.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,12-0,,
9:06.0,,,12-0,,W. Chandler misses 2-pt shot from 16 ft
9:04.0,Defensive rebound by C. Paul,,12-0,,
8:56.0,B. Griffin misses 2-pt shot from 20 ft,,12-0,,
8:54.0,Offensive rebound by C. Paul,,12-0,,
8:54.0,Shooting foul by J. Nelson (drawn by D. Jordan),,12-0,,
8:54.0,D. Jordan misses free throw 1 of 2,,12-0,,
8:54.0,Offensive rebound by Team,,12-0,,
8:54.0,D. Jordan makes free throw 2 of 2,1,13-0,,
8:41.0,,,13-2,2,J. Hickson makes 2-pt shot from 6 ft (assist by R. Foye)
8:24.0,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin),3,16-2,,
8:04.0,,,16-2,,Turnover by K. Faried (bad pass; steal by C. Paul)
7:53.0,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin),2,18-2,,
7:33.0,,,18-2,,R. Foye misses 2-pt shot from 18 ft
7:32.0,Defensive rebound by Team,,18-2,,
7:19.0,B. Griffin misses 2-pt shot from 20 ft,,18-2,,
7:18.0,,,18-2,,Defensive rebound by K. Faried
7:12.0,,,18-2,,W. Chandler misses 2-pt shot at rim
7:11.0,,,18-2,,Offensive rebound by W. Chandler
7:10.0,,,18-4,2,W. Chandler makes 2-pt shot from 1 ft
7:10.0,,,18-4,,Violation by Team (delay of game)
6:54.0,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin),3,21-4,,
6:42.0,,,21-6,2,J. Hickson makes 2-pt shot from 5 ft (assist by J. Nelson)
6:28.0,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul),3,24-6,,
6:18.0,,,24-6,,Offensive foul by J. Hickson
6:18.0,,,24-6,,Turnover by J. Hickson (offensive foul)
6:06.0,J. Redick misses 3-pt shot from 25 ft,,24-6,,
6:04.0,Offensive rebound by B. Griffin,,24-6,,
6:00.0,M. Barnes misses 3-pt shot from 24 ft,,24-6,,
5:57.0,,,24-6,,Defensive rebound by K. Faried
5:47.0,,,24-6,,J. Hickson misses 2-pt shot from 2 ft
5:45.0,,,24-6,,Offensive rebound by J. Hickson
5:45.0,,,24-6,,J. Hickson misses 2-pt shot at rim
5:44.0,,,24-6,,Offensive rebound by K. Faried
5:41.0,,,24-6,,R. Foye misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by C. Paul,,24-6,,
5:28.0,B. Griffin misses 2-pt shot at rim,,24-6,,
5:27.0,,,24-6,,Defensive rebound by W. Chandler
5:21.0,,,24-6,,J. Nelson misses 3-pt shot from 24 ft
5:19.0,,,24-6,,Offensive rebound by K. Faried
5:14.0,,,24-6,,Turnover by W. Chandler (lost ball; steal by B. Griffin)
5:14.0,Shooting foul by W. Chandler (drawn by B. Griffin),,24-6,,
5:14.0,,,24-6,,Denver full timeout
5:14.0,,,24-6,,W. Barton enters the game for J. Hickson
5:14.0,,,24-6,,J. Nurkic enters the game for R. Foye
5:14.0,A. Rivers enters the game for J. Redick,,24-6,,
5:14.0,B. Griffin misses free throw 1 of 2,,24-6,,
5:14.0,Offensive rebound by Team,,24-6,,
5:14.0,B. Griffin misses free throw 2 of 2,,24-6,,
5:13.0,,,24-6,,Defensive rebound by W. Chandler
4:47.0,,,24-6,,W. Barton misses 3-pt shot from 25 ft
4:45.0,,,24-6,,Offensive rebound by J. Nelson
4:42.0,,,24-8,2,K. Faried makes 2-pt shot at rim (assist by J. Nelson)
4:18.0,B. Griffin misses 2-pt shot from 3 ft,,24-8,,
4:18.0,,,24-8,,Defensive rebound by Team
4:18.0,G. Davis enters the game for B. Griffin,,24-8,,
4:06.0,,,24-8,,K. Faried misses 2-pt shot from 5 ft
4:05.0,Defensive rebound by D. Jordan,,24-8,,
3:56.0,C. Paul misses 2-pt shot from 16 ft,,24-8,,
3:55.0,Offensive rebound by M. Barnes,,24-8,,
3:51.0,Turnover by M. Barnes (bad pass; steal by J. Nurkic),,24-8,,
3:46.0,,,24-8,,W. Chandler misses 3-pt shot from 24 ft
3:45.0,,,24-8,,Offensive rebound by Team
3:45.0,Loose ball foul by C. Paul (drawn by K. Faried),,24-8,,
3:45.0,S. Hawes enters the game for D. Jordan,,24-8,,
3:42.0,Violation by G. Davis (kicked ball),,24-8,,
3:37.0,,,24-10,2,J. Nurkic makes 2-pt shot from 5 ft (assist by W. Chandler)
3:23.0,Turnover by C. Paul (bad pass; steal by J. Nelson),,24-10,,
3:20.0,,,24-10,,Shooting foul by A. Rivers (drawn by W. Barton)
3:20.0,,,24-11,1,W. Barton makes free throw 1 of 2
3:20.0,,,24-11,,R. Foye enters the game for J. Nelson
3:20.0,L. Hudson enters the game for C. Paul,,24-11,,
3:20.0,,,24-12,1,W. Barton makes free throw 2 of 2
2:58.0,L. Hudson misses 2-pt shot from 22 ft (block by R. Foye),,24-12,,
2:56.0,,,24-12,,Defensive rebound by J. Nurkic
2:52.0,,,24-12,,K. Faried misses 2-pt shot at rim
2:48.0,Defensive rebound by L. Hudson,,24-12,,
2:46.0,Turnover by L. Hudson (bad pass; steal by W. Barton),,24-12,,
2:43.0,,,24-12,,R. Foye misses 3-pt shot from 25 ft
2:41.0,Defensive rebound by S. Hawes,,24-12,,
2:37.0,LA Clippers full timeout,,24-12,,
2:37.0,H. Turkoglu enters the game for M. Barnes,,24-12,,
2:37.0,,,24-12,,J. Hickson enters the game for W. Chandler
2:37.0,,,24-12,,G. Harris enters the game for K. Faried
2:18.0,H. Turkoglu makes 3-pt shot from 25 ft,3,27-12,,
2:06.0,Personal foul by G. Davis (drawn by J. Nurkic),,27-12,,
1:48.0,,,27-14,2,R. Foye makes 2-pt shot from 15 ft (assist by W. Barton)
1:30.0,L. Hudson makes 2-pt shot from 2 ft,2,29-14,,
1:13.0,,,29-14,,G. Harris misses 3-pt shot from 24 ft
1:12.0,,,29-14,,Offensive rebound by J. Nurkic
1:09.0,,,29-14,,J. Nurkic misses 2-pt shot from 4 ft
1:06.0,Defensive rebound by A. Rivers,,29-14,,
