time,Indiana,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: R. Hibbert vs. R. Lopez (L. Aldridge gains possession)
11:46.0,,,0-0,,R. Lopez misses 2-pt shot from 4 ft
11:45.0,Defensive rebound by D. West,,0-0,,
11:25.0,R. Hibbert makes 2-pt shot from 13 ft (assist by R. Stuckey),2,2-0,,
11:11.0,,,2-2,2,N. Batum makes 2-pt shot from 21 ft (assist by L. Aldridge)
10:57.0,Turnover by R. Stuckey (bad pass; steal by N. Batum),,2-2,,
10:48.0,,,2-5,3,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Lillard)
10:31.0,R. Hibbert misses 2-pt shot from 21 ft,,2-5,,
10:30.0,,,2-5,,Defensive rebound by N. Batum
10:18.0,,,2-7,2,D. Lillard makes 2-pt shot from 2 ft (assist by L. Aldridge)
9:51.0,C. Copeland misses 2-pt shot from 8 ft,,2-7,,
9:50.0,,,2-7,,Defensive rebound by L. Aldridge
9:38.0,,,2-7,,L. Aldridge misses 2-pt shot from 15 ft
9:36.0,Defensive rebound by Team,,2-7,,
9:18.0,R. Stuckey misses 3-pt shot from 23 ft,,2-7,,
9:18.0,,,2-7,,Defensive rebound by L. Aldridge
9:04.0,,,2-7,,L. Aldridge misses 2-pt shot from 16 ft
9:03.0,Defensive rebound by R. Hibbert,,2-7,,
8:52.0,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West),2,4-7,,
8:48.0,Violation by Team (delay of game),,4-7,,
8:27.0,,,4-7,,W. Matthews misses 3-pt shot from 24 ft
8:26.0,,,4-7,,Offensive rebound by L. Aldridge
8:23.0,,,4-7,,L. Aldridge misses 2-pt shot from 18 ft
8:22.0,Defensive rebound by R. Hibbert,,4-7,,
8:15.0,R. Stuckey misses 2-pt shot from 15 ft,,4-7,,
8:14.0,,,4-7,,Defensive rebound by R. Lopez
8:05.0,,,4-7,,R. Lopez misses 2-pt shot from 5 ft (block by R. Hibbert)
8:04.0,,,4-7,,Offensive rebound by L. Aldridge
8:03.0,,,4-7,,L. Aldridge misses 2-pt shot from 2 ft (block by D. West)
8:03.0,,,4-7,,Offensive rebound by Team
8:03.0,Jump ball: L. Aldridge vs. D. West (N. Batum gains possession),,,,Jump ball: L. Aldridge vs. D. West (N. Batum gains possession)
7:55.0,,,4-7,,Shooting foul by R. Stuckey (drawn by R. Lopez)
7:55.0,,,4-7,,R. Lopez misses free throw 1 of 2
7:55.0,,,4-7,,Offensive rebound by Team
7:55.0,,,4-8,1,R. Lopez makes free throw 2 of 2
7:43.0,Turnover by C. Copeland (back court),,4-8,,
7:32.0,,,4-10,2,D. Lillard makes 2-pt shot from 19 ft
7:15.0,R. Hibbert misses 2-pt shot from 8 ft,,4-10,,
7:14.0,,,4-10,,Defensive rebound by L. Aldridge
6:59.0,,,4-10,,L. Aldridge misses 2-pt shot from 3 ft
6:57.0,Defensive rebound by C. Copeland,,4-10,,
6:50.0,Turnover by D. West (bad pass),,4-10,,
6:38.0,Personal foul by C. Copeland (drawn by N. Batum),,4-10,,
6:34.0,,,4-10,,N. Batum misses 2-pt shot from 2 ft
6:33.0,Defensive rebound by R. Stuckey,,4-10,,
6:27.0,R. Stuckey misses 2-pt shot from 2 ft,,4-10,,
6:27.0,,,4-10,,Defensive rebound by R. Lopez
6:20.0,,,4-10,,W. Matthews misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by D. West,,4-10,,
6:05.0,D. West makes 2-pt shot from 21 ft,2,6-10,,
6:02.0,,,6-10,,Portland full timeout
6:02.0,,,6-10,,S. Blake enters the game for W. Matthews
5:50.0,,,6-10,,R. Lopez misses 2-pt shot from 11 ft
5:49.0,Defensive rebound by D. West,,6-10,,
5:32.0,D. West misses 2-pt shot from 8 ft,,6-10,,
5:31.0,Offensive rebound by R. Hibbert,,6-10,,
5:21.0,R. Hibbert misses 2-pt shot from 8 ft,,6-10,,
5:18.0,Offensive rebound by S. Hill,,6-10,,
5:18.0,S. Hill makes 2-pt shot from 1 ft,2,8-10,,
4:55.0,,,8-10,,N. Batum misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by D. West,,8-10,,
4:42.0,D. West misses 2-pt shot from 21 ft,,8-10,,
4:41.0,,,8-10,,Defensive rebound by L. Aldridge
4:32.0,,,8-10,,D. Lillard misses 2-pt shot from 18 ft
4:31.0,Defensive rebound by D. West,,8-10,,
4:23.0,R. Stuckey misses 2-pt shot from 2 ft,,8-10,,
4:22.0,,,8-10,,Defensive rebound by R. Lopez
4:18.0,,,8-10,,D. Lillard misses 2-pt shot from 1 ft
